"","LLL.Open","LLL.High","LLL.Low","LLL.Close","LLL.Volume"
"2013-09-12",94.17,94.75,93.78,93.96,430822
"2013-09-19",96.1,96.59,96,96.07,306564
"2013-09-26",95.9,96.29,95.51,95.91,432356
"2013-10-03",93.64,93.93,91.74,92.67,652438
"2013-10-10",92.56,93.56,92.56,93.56,790352
"2013-10-17",93.97,94.55,93.72,94.38,586267
"2013-10-24",96.05,96.42,95.37,96.29,361985
"2013-10-31",99.33,100.89,98.89,100.45,956484
"2013-11-07",102.28,102.73,100.79,100.86,600750
"2013-11-14",101.53,102.22,100.79,101.96,348385
"2013-11-21",101.78,102.25,101.18,101.86,545198
"2013-12-05",101.58,101.67,100.58,100.81,582480
"2013-12-12",100.61,101.5,100.61,101.3,511466
"2013-12-19",104.55,104.9,103.8,104.57,633623
"2013-12-26",106.84,107.62,106.73,107.13,453200
"2014-01-02",106.07,106.28,104.94,105.08,720066
"2014-01-09",106.91,107.4,106.05,106.29,660895
"2014-01-16",106.67,107.28,106.5,107,304816
"2014-01-23",108.49,108.57,107.21,107.71,611675
"2014-01-30",104.51,105.43,103.42,105.41,1234065
"2014-02-06",108.96,109.99,108.91,109.61,484734
"2014-02-13",112.73,113.6,112.36,113.08,901913
"2014-02-20",113.84,115.9,113.34,115.65,581342
"2014-02-27",112.41,113.87,112.41,113.82,653582
"2014-03-06",117.36,117.67,116.88,117.12,1241694
"2014-03-13",115.91,116.23,113.95,114.34,702765
"2014-03-20",115.89,117.11,115.89,116.06,501796
"2014-03-27",117.42,117.42,116.16,116.51,780086
"2014-04-03",119.95,120.15,119.41,119.91,675506
"2014-04-10",116.77,116.98,114.02,114.23,717793
"2014-04-17",116.9,118.07,116.9,117.73,447894
"2014-04-24",117.79,118.24,115.42,116.46,693829
"2014-05-01",115,115.84,113.01,114.68,991663
"2014-05-08",115.58,116.31,114.74,114.89,586056
"2014-05-15",116.99,117.42,115.56,116.35,1960924
"2014-05-22",115,116.25,114.58,116.19,813726
"2014-05-29",118.99,120.42,118.72,120.41,928561
"2014-06-05",123.43,125.05,123.05,124.88,909655
"2014-06-12",125.45,126.3,124.62,125.21,789071
"2014-06-19",123.86,124.43,122.3,124.24,715982
"2014-06-26",121.7,121.7,120.84,121.25,416265
"2014-07-03",120.44,121.12,120.27,120.63,352763
"2014-07-10",118.02,119.71,117.91,119.03,468545
"2014-07-17",120.7,122.09,120.59,120.61,519767
"2014-07-24",122.49,122.49,121.32,121.99,337688
"2014-07-31",110,112,99.33,104.96,5484881
"2014-08-07",102.13,102.57,101.34,101.59,1140616
"2014-08-14",104.9,106.1,104.8,105.5,775068
"2014-08-21",109.67,110.6,109.28,110.4,733684
"2014-08-28",109,109.68,108.85,109.52,491091
"2014-09-04",111.92,113.02,110.73,110.97,1553710
"2014-09-11",113.37,114.83,112.87,114.81,1005385
"2014-09-18",116.48,116.82,115.26,115.49,744871
"2014-09-25",111.21,111.36,109.63,109.73,708424
"2014-10-02",115.11,115.49,111.96,113.61,974507
"2014-10-09",111.85,112.26,107.92,108.11,1166291
"2014-10-16",106.61,110.46,105.94,109.23,848399
"2014-10-23",113.2,115.47,112.26,114.43,905824
"2014-10-30",113.32,122.88,111.41,119.85,2402826
"2014-11-06",122.91,123.55,121.66,123.1,821999
"2014-11-13",117.08,119.92,116.9,119.73,945109
"2014-11-20",120.15,121.72,120.09,121.37,1003182
"2014-12-04",123.21,123.78,122.62,123.52,920720
"2014-12-11",123.44,124.62,122.52,122.71,774746
"2014-12-18",123.67,126.09,123.34,126.05,1060132
"2015-01-08",126.56,128.75,126.52,127.83,1080186
"2015-01-15",127.08,127.38,125.48,125.71,645195
"2015-01-22",126.18,128.45,126.18,128.25,899153
"2015-01-29",122.39,127.13,121.45,123.06,930916
"2015-02-05",127.53,128.58,126.5,127.81,482292
"2015-02-12",129.1,129.61,128.23,129.26,435450
"2015-02-19",129.64,131.21,129.05,131.18,616949
"2015-02-26",130.54,131.86,130.35,130.75,874268
"2015-03-05",127.44,128.07,127.01,127.26,357792
"2015-03-12",125.52,126.53,125.01,125.63,443379
"2015-03-19",126.82,127.32,126.28,126.77,551278
"2015-03-26",123.92,125.46,123.4,125.17,561029
"2015-04-02",125.41,126.62,124.89,124.99,401003
"2015-04-09",126.33,126.94,125.37,125.81,431680
"2015-04-16",123.5,124.79,123.05,124.42,490096
"2015-04-23",123.64,124.58,123.21,123.74,397114
"2015-04-30",119.63,121.49,113.74,114.91,1421320
"2015-05-07",113.47,115.29,113.05,114.9,677625
"2015-05-14",118.6,120.01,118.35,119.97,623772
"2015-05-21",121.23,122.14,121.01,121.11,525903
"2015-05-28",118.5,118.8,117.8,118.21,600911
"2015-06-04",117.83,118.5,116.79,116.84,766118
"2015-06-11",115.92,117.31,115.79,117.2,523043
"2015-06-18",116.72,118.11,116.36,117.63,435980
"2015-06-25",115.75,115.75,114.19,114.28,394088
"2015-07-02",116.13,116.46,115.63,115.74,681914
"2015-07-09",118.2,118.54,117.59,117.59,765632
"2015-07-16",122.57,123.32,122.04,123.29,572173
"2015-07-23",122.04,122.98,121.71,121.93,496962
"2015-07-30",118.28,118.48,113.31,114.75,2723357
"2015-08-06",115.59,116.06,114.56,115.71,702787
"2015-08-13",114.98,116.26,114.37,115.55,697706
"2015-08-20",112.72,112.96,111.55,111.63,496745
"2015-08-27",108.07,108.84,105.18,107.12,1007768
"2015-09-03",106.23,107.57,105.88,106.32,333045
"2015-09-10",105.63,106.59,104.26,105.84,382477
"2015-09-17",107.76,109.85,107.57,108.08,795240
"2015-09-24",103.4,104.67,102.56,104.34,600465
"2015-10-01",104.34,105,102.74,103.99,379966
"2015-10-08",110.14,113.19,110.14,112.83,478645
"2015-10-15",110.23,110.7,108.91,110.34,592159
"2015-10-22",112.18,114.7,112.08,114.01,365763
"2015-10-29",123.79,131.36,120.93,128.4,2144861
"2015-11-05",123.13,123.75,122.42,122.93,709175
"2015-11-12",119.07,119.59,118.37,118.85,819855
"2015-11-19",125.53,126.2,124.42,125.36,491089
"2015-12-03",122.56,122.9,120.08,120.74,482083
"2015-12-10",120.57,121.97,119.84,121.19,538875
"2015-12-17",120.99,121.24,117.53,117.65,658289
"2015-12-24",119.61,120.45,119.07,119.95,123490
"2015-12-31",120.26,120.74,119.12,119.51,290300
"2016-01-07",115.05,117.56,114.93,115.68,573606
"2016-01-14",114.24,114.71,112.75,113.55,491575
"2016-01-21",108.37,110.1,107.92,108.85,690009
"2016-01-28",112.5,114.41,110.26,111.98,864298
"2016-02-04",117.57,118.45,116.89,117.39,541559
"2016-02-11",115.89,116.39,112.45,114.73,481314
"2016-02-18",117.54,118.87,116.45,117.43,459744
"2016-02-25",117.68,119.24,117.6,119.19,318469
"2016-03-03",119.74,120.6,118.45,120.55,536520
"2016-03-10",118.07,118.98,115.75,117,644265
"2016-03-17",118.3,118.59,117.51,117.99,507376
"2016-03-24",118.71,119.11,117.56,118.42,488522
"2016-03-31",120.34,120.61,118.29,118.5,929052
"2016-04-07",119.66,120.32,118.15,119.03,581582
"2016-04-14",119.9,120.35,118.6,119.9,1913249
"2016-04-21",123.4,124.12,122.58,122.83,329948
"2016-04-28",129.9,132.63,128.66,130.84,1104509
"2016-05-05",134.34,135.79,134.07,135.75,1118621
"2016-05-12",136.11,136.58,135.33,135.78,681755
"2016-05-19",137.24,138,136.38,136.85,570364
"2016-05-26",137.74,138.54,137.71,137.79,309900
"2016-06-02",138.85,140.56,138.53,139.86,696187
"2016-06-09",146.25,148,146.12,147.9,520074
"2016-06-16",145.12,145.5,143.4,144.57,779872
"2016-06-23",145.33,145.33,143.63,144.32,289445
"2016-06-30",143.8,146.7,143.56,146.69,528243
"2016-07-07",150.25,150.25,146.37,146.8,752660
"2016-07-14",150.24,150.39,148.64,148.79,302092
"2016-07-21",149.25,149.59,147.35,147.8,299264
"2016-07-28",148.25,154.5,148.25,149.84,848947
"2016-08-04",150.3,152,150,150.51,261272
"2016-08-11",150.99,151.2,148.98,149.04,669294
"2016-08-18",149.64,150.61,149.41,150.58,474449
"2016-08-25",147.61,149.84,146.8,148.38,645967
"2016-09-01",148.73,149.5,147.76,149.34,336215
"2016-09-08",149.57,150.52,149.1,150.11,268251
"2016-09-15",145.84,147.89,145.69,147.59,254707
