"","LLL.Open","LLL.High","LLL.Low","LLL.Close","LLL.Volume"
"2011-09-15",65.78,66.67,65.4,66.17,640566
"2011-09-22",59.2,59.66,58.3,58.94,1084922
"2011-09-29",63.26,64.71,62.3,63.36,772486
"2011-10-06",63.67,65.12,63.58,64.72,562919
"2011-10-13",68.01,68.5,67.18,68.15,597209
"2011-10-20",69.04,69.3,68.01,68.81,464266
"2011-10-27",70.65,71.46,68,69.06,1029428
"2011-11-03",66.59,69.28,66.59,68.89,744306
"2011-11-10",69.39,69.55,67.95,68.45,602719
"2011-11-17",67.62,67.98,66.16,66.87,1073332
"2011-12-01",66.13,66.84,65.89,66.01,783826
"2011-12-08",66.37,66.48,64.52,64.73,923535
"2011-12-15",65.43,65.99,65.21,65.61,713144
"2011-12-22",66.17,67.14,65.87,66.79,556729
"2011-12-29",66.85,67.15,66.76,67.05,583726
"2012-01-05",67.13,67.53,66.55,67.43,764301
"2012-01-12",69.54,70,69.22,69.89,781058
"2012-01-19",70.2,70.89,70.07,70.63,902134
"2012-01-26",70.61,70.62,69.83,70.07,685033
"2012-02-02",70.52,70.64,69.71,69.72,582309
"2012-02-09",70.83,70.98,69.99,70.47,580884
"2012-02-16",70.6,70.9,70.26,70.77,713259
"2012-02-23",70.35,70.58,69.95,70.58,433963
"2012-03-01",70.8,70.8,69.4,69.59,855131
"2012-03-08",68.2,68.62,67.6,68.15,887804
"2012-03-15",70.6,70.83,70.28,70.77,1158784
"2012-03-22",69.42,69.76,69.17,69.6,527610
"2012-03-29",70.87,70.96,70.15,70.86,390224
"2012-04-05",69.79,70.05,68.77,69,812406
"2012-04-12",68.25,69.72,68.23,69.56,548707
"2012-04-19",69.94,70.08,69.14,69.47,646907
"2012-04-26",71,74.79,70.01,73.59,1675199
"2012-05-03",72.93,73.49,71.87,72.4,933861
"2012-05-10",70.86,71.17,70.74,71,818058
"2012-05-17",68.54,68.76,67.84,67.88,710848
"2012-05-24",68.33,68.53,66.9,67.68,563501
"2012-05-31",67.4,68.71,67,68.19,952031
"2012-06-07",69.74,70.54,69.49,69.65,797627
"2012-06-14",69.72,71.67,69.57,71.35,789833
"2012-06-21",73.49,73.93,72.35,72.43,658695
"2012-06-28",71.55,71.67,70.82,71.45,524625
"2012-07-05",73.84,74.31,73.58,73.94,412644
"2012-07-12",71.18,71.89,70.66,71.32,620178
"2012-07-19",71.19,71.76,70.91,71.51,560449
"2012-07-26",69.34,70.49,68.76,69.55,1100188
"2012-08-02",69.47,69.68,68,68.58,486774
"2012-08-09",69.5,70.48,69.35,70.41,510541
"2012-08-16",68.85,69.39,68.45,69.04,531107
"2012-08-23",70.07,70.07,69.41,69.71,705085
"2012-08-30",69.72,70.09,69.4,69.88,372305
"2012-09-06",69.81,70.93,69.71,70.91,425281
"2012-09-13",72.07,72.97,71.29,72.56,437480
"2012-09-20",71.9,72.3,71.37,72.23,419442
"2012-09-27",72.42,72.75,72.11,72.47,491998
"2012-10-04",73.35,73.87,72.95,73.23,581494
"2012-10-11",72.62,72.96,72.1,72.1,426247
"2012-10-18",74.25,75,73.75,74.84,348486
"2012-10-25",73.58,74.12,73.11,73.79,481221
"2012-11-01",73.94,75,73.04,74.85,728610
"2012-11-08",73.95,74.9,73.73,73.73,797876
"2012-11-15",72.4,73.06,72.1,72.35,804855
"2012-11-29",77.49,77.7,76.68,77.45,458066
"2012-12-06",75.96,76.48,75.35,76.26,811304
"2012-12-13",76.09,76.15,75.48,75.51,612732
"2012-12-20",76.22,77.91,76.17,77.91,726978
"2012-12-27",77.06,77.38,75.92,76.76,587439
"2013-01-03",77.46,77.93,77.21,77.42,427558
"2013-01-10",78,78.5,77.89,78.49,597759
"2013-01-17",78.61,79.65,78.42,79.37,527039
"2013-01-24",79,79.13,78.36,78.73,671455
"2013-01-31",77.95,78.02,75.8,75.92,1246027
"2013-02-07",76.32,77.27,76.06,77,1271702
"2013-02-14",77.74,78.34,77.35,77.74,883376
"2013-02-21",76.9,76.98,76.13,76.46,704436
"2013-02-28",76.46,77.15,76.24,76.27,560454
"2013-03-07",76.44,77,76.38,76.7,400013
"2013-03-14",78.89,79.74,78.72,79.7,614940
"2013-03-21",80.73,81.33,80.09,80.29,411489
"2013-03-28",80.29,80.96,79.93,80.92,793012
"2013-04-04",81.1,82.36,81.04,81.21,644148
"2013-04-11",83.5,83.99,83.23,83.3,824215
"2013-04-18",80.36,80.56,79.75,80.19,534094
"2013-04-25",83,83,81,82.31,867076
"2013-05-02",81.2,82.38,81.01,82.31,503947
"2013-05-09",84.42,84.98,83.9,84.08,494476
"2013-05-16",84.89,85.69,84.64,84.77,384755
"2013-05-23",85.11,86.02,85,85.07,531508
"2013-05-30",85.07,87.23,85.07,86.6,481195
"2013-06-06",84.46,85.24,84.05,85.22,400815
"2013-06-13",85.98,86.56,85.6,85.8,754918
"2013-06-20",84.72,85.28,84.07,84.13,486041
"2013-06-27",85.22,86.4,84.93,86.03,355079
"2013-07-11",90.36,90.71,89.92,90.2,560596
"2013-07-18",91.15,92.07,91.02,91.84,380655
"2013-07-25",92.5,92.9,91.27,92.04,923996
"2013-08-01",94,94.17,93.28,93.53,709687
"2013-08-08",92.55,93.95,92.55,93.52,416846
"2013-08-15",91.77,92.04,91.09,91.43,474789
"2013-08-22",91.49,92.49,91.49,92.3,235072
"2013-08-29",90.89,91.5,90.69,90.98,287540
"2013-09-05",91.16,91.67,90.8,91.47,337398
