"","MAS.Open","MAS.High","MAS.Low","MAS.Close","MAS.Volume"
"2011-09-15",8.07,8.17,7.91,7.99,4260966
"2011-09-22",6.93,7.02,6.78,6.96,8806488
"2011-09-29",7.58,7.64,7.28,7.52,10827349
"2011-10-06",7.7,7.83,7.58,7.82,4429182
"2011-10-13",7.96,8.08,7.81,8.01,4244141
"2011-10-20",8.66,8.71,8.43,8.65,4778907
"2011-10-27",10.05,10.46,9.86,10.23,9461320
"2011-11-03",9.21,9.5,9.01,9.45,4566786
"2011-11-10",9.14,9.24,9.03,9.13,4618495
"2011-11-17",9.56,9.63,9.08,9.16,6231027
"2011-12-01",9.52,9.64,9.37,9.43,4199181
"2011-12-08",9.38,9.41,9.03,9.04,4236116
"2011-12-15",8.71,8.9,8.58,8.7,3312674
"2011-12-22",10.1,10.33,10.02,10.23,3341611
"2011-12-29",9.91,10.71,9.87,10.7,4675049
"2012-01-05",11.12,11.8,11.06,11.54,8578306
"2012-01-12",12.06,12.16,11.81,11.93,6890952
"2012-01-19",12.69,12.97,12.45,12.85,8376668
"2012-01-26",12.69,13.04,12.2,12.25,7528511
"2012-02-02",12.52,12.64,12.37,12.44,5377964
"2012-02-09",12.85,13.14,12.79,13.01,7025916
"2012-02-16",11.24,12.08,11.18,12.04,10334799
"2012-02-23",11.82,12,11.72,11.93,4720801
"2012-03-01",11.96,12.1,11.77,11.87,3550051
"2012-03-08",11.59,12.02,11.59,11.98,8439839
"2012-03-15",12.92,13.79,12.8,13.59,11838868
"2012-03-22",13.9,14.02,13.5,13.74,4848119
"2012-03-29",13.55,13.67,13.09,13.64,6364439
"2012-04-05",12.72,12.92,12.65,12.77,5170608
"2012-04-12",12.22,12.75,12.2,12.57,5604237
"2012-04-19",11.97,12.16,11.66,11.97,8249536
"2012-04-26",12.64,12.97,12.58,12.9,5551494
"2012-05-03",14.56,14.65,14.32,14.42,6642221
"2012-05-10",14.19,14.33,13.87,13.93,5834612
