"","CTAS.Open","CTAS.High","CTAS.Low","CTAS.Close","CTAS.Volume"
"2012-08-16",41.5,41.63,41.13,41.2,700390
"2012-08-23",40.7,40.89,40.52,40.59,359509
"2012-08-30",40.34,40.42,40.15,40.3,249439
"2012-09-06",40.75,41.5,40.3,41.49,432916
"2012-09-13",41.89,42.55,41.68,42.22,435735
"2012-09-20",41.22,41.49,40.83,41.19,627029
"2012-09-27",41.25,41.76,41.15,41.59,317616
"2012-10-04",42.45,42.57,42.01,42.25,453680
"2012-10-11",42.29,42.48,41.7,41.8,721198
"2012-10-18",42.41,42.52,42.32,42.38,462457
"2012-10-25",41.51,41.77,41.03,41.37,1793738
"2012-11-01",42.73,45.6,41.79,42.4,821969
"2012-11-08",41.01,41.03,40.73,40.82,419694
"2012-11-15",39.87,40.01,39.22,39.4,615671
"2012-11-29",40.77,41.18,40.56,41.01,666184
"2012-12-06",41.97,42.33,41.85,42.31,452382
"2012-12-13",41.75,42,41.56,41.63,283108
"2012-12-20",42.55,42.8,42.11,42.79,701661
"2012-12-27",41.03,41.11,40.22,40.7,790515
"2013-01-03",42.01,42.54,41.95,42.18,554323
"2013-01-10",42.84,42.84,42.2,42.69,405257
"2013-01-17",41.88,42.54,41.82,42.21,654480
"2013-01-24",42.49,42.76,42.26,42.39,485164
"2013-01-31",42.41,42.54,41.98,42.26,874093
"2013-02-07",42.43,42.93,42.3,42.93,710621
"2013-02-14",43.28,43.69,43.13,43.67,662041
"2013-02-21",44.11,44.18,43.67,43.79,495161
"2013-02-28",43.73,44.06,43.73,43.9,640945
"2013-03-07",43.76,44.08,43.75,44.03,268924
"2013-03-14",44.69,44.74,43.95,44.49,348351
"2013-03-21",43.58,43.65,42.95,43.19,751208
"2013-03-28",43.48,44.22,43.46,44.13,538740
"2013-04-04",44.17,44.29,43.78,44.06,389715
"2013-04-11",45.32,45.77,45.02,45.58,635489
"2013-04-18",44.34,44.41,43.81,44.23,537184
"2013-04-25",45.19,45.36,44.89,44.98,352797
"2013-05-02",44.32,44.68,44.23,44.64,427705
"2013-05-09",45.2,45.29,44.75,44.87,454788
"2013-05-16",45.46,45.86,45.18,45.41,322292
"2013-05-23",45.24,45.4,44.76,44.84,432815
"2013-05-30",45.04,45.98,44.82,45.5,649011
"2013-06-06",44.77,45.23,44.55,45.23,398055
"2013-06-13",45.02,46,44.87,45.92,446039
"2013-06-20",45.17,45.38,44.8,45.22,494727
"2013-06-27",45.47,46.05,45.47,45.94,338935
"2013-07-11",47.65,47.85,47.51,47.67,253186
"2013-07-18",47.24,47.85,47.03,47.69,546526
"2013-07-25",47.41,47.55,47.06,47.27,515076
"2013-08-01",47.74,48.5,47.74,48.09,838557
"2013-08-08",48.89,49.13,48.49,48.9,589277
"2013-08-15",49.02,49.12,48.64,48.96,596379
"2013-08-22",48.27,48.86,48.21,48.65,222999
"2013-08-29",47.88,48.44,47.73,48.19,279254
"2013-09-05",48.06,48.47,47.96,48.31,301806
"2013-09-12",49.65,49.89,49.57,49.7,397265
"2013-09-19",51.32,51.36,50.58,50.89,702093
"2013-09-26",51.51,51.51,50.66,50.88,414820
"2013-10-03",50.8,50.96,50.1,50.38,405834
"2013-10-10",50.32,50.91,50.07,50.89,455178
"2013-10-17",52.19,53.03,52.06,52.98,598694
"2013-10-24",53.6,53.66,53.27,53.62,1447008
"2013-10-31",53.6,53.9,53.33,53.77,328731
"2013-11-07",53.85,53.87,52.66,52.77,487662
"2013-11-14",53.86,54.51,53.84,54.27,448097
"2013-11-21",54.37,54.96,54.26,54.79,354106
"2013-12-05",54.39,54.49,53.83,53.84,606510
"2013-12-12",54.56,55.04,54.45,54.97,591734
"2013-12-19",56.43,56.65,56.02,56.48,722281
"2013-12-26",59.35,59.59,59.21,59.41,420709
"2014-01-02",59.25,59.37,58.68,59.06,580415
"2014-01-09",60.93,60.93,58.84,59.37,600293
"2014-01-16",59.14,59.56,59.09,59.31,378953
"2014-01-23",59.1,59.22,58.12,58.45,656672
"2014-01-30",57.37,57.8,56.99,57.65,413384
"2014-02-06",56.34,56.82,55.97,56.47,346995
"2014-02-13",58.26,58.98,58.13,58.85,326086
"2014-02-20",59.07,59.53,58.45,59.3,681633
"2014-02-27",60.25,60.34,59.7,60.33,403152
"2014-03-06",60.73,61.08,60.49,60.96,441909
"2014-03-13",60.44,60.55,59.42,59.62,598395
"2014-03-20",61.69,62,59.79,60.59,981632
"2014-03-27",58.86,59.05,58.47,58.71,458067
"2014-04-03",59.77,59.99,58.85,59.09,648996
"2014-04-10",58.3,58.46,56.73,56.76,662212
"2014-04-17",56.98,57.77,56.89,57.63,485073
"2014-04-24",58.01,58.5,57.79,58.07,574439
"2014-05-01",59.16,59.28,58.25,58.74,561692
"2014-05-08",59.57,60.15,59.51,59.55,555461
"2014-05-15",60.04,60.27,59.59,60.17,437424
"2014-05-22",61.04,61.71,60.97,61.54,501538
"2014-05-29",62.01,62.26,61.81,62.1,409065
"2014-06-05",62.42,62.78,62.11,62.75,428233
"2014-06-12",63.12,63.34,62.81,63.04,304566
"2014-06-19",63.41,63.87,63.2,63.86,345850
"2014-06-26",63.1,63.33,62.51,62.65,280025
"2014-07-03",63.97,64.44,63.82,64.37,165368
"2014-07-10",62.77,63.28,62.22,63.16,238488
"2014-07-17",64.16,64.44,63.36,63.45,624166
"2014-07-24",64.33,64.49,64.01,64.11,218672
"2014-07-31",63.07,63.07,62.49,62.6,391672
"2014-08-07",63.2,63.54,62.86,63.11,370333
"2014-08-14",65.46,65.71,65.4,65.5,356281
"2014-08-21",65.96,66.04,65.72,65.91,556863
"2014-08-28",65.54,66.11,65.42,65.88,217981
"2014-09-04",66.66,66.85,66.38,66.56,615151
"2014-09-11",66.04,66.53,65.82,66.45,242589
"2014-09-18",66.99,67.32,66.83,67.22,308624
"2014-09-25",66.69,66.85,65.81,65.99,332321
"2014-10-02",68.53,68.63,67.43,68.29,676755
"2014-10-09",71.01,71.28,69.28,69.46,626404
"2014-10-16",67.47,68.67,66.75,68.43,788208
"2014-10-23",71.01,71.37,70.74,71.04,1509697
"2014-10-30",71.47,72.86,71.17,72.69,502075
"2014-11-06",70.56,71.14,70.31,71.09,615775
"2014-11-13",71.42,72.06,70.82,71.16,480953
"2014-11-20",71.51,72.23,71.26,71.93,423057
"2014-12-04",72.91,73.43,72.57,72.82,414441
"2014-12-11",71.83,73.64,71.67,72.8,487960
"2014-12-18",73.83,74.66,73.1,74.49,1576267
"2015-01-08",77.46,78.03,77,77.73,882063
"2015-01-15",77.81,78.26,77.31,77.66,1270953
"2015-01-22",79.68,79.94,78.88,79.83,1752382
"2015-01-29",78.18,80.04,78.01,79.88,775016
"2015-02-05",80.41,80.81,80.28,80.5,417158
"2015-02-12",81.17,82.22,80.8,82.21,528991
"2015-02-19",81.88,82.2,81.68,81.99,363848
"2015-02-26",83.49,84.18,83.49,84.01,484248
"2015-03-05",83.75,83.75,82.77,82.94,378573
"2015-03-12",82.08,82.91,81.78,82.86,657997
"2015-03-19",87.95,88.23,82.56,83.96,1563880
"2015-03-26",81.33,81.79,80.76,81.13,698434
"2015-04-02",81.78,82.82,81.78,82.69,529067
"2015-04-09",82.14,82.52,81.24,81.64,476795
"2015-04-16",82.09,82.3,81.55,82.13,526073
"2015-04-23",81.71,82.51,81.71,82.31,523818
"2015-04-30",80.32,80.78,79.51,79.95,953633
"2015-05-07",80.72,81.35,80.42,81.12,426959
"2015-05-14",84.61,85.18,84.2,85.12,544152
"2015-05-21",86.24,86.56,86.07,86.24,442067
"2015-05-28",86.24,86.38,86.03,86.28,393401
"2015-06-04",86.15,86.44,85.23,85.33,567659
"2015-06-11",86.71,86.77,86.35,86.44,428960
"2015-06-18",85.95,86.73,85.95,86.47,409739
"2015-06-25",86.98,86.98,85.75,85.84,585567
"2015-07-02",85.67,85.76,84.69,85.21,383924
"2015-07-09",84.71,84.93,84,84.16,411267
"2015-07-16",86.67,87.29,86.37,86.78,913971
"2015-07-23",86.86,86.99,85.57,85.74,483724
"2015-07-30",84.72,85.49,84.27,85.26,262519
"2015-08-06",87.71,87.71,86.89,87.22,471513
"2015-08-13",87.95,88.63,87.48,88.09,497630
"2015-08-20",87.04,87.71,86.6,86.6,563659
"2015-08-27",84.53,85.78,84.31,85.5,695632
"2015-09-03",85.07,85.63,84.8,85.09,493136
"2015-09-10",84.92,85.68,84.92,85.21,622183
"2015-09-17",86.49,87.64,86.19,86.64,740940
"2015-09-24",85.88,86.92,85.03,86.15,749177
"2015-10-01",86.16,86.28,84.77,85.49,719549
"2015-10-08",87.35,89.48,86.66,89.27,782445
"2015-10-15",91.43,93.12,91.43,93.09,817571
"2015-10-22",91.99,92.73,91.54,92.37,506007
"2015-10-29",92.98,93.54,92.07,92.34,565049
"2015-11-05",91.48,92.35,90.59,90.81,671694
"2015-11-12",91.31,91.62,90.14,90.18,396670
"2015-11-19",91.47,92.44,90.75,90.76,945669
"2015-12-03",92.05,92.24,89.76,90.16,576717
"2015-12-10",91.35,91.94,90.88,91.54,339462
"2015-12-17",91.47,92,90.05,90.52,511026
"2015-12-24",91.2,91.91,90.96,91.54,211268
"2015-12-31",92.05,92.39,91.04,91.05,315048
"2016-01-07",86.82,87.74,86.21,86.88,841695
"2016-01-14",85.37,86.15,84.7,85.54,516401
"2016-01-21",82.63,83.37,80,80.33,1488953
"2016-01-28",83.4,83.75,82.75,83.14,817258
"2016-02-04",84.85,85.39,84.49,85.17,683719
"2016-02-11",82,82.9,80.27,82.12,360425
"2016-02-18",83.86,84.09,81.91,83.08,524866
"2016-02-25",84.56,84.78,83.7,84.78,474690
"2016-03-03",85.98,86.8,85.43,86.72,375630
"2016-03-10",87.75,88.5,87.05,87.74,451343
"2016-03-17",89.95,90.33,89.41,90.01,777037
"2016-03-24",86.25,87.95,85.94,87.52,1154690
"2016-03-31",89.33,90,89.05,89.81,694764
"2016-04-07",88.51,89,88.15,88.93,982660
"2016-04-14",90.41,90.78,90.04,90.26,612950
"2016-04-21",90,90,89.08,89.16,565939
"2016-04-28",89.73,90.42,89.12,89.28,1263021
"2016-05-05",90.18,90.39,89.85,89.94,476016
"2016-05-12",91.73,91.94,91.24,91.69,455904
"2016-05-19",90.95,91.72,90.64,91.42,572569
"2016-05-26",93.87,94.53,93.8,93.95,572354
"2016-06-02",94.78,95.49,94.46,95.47,662242
"2016-06-09",95.14,95.57,94.64,95.54,530909
"2016-06-16",93.95,94.68,93.03,94.58,350219
"2016-06-23",95.13,95.69,94.92,95.69,336867
"2016-06-30",95.91,98.15,95.57,98.13,817511
"2016-07-07",99.34,99.7,98.4,98.76,455131
"2016-07-14",98.06,98.16,97.49,97.91,469290
"2016-07-21",106.97,108.02,106.83,107.3,1258233
"2016-07-28",107.93,108.5,107.11,108.18,521654
"2016-08-04",106.36,107.77,106.29,106.56,495312
"2016-08-11",107.9,107.93,106.41,107.51,645188
"2016-08-18",115.98,115.98,113.14,113.89,673617
"2016-08-25",114.42,116.67,114.42,116.04,790088
"2016-09-01",118,118,117.09,117.7,476174
"2016-09-08",117.82,117.87,117.13,117.19,489769
"2016-09-15",112.99,114.57,112.54,114.09,683835
