"","CTAS.Open","CTAS.High","CTAS.Low","CTAS.Close","CTAS.Volume"
"2011-09-15",31.55,31.63,31.03,31.59,975276
"2011-09-22",28.73,29.25,28.3,28.77,1561224
"2011-09-29",28.93,29.1,28.36,28.88,1164470
"2011-10-06",27.96,28.51,27.76,28.5,1006477
"2011-10-13",29.22,29.34,28.81,29.23,632705
"2011-10-20",28.99,29.3,28.71,29.01,905810
"2011-10-27",30.34,30.84,29.89,30.56,1238537
"2011-11-03",29.33,29.91,28.95,29.65,3747772
"2011-11-10",29.04,29.04,28.56,28.75,1070944
"2011-11-17",29.16,29.27,28.9,29.16,1902888
"2011-12-01",30.34,30.67,30.21,30.22,885248
"2011-12-08",29.68,29.84,29.31,29.37,1563242
"2011-12-15",30.38,30.7,30.2,30.52,1178630
"2011-12-22",34.25,35.28,34.25,35.02,1895538
"2011-12-29",34.71,35.26,34.69,35.21,807478
"2012-01-05",36.07,36.57,35.86,36.51,1237630
"2012-01-12",37.73,37.84,37.32,37.42,1127571
"2012-01-19",37.95,38.06,37.84,37.92,641756
"2012-01-26",37.59,37.74,37.4,37.56,841923
"2012-02-02",37.72,37.89,37.32,37.33,818767
"2012-02-09",38.11,38.29,37.76,38.01,449575
"2012-02-16",37.94,38.54,37.84,38.53,599693
"2012-02-23",38.49,38.75,38.28,38.56,398637
"2012-03-01",38.66,39.06,38.55,38.8,555039
"2012-03-08",38.84,39.42,38.74,39.26,1164005
"2012-03-15",39.65,40.03,39.28,39.97,672147
"2012-03-22",38.85,39.61,38.72,39.6,893063
"2012-03-29",39.1,39.17,38.67,39.03,1042620
"2012-04-05",38.73,39.07,38.72,38.96,452899
"2012-04-12",38.39,38.79,38.31,38.68,443683
"2012-04-19",39.31,39.59,39.06,39.22,732608
"2012-04-26",38.85,39.25,38.72,39.15,917297
"2012-05-03",39.39,39.66,39.31,39.34,459642
"2012-05-10",38.6,38.93,38.2,38.55,817965
"2012-05-17",37.06,37.54,36.7,36.8,1093222
"2012-05-24",37.88,37.91,37.44,37.72,336000
"2012-05-31",37.07,37.09,36.4,36.9,912945
"2012-06-07",36.44,36.78,36.06,36.14,1004918
"2012-06-14",36.51,36.87,36.42,36.68,598999
"2012-06-21",37.42,37.46,36.55,36.65,344422
"2012-06-28",36.83,37.45,36.59,37.4,646111
"2012-07-05",39.31,39.75,39.19,39.53,385958
"2012-07-12",39.18,39.22,38.48,38.99,637141
"2012-07-19",38.07,38.18,37.87,38.04,841754
"2012-07-26",38.03,38.59,37.97,38.52,853204
"2012-08-02",39.49,40,39.16,39.92,821663
"2012-08-09",40.75,40.91,40.56,40.74,251715
