"","APH.Open","APH.High","APH.Low","APH.Close","APH.Volume"
"2011-09-15",90.94,91.2,89.3,90.24,498062
"2011-09-22",82.18,84.94,80.04,84.06,1502506
"2011-09-29",86.86,87.46,84.16,86.4,670432
"2011-10-06",83.58,85.34,83.12,85.14,660493
"2011-10-13",85.8,86.9,84.96,86.46,960616
"2011-10-20",83.32,84.73,82.04,84.38,1026833
"2011-10-27",97.94,101.02,97.34,98.58,1125362
"2011-11-03",96.14,96.6,93.98,96.42,580448
"2011-11-10",92.26,92.7,90.2,90.74,624396
"2011-11-17",93.68,93.86,90.66,91.34,788838
"2011-12-01",90.56,91.66,90.02,90.48,862788
"2011-12-08",90,90.72,87.7,87.88,502072
"2011-12-15",84.76,85.02,83.08,83.32,819377
"2011-12-22",88.56,90.62,88.2,90.02,655834
"2011-12-29",90.86,91.86,90.4,91.68,252068
"2012-01-05",91,92.66,90,92.42,655794
"2012-01-12",96.04,96.7,94.74,96.42,397798
"2012-01-19",106.74,110.98,106.5,109.78,998396
"2012-01-26",110.14,110.72,108.68,109.42,633052
"2012-02-02",109.62,109.88,108.48,108.48,531012
"2012-02-09",109.52,110.76,109.32,110.6,327174
"2012-02-16",109.6,112.96,109.4,112.7,484654
"2012-02-23",112.16,112.36,110.62,112.18,228882
"2012-03-01",112.28,113.54,111.82,112.9,262780
"2012-03-08",112.84,113.24,112.05,112.7,191001
"2012-03-15",114.76,115.54,114.1,115.46,169080
"2012-03-22",112.92,113.7,112,113.7,177720
"2012-03-29",116.26,118.34,115.76,118.1,419783
"2012-04-05",118.72,119.1,118.32,118.66,238309
"2012-04-12",115.68,118.62,115.42,118.22,429428
"2012-04-19",116.78,117.74,114.2,115.26,529134
"2012-04-26",114.56,117.12,114.24,116.98,433992
"2012-05-03",115.74,115.74,113.28,113.4,291538
"2012-05-10",110.62,110.74,108.16,108.44,388894
"2012-05-17",105.5,105.7,103.66,104.52,526740
"2012-05-24",107.06,107.66,105.6,106.52,441862
"2012-05-31",106.5,107,104.78,106.38,420482
"2012-06-07",109.66,110.48,108.74,109.1,374970
"2012-06-14",109.84,110,108.21,108.82,417776
"2012-06-21",113.66,113.74,109.16,109.6,354620
"2012-06-28",106.44,107.06,104.98,106.46,343233
"2012-07-05",110.2,110.88,109.76,110.26,387428
"2012-07-12",102.86,103.5,101.78,102.94,399798
"2012-07-19",117.54,120,116.72,118.02,870323
"2012-07-26",119,120.24,118.28,119.86,397855
"2012-08-02",115.96,117.94,115,116.12,336415
"2012-08-09",121.96,122.9,121.54,121.74,266782
"2012-08-16",123.78,125.38,123,124.66,314380
"2012-08-23",121.66,122.86,121.28,121.9,168450
"2012-08-30",120.86,121.24,119.76,120.64,252060
"2012-09-06",121.56,123.8,121.43,123.5,459106
"2012-09-13",122.38,125.12,122.38,124.86,452196
"2012-09-20",124.16,124.66,122.88,123.78,207382
"2012-09-27",118.3,118.8,117.28,118.56,555000
"2012-10-04",116.92,116.92,115.34,115.9,410767
"2012-10-11",117.66,117.72,116.54,117,302724
"2012-10-18",123.6,123.98,122.4,123.54,601757
"2012-10-25",120.58,121.24,119.86,120.2,360040
"2012-11-01",120.12,122.48,120.12,122.1,340002
"2012-11-08",121.86,122.04,119.78,120.7,571987
"2012-11-15",118.44,119.08,116.63,117.44,335126
"2012-11-29",123.36,124.12,121.4,124,195886
"2012-12-06",121.94,122.32,120.62,122.22,156140
"2012-12-13",125.5,126.3,124.46,125.22,220200
"2012-12-20",129.96,130.38,128.56,130.02,274386
"2012-12-27",129,129.48,127.7,129.2,206609
"2013-01-03",135,135.76,133.86,134.42,472044
"2013-01-10",135.72,136,134.46,135.7,224996
"2013-01-17",136.1,137.86,133.78,135.66,539049
