"","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume"
"2013-06-06",76.69,77.88,76.38,77.85,1844933
"2013-06-13",78.15,78.58,77.69,78.07,2498307
"2013-06-20",76.98,77.63,76.13,76.23,2246839
"2013-06-27",78.34,79.01,78.03,78.67,1848646
"2013-07-11",81.33,82.72,81.22,82.45,2794739
"2013-07-18",83.25,84.15,83.09,83.72,1554757
"2013-07-25",85.4,85.92,84.63,85.8,1607374
"2013-08-01",85.8,86.98,85.76,86.81,1530232
"2013-08-08",87.38,87.8,86.86,87.02,998488
"2013-08-15",84.44,84.78,83.72,83.81,1171889
"2013-08-22",84,84.69,83.87,84.5,1022215
"2013-08-29",82.69,83.77,82.46,83.58,1011305
"2013-09-05",84.84,85.05,84.33,84.99,838542
"2013-09-12",87.02,87.12,86.39,86.63,931380
"2013-09-19",89.38,89.94,88.9,89.65,1279756
"2013-09-26",87.68,88.46,87.57,88.25,823330
"2013-10-03",87.46,87.46,85.19,85.98,1472714
"2013-10-10",85.03,87.41,84.95,87.41,1765814
"2013-10-17",87.47,88.5,87.18,88.38,801363
"2013-10-24",86.2,87.15,85.79,87.12,2036463
"2013-10-31",86.62,86.92,86.13,86.63,1446793
"2013-11-07",87.71,87.99,86.74,86.8,1351536
"2013-11-14",87.5,87.94,87.21,87.94,2238784
"2013-11-21",90,91.16,89.83,91.1,1796863
"2013-12-05",89.28,90.26,89.1,89.23,881955
"2013-12-12",89.47,90.1,89.41,89.89,1141144
"2013-12-19",92.95,93.13,92.05,92.66,1365587
"2013-12-26",93.95,94.94,93.95,94.84,786751
"2014-01-02",94.85,95.53,94.54,94.75,1816353
"2014-01-09",95.02,95.97,94.99,95.23,1848516
"2014-01-16",95.45,95.83,95.18,95.4,777296
"2014-01-23",99.96,101.8,99.93,101.55,14470573
"2014-01-30",99.14,100.71,99.11,100.49,2364157
"2014-02-06",100.15,101.59,99.62,101.22,3383166
"2014-02-13",103.04,104.01,102.9,103.73,1629458
"2014-02-20",105.65,108,105.53,107.75,2377040
"2014-02-27",107.98,109.04,107.41,108.98,1894134
"2014-03-06",110.81,112.13,110.72,111.45,2589722
"2014-03-13",109.58,110.32,107.3,107.99,3006221
"2014-03-20",107.95,108.38,106.87,107.25,2057306
"2014-03-27",106.2,107.22,105.5,106.37,1897224
"2014-04-03",110.96,111.32,110.2,110.89,1199134
"2014-04-10",108.27,108.7,105.65,105.71,1453706
"2014-04-17",108.43,109.49,107.61,109.06,1556750
"2014-04-24",111.8,111.99,109.92,110.42,2016700
"2014-05-01",109.51,110.79,109.18,109.77,1880537
"2014-05-08",111.97,112.56,111.43,111.93,2128802
"2014-05-15",114.56,114.83,113.09,113.22,2110112
"2014-05-22",114.7,115.24,114.31,114.98,1313216
"2014-05-29",117.53,118.19,116.83,117.97,1893325
"2014-06-05",118.75,120.91,118.67,120.89,1969166
"2014-06-12",119.77,120.07,118.12,118.46,1049291
"2014-06-19",119.66,120.17,118.98,120.04,1256802
"2014-06-26",117.29,117.37,116.16,116.98,909224
"2014-07-03",116.05,116.52,115.75,116.02,888863
"2014-07-10",114.07,116.12,114.04,115.53,1173156
"2014-07-17",117.06,117.55,116.05,116.1,796017
"2014-07-24",120.72,121.93,120.65,121.48,2182054
"2014-07-31",118.33,118.87,116.45,116.77,2168586
"2014-08-07",114.74,116.1,114.1,114.39,1566296
"2014-08-14",119.35,119.93,119.05,119.12,966032
"2014-08-21",123.47,124.25,123.13,123.68,1254735
"2014-08-28",123.7,123.79,122.94,123.39,1083858
"2014-09-04",124.95,126.22,124.51,124.7,1493048
"2014-09-11",127.09,127.2,126.34,126.62,1241800
"2014-09-18",128.6,129.43,128.56,129.28,1122598
"2014-09-25",126.87,127,124.7,125.01,1432398
"2014-10-02",123.08,123.65,120.56,121.8,5747446
"2014-10-09",123.19,123.36,120.96,121.5,2090885
"2014-10-16",115.99,118.64,115.63,117.85,2157130
"2014-10-23",128.59,131.44,128.47,130.34,2192537
"2014-10-30",135.56,139.02,134.67,138.29,2275015
"2014-11-06",142,142.57,141.36,141.56,1490880
"2014-11-13",140.98,143.5,140.89,142.71,1977426
"2014-11-20",142.76,143.93,141.97,143.75,1102985
"2014-12-04",145.32,145.32,144.1,144.88,1365611
"2014-12-11",141.76,143.35,141.67,142.4,1599711
"2014-12-18",138.72,140.25,138.72,139.82,3154527
"2015-01-08",136.13,138.57,135.96,138.46,3858422
"2015-01-15",138.16,138.48,136.74,137.71,1482226
"2015-01-22",139.42,141.56,138.46,141.21,1311172
"2015-01-29",136.32,136.84,133.04,134.48,3133151
"2015-02-05",138.56,139.2,138.02,138.69,1399690
"2015-02-12",137.27,138.55,137.06,138.15,860934
"2015-02-19",138.34,139.92,138.01,139.51,742822
"2015-02-26",140.2,140.64,139,139.43,1059622
"2015-03-05",136.21,137.28,135.74,136.43,1660498
"2015-03-12",132.54,134.07,132.54,133.67,1520060
"2015-03-19",135.56,136.27,135.02,135.28,1628547
"2015-03-26",132.99,135.05,132.28,134.53,1856225
"2015-04-02",134.09,135.18,133.62,133.73,815193
"2015-04-09",135.29,136.55,134.71,135.78,845215
"2015-04-16",132.29,133.85,131.47,133.15,1352484
"2015-04-23",133.02,133.35,132.27,132.8,1613799
"2015-04-30",137.91,139.16,136.79,137.32,2907986
"2015-05-07",137.5,138.39,137.06,138.3,1157451
"2015-05-14",140,141.12,139.9,140.94,875466
"2015-05-21",139.96,141.1,139.84,140.87,1248114
"2015-05-28",139.96,140.52,139.35,140.41,1134645
"2015-06-04",139.81,140.98,138.43,138.98,1590356
"2015-06-11",141.68,142.67,141.12,142.25,1425012
"2015-06-18",144.66,147.03,144.66,145.99,1717634
"2015-06-25",146,146,144.08,144.13,1140797
"2015-07-02",143.8,144.12,142.71,143.15,1098893
"2015-07-09",143.8,144.73,143.69,143.88,1790462
"2015-07-16",148,148.67,147.73,148.45,1316528
"2015-07-23",145.62,146.33,144.59,144.8,1467379
"2015-07-30",149.95,151.21,149.65,150.28,1603763
"2015-08-06",150.11,150.4,148.48,149.46,814098
"2015-08-13",150.13,151.08,149.54,150.54,851531
"2015-08-20",151.85,152.11,148.86,148.93,1292975
"2015-08-27",144.82,145.91,142.59,145.17,2052667
"2015-09-03",142.66,144.54,142.46,143.41,1348469
"2015-09-10",142.47,142.48,140.06,140.71,1587607
"2015-09-17",142.01,143.76,141.27,141.56,1200336
"2015-09-24",135.67,138.98,134.64,138.51,1974727
"2015-10-01",138,138.79,136.42,138.18,1224414
"2015-10-08",139.59,142.18,138.62,141.91,1102430
"2015-10-15",140.55,141.29,139.55,141.29,750148
"2015-10-22",144,147.68,143.89,147.25,1330177
"2015-10-29",150.47,150.93,147.5,149.97,1679112
"2015-11-05",147.21,147.68,145.54,147.07,1272617
"2015-11-12",143.01,143.01,141.62,141.85,1666620
"2015-11-19",144.83,145.92,144.28,145.2,1486617
"2015-12-03",145.44,145.72,141.58,141.96,2988723
"2015-12-10",140.2,141.04,139.51,140,1355348
"2015-12-17",139.57,140.08,138.01,138.16,1186677
"2015-12-24",139.73,140.19,139.49,139.84,358100
"2015-12-31",138.5,138.74,136.62,137.36,786531
"2016-01-07",133.69,133.97,130.42,130.8,2096197
"2016-01-14",129.13,130.15,127.36,129.04,1713320
"2016-01-21",124.38,125.61,123.69,124.32,1568315
"2016-01-28",128.85,130.04,127.36,128.65,2504541
"2016-02-04",133.76,136.09,133.14,135.35,2300602
"2016-02-11",130.59,131.17,125.74,128.58,2570086
"2016-02-18",134.62,136.27,134.2,135.05,1359083
"2016-02-25",135.52,137.35,135.31,137.24,1091439
"2016-03-03",135.74,136.53,134.67,135.74,2012552
"2016-03-10",132.8,134.26,131.94,133.57,2234647
"2016-03-17",134.26,134.47,133.52,134.12,1617006
"2016-03-24",132.4,132.4,127.74,129.08,3344161
"2016-03-31",131.57,131.82,130.42,131.37,1425946
"2016-04-07",131.28,133,130.84,131.39,1416835
"2016-04-14",134.12,134.44,132.9,133.57,1159867
"2016-04-21",136.86,138.77,136.7,137.72,1493144
"2016-04-28",142.21,143.45,140.67,141.16,1779685
"2016-05-05",141.66,142.6,141.01,142.2,1429049
"2016-05-12",144.74,145.98,144.29,145.31,1281266
"2016-05-19",143.46,143.96,142.31,143.59,1216680
"2016-05-26",142.95,143.28,142.47,142.83,951435
"2016-06-02",140.92,141.47,139.99,140.13,2087041
"2016-06-09",141.19,142.13,141,141.98,1347258
"2016-06-16",139.54,140.65,138.43,139.76,946185
"2016-06-23",140.15,140.15,138.87,139.78,1017859
"2016-06-30",135.82,139.54,135.81,139.24,2677003
"2016-07-07",139.69,140.9,138.36,138.69,1439291
"2016-07-14",142.81,143.2,142.05,142.56,1111889
"2016-07-21",144.61,144.62,142.18,142.86,986884
"2016-07-28",146.5,147.49,145.05,147.1,2150502
"2016-08-04",147.96,148.38,146.82,147.37,1398653
"2016-08-11",151.38,151.76,150.55,151.3,2155838
"2016-08-18",152.91,153.2,151.77,152.43,1514050
"2016-08-25",152.29,153.01,151.81,152.68,907970
"2016-09-01",152.63,153.15,151.58,152.84,597631
"2016-09-08",152.87,152.87,151.35,152.4,1002523
"2016-09-15",150.15,152.24,149.85,152.16,1224128
