"","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume"
"2011-09-15",60.23,61.44,60.21,61.22,2426680
"2011-09-22",56.08,56.2,55.27,55.87,3433919
"2011-09-29",58.38,59.24,57.09,58.18,1766613
"2011-10-06",57.85,58.97,57.57,58.95,1507008
"2011-10-13",61.9,62.05,60.91,61.81,1325553
"2011-10-20",62.63,63.46,61.81,63.15,1996846
"2011-10-27",65.56,66.17,64.32,65.43,2695105
"2011-11-03",62.47,63.97,62.47,63.63,2589122
"2011-11-10",63.9,63.97,62.94,63.38,1822482
"2011-11-17",64.83,64.83,62.89,63.42,1714755
"2011-12-01",66.07,66.95,65.98,66.5,1428154
"2011-12-08",65.41,65.77,63.98,64.15,1694339
"2011-12-15",63.92,64.11,63.15,63.3,1576145
"2011-12-22",64.98,66.36,64.71,66.14,1186442
"2011-12-29",66.22,67.02,66.01,66.92,1091285
"2012-01-05",67.75,67.81,66.76,67.4,1677711
"2012-01-12",70.27,71.09,70.05,70.94,4528498
"2012-01-19",71.84,72.44,71.55,72.21,1267618
"2012-01-26",70.58,71.87,70.39,71.51,1764092
"2012-02-02",69.91,70,69.25,69.74,1374695
"2012-02-09",71.77,71.82,70.75,70.85,1561625
"2012-02-16",70.16,70.42,69.75,70.42,1254621
"2012-02-23",70.53,70.78,70.09,70.6,1052530
"2012-03-01",72.76,73.36,72.58,72.93,1606192
"2012-03-08",71.86,72.29,71.48,72.01,1197847
"2012-03-15",73.09,73.62,73,73.34,1514924
"2012-03-22",71.8,72.36,71.71,72.25,969212
"2012-03-29",73,73,71.88,72.65,1430615
"2012-04-05",72.32,72.47,71.74,71.8,1586756
"2012-04-12",69.57,70.03,69.18,69.66,1759791
"2012-04-19",69.83,69.86,68.73,68.93,1397009
"2012-04-26",66.79,67.51,66.44,67.05,2672497
"2012-05-03",68.5,68.59,67.98,68.15,2652123
"2012-05-10",66.75,67.06,66.39,66.54,1326644
"2012-05-17",65.26,65.41,63.7,63.72,1621462
"2012-05-24",64.12,64.62,62.77,63.34,2050945
"2012-05-31",63.82,64.54,63.28,64.01,1696093
"2012-06-07",64.12,64.85,63.54,63.69,2732333
"2012-06-14",63.55,64.28,63.37,64.01,1334263
"2012-06-21",65.03,65.11,63.2,63.25,1799794
"2012-06-28",62.84,63.25,62.22,63.16,1059951
"2012-07-05",66.22,66.59,65.9,66.24,1046462
"2012-07-12",63.5,63.95,62.99,63.52,976339
"2012-07-19",65.92,66.34,65.55,65.99,1577785
"2012-07-26",62.85,63.72,62.44,62.9,2331780
"2012-08-02",62.89,62.94,61.09,61.99,2104309
"2012-08-09",63.67,63.82,62.98,63.43,1599386
"2012-08-16",64.19,65.71,64.19,65.36,1713223
"2012-08-23",66.01,66.24,65.41,65.61,1569021
"2012-08-30",65.45,65.69,64.78,65.32,1165300
"2012-09-06",65.3,66.73,65.1,66.72,1593846
"2012-09-13",65.68,66.31,65.02,66.12,2511916
"2012-09-20",66.14,66.38,65.85,66.28,1182005
"2012-09-27",66.77,66.89,66.11,66.46,1234041
"2012-10-04",66.74,67.27,66.66,66.82,940730
"2012-10-11",65.57,66.04,65.53,65.59,901959
"2012-10-18",67.51,68.73,67.27,68.58,1486745
"2012-10-25",68.23,68.56,66.96,67.61,1544485
"2012-11-01",68.29,69.74,68.02,69.42,2201087
"2012-11-08",66.45,66.58,64.14,64.33,3382867
"2012-11-15",62.1,62.55,61.84,62.14,1705499
"2012-11-29",66,66.61,65.5,66.53,1946845
"2012-12-06",66.8,66.85,65.87,66.7,1530914
"2012-12-13",68.9,68.99,67.9,68,1861364
"2012-12-20",69.61,70.28,69.17,70.28,1810903
"2012-12-27",69.14,69.47,68.21,69.02,1063677
"2013-01-03",71.12,71.75,70.59,71.49,1740863
"2013-01-10",71.03,71.65,70.92,71.65,1176685
"2013-01-17",70.09,71.2,69.61,71.02,2186906
"2013-01-24",71.36,71.45,70.03,70.64,4237608
"2013-01-31",68.22,68.37,66.12,66.3,5448711
"2013-02-07",66.29,67.12,65.98,66.77,3747168
"2013-02-14",65.81,66.75,65.63,66.22,2642256
"2013-02-21",66.6,66.75,66.04,66.49,1910216
"2013-02-28",68.45,69.04,67.96,67.97,2338538
"2013-03-07",67.9,68.32,67.57,67.74,1930326
"2013-03-14",70.13,70.38,69.6,69.65,1581215
"2013-03-21",69.37,69.69,68.86,68.89,1544236
"2013-03-28",70.29,70.8,70.18,70.51,2505914
"2013-04-04",68.49,68.72,67.19,67.69,2333559
"2013-04-11",69.7,71.38,69.6,71.33,2784509
"2013-04-18",66.5,66.66,65.37,65.99,3396288
"2013-04-25",71.56,73.96,71.12,73.53,4412818
"2013-05-02",73.84,74.47,73.69,74.46,1293407
"2013-05-09",75.44,75.87,75.02,75.25,1202031
"2013-05-16",76.55,77.05,76.04,76.14,2057087
"2013-05-23",76.44,77.27,76.16,76.94,1368280
"2013-05-30",77.79,78.76,77.77,78.35,1167530
