"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume"
"2011-09-15",53.83,54.03,53.34,53.65,2825418
"2011-09-22",51.05,51.77,50.31,50.97,6403726
"2011-09-29",53.43,53.5,48.38,49.54,11955494
"2011-10-06",48.19,49.51,48.14,49.33,7187922
"2011-10-13",50.77,52.98,50.7,52.61,6641471
"2011-10-20",51.73,52.46,51.24,52.16,3815823
"2011-10-27",54.32,54.89,53.73,54.39,3538852
"2011-11-03",53.63,54.12,53.01,54.04,3105549
"2011-11-10",55.26,55.26,54.29,54.74,3298296
"2011-11-17",54.25,54.69,53.12,53.77,2728844
"2011-12-01",56.1,56.53,55.88,56.29,3397336
"2011-12-08",57.84,58.95,57.39,57.49,4624328
"2011-12-15",57.83,58.06,57.16,57.5,3061239
"2011-12-22",58.44,58.53,58.16,58.39,2490188
"2011-12-29",59.12,59.79,59.11,59.58,1734124
"2012-01-05",58.88,59.5,58.4,59.42,3637355
"2012-01-12",61.07,61.55,60.68,60.86,3446776
"2012-01-19",62.7,62.98,62.17,62.47,3601525
"2012-01-26",62.89,63,62.18,62.48,2028058
"2012-02-02",63.98,64.24,63.48,63.78,3470590
"2012-02-09",64.54,65.07,64.45,64.91,6423740
"2012-02-16",63.67,64.87,63.62,64.73,3006890
"2012-02-23",65.84,65.93,65.22,65.83,2996242
"2012-03-01",66.23,66.65,65.99,66.22,2551249
"2012-03-08",65.97,67.25,65.82,66.99,3565803
"2012-03-15",69.03,69.03,68.04,68.62,2003696
"2012-03-22",69.78,71.12,69.78,70.72,3522802
"2012-03-29",70,70.41,69.71,70.29,1986268
"2012-04-05",69.99,70.72,69.77,70.68,2296876
"2012-04-12",70.25,70.98,69.87,70.87,2302651
"2012-04-19",71.44,72.74,70.98,71.41,7941536
"2012-04-26",72.79,73.29,72.36,72.89,2805154
"2012-05-03",74,74.1,71.48,72,5728584
"2012-05-10",70.96,71.85,70.77,71.36,2770183
"2012-05-17",70.05,70.19,67.91,68.02,4319394
"2012-05-24",71.03,71.36,69.52,70.49,4340372
"2012-05-31",70.33,70.96,69.56,70.36,3198201
"2012-06-07",67.79,68.54,66.58,66.77,3384991
