"","AWK.Open","AWK.High","AWK.Low","AWK.Close","AWK.Volume"
"2011-09-15",29.95,30.02,29.45,29.77,995421
"2011-09-22",29.69,30.16,29.5,30.07,1702377
"2011-09-29",30.6,30.83,30.21,30.36,2065837
"2011-10-06",29.27,29.53,29.06,29.52,1557898
"2011-10-13",29.34,29.97,29.18,29.9,1387905
"2011-10-20",30.49,30.97,30.43,30.55,1197066
"2011-10-27",30.29,30.59,29.67,29.94,2103466
"2011-11-03",30.42,31.03,30.19,31,978337
"2011-11-10",31.04,31.25,30.81,31.19,915597
"2011-11-17",30.43,30.61,30.13,30.36,978059
"2011-12-01",31.13,31.62,31.03,31.4,795296
"2011-12-08",30.93,31.37,30.86,30.98,1115148
"2011-12-15",30.44,31.13,30.34,30.92,925869
"2011-12-22",31.89,31.89,31.53,31.83,1047432
"2011-12-29",31.89,32.24,31.89,32.18,880280
"2012-01-05",31.44,31.71,31.25,31.69,792317
"2012-01-12",31.8,31.97,31.5,31.95,818656
"2012-01-19",32.5,32.98,32.1,32.93,1150570
"2012-01-26",33.09,33.49,33.02,33.4,1582348
"2012-02-02",33.75,33.89,33.36,33.71,1265046
"2012-02-09",34.48,34.49,34.15,34.28,836170
"2012-02-16",33.65,34.15,33.63,34.1,643215
"2012-02-23",33.61,34.24,33.42,34.12,716087
"2012-03-01",34.43,34.45,33.93,34.19,1221892
"2012-03-08",34.01,34.05,33.68,33.86,802473
"2012-03-15",33.91,34.28,33.73,33.94,665871
"2012-03-22",33.39,33.52,33.11,33.49,855364
"2012-03-29",33.7,34.22,33.54,34.12,983557
"2012-04-05",33.86,34,33.69,33.81,749555
"2012-04-12",33.12,33.39,32.98,33.37,464973
"2012-04-19",33.34,33.54,33.18,33.32,538541
"2012-04-26",33.92,34.3,33.8,34.26,583825
"2012-05-03",34.44,34.77,34.1,34.1,995133
"2012-05-10",34.19,34.55,34.11,34.37,799750
"2012-05-17",33.63,33.71,33.26,33.27,531735
"2012-05-24",33.62,34.26,33.5,34.24,770194
"2012-05-31",34.11,34.4,33.92,34.21,586400
"2012-06-07",35,35,34.3,34.32,985284
"2012-06-14",33.91,34.13,33.85,33.98,734972
"2012-06-21",33.75,33.93,33.46,33.46,745311
"2012-06-28",33.61,34.04,33.53,34.03,553331
"2012-07-05",34.82,34.82,34.43,34.72,464925
"2012-07-12",34.75,35.08,34.7,34.92,458866
"2012-07-19",36,36,35.67,35.93,300441
"2012-07-26",35.9,36.11,35.5,35.92,652227
"2012-08-02",36.31,36.44,35.95,36.25,757662
