"","MLM.Open","MLM.High","MLM.Low","MLM.Close","MLM.Volume"
"2011-09-15",68.87,69.33,68.09,68.83,328049
"2011-09-22",61.42,62.56,60.8,62.25,866962
"2011-09-29",66.28,66.48,64.85,65.82,610334
"2011-10-06",65,67.36,64.04,67.23,391403
"2011-10-13",69.91,70.24,67.65,69.52,482757
"2011-10-20",69.37,69.93,68.22,69.74,434203
"2011-10-27",75,76.83,74.3,75.87,501652
"2011-11-03",72.46,74.95,71.29,74.49,401786
"2011-11-10",73.94,75.27,73.34,74.63,298932
"2011-11-17",74.85,76.86,74.62,75.11,326627
"2011-12-01",77.85,80.24,76.96,77.11,544768
"2011-12-08",74.26,74.84,71.5,72.2,690094
"2011-12-15",72.78,73.87,72.19,73.52,761899
"2011-12-22",77.1,77.72,75.51,75.79,388595
"2011-12-29",73.55,75.18,73.15,75,398164
"2012-01-05",75.71,77.52,74.05,75.89,404963
"2012-01-12",76.16,78.16,75.9,77.82,1038406
"2012-01-19",79.95,81.12,79.65,80.65,514694
"2012-01-26",81.95,82.41,80.54,81.41,320712
"2012-02-02",83.36,84.3,82.83,83.25,785075
"2012-02-09",86.7,88.36,86.46,88.29,826219
"2012-02-16",88.9,89.82,88.66,89.5,944971
"2012-02-23",86.76,88.35,86.4,87.87,493826
"2012-03-01",86.59,87.85,85.45,85.8,705363
"2012-03-08",85.11,86.77,84.77,86.39,282459
"2012-03-15",88.23,89.84,87.89,89.52,345268
"2012-03-22",87.7,88.01,86.23,87.18,443808
"2012-03-29",85.78,86.02,84.14,85.66,370797
"2012-04-05",84.6,85.66,84.6,85.09,264528
"2012-04-12",82.69,84.93,82.67,83.82,461797
"2012-04-19",82.41,82.73,81.5,81.89,635466
"2012-04-26",82.58,83.12,82.42,82.75,508348
"2012-05-03",82.22,82.22,80.38,81.08,481868
"2012-05-10",78.31,78.71,76.92,76.99,597894
"2012-05-17",68.81,69.55,66.43,66.55,2177568
"2012-05-24",68.74,69.16,67.94,69.12,365555
"2012-05-31",67.76,67.9,66.27,67.47,325155
"2012-06-07",67.49,68.37,66.58,66.65,254637
"2012-06-14",65.69,66.48,65.35,66.22,219078
"2012-06-21",69.76,70.3,68.24,68.46,395558
"2012-06-28",73.9,77.63,73.9,77.44,912620
"2012-07-05",80.19,80.43,78.16,79.03,393830
"2012-07-12",77.89,81.29,77.89,81.11,677799
"2012-07-19",83.3,83.79,82.9,83.66,340444
"2012-07-26",82.06,82.79,76.92,78.27,967840
"2012-08-02",74.41,74.41,71.93,73.33,568497
"2012-08-09",76.84,78.53,76.84,77.67,361993
"2012-08-16",77.81,78.81,76.45,78.08,362078
"2012-08-23",77.23,77.48,75.94,76.66,293762
"2012-08-30",76.13,76.27,74.41,74.78,458536
"2012-09-06",75.56,77.55,75.56,77.42,302799
"2012-09-13",85.98,88.51,85.51,88.13,709095
"2012-09-20",89.83,89.83,87.21,88.16,529511
"2012-09-27",83.35,85.84,83.25,85.15,876444
"2012-10-04",84.69,85.82,84.56,85.09,452430
"2012-10-11",84.11,84.2,82.55,82.68,231011
"2012-10-18",85.59,85.96,84.75,85.31,233569
"2012-10-25",83.01,83.16,81.95,82.39,187108
"2012-11-01",82,84.3,80.42,84.21,347459
"2012-11-08",86.64,87.26,85.92,86.26,371582
"2012-11-15",83.54,84.2,82.11,82.56,432388
"2012-11-29",87.44,92.27,87.37,90.79,1278663
"2012-12-06",89.77,90.9,89.58,90.49,221788
"2012-12-13",92.48,93.38,92.27,92.73,326039
"2012-12-20",95.28,95.93,94.93,95.59,562268
"2012-12-27",95.2,95.39,92.88,94.72,288667
