"","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume"
"2016-05-19",75.62,77.09,74.92,75.97,663978
"2016-05-26",79.02,79.1,78.06,78.74,619239
"2016-06-02",79.02,79.64,79,79.63,756524
"2016-06-09",79.1,79.78,78.98,79.69,431722
"2016-06-16",78.95,79.58,78.31,79.35,626658
"2016-06-23",81.19,81.98,79.89,81.82,647573
"2016-06-30",79.91,80.57,79.37,80.55,659907
"2016-07-07",82.18,83.18,81.38,81.89,780622
"2016-07-14",83.65,83.92,82.96,83.25,451822
"2016-07-21",83.68,84.12,82.31,82.72,553550
"2016-07-28",85.36,86.2,84.4,85.28,1102745
"2016-08-04",91.98,92.4,90.68,91.72,1130860
"2016-08-11",93.38,95.05,93.37,94.63,646754
"2016-08-18",92.49,95.23,92.49,94.71,1060312
"2016-08-25",92.4,92.71,90.57,92.02,1019934
"2016-09-01",93.2,93.92,92.4,93.76,643448
"2016-09-08",96.25,96.9,95.2,95.4,474439
"2016-09-15",92.95,93.59,92.04,92.93,928312
