"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume"
"2011-09-15",17.94,18.48,17.62,17.71,6081222
"2011-09-22",15.58,15.7,14.42,14.74,11073584
"2011-09-29",14.84,14.92,13.18,13.92,10516798
"2011-10-06",15.76,16.68,15.55,16.64,7978256
"2011-10-13",16.66,16.94,16.42,16.88,6341138
"2011-10-20",17.8,18.33,17.64,18.24,4675274
"2011-10-27",17.64,18.86,17.64,18.66,7726000
"2011-11-03",19.5,19.78,19.05,19.34,7803070
"2011-11-10",18.84,18.94,18,18.85,6920674
"2011-11-17",16.36,16.66,15.62,15.81,15641930
"2011-12-01",16.96,17.16,16.68,16.98,5997194
"2011-12-08",17.16,17.28,16.74,17.01,9874768
"2011-12-15",16.5,16.64,16.16,16.26,3495654
"2011-12-22",16.46,16.7,16.34,16.66,3692972
"2011-12-29",16.68,16.68,16.43,16.64,2126884
"2012-01-05",16.53,16.56,15.5,15.96,12391840
"2012-01-12",16.48,16.66,16.25,16.32,5585976
"2012-01-19",17.84,18.04,17.54,17.92,6295634
"2012-01-26",19.49,19.5,18.68,18.76,6187528
"2012-02-02",20.72,21.5,20.5,21.28,7455228
"2012-02-09",22.38,22.62,21.92,22.42,7107892
"2012-02-16",21.81,22.24,21.78,22.04,6863884
"2012-02-23",21.7,22.17,21.65,21.84,5967188
"2012-03-01",20.78,21.41,20.78,21.36,10728796
"2012-03-08",21.55,21.92,21.28,21.82,11870048
"2012-03-15",22.02,22.21,21.75,21.95,5544370
"2012-03-22",21.58,21.85,21.46,21.68,6899838
"2012-03-29",21.58,21.74,21.45,21.62,5024904
"2012-04-05",21.14,21.46,20.9,21.06,5284674
"2012-04-12",20.71,21.3,20.61,20.88,12313206
"2012-04-19",19.99,20.22,19.79,19.87,4941484
"2012-04-26",20,20.38,19.97,20.32,3327402
"2012-05-03",20.74,20.75,20.06,20.18,6793286
"2012-05-10",19.08,19.5,19,19.1,6077600
"2012-05-17",17.64,17.88,17.44,17.44,6667708
"2012-05-24",17.8,17.9,17.6,17.9,5162102
"2012-05-31",18.35,18.36,17.64,18.04,7846572
"2012-06-07",18.54,19.02,18.4,18.62,7936748
"2012-06-14",19.44,19.82,19.34,19.7,3944816
"2012-06-21",21.45,21.49,20.56,20.66,8412766
"2012-06-28",21.13,22.12,21.02,22.1,8631760
"2012-07-05",22.5,22.55,22.06,22.1,8391204
"2012-07-12",21.64,21.88,21.3,21.72,9386826
"2012-07-19",23.48,23.74,22.67,22.76,7954764
"2012-07-26",22.66,23.08,22.54,22.91,5176230
"2012-08-02",23.12,24.1,23.12,24,9223596
"2012-08-09",24.75,24.75,24.37,24.4,5698344
"2012-08-16",24.83,25.02,24.6,24.86,6093456
"2012-08-23",24.55,24.62,24.28,24.52,2757098
"2012-08-30",24.72,25.5,24.58,25.4,5626952
"2012-09-06",25.36,25.81,25.26,25.46,5434082
"2012-09-13",26.8,27.41,26.42,27.34,5895630
"2012-09-20",26.46,26.8,26.18,26.68,5248062
"2012-09-27",26.49,27.26,26.38,27.26,4347332
"2012-10-04",27.39,27.88,27.32,27.8,5613172
"2012-10-11",28.24,28.32,27.32,27.33,7214824
"2012-10-18",27.81,28,27.32,27.4,5600392
"2012-10-25",26.99,27.25,26.68,26.98,2833572
"2012-11-01",27.44,27.6,26.29,27.02,7262250
"2012-11-08",27.72,28.06,27.12,27.16,5078844
"2012-11-15",26.64,27.19,26.52,27.03,6307188
"2012-11-29",29.72,29.96,29.56,29.72,5281226
"2012-12-06",28.97,29.82,28.88,29.7,8582196
"2012-12-13",30.76,31.02,30.5,30.88,6203294
"2012-12-20",31.21,31.32,30.98,31.13,5217956
"2012-12-27",30.85,31.08,30.39,31.01,3663012
"2013-01-03",31.95,32,30.98,31.11,7296822
"2013-01-10",31.44,31.5,31.02,31.4,6480962
"2013-01-17",32.6,33.04,32.52,32.69,7049776
"2013-01-24",33.78,34.54,33.78,34.32,5068168
"2013-01-31",36.34,37.5,36.2,37.1,8100404
"2013-02-07",38.98,39.56,38.7,39.51,8834286
"2013-02-14",40.59,41.88,40.46,41.58,5921190
"2013-02-21",39.94,40.6,38.83,40.3,10590600
"2013-02-28",41.32,41.93,41.28,41.44,4813234
"2013-03-07",44.3,44.51,43.64,44.14,7404188
"2013-03-14",43.63,43.93,43.04,43.85,7342152
"2013-03-21",45.26,45.62,44.52,44.53,7650366
"2013-03-28",44.84,45.22,44.66,44.8,5276128
"2013-04-04",40.58,41.95,40.38,41.31,8338220
"2013-04-11",42.15,42.28,40.38,41.04,10707510
"2013-04-18",38.28,39,37.66,38.5,7908826
"2013-04-25",41.6,42.15,40.7,40.81,5400852
"2013-05-02",36.8,38.31,36.78,37.9,9519700
"2013-05-09",39.22,39.49,38.58,39.24,5669112
"2013-05-16",39.52,40.38,39.15,39.26,6028308
"2013-05-23",40.44,41.53,40.06,41.18,4425618
"2013-05-30",41.8,42.02,41.26,41.77,4177660
"2013-06-06",39.95,41.38,39.83,41.38,5384072
"2013-06-13",39.56,40.51,39.52,40.4,4457020
"2013-06-20",38.59,38.6,36.43,36.9,10556288
"2013-06-27",36.56,36.86,35.36,35.52,7349992
"2013-07-11",34.75,35.84,34.39,35.76,7578482
"2013-07-18",34.98,35.05,34,34.14,8348490
"2013-07-25",35.04,36.08,34.9,36.02,5070648
"2013-08-01",36.93,38.01,36.93,37.54,6840236
"2013-08-08",35.94,36.95,35.88,36.24,5427268
"2013-08-15",36.64,36.64,35.29,35.34,8018256
"2013-08-22",36.14,37.87,35.98,37.43,7023650
"2013-08-29",36.91,37.38,36.6,36.82,3831480
"2013-09-05",36.88,37.18,36.02,36.05,4892066
"2013-09-12",33.81,33.9,33.32,33.46,5362218
"2013-09-19",33.4,33.78,32.57,32.7,9785426
"2013-09-26",32.22,32.47,31.83,32.07,6170722
"2013-10-03",32.5,32.8,32.3,32.62,5098344
"2013-10-10",31.69,32.96,31.5,32.66,8428440
"2013-10-17",34.38,35.2,34.26,35.09,6378986
"2013-10-24",36,36,34.52,34.6,10607520
"2013-10-31",36.18,37.5,35.79,35.83,9672360
"2013-11-07",35.03,35.54,34.69,35.22,8184850
"2013-11-14",37.69,39.7,37.69,39.43,13853260
"2013-11-21",38.61,39.48,38.41,39.39,5360642
"2013-12-05",42.24,42.7,41.41,41.92,10253670
"2013-12-12",43,43.42,42.22,42.85,6871122
"2013-12-19",43.57,43.9,42.76,42.86,6993166
"2013-12-26",44.57,44.9,44.46,44.77,2618436
"2014-01-02",45.74,45.91,44.42,44.74,6070238
"2014-01-09",44.52,45.93,44.36,45.52,10665486
"2014-01-16",43.14,43.4,42.34,42.85,7891538
"2014-01-23",43.13,43.43,41.88,42.72,8390744
"2014-01-30",43.93,44.47,42.89,43.75,6661758
"2014-02-06",41.16,41.74,40.82,41.66,5265126
"2014-02-13",41.98,42.92,41.95,42.79,6113472
"2014-02-20",43.69,44.37,43.2,43.98,5420830
"2014-02-27",44,44,41.68,42.08,14379770
"2014-03-06",43.26,45,43.26,44.74,9340952
"2014-03-13",47.18,47.26,46.06,46.28,8558816
"2014-03-20",45.75,46.28,45.37,45.96,5188316
"2014-03-27",44.38,44.47,43.37,43.64,6879016
"2014-04-03",43.78,43.88,43.54,43.58,5124432
"2014-04-10",42.48,43.37,41.97,42.26,6598358
"2014-04-17",44.27,45.21,44.23,44.96,5594012
"2014-04-24",45.52,45.78,44.93,45.37,4380346
"2014-05-01",44.5,48.64,44.36,47.72,11084432
"2014-05-08",47.6,48.06,46.16,46.4,6225014
"2014-05-15",45.6,45.61,44.56,44.95,5937402
"2014-05-22",43.78,44.92,43.38,43.46,7462216
"2014-05-29",44.22,44.99,43.52,44.9,5173462
"2014-06-05",44.06,44.38,43.6,43.95,8724586
"2014-06-12",43.06,43.42,42.42,43.32,8324344
"2014-06-19",44.48,44.88,44.38,44.81,5882558
"2014-06-26",40.32,40.82,40.05,40.46,9658250
"2014-07-03",40,40.5,39.76,40.45,4323442
"2014-07-10",38.64,38.94,38.36,38.7,6558860
"2014-07-17",39.01,39.28,38.32,38.38,5252074
"2014-07-24",38.41,39.12,38.38,38.72,5539746
"2014-07-31",40.68,42.49,40.64,41.74,15821474
"2014-08-07",43.55,43.78,42.82,43.25,4041108
"2014-08-14",43.88,44.66,43.78,44.46,4561688
"2014-08-21",45.7,45.7,44.96,45.03,4776488
"2014-08-28",44.9,45.46,44.9,45.39,2681854
"2014-09-04",45.16,45.81,44.91,45.48,6382236
"2014-09-11",44.96,45.44,44.25,44.45,9604164
"2014-09-18",44.18,44.45,43.26,43.66,5820786
"2014-09-25",42.16,42.31,41.73,42.14,5787680
"2014-10-02",41.22,41.5,40.12,40.48,8026432
"2014-10-09",42.02,42.46,40.7,40.9,5595528
"2014-10-16",37.5,39.94,37.32,39.22,10641292
"2014-10-23",42.42,42.92,42.14,42.26,4831692
"2014-10-30",44.76,46.01,44.22,45.32,14001400
"2014-11-06",45.59,46.61,45.56,46.56,7233476
"2014-11-13",47.18,47.39,46.18,46.78,6880202
"2014-11-20",46.88,47.79,46.82,47.58,6156204
"2014-12-04",48.5,48.55,47.24,48.34,5121738
"2014-12-11",42.62,43.37,41.85,41.94,8591028
"2014-12-18",43.08,43.19,40.79,42.02,6876438
"2015-01-08",44.98,45.74,44.75,45.52,7000112
"2015-01-15",38.98,39.12,37.62,38.42,9460456
"2015-01-22",40.85,42.14,40.48,41.98,7920490
"2015-01-29",45.16,45.62,44.1,45,5209136
"2015-02-05",48.47,49.12,48.1,48.65,6988310
"2015-02-12",50.94,50.97,50.1,50.7,6356200
"2015-02-19",52.08,52.94,51.88,52.82,5253862
"2015-02-26",52.36,54.16,52.36,53.52,6895470
"2015-03-05",51.18,51.53,50.84,50.88,3759634
"2015-03-12",48.94,49.58,47.74,47.84,4567280
"2015-03-19",50.08,50.32,49.75,50.03,3165978
"2015-03-26",51.86,51.96,50.36,50.44,4386372
"2015-04-02",50.82,51.02,48.44,48.54,8616978
"2015-04-09",49.33,50.17,49.02,49.93,5467900
"2015-04-16",49,50.34,48.84,50,6300462
"2015-04-23",51.1,51.24,50.28,50.84,3613102
"2015-04-30",52.1,52.28,48.88,49.28,10060464
"2015-05-07",50.5,51.74,49.97,51.34,4755648
"2015-05-14",51.35,52.48,51.28,52.36,3743686
"2015-05-21",52.15,52.42,51.76,51.83,4210320
"2015-05-28",50.46,51.54,50.18,51.38,3653040
"2015-06-04",50.66,50.99,49.98,50.16,6044314
"2015-06-11",51.2,52.45,50.92,52.03,4141727
"2015-06-18",51.55,52.51,51.37,51.94,3742877
"2015-06-25",51.78,52.03,51.03,51.44,2813655
"2015-07-02",53.88,54.74,53.8,54.01,3549754
"2015-07-09",54.68,54.71,53.23,53.38,5963258
