"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume"
"2015-07-16",57.99,58.59,57.62,58.48,5929962
"2015-07-23",57.09,57.49,56.19,56.33,4170140
"2015-07-30",53.26,54.63,52.75,53.94,8238419
"2015-08-06",51.81,52.34,51.1,52.15,6241744
"2015-08-13",57.54,58.27,56.61,56.99,4881356
"2015-08-20",54.19,54.81,53.25,53.29,4826758
"2015-08-27",46.35,47.22,45.29,46.67,7696379
"2015-09-03",47.02,47.97,46.72,46.98,5416303
"2015-09-10",47.58,48.61,47.22,48.16,5287750
"2015-09-17",46.51,47.84,45.98,46.83,5159937
"2015-09-24",46.08,46.98,45.55,46.67,3567050
"2015-10-01",46.49,48,46.03,47.93,5222915
"2015-10-08",50.21,51.31,49.86,51.08,3546336
"2015-10-15",48.82,50.16,48.53,50.1,4283708
"2015-10-22",47.21,48.04,46.97,47.65,5508061
"2015-10-29",48.95,51.38,48.84,51.24,4940531
"2015-11-05",55.2,55.92,54.55,55.65,5823484
"2015-11-12",54.07,55.1,53.13,54.71,5797621
"2015-11-19",55.5,56.04,55.09,55.81,3532191
"2015-12-03",58.24,58.52,54.32,54.44,9487577
"2015-12-10",52.24,53.23,51.63,52.35,4236083
"2015-12-17",49.93,51.9,49.87,51.32,6733892
"2015-12-24",52.45,53.08,51.93,52.64,1372138
"2015-12-31",51.99,52.56,51.36,51.84,2567899
"2016-01-07",47.84,48.86,47.29,47.99,7563519
"2016-01-14",42.56,44.19,41.13,43.66,9005513
"2016-01-21",40.03,40.75,39.12,39.61,7594164
"2016-01-28",41.14,41.48,39.5,40.22,4811033
"2016-02-04",36.98,37.34,34.12,34.94,17625586
"2016-02-11",30.97,31.38,29.25,30.83,11180158
"2016-02-18",33.51,33.56,30.82,31.37,7933666
"2016-02-25",33.88,34.44,33.13,34.22,6300874
"2016-03-03",36.13,37.46,35.42,37.32,9905962
"2016-03-10",36.83,36.95,35.7,36.34,6047746
"2016-03-17",38.37,38.59,37.23,37.52,7813001
"2016-03-24",36.94,37.35,36.19,36.87,4944969
"2016-03-31",36.48,37.34,35.64,37.18,5148157
"2016-04-07",36.25,37.56,36.18,37.46,8216693
"2016-04-14",39.7,40.18,38.97,39.42,4263246
"2016-04-21",39.43,40.88,39.02,40.72,8715339
"2016-04-28",40.49,43.26,40.17,40.98,7915402
"2016-05-05",36.72,37.06,35.88,36.09,5097636
"2016-05-12",35.9,36.65,34.8,34.99,4563504
"2016-05-19",36.13,37.12,35.61,36.1,6805350
"2016-05-26",35.9,35.9,34.38,34.55,3697341
"2016-06-02",36.48,37.49,36.12,36.68,6626011
"2016-06-09",36.35,37.17,35.8,36.95,6032097
"2016-06-16",32.94,33.5,32.34,33.39,5010077
"2016-06-23",35.87,36.63,35.44,36.62,5518683
"2016-06-30",37.16,37.99,36.04,37.96,8066411
"2016-07-07",36.76,37.32,35.16,35.48,10001997
"2016-07-14",37.25,37.78,36.94,37.39,7515821
"2016-07-21",37.89,38.2,37.07,37.13,3817274
"2016-07-28",38.22,38.95,37.02,38.17,6364186
"2016-08-04",41.19,41.66,40.32,40.63,7258673
"2016-08-11",41.08,42.41,40.96,41.9,4496119
"2016-08-18",42.28,42.5,41.77,42.49,4337010
"2016-08-25",42.06,42.2,41.47,41.9,3486296
"2016-09-01",42.55,42.6,41.38,41.91,3870576
"2016-09-08",43.29,43.86,42.73,43.45,4807218
"2016-09-15",42.04,44.14,42.04,43.74,6679305
