"","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume"
"2015-05-13",145.41,146.53,145.1,145.62,2680190
"2015-05-14",146.88,148.25,146.65,147.96,3495827
"2015-05-15",148.05,148.3,146.34,146.88,3368855
"2015-05-18",146.88,147.24,146.3,146.71,2153190
"2015-05-19",147.18,147.77,146.73,147.05,2366375
"2015-05-20",147.14,147.34,146.1,146.42,2104019
"2015-05-21",146.56,147.71,146.1,147.35,2676437
"2015-05-22",147.26,147.27,144.8,144.81,3877994
"2015-05-26",144.34,144.43,142.16,142.8,3476752
"2015-05-27",143.42,143.75,142.58,143,2837146
"2015-05-28",142.51,145.29,141.58,142.33,3103154
"2015-05-29",142.26,142.26,140.32,140.52,6199220
"2015-06-01",141.45,142.05,140.27,141.25,3897020
"2015-06-02",141.44,144.46,140.63,143.25,4986500
"2015-06-03",143.78,145.06,142.89,143.81,3755788
"2015-06-04",143.22,143.23,140.95,141.19,3239507
"2015-06-05",141.04,141.37,140.05,140.73,3215636
"2015-06-08",140.24,141.35,140.2,140.64,2756645
"2015-06-09",140.5,140.99,139.9,140.1,2647571
"2015-06-10",140.68,142.6,140.29,141.62,2784396
"2015-06-11",142.01,143.98,141.75,142.96,2924468
"2015-06-12",142.62,142.86,141.09,142.8,2395238
"2015-06-15",142.04,142.59,141.28,142.29,2631428
"2015-06-16",141.42,143.58,141.42,142.34,2450557
"2015-06-17",142.87,144,141.9,143.43,2775397
"2015-06-18",143.91,146.53,143.91,145.38,3728900
"2015-06-19",145.19,146.1,144.95,145.13,4837280
"2015-06-22",146.07,146.21,145.09,145.7,2086105
"2015-06-23",146.33,146.45,143.8,144.43,2864424
"2015-06-24",143.76,144.8,142.51,143,3989088
"2015-06-25",143.27,143.76,142.34,142.45,2153754
"2015-06-26",143.03,143.04,141.89,142.48,3153251
"2015-06-29",140.96,141.32,138.58,138.73,3755500
"2015-06-30",140.06,140.06,138.44,138.72,3434761
"2015-07-01",140.48,141.14,140.02,140.73,3260868
"2015-07-02",141.29,141.52,139.88,140.21,2116516
"2015-07-06",139.02,140.73,139,140.52,2093398
"2015-07-07",140.8,143.44,140.14,143.15,3712024
"2015-07-08",142.5,143.15,141.52,141.92,3386472
"2015-07-09",143.89,144.2,142.73,142.8,2486829
"2015-07-10",144.14,145.19,143.87,144.48,2192062
"2015-07-13",145.96,146.75,145.6,146.62,2194245
"2015-07-14",146.76,148.3,146.44,147.75,3388765
"2015-07-15",147.75,147.75,146.48,146.89,2653911
"2015-07-16",147.79,148.8,147.77,148.49,2509591
"2015-07-17",147.25,147.44,146.02,146.84,3127129
"2015-07-20",147.11,147.2,145.91,146.72,3016807
"2015-07-21",146.59,146.59,144.22,145,4452562
"2015-07-22",148.9,149.18,145.11,146.47,6238400
