"","CSRA.Open","CSRA.High","CSRA.Low","CSRA.Close","CSRA.Volume"
"2015-11-19",33.19,33.19,32.5,32.5,454126
"2015-12-03",30.8,30.8,27.51,29.4,8547528
"2015-12-10",27.77,28.78,27.6,28.54,4056922
"2015-12-17",27.42,27.84,26.37,26.67,2308991
"2015-12-24",26.79,28.43,26.68,28.02,723854
"2015-12-31",29.62,30.34,29.61,30,945329
"2016-01-07",27.66,28.11,27.34,27.47,2598434
"2016-01-14",28.98,29.3,28.62,29.15,1558292
"2016-01-21",28.07,28.25,26.65,26.8,1601155
"2016-01-28",26.08,26.48,25.6,25.89,1050363
"2016-02-04",26.19,26.65,25.74,25.84,1449344
"2016-02-11",25.21,25.38,23.74,24.76,3750651
"2016-02-18",25.65,25.94,24.95,25.84,923268
"2016-02-25",26.1,26.56,25.36,26.54,988450
"2016-03-03",25.77,26.26,25.59,26.12,926077
"2016-03-10",25.21,25.5,24.58,24.66,751406
"2016-03-17",24.72,25.27,24.66,24.8,1290271
"2016-03-24",24.03,24.74,23.89,24.36,1073966
"2016-03-31",27.14,27.44,26.52,26.9,1640305
"2016-04-07",26.3,26.34,25.7,25.75,1294968
"2016-04-14",26.47,26.98,26.16,26.94,1446063
"2016-04-21",26.4,26.84,26.4,26.6,605948
"2016-04-28",26.51,26.94,26.29,26.59,804366
"2016-05-05",25.49,25.53,24.97,25.16,1113711
"2016-05-12",25.04,25.06,23.78,24.23,1740873
"2016-05-19",24.3,24.72,24.24,24.58,724667
"2016-05-26",25.9,25.9,24.06,24.17,3353833
"2016-06-02",25.16,25.68,25.08,25.67,915906
"2016-06-09",24.5,24.56,23.71,23.8,3352023
"2016-06-16",23.07,23.2,22.86,23.04,917980
"2016-06-23",24.64,24.76,24.34,24.61,1805588
"2016-06-30",22.7,23.44,22.57,23.43,1164692
"2016-07-07",23.62,23.84,23.17,23.77,1182017
"2016-07-14",25.2,25.35,24.77,24.89,749573
"2016-07-21",25.03,25.32,24.98,25.13,1360070
"2016-07-28",26.92,27.09,26.62,27.01,1056753
"2016-08-04",26.06,26.21,25.82,25.85,1565137
"2016-08-11",27,27.49,26.35,26.5,2239735
"2016-08-18",25.15,25.26,24.96,25.21,1174960
"2016-08-25",25.59,25.97,25.57,25.8,847870
"2016-09-01",25.58,26.53,25.56,26.09,997940
"2016-09-08",26.51,26.8,26.41,26.77,1080249
"2016-09-15",26.33,26.37,25.85,25.91,980672
