"","HCN.Open","HCN.High","HCN.Low","HCN.Close","HCN.Volume"
"2016-05-05",74.06,74.6,73,73.73,3108413
"2016-05-12",71.38,72.51,70.81,72.09,2018823
"2016-05-19",68.56,68.96,68.22,68.4,3537683
"2016-05-26",68.67,69.13,68.43,68.93,1376040
"2016-06-02",68.87,69.47,68.64,69.47,1756165
"2016-06-09",71.59,72.38,71.34,72.15,2036341
"2016-06-16",73.26,73.92,72.74,73.87,1816824
"2016-06-23",73,73.18,71.95,73.04,1461550
"2016-06-30",75.63,76.24,74.74,76.17,2499767
"2016-07-07",75.93,76.04,74.28,74.84,2300956
"2016-07-14",76.95,76.98,75.68,76.17,1531284
"2016-07-21",77.25,78.08,77.07,78.06,1082512
"2016-07-28",77.23,78.59,77.06,78.37,1713210
"2016-08-04",77.46,77.75,77.03,77.71,1467400
"2016-08-11",78.86,78.93,77.3,77.75,2105312
"2016-08-18",77,77.26,76.41,76.89,1240825
"2016-08-25",76.38,77.3,76.3,77,1446392
"2016-09-01",76.75,76.79,75.98,76.43,1263052
"2016-09-08",77.81,77.87,77.01,77.38,3189416
"2016-09-15",73.29,73.78,72.87,73.61,1635173
