"","TAP.Open","TAP.High","TAP.Low","TAP.Close","TAP.Volume"
"2013-01-17",43.77,44.24,43.48,44.21,1047106
"2013-01-24",44.93,45.67,44.93,45.47,1013011
"2013-01-31",45.48,45.57,44.86,45.18,2142700
"2013-02-07",44.08,44.37,44.08,44.31,725021
"2013-02-14",44.69,45.35,43.91,43.97,2011870
"2013-02-21",44.51,44.71,44.09,44.49,1480081
"2013-02-28",44.34,44.67,44.02,44.21,2784895
"2013-03-07",46.68,46.96,46.47,46.58,803823
"2013-03-14",48.84,48.84,48.25,48.37,1015978
"2013-03-21",48.75,48.84,48.46,48.56,864776
"2013-03-28",48.42,48.98,48.4,48.93,900339
"2013-04-04",50.81,51.48,50.8,51.02,1117088
"2013-04-11",50.92,51.6,50.92,51.46,848559
"2013-04-18",50.29,50.58,49.6,49.7,1065650
"2013-04-25",51.9,52.07,51.24,51.31,1189234
"2013-05-02",50.96,51.15,50.36,50.42,1193161
"2013-05-09",49.51,49.85,49.13,49.49,1808231
"2013-05-16",51.91,53.1,51.75,52.74,2655088
"2013-05-23",51.35,51.68,50.96,51.28,1377706
"2013-05-30",51.01,51.39,51,51.05,876671
"2013-06-06",49.88,50.05,48.98,49.53,1255422
"2013-06-13",49.56,49.94,49.18,49.84,1466642
"2013-06-20",48.72,48.87,47.52,47.62,2129063
"2013-06-27",48.79,49.15,48.48,48.56,1057067
"2013-07-11",50.9,51.94,50.79,51.9,1748088
"2013-07-18",50.75,51.36,50.7,51,1980117
"2013-07-25",49.43,49.89,48.93,49.83,2400803
"2013-08-01",50.57,50.96,50.41,50.91,1278105
"2013-08-08",52.79,53.53,52.61,53.42,1805613
"2013-08-15",51.58,51.66,50.61,50.75,1691100
"2013-08-22",49.86,50.12,49.72,49.84,937042
"2013-08-29",48.4,48.79,48.18,48.59,592038
"2013-09-05",49.12,49.46,49.03,49.19,957525
"2013-09-12",49.61,49.7,49.18,49.28,830533
"2013-09-19",51.79,52.15,51.37,51.49,819086
"2013-09-26",50.48,50.79,50.48,50.69,767917
"2013-10-03",49.99,50.15,49.43,49.74,894684
"2013-10-10",50.5,51.31,50.44,51.29,1082821
"2013-10-17",51.72,52.79,51.5,52.67,664517
"2013-10-24",53.65,53.67,53.05,53.34,913039
"2013-10-31",54.71,54.92,53.77,54,1051610
"2013-11-07",54.46,54.67,52.68,53,1918397
"2013-11-14",54.07,54.29,53.74,53.98,758889
"2013-11-21",53.42,53.49,52.78,53.04,684405
"2013-12-05",54.07,55.33,53.56,54.01,1952803
"2013-12-12",54.1,54.18,53.28,53.42,778479
"2013-12-19",55.32,55.4,54.62,54.97,689300
"2013-12-26",55.09,55.46,54.7,55.39,301533
"2014-01-02",55.95,56.05,54.85,55.22,1352710
"2014-01-09",55.4,55.45,55.09,55.3,700165
"2014-01-16",56.06,56.42,55.77,56.15,1072756
"2014-01-23",54.94,55.1,54.37,54.45,997245
"2014-01-30",53.73,53.99,53.46,53.81,771545
"2014-02-06",51.48,51.77,51.41,51.67,763220
"2014-02-13",52.68,54.68,52.68,54.53,1322431
"2014-02-20",56.1,56.42,55.66,56.13,1449020
"2014-02-27",56.7,57.07,56.61,56.91,761099
"2014-03-06",57.48,58.19,57.37,57.99,1184979
"2014-03-13",58.26,58.45,57.55,57.63,798799
"2014-03-20",57.66,58.18,57.47,58.16,383909
"2014-03-27",57.98,58.39,57.79,58.07,705304
"2014-04-03",59.67,59.75,59.21,59.72,1335209
"2014-04-10",58.56,59.31,58.01,58.03,1094975
"2014-04-17",58.37,58.7,57.98,58.31,869400
"2014-04-24",58.69,59.17,58.43,59.08,650558
"2014-05-01",60.06,60.48,59.61,60.48,904047
"2014-05-08",62.1,63.53,62.1,63.46,2117595
"2014-05-15",63.46,63.76,63.39,63.73,1277765
"2014-05-22",64.52,64.74,64.34,64.55,951864
"2014-05-29",64.44,65.36,64.38,65.34,2295742
"2014-06-05",65.87,65.87,65.38,65.65,855464
"2014-06-12",71.99,72.78,71.23,71.47,2521864
"2014-06-19",72.75,73.31,72.57,73.16,1600098
"2014-06-26",73.75,74.28,73.59,74.21,1057872
"2014-07-03",73.96,74.11,73.52,73.8,1143577
"2014-07-10",72.98,73.55,72.77,73.32,864713
"2014-07-17",72.27,72.51,71.29,71.39,943265
"2014-07-24",72.91,73.14,72.22,73.01,946435
"2014-07-31",68.87,68.91,67.47,67.53,1353346
"2014-08-07",71.49,71.5,69.54,69.7,1742328
"2014-08-14",73.3,74.92,72.84,74.9,1674749
"2014-08-21",74.81,74.91,74.44,74.49,1058449
"2014-08-28",73.53,73.81,73.32,73.62,610113
"2014-09-04",73.2,73.45,72.09,72.24,1116211
"2014-09-11",70.53,71.63,70.46,71.58,1506660
"2014-09-18",77.22,77.29,76.6,76.89,1367115
"2014-09-25",76.03,76.3,74.86,74.88,978716
"2014-10-02",72.35,72.81,71.72,72.37,1144260
"2014-10-09",74.93,75.14,73.55,73.6,1691001
"2014-10-16",66.47,68.35,66.17,68.02,3679912
"2014-10-23",71.37,71.81,70.66,71.34,1465574
"2014-10-30",72.61,73.6,72.55,72.92,1077656
"2014-11-06",74.23,77.11,73.92,77.05,2289771
"2014-11-13",75.85,76.66,75.36,76.05,1240753
"2014-11-20",74.63,75.63,74.4,75.06,939344
"2014-12-04",73.53,73.98,72.53,73.26,2163327
"2014-12-11",73.64,75.9,73.21,74.79,1467806
"2014-12-18",74.62,76.65,74.51,76.65,1445455
"2015-01-08",77.04,78.05,77.03,77.73,1813192
"2015-01-15",74.38,75.35,74.02,74.56,1679526
"2015-01-22",76.88,78.23,76.26,78.09,1067903
"2015-01-29",77.24,78.08,75.99,78.03,1353868
"2015-02-05",77.86,78.26,77.27,78.21,1509625
"2015-02-12",73,73.81,72.77,73.78,1444580
"2015-02-19",76.07,76.45,75.42,75.48,1421906
"2015-02-26",75.55,77.39,75.54,77.24,1256507
"2015-03-05",74.36,75.04,74.19,74.44,1354221
"2015-03-12",73.73,75.7,73.59,75.67,1268560
"2015-03-19",74.03,74.14,72.77,73.15,1158715
"2015-03-26",72.04,72.4,71.49,72.19,1204056
"2015-04-02",74.58,75.49,74.31,75.4,1200683
"2015-04-09",78.66,79.18,77.61,77.92,2607056
"2015-04-16",76.74,77.28,76.7,76.91,1584669
"2015-04-23",75.44,75.69,75.03,75.12,872232
"2015-04-30",74.05,74.48,73.33,73.51,991030
"2015-05-07",73.17,75.08,71.5,74.02,4366324
"2015-05-14",75.19,75.56,74.74,75.05,1872018
"2015-05-21",75.36,75.72,74.93,75.07,1159106
"2015-05-28",73.96,74.77,73.84,74.54,1755947
"2015-06-04",74.32,75.11,74.2,74.86,2078570
"2015-06-11",72.81,72.84,72.43,72.72,912279
"2015-06-18",73.41,74.12,73.01,73.72,1169407
"2015-06-25",72.53,72.8,72.08,72.17,1498290
"2015-07-02",70.04,70.37,69.51,70.06,1053940
"2015-07-09",71.17,71.71,70.66,71.19,1999085
"2015-07-16",72.2,72.38,71.92,72.18,784640
"2015-07-23",71.26,71.26,70.7,70.82,1164751
"2015-07-30",69.57,70.17,69.07,70.07,1197652
"2015-08-06",72.3,74.1,71.82,73.76,3842170
"2015-08-13",72.17,72.41,71.48,71.62,834333
"2015-08-20",72.77,72.84,71.98,71.99,1617297
"2015-08-27",67.03,68.05,66.14,67.1,1594948
"2015-09-03",66.87,67.93,66.72,66.96,1588942
"2015-09-10",68.49,69.75,68.05,69.26,1545465
"2015-09-17",82.8,83.75,81.7,82.6,6845343
"2015-09-24",82.24,82.65,80.8,81.11,3220467
"2015-10-01",83.02,83.82,82.56,83.24,2270687
"2015-10-08",81.98,82.68,80.13,82,3751736
"2015-10-15",86.41,87.95,86.03,87.76,3577022
"2015-10-22",88.04,88.77,87.8,88.07,1601662
"2015-10-29",87.97,88.49,87.13,87.49,1090612
"2015-11-05",87.28,88.48,86.12,87.82,1240809
"2015-11-12",91.86,94.63,91.45,92.12,4890646
"2015-11-19",94.41,94.41,93.13,93.88,2249187
"2015-12-03",92.7,93.19,91.41,91.96,2261710
"2015-12-10",93.6,94.18,93,93.39,1096639
"2015-12-17",94.17,95.13,93.26,93.72,1042925
"2015-12-24",94.05,94.41,93.76,93.98,454798
"2015-12-31",94.2,94.64,93.85,93.92,758752
"2016-01-07",89.92,91.52,89.8,90.35,2491306
"2016-01-14",87.65,88.49,84.74,86.74,4253764
"2016-01-21",87.46,87.63,86.04,86.57,2463308
"2016-01-28",88.14,89.56,87.8,88.45,2710794
"2016-02-04",89.96,89.96,86.89,87.63,3070528
"2016-02-11",82.77,84.2,80.78,83.63,2986921
"2016-02-18",86,86.1,84.66,84.73,2149315
"2016-02-25",85.8,86.65,85.19,86.63,1068376
"2016-03-03",86.4,88.54,86.12,88.54,1813652
"2016-03-10",90.78,91.92,90.33,91.81,1685642
"2016-03-17",93.37,94.61,93.37,94.43,1163711
"2016-03-24",94.63,95.32,94.56,95.31,1228664
"2016-03-31",95.9,96.94,95.6,96.18,1529606
"2016-04-07",92.91,93.25,91.88,92.3,1399389
"2016-04-14",92.84,96.41,92.46,95.73,2900578
"2016-04-21",96.34,96.6,95.12,95.52,1218770
"2016-04-28",95.02,95.97,94.94,95.67,1170593
"2016-05-05",98.39,98.71,97.89,98.47,1024317
"2016-05-12",100.1,100.1,98.88,99.73,901573
"2016-05-19",96.71,97.57,96,97.49,859348
"2016-05-26",99.32,100.11,98.76,99.36,712280
"2016-06-02",101.82,101.97,100.94,101.94,902472
"2016-06-09",102.85,103.64,102.48,103.38,1438662
"2016-06-16",99.82,100.94,99.42,100.84,996675
"2016-06-23",102.35,102.71,101.66,101.95,773844
"2016-06-30",99.2,102.31,98.56,101.13,2938321
"2016-07-07",101.09,101.51,99.62,99.85,1153211
"2016-07-14",101.34,101.72,98.6,98.76,2854091
"2016-07-21",100.37,100.77,99.6,100.13,1637296
"2016-07-28",93.32,98.72,93.32,97.75,8862536
"2016-08-04",100.01,100.77,99.51,99.9,1320880
"2016-08-11",99.94,100.08,99.43,99.57,1116286
"2016-08-18",99.29,99.52,98.44,99,1500935
"2016-08-25",100.65,101.39,100.35,101.01,1313268
"2016-09-01",102.09,102.68,101.54,102.47,1189948
"2016-09-08",105.89,106,104.23,104.32,2108013
"2016-09-15",102.06,104.31,102.06,103.66,2183649
