"","TAP.Open","TAP.High","TAP.Low","TAP.Close","TAP.Volume"
"2011-09-15",42.54,42.92,42.21,42.79,955034
"2011-09-22",39.79,39.92,38.72,39.31,2177348
"2011-09-29",39.63,40.3,39.47,40.3,1452262
"2011-10-06",39.94,41.22,39.94,41.17,1389164
"2011-10-13",41.71,41.95,41.03,41.78,969804
"2011-10-20",41.11,41.49,40.36,40.88,1651114
"2011-10-27",42.78,42.78,41.88,42.37,1945614
"2011-11-03",39.34,39.52,38.9,39.15,1878429
"2011-11-10",39.96,40.09,39.3,40.04,1040387
"2011-11-17",39.72,39.79,39.17,39.48,1208637
"2011-12-01",40.51,40.64,40.02,40.25,1328960
"2011-12-08",41.23,41.26,40.74,41.01,1228182
"2011-12-15",41.16,42.02,41.13,41.95,2011256
"2011-12-22",43.5,43.6,43.15,43.5,714036
"2011-12-29",43.54,43.83,43.5,43.73,429754
"2012-01-05",43.09,43.43,42.38,43.4,1118513
"2012-01-12",44.95,45.06,44.69,44.7,1065246
"2012-01-19",43.77,43.8,43.5,43.54,1354400
"2012-01-26",43.15,43.44,42.87,43.17,881197
"2012-02-02",43.87,43.99,43.22,43.42,818014
"2012-02-09",43.72,43.94,43.56,43.9,797396
"2012-02-16",45.25,45.99,44.76,45.1,3114077
"2012-02-23",44.21,44.52,44.08,44.4,719859
"2012-03-01",43.58,43.9,43.4,43.72,1231934
"2012-03-08",42.44,42.73,42.29,42.66,1320319
"2012-03-15",42.97,43.01,42.8,42.87,783999
"2012-03-22",42.9,43.51,42.87,43.49,939071
"2012-03-29",44.87,45.17,44.82,44.99,2005999
"2012-04-05",41.56,41.62,40.8,41.27,3719219
"2012-04-12",40.76,40.89,40.7,40.82,2843523
"2012-04-19",41.26,41.46,41.14,41.26,1530729
"2012-04-26",41.28,41.71,41.16,41.65,867932
"2012-05-03",42.13,43.05,42.13,42.47,1571240
"2012-05-10",41.17,41.5,41.04,41.11,842817
"2012-05-17",40.04,40.19,39.84,39.99,1795489
"2012-05-24",39.26,39.53,39,39.51,1066990
"2012-05-31",38.96,39.01,38.42,38.45,1666826
"2012-06-07",39.05,39.18,38.69,38.74,1913513
"2012-06-14",38.85,39.52,38.78,39.38,830711
"2012-06-21",39.68,39.97,38.77,38.79,1092716
"2012-06-28",39.62,39.8,39.33,39.76,873040
"2012-07-05",41.47,41.63,41.22,41.4,632662
"2012-07-12",40.35,40.79,40.18,40.73,877277
"2012-07-19",41.5,41.55,41.23,41.37,550251
"2012-07-26",40.8,41.48,40.53,41.3,1702049
"2012-08-02",42.54,42.55,41.12,41.12,1222655
"2012-08-09",44.08,44.12,43.56,44.03,966537
"2012-08-16",43.75,44.28,43.73,44.27,1006654
"2012-08-23",44.03,44.23,44.03,44.13,1025751
"2012-08-30",44,44.01,43.36,43.99,1334162
"2012-09-06",45,45.74,44.97,45.73,1282875
"2012-09-13",45.34,46,45.16,46,1154040
"2012-09-20",45.69,45.83,45.58,45.65,970397
"2012-09-27",45.37,45.46,45.07,45.35,1078665
"2012-10-04",44.01,44.63,43.87,44.6,1783843
"2012-10-11",44.36,44.6,44.21,44.31,717893
"2012-10-18",45,45,44.18,44.6,2510625
"2012-10-25",43.8,44.11,43.54,43.8,549124
"2012-11-01",43.26,43.46,43.09,43.2,1185446
"2012-11-08",41.2,41.85,40.9,40.9,1235308
"2012-11-15",39.56,40.04,39.46,39.7,1218125
"2012-11-29",40.38,41.05,40.35,41.05,3010466
"2012-12-06",42.39,42.56,42.13,42.5,1431382
"2012-12-13",43.27,43.48,42.99,43.15,880573
"2012-12-20",43.6,43.65,43.3,43.51,743338
"2012-12-27",43.2,43.36,42.76,43.16,723033
"2013-01-03",43.43,43.43,42.72,42.94,2186314
"2013-01-10",42.34,42.5,42.09,42.34,908256
