"","SWK.Open","SWK.High","SWK.Low","SWK.Close","SWK.Volume"
"2011-09-15",57.49,57.63,56.35,57.02,1467288
"2011-09-22",49.12,49.81,47.7,47.83,3561414
"2011-09-29",52.44,52.81,50.5,51.64,2043570
"2011-10-06",53.59,55.28,52.86,55.23,1413288
"2011-10-13",57.61,57.87,55.91,56.99,962737
"2011-10-20",59.72,60.7,58.85,60.41,1803298
"2011-10-27",64.76,66.83,64.51,66.08,2525110
"2011-11-03",64.73,66.48,64.31,66.31,1725624
"2011-11-10",65.47,65.76,64.7,65.44,1648456
"2011-11-17",65.39,66.25,63.88,64.52,2635999
"2011-12-01",65.11,66.28,64.85,65.25,839366
"2011-12-08",65.62,65.79,63.78,63.98,1071630
"2011-12-15",63.66,64.07,62.56,62.99,1500206
"2011-12-22",67.85,68.25,67.68,67.94,1521678
"2011-12-29",66.52,68.43,66.52,68.33,1510619
"2012-01-05",69.98,70.96,68.69,70.78,1618772
"2012-01-12",72.08,72.73,71.5,72.61,877449
"2012-01-19",73.05,73.05,70.96,71.18,2107723
"2012-01-26",72.04,72.58,70.83,72.55,4207418
"2012-02-02",71.63,71.65,71.08,71.43,1166919
"2012-02-09",74.35,75.51,73.55,75.4,1475813
"2012-02-16",74.93,75.15,74.17,74.76,973870
"2012-02-23",74.3,75.41,74,75.35,1268551
"2012-03-01",76.99,77.47,76.36,76.79,1876290
"2012-03-08",76.31,76.71,75.95,76.27,1702336
"2012-03-15",80.72,81.59,80.5,81.34,1371457
"2012-03-22",78.29,78.5,76.86,77.85,1663677
"2012-03-29",77.58,77.97,76.71,77.86,1573774
"2012-04-05",77.03,77.91,76.83,77.67,1726152
"2012-04-12",76.12,77.88,75.94,77.65,1299989
"2012-04-19",73.96,76.24,71.42,72.91,11283268
"2012-04-26",72.88,74.4,72.78,74.04,1884707
"2012-05-03",74,74.16,72.74,73.29,1409801
"2012-05-10",71.95,72.26,70.81,70.9,1477414
"2012-05-17",68.11,68.13,65.23,65.37,2469540
"2012-05-24",70.56,70.69,67.52,68.85,2674267
"2012-05-31",66.58,66.94,65.45,66.25,2224520
"2012-06-07",65.29,65.69,63.51,63.71,3937736
"2012-06-14",62.82,63.17,61.61,62.02,2199166
"2012-06-21",63.11,63.38,61.43,61.48,1381526
"2012-06-28",61.27,62.12,60.85,62.02,1771387
"2012-07-05",63.2,63.73,62.81,63.43,981701
"2012-07-12",58.79,59.78,58.59,59.54,1753837
"2012-07-19",63.68,66.22,63.27,66.09,4867626
"2012-07-26",65.56,66.63,65.3,66.03,2193383
"2012-08-02",66.35,66.4,64.34,65.56,1907762
"2012-08-09",68.4,68.53,67.71,67.77,1292653
"2012-08-16",66.99,67.84,66.15,67.78,1330124
"2012-08-23",67.78,67.9,66.48,66.74,785939
"2012-08-30",66,66.44,65.52,65.67,1302471
"2012-09-06",68.35,71.64,68.29,71.38,2953950
"2012-09-13",72.45,73.88,71.54,73.53,1991064
"2012-09-20",75.88,76.58,74.76,76.33,1672032
"2012-09-27",75.23,76.53,74.26,76.05,1603356
"2012-10-04",75,75.4,74.55,74.72,1491279
"2012-10-11",72.7,72.95,71.64,71.73,897279
"2012-10-18",68.58,70.67,68.21,70.19,2497707
"2012-10-25",69.97,70.18,67.9,68.35,1906969
"2012-11-01",69.56,70.42,69.21,70.13,1562882
"2012-11-08",69.55,70.47,68.62,68.72,1400262
"2012-11-15",67.22,67.73,66.18,66.77,1262616
"2012-11-29",72.92,73.87,72.82,73.3,1431573
"2012-12-06",70.63,71.09,70.13,71.05,944492
"2012-12-13",73.01,73.07,71.78,71.99,1465204
"2012-12-20",73.9,74.42,73.46,74.4,767478
"2012-12-27",72.89,73.05,72.01,72.67,963499
"2013-01-03",75.46,75.46,73.88,74.05,1853518
"2013-01-10",75.39,75.83,74.96,75.83,1134976
"2013-01-17",76.38,77.75,76.32,77.28,1727212
"2013-01-24",77.93,78.08,75.6,77.22,3066495
"2013-01-31",76.81,77.59,76.67,76.83,1401083
"2013-02-07",77.5,77.5,76.18,76.3,1128065
"2013-02-14",77.17,78.23,76.94,77.81,1460324
"2013-02-21",76.92,77.46,75.73,76.08,1624287
"2013-02-28",78.03,79.04,77.8,78.7,1485566
"2013-03-07",78.19,78.83,77.96,78.12,804908
"2013-03-14",80.38,81.22,80.36,81.09,1260328
"2013-03-21",81.1,81.82,80.93,81.18,895848
"2013-03-28",79.76,81.05,79.3,80.97,5139994
"2013-04-04",79.1,79.51,78.07,78.39,1853850
"2013-04-11",79.17,80.14,78.96,79.75,1126985
"2013-04-18",76.42,76.98,75.64,75.91,1226918
"2013-04-25",76.71,77.12,75.01,75.93,3958353
"2013-05-02",74.72,75.26,74.54,75.19,891287
"2013-05-09",79.87,80.18,79.07,79.25,1080371
"2013-05-16",80.59,81.3,80.34,80.47,1341606
"2013-05-23",80.42,80.57,78.88,79.66,1712579
"2013-05-30",80.3,81.02,79.74,80.24,962633
"2013-06-06",77.45,78.6,77.03,78.43,867978
"2013-06-13",78.59,79.68,78.03,79.45,1021856
"2013-06-20",78.76,78.76,76.94,77.16,1034714
"2013-06-27",77.53,78.4,77.44,78.12,972965
"2013-07-11",81.23,81.75,80.91,81.53,885424
"2013-07-18",81.01,82.14,81.01,81.79,825319
"2013-07-25",81.94,82.75,81.26,82.51,1167858
"2013-08-01",85.22,87.13,84.99,86.98,1017409
"2013-08-08",85.05,86.38,85.05,85.58,814132
"2013-08-15",87,87.15,86.07,86.92,885586
"2013-08-22",86.66,87.89,86.66,87.63,569188
"2013-08-29",85,86.71,84.78,85.85,2709649
"2013-09-05",86.02,86.93,85.88,86.66,547863
"2013-09-12",89.59,89.8,88.9,89.24,827883
"2013-09-19",91.74,92.36,91.44,91.5,629567
"2013-09-26",89.99,90.72,89.76,90.51,613153
"2013-10-03",90.97,91.39,89.94,90.86,1117621
"2013-10-10",89.33,90.25,89.11,90.25,733131
"2013-10-17",76.12,76.6,74.13,74.37,6130301
"2013-10-24",76.74,77.83,76.21,77.75,1318373
"2013-10-31",78.38,79.29,77.49,79.09,1053069
"2013-11-07",80.59,82.66,80.51,81.05,3342373
"2013-11-14",82.35,82.56,81.85,81.96,1502084
"2013-11-21",81.24,82,81.14,81.42,1195152
"2013-12-05",79.36,80.11,79.29,79.77,1427205
"2013-12-12",80.28,81.03,79.36,80.55,2708718
"2013-12-19",80.54,81.11,80.45,80.73,1858916
"2013-12-26",80.93,81.14,80.55,81.04,1249222
"2014-01-02",80.57,80.79,79.68,80.18,715610
"2014-01-09",80.3,80.88,79.75,80.3,1642908
"2014-01-16",82.56,82.94,82.29,82.39,1806431
"2014-01-23",80.5,80.78,79.83,80.41,1931864
"2014-01-30",78.37,78.58,77.51,77.87,1105200
