"","PNW.Open","PNW.High","PNW.Low","PNW.Close","PNW.Volume"
"2011-09-15",43.54,43.8,43.29,43.64,627155
"2011-09-22",42.53,42.9,42.19,42.68,1032748
"2011-09-29",42.96,43.32,42.71,43.21,631298
"2011-10-06",42.29,43.14,42.29,43.13,571183
"2011-10-13",44.02,44.36,43.92,44.33,538001
"2011-10-20",45.28,45.71,45.17,45.5,2828553
"2011-10-27",46.66,47.36,46.29,46.39,1026115
"2011-11-03",46.01,46.74,45.88,46.6,1387215
"2011-11-10",46.02,46.3,45.62,45.95,899156
"2011-11-17",46.03,46.3,45.53,45.76,945076
"2011-12-01",47.42,47.73,47.1,47.1,1122465
"2011-12-08",46.19,46.2,45.42,45.49,1141612
"2011-12-15",45.7,46.45,45.7,46.31,1413196
"2011-12-22",48.01,48.05,47.75,47.88,699698
"2011-12-29",48.49,48.75,48.45,48.59,483276
"2012-01-05",47.44,47.76,47.2,47.54,835524
"2012-01-12",47.73,47.79,47.4,47.66,1974980
"2012-01-19",47.84,47.84,47.26,47.49,638535
"2012-01-26",48.32,48.86,48.1,48.53,790100
"2012-02-02",47.76,47.91,47.45,47.56,590983
"2012-02-09",48.05,48.17,47.76,47.96,379075
"2012-02-16",47.5,48.17,47.39,47.91,458977
"2012-02-23",47.34,47.65,47.23,47.48,603014
"2012-03-01",47.11,47.14,46.69,46.88,798829
"2012-03-08",47.02,47.19,46.77,47.12,390176
"2012-03-15",47.12,47.3,46.85,46.9,1139600
"2012-03-22",46.91,47.2,46.72,47.08,684156
"2012-03-29",47.29,47.69,47.03,47.63,613354
"2012-04-05",47.65,47.68,46.99,47.14,933618
"2012-04-12",46.1,46.41,45.96,46.34,550158
"2012-04-19",47.06,47.41,46.88,47.06,678995
"2012-04-26",48.36,48.56,48.12,48.41,611509
"2012-05-03",48,48.46,47.48,47.62,915361
"2012-05-10",48.31,49.27,48.2,48.97,1787273
"2012-05-17",48.38,48.52,48,48.11,974853
"2012-05-24",48.65,49.23,48.61,48.88,817777
"2012-05-31",48.91,49.59,48.86,49.38,1067738
"2012-06-07",51.28,51.3,50.67,50.85,722332
"2012-06-14",51.22,51.65,51.17,51.58,449594
"2012-06-21",51.44,51.73,50.69,50.81,826211
"2012-06-28",50.91,51.46,50.91,51.42,588305
"2012-07-05",52.03,52.31,52.01,52.01,574599
"2012-07-12",51.87,52.39,51.87,52.21,455905
"2012-07-19",53.36,53.67,53.02,53.3,1835295
"2012-07-26",53.17,53.6,52.95,53.47,586390
"2012-08-02",53,53.44,52.55,53.23,469370
"2012-08-09",53.45,53.49,53.03,53.35,504893
"2012-08-16",53.2,53.55,53.02,53.34,703801
"2012-08-23",52.26,52.35,51.47,51.49,490257
"2012-08-30",51.55,51.65,51.44,51.52,443701
"2012-09-06",52.2,52.8,52.15,52.56,444021
"2012-09-13",52.23,53.66,52.2,53.66,1181931
"2012-09-20",52.34,52.66,52.2,52.42,587474
"2012-09-27",53.48,53.55,52.63,52.64,529756
"2012-10-04",53.3,53.76,53.2,53.3,674641
"2012-10-11",53.2,53.24,52.81,52.84,414106
"2012-10-18",53.86,54.2,53.79,54.17,313328
"2012-10-25",53.03,53.1,52.46,53.08,410016
"2012-11-01",53.32,53.36,52.8,52.93,533361
"2012-11-08",50.3,50.91,50.11,50.11,540435
"2012-11-15",49.43,49.86,48.73,49.16,809807
"2012-11-29",50.55,50.83,50.37,50.83,451043
"2012-12-06",51.61,52,51.41,51.44,550217
"2012-12-13",51.21,51.33,50.62,50.75,408898
"2012-12-20",51.89,52.31,51.7,52.23,603102
"2012-12-27",51.34,51.47,50.51,51.03,385448
"2013-01-03",52.34,52.6,52.1,52.36,643174
"2013-01-10",52.15,52.28,51.97,52.18,448686
