"","MET.Open","MET.High","MET.Low","MET.Close","MET.Volume"
"2011-09-15",31.59,32.57,31.36,32.52,11995642
"2011-09-22",28.09,28.33,26.39,26.95,22318831
"2011-09-29",29.21,29.91,28.46,29.3,9981388
"2011-10-06",29.01,30.69,28.63,30.69,18052701
"2011-10-13",32.94,32.96,30.54,31.24,10202674
"2011-10-20",31.52,32.17,30.63,32.1,24390363
"2011-10-27",35.03,36.33,34.3,35.67,18107803
"2011-11-03",34.84,35.19,33.68,34.95,11731781
"2011-11-10",32.81,32.94,31.92,32.31,8314231
"2011-11-17",31.91,32,30.51,30.71,11917738
"2011-12-01",31.38,31.55,30.85,31.13,7702561
"2011-12-08",32.52,32.55,30.86,30.96,10654219
"2011-12-15",31.18,31.32,30.3,30.36,8408815
"2011-12-22",30.56,31.15,30.44,31.03,6485022
"2011-12-29",31.06,31.52,30.9,31.42,5724006
"2012-01-05",32.03,33.31,31.64,32.99,10342644
"2012-01-12",35.96,36.4,35.44,35.93,11181563
"2012-01-19",36.28,36.45,35.65,35.82,9458782
"2012-01-26",36.06,36.12,33.83,34.5,27605004
"2012-02-02",36.45,36.45,36.02,36.38,4517688
"2012-02-09",37.87,37.98,36.91,37.25,8904203
"2012-02-16",37.71,38.67,37.33,38.67,9568214
"2012-02-23",38.1,38.3,37.73,38.21,8476499
"2012-03-01",38.82,39.21,38.62,38.97,6567591
"2012-03-08",38.2,38.52,37.75,38.09,5560298
"2012-03-15",37.43,38.45,37.32,38.41,14170646
"2012-03-22",38.11,38.18,36.89,37.14,11742584
"2012-03-29",37.3,37.36,36.53,37.14,8768896
"2012-04-05",36.57,36.85,36.27,36.46,5798861
"2012-04-12",35.47,36.44,35.41,36.34,5462836
"2012-04-19",35.87,35.97,35,35.38,8433026
"2012-04-26",35.92,36.47,35.8,36.47,6417131
"2012-05-03",35.76,35.87,34.87,35.16,9436845
"2012-05-10",34.42,35.04,34.32,34.61,8098852
"2012-05-17",31.68,31.74,30.73,30.85,15592536
"2012-05-24",31.12,31.23,29.93,30.65,12949302
"2012-05-31",29.53,29.74,28.9,29.21,24674616
"2012-06-07",30.02,30.52,29.41,29.52,11474718
"2012-06-14",29.35,29.48,28.95,29.17,11588460
"2012-06-21",30.96,31.1,29.66,29.71,11076616
"2012-06-28",29.45,29.52,28.9,29.49,7444077
"2012-07-05",31.07,31.14,30.51,30.67,4920721
"2012-07-12",30.23,30.23,29.73,29.89,8199363
"2012-07-19",31,31.21,30.64,30.78,5739846
"2012-07-26",29.2,29.48,28.86,29.34,7336524
"2012-08-02",30.32,32.5,30.31,31.7,17559878
"2012-08-09",34.35,34.96,34.22,34.65,7267734
"2012-08-16",34.83,35.05,34.51,34.58,9365690
"2012-08-23",34.77,34.83,34.38,34.45,7966061
"2012-08-30",33.95,34.13,33.59,33.99,5742593
"2012-09-06",34.26,35.21,34.18,34.96,10030660
"2012-09-13",34.63,35.58,33.91,35.46,16609684
"2012-09-20",34.63,34.81,34.36,34.7,10609995
"2012-09-27",34.36,34.62,34.09,34.49,9598846
"2012-10-04",34.4,35.14,34.26,35.02,8160924
"2012-10-11",35.1,35.72,34.82,35.36,12078091
"2012-10-18",36.96,37.41,36.9,37.11,10618231
"2012-10-25",35.35,35.75,35.22,35.65,27622885
"2012-11-01",35.43,35.59,34.71,35.48,15108320
"2012-11-08",32.61,33.12,31.99,32,10011801
"2012-11-15",30.7,31.6,30.55,31.34,11703963
"2012-11-29",33.18,33.47,33.06,33.35,9253006
"2012-12-06",33,33.07,32.7,32.91,10586651
"2012-12-13",33.6,34.33,32.71,32.83,23948618
"2012-12-20",33.31,33.81,33.05,33.8,8825558
"2012-12-27",32.84,33.04,32.2,32.88,9337689
"2013-01-03",35.11,35.37,34.75,35.1,12745140
"2013-01-10",36.32,36.62,36.18,36.59,8144813
"2013-01-17",36.48,36.66,36.29,36.36,8536197
"2013-01-24",37.38,37.49,36.67,36.83,8053355
"2013-01-31",37.25,37.45,36.98,37.34,5751977
"2013-02-07",37.58,37.59,36.56,36.94,6386306
"2013-02-14",37.04,37.23,36.03,36.69,20884303
"2013-02-21",35.66,35.78,34.96,35.29,11605941
"2013-02-28",35.68,35.9,35.16,35.44,10185173
"2013-03-07",36.62,37.27,36.61,37.21,8146506
"2013-03-14",40.21,40.64,39.97,40.18,9763311
"2013-03-21",38.28,38.48,37.9,38.05,10757378
"2013-03-28",38.05,38.2,37.8,38.02,5599230
"2013-04-04",37.24,37.48,37,37.39,5795849
"2013-04-11",37.73,37.85,37.3,37.38,5992541
"2013-04-18",36.43,36.43,35.33,35.53,8527230
"2013-04-25",38.52,39.25,38.37,38.91,8551100
"2013-05-02",38.9,40.11,38.49,39.97,18050747
"2013-05-09",41.2,41.23,40.35,40.59,8274628
"2013-05-16",42.96,43.12,42.45,42.57,6680290
"2013-05-23",41.67,42.59,41.43,42.49,7614005
"2013-05-30",43.86,44.9,43.8,44.34,6454115
"2013-06-06",43,43.73,42.46,43.72,7745664
"2013-06-13",44.32,45.04,43.9,44.91,5526130
"2013-06-20",44.67,46.14,44.54,45.12,11044999
"2013-06-27",45.74,46.1,45.52,46.1,8263021
"2013-07-11",49.21,49.25,48.02,48.56,8085722
"2013-07-18",48.05,48.93,47.73,48.84,9011141
"2013-07-25",48.99,49,48.42,48.87,6303972
"2013-08-01",49.07,51.65,49.07,51.47,11860186
"2013-08-08",49.85,50.29,49.03,49.76,6413258
"2013-08-15",48.38,48.38,47.67,47.95,7344072
"2013-08-22",48.01,48.97,48.01,48.64,6188685
"2013-08-29",45.96,46.81,45.85,46.44,4201669
"2013-09-05",48.37,48.95,48.27,48.4,4380945
"2013-09-12",49.6,49.67,49.11,49.28,3967676
"2013-09-19",48.71,48.75,46.87,47.08,17206386
"2013-09-26",48.05,48.34,47.42,47.58,4783180
"2013-10-03",46.96,47.12,46.12,46.92,5973218
"2013-10-10",47.15,48.11,47.12,48.11,5394521
"2013-10-17",49.03,49.58,48.77,49.28,5937164
"2013-10-24",48.29,48.63,47.92,48.57,5439470
"2013-10-31",47.24,48.29,47,47.31,10198235
"2013-11-07",48.12,48.84,47.56,47.59,5628442
"2013-11-14",50.32,51.58,50.18,51.39,11158033
"2013-11-21",52.33,52.96,51.96,52.95,5645845
"2013-12-05",51.23,51.63,50.95,51.05,4788067
"2013-12-12",51.4,51.7,51.06,51.19,4814588
"2013-12-19",52.1,52.43,51.72,52.27,5296761
"2013-12-26",53.72,54.16,53.6,54.02,4160358
"2014-01-02",53.55,53.57,52.89,53.19,3879875
"2014-01-09",54.24,54.67,54.11,54.55,5320262
"2014-01-16",54.22,54.22,53.35,53.46,3905614
"2014-01-23",52.12,52.12,51.15,51.43,5816311
"2014-01-30",49.3,49.98,49.22,49.78,3928606
"2014-02-06",47.88,48.6,47.41,48.59,6688619
"2014-02-13",49.88,50.05,48.85,50.01,6625423
"2014-02-20",50.84,50.99,50.08,50.71,5504076
"2014-02-27",49.9,50.53,49.3,50.53,7669607
"2014-03-06",52.39,52.77,52.35,52.37,5482161
"2014-03-13",52.9,53.08,51.66,51.74,5467915
"2014-03-20",53.03,53.97,52.99,53.65,5553056
"2014-03-27",53.37,53.44,52.16,52.36,5926490
"2014-04-03",53.68,54.02,53.4,53.92,5558902
"2014-04-10",52.39,52.44,50.37,50.37,7333570
"2014-04-17",50.49,51.6,50.41,51.2,5332884
"2014-04-24",52.18,52.31,51.42,51.95,4874319
"2014-05-01",51.08,52.12,50.92,51.57,8656889
"2014-05-08",50.08,51.64,50.07,51.6,11101489
"2014-05-15",50.65,50.68,49.06,49.56,11541005
"2014-05-22",50.19,50.72,50.07,50.58,3660185
"2014-05-29",51.36,51.45,50.44,50.82,5079927
"2014-06-05",54.99,55.27,54.23,54.44,7808637
"2014-06-12",54.89,55.12,54.12,54.33,4967347
"2014-06-19",56.61,56.61,56.12,56.28,5830744
"2014-06-26",55.69,55.75,54.75,55.69,4594575
"2014-07-03",56.7,57.57,56.7,57.22,4582888
"2014-07-10",55.03,55.71,54.67,55.45,5032134
"2014-07-17",55.56,56.27,54.8,55.02,6459726
"2014-07-24",55.43,55.47,54.91,55.15,5947997
"2014-07-31",53.78,54.02,52.4,52.6,10021781
"2014-08-07",51.7,52.06,50.91,51.08,6285581
"2014-08-14",52.49,52.96,52.47,52.93,3835352
"2014-08-21",53.68,54.17,53.21,53.94,5895978
"2014-08-28",54.29,54.54,53.69,54.39,4260529
"2014-09-04",55.29,55.8,55.29,55.42,6381005
"2014-09-11",54.24,54.91,54.24,54.71,3585906
"2014-09-18",55.7,56.35,55.54,55.89,7194383
"2014-09-25",55.3,55.3,54.08,54.1,5293207
"2014-10-02",52.29,52.83,51.88,52.55,5246141
"2014-10-09",51.84,51.97,50.16,50.35,10141529
"2014-10-16",47.57,48.48,46.92,47.86,15766858
"2014-10-23",50.67,51.05,50.3,50.41,5628020
"2014-10-30",53.05,53.22,52.29,53.01,5243436
"2014-11-06",54.31,54.45,53.62,54.2,5920616
"2014-11-13",55.2,55.2,54.22,54.55,7365838
"2014-11-20",54.21,54.86,53.96,54.8,4765228
"2014-12-04",55.29,55.3,54.66,55.18,4241595
"2014-12-11",55.19,55.94,55.08,55.21,7484384
"2014-12-18",52.52,54.03,52.49,54.03,10064183
"2015-01-08",51.46,52.26,51.39,51.98,8078694
"2015-01-15",49.18,49.43,47.68,47.98,10387405
"2015-01-22",49.7,50.26,49.06,50.21,9011011
"2015-01-29",46.92,47.38,46.31,46.87,14915209
"2015-02-05",48.36,49.26,47.99,48.98,9262959
"2015-02-12",50.64,51.07,49.67,50.33,6869501
"2015-02-19",50.52,51.18,50.42,51.1,4564635
"2015-02-26",51.2,51.42,50.79,51.03,4237237
"2015-03-05",51.62,51.96,51.32,51.74,5823666
"2015-03-12",51.11,51.86,50.96,51.84,5150905
"2015-03-19",51.49,51.67,50.33,50.61,6719805
"2015-03-26",50.05,50.91,49.98,50.58,6244922
"2015-04-02",50.32,51.2,50.07,51.1,4989003
"2015-04-09",50.94,51.62,50.81,51.45,4665497
"2015-04-16",50.84,51.26,50.52,51,4838200
"2015-04-23",50.85,51.45,50.82,51.13,6269934
"2015-04-30",52.04,52.2,51.21,51.29,6747029
"2015-05-07",51.9,52.71,50.7,52.07,9756544
"2015-05-14",53.28,53.48,52.9,53.15,4602484
"2015-05-21",53.07,53.68,53,53.59,7065243
