"","OMC.Open","OMC.High","OMC.Low","OMC.Close","OMC.Volume"
"2011-09-15",40.09,40.34,39.44,39.77,2400317
"2011-09-22",36.29,36.83,35.27,36.02,5193100
"2011-09-29",38.93,39.03,36.99,37.72,3514057
"2011-10-06",38.59,39.1,37.72,39.07,2521982
"2011-10-13",41,41.36,40.56,41.21,1723671
"2011-10-20",42.39,42.46,41.44,42.19,2270805
"2011-10-27",44.72,45.65,44.25,45.33,2557268
"2011-11-03",43.82,44.5,43,44.42,2168819
"2011-11-10",43.46,43.87,42.98,43.56,1645924
"2011-11-17",42.57,42.65,41.5,41.87,2037468
"2011-12-01",43.26,44.11,43.12,43.8,1916744
"2011-12-08",44.34,44.61,43.42,43.49,2034180
"2011-12-15",42.27,42.7,41.92,42.01,1980607
"2011-12-22",42.74,43.63,42.7,43.42,1525452
"2011-12-29",43.46,44.32,43.39,44.27,1264967
"2012-01-05",44.46,44.46,43.95,44.15,1881011
"2012-01-12",45.28,45.9,44.91,45.87,1772383
"2012-01-19",47.31,47.96,47.08,47.69,1247810
"2012-01-26",46.78,47,46.45,46.74,1126842
"2012-02-02",46.72,46.78,46,46.17,936821
"2012-02-09",47.48,47.93,47.27,47.91,1901865
"2012-02-16",47.52,48.22,47.26,48.09,1827034
"2012-02-23",48.26,48.9,48.26,48.79,1420828
"2012-03-01",49.35,49.66,48.61,48.76,2064820
"2012-03-08",48.3,49.01,48.18,48.89,752095
"2012-03-15",49.22,49.89,49.03,49.83,2017518
"2012-03-22",49.46,50.37,49.44,50.16,1699673
"2012-03-29",50.11,50.31,49.75,50.27,1865119
"2012-04-05",49.03,49.6,48.85,49.4,1443898
"2012-04-12",48.42,49.67,48.31,49.49,2146089
"2012-04-19",48.97,49.84,48.8,49.39,1990282
"2012-04-26",50.31,51.1,50.01,51.06,2013911
"2012-05-03",51.91,52.19,51.67,52.05,1796547
"2012-05-10",50.9,51.08,50.3,50.52,1900505
"2012-05-17",50.46,50.57,49.6,49.6,2001037
"2012-05-24",49.92,50.34,49.64,50.1,1388070
"2012-05-31",48.54,48.62,47.45,47.68,2766968
