"","OMC.Open","OMC.High","OMC.Low","OMC.Close","OMC.Volume"
"2012-06-07",47.15,48.31,47.15,47.73,2769217
"2012-06-14",47.13,47.27,46.73,47.12,1922615
"2012-06-21",48.43,48.62,47.43,47.5,1987965
"2012-06-28",46.22,47,45.75,46.96,1329783
"2012-07-05",48.55,49.05,48.35,48.75,1604034
"2012-07-12",47.24,48.05,47.03,47.84,1835470
"2012-07-19",50.31,50.59,49.87,50.01,2153760
"2012-07-26",49.19,49.9,49.15,49.6,1924302
"2012-08-02",49.24,49.72,48.94,49.39,1367809
"2012-08-09",51.4,51.93,51.2,51.63,1165053
"2012-08-16",51.43,51.82,51.18,51.62,1180023
"2012-08-23",51.55,51.55,50.89,50.89,1316557
"2012-08-30",50.91,51.13,50.48,50.8,1114451
"2012-09-06",52,52.97,51.84,52.84,1625322
"2012-09-13",53.58,54.08,53.3,54,1550765
"2012-09-20",53.79,53.99,53.06,53.2,2292768
"2012-09-27",52.02,52.54,51.93,52.36,1566251
"2012-10-04",52.25,52.48,51.99,52.44,1034592
"2012-10-11",52.17,52.49,52,52.02,691557
"2012-10-18",49.85,50.12,49.59,49.65,1730695
"2012-10-25",48.38,48.53,47.97,48.22,1228997
"2012-11-01",47.86,49.53,47.85,49.17,2623327
"2012-11-08",48.17,48.22,46.92,46.95,3101045
"2012-11-15",46.05,46.38,45.11,45.62,3510295
"2012-11-29",48.7,49.33,48.58,49.15,1970266
"2012-12-06",49.79,49.86,49.49,49.64,1024871
"2012-12-13",49.35,49.77,49.18,49.24,1423366
"2012-12-20",50.65,50.89,50.16,50.78,1605861
"2012-12-27",49.16,49.61,48.84,49.41,2103169
"2013-01-03",51.49,52.25,51.33,51.63,1743318
"2013-01-10",51.74,52.05,51.62,52.05,1298494
"2013-01-17",53.08,53.4,52.96,53.18,1459281
"2013-01-24",54.03,54.31,53.68,53.81,1285861
"2013-01-31",54.2,54.57,54.07,54.28,1500520
"2013-02-07",54.22,54.28,53.76,54.25,1090674
"2013-02-14",56.58,57.37,56.38,57.35,1881168
"2013-02-21",56.69,57.05,55.59,56.44,2329898
"2013-02-28",57.51,57.85,57.28,57.53,1310184
"2013-03-07",57.91,58.06,57.76,57.96,792694
"2013-03-14",59.51,59.66,59.31,59.57,1338660
"2013-03-21",58.55,58.74,58.02,58.32,927247
"2013-03-28",58.73,59.15,58.36,58.9,3109818
"2013-04-04",59.18,59.35,58.84,59.19,808900
"2013-04-11",59.64,60.18,59.42,60.04,912314
"2013-04-18",59.13,59.54,57.73,58.01,2428800
"2013-04-25",59.95,60.79,59.73,60.34,1742543
"2013-05-02",59.41,59.87,59.36,59.76,1524291
"2013-05-09",62.13,62.61,62.11,62.45,1954837
"2013-05-16",63.46,63.78,62.89,62.99,950618
"2013-05-23",61.51,62.16,61.08,61.52,2787276
"2013-05-30",62.8,63.2,62.61,63.03,1771575
"2013-06-06",60.53,61,60.12,61,1448423
"2013-06-13",61.48,63.1,61.35,62.94,1471167
"2013-06-20",62.26,62.58,61.32,61.66,1347276
"2013-06-27",62.87,63.42,62.7,63.18,1069728
"2013-07-11",65.82,66.26,65.56,66.14,1568788
"2013-07-18",66.36,67.43,64.49,65.83,2571155
"2013-07-25",64.84,64.89,63.81,64.3,1569340
"2013-08-01",64.88,65.3,64.51,64.8,3762659
"2013-08-08",63.8,63.8,63.39,63.48,929367
"2013-08-15",61.79,61.88,60.23,60.69,3215787
"2013-08-22",61.74,62.1,61.43,62,1011365
"2013-08-29",60.59,61.14,60.49,60.9,947574
"2013-09-05",62.39,62.75,62.16,62.52,1485391
"2013-09-12",64.15,64.79,64.07,64.59,1098128
"2013-09-19",66.05,66.3,65.47,65.6,1486506
"2013-09-26",64.54,64.8,64.21,64.4,746116
"2013-10-03",63.35,63.44,62.98,63.1,1537193
"2013-10-10",62.17,63.41,62.04,63.4,1301523
"2013-10-17",64.57,65.25,64.45,65.16,1388086
"2013-10-24",66.8,67.14,66.48,66.49,2180852
"2013-10-31",68,68.78,67.72,68.11,1409951
"2013-11-07",70.84,71,70.22,70.38,1065989
"2013-11-14",69.57,69.7,69.07,69.08,1071237
"2013-11-21",70.93,71.16,70.7,70.74,1674831
"2013-12-05",70.93,71.16,70.05,70.42,1777714
"2013-12-12",69.46,69.8,68.8,68.9,1384265
"2013-12-19",72,73.19,71.8,72.6,2240859
"2013-12-26",71.83,72.76,71.65,72.74,481387
"2014-01-02",74.52,74.78,73.83,74,1078995
"2014-01-09",72.64,73.28,72.2,72.24,1635705
"2014-01-16",74.58,74.73,74.05,74.35,1036536
"2014-01-23",73.13,73.82,72.92,73.31,1582989
"2014-01-30",72.79,74.17,72.79,73.98,925458
"2014-02-06",73.27,73.88,73.18,73.37,1621737
"2014-02-13",73.39,74.44,73.08,74.39,1829962
"2014-02-20",75.5,75.61,74.89,74.92,1401858
"2014-02-27",74.86,75.55,74.77,75.28,1123452
"2014-03-06",75.37,75.81,75.23,75.56,910467
"2014-03-13",73.37,73.41,72.3,72.3,926424
"2014-03-20",70.88,72.48,70.72,72.44,1538794
"2014-03-27",72.78,73.04,72.12,72.17,1281608
"2014-04-03",72.26,72.81,72.06,72.35,720779
"2014-04-10",70.52,70.88,69.16,69.43,1902884
"2014-04-17",71.83,71.98,70.89,71.16,1044266
"2014-04-24",69.21,70.35,68.54,69.9,2142308
"2014-05-01",67.54,67.84,66.77,67.03,1472316
"2014-05-08",65.52,66.49,65.43,66.2,1108131
"2014-05-15",66.99,67.83,66.06,67.74,3487616
"2014-05-22",68.66,69.46,68.32,69.26,2166563
"2014-05-29",70.65,71.19,70.45,71.06,2052969
"2014-06-05",70.99,71.44,70.82,71.35,2005764
"2014-06-12",70.59,70.64,69.91,70.14,1966722
"2014-06-19",70.39,71.19,70.27,71.06,1227234
"2014-06-26",71.57,71.61,70.83,71.35,962207
"2014-07-03",71.68,73.67,71.54,73.38,2027652
"2014-07-10",71.3,71.5,70.96,71.36,966597
"2014-07-17",71.03,71.6,70.9,71.07,1828677
"2014-07-24",72.5,73.04,72.16,72.86,1519465
"2014-07-31",71.72,71.75,69.8,69.99,2321078
"2014-08-07",70.59,70.89,70.03,70.1,1354461
"2014-08-14",71.42,71.95,71.15,71.92,862799
"2014-08-21",72.06,72.64,72,72.61,1080545
"2014-08-28",72.21,72.53,71.69,72.22,924547
"2014-09-04",72.09,72.36,71.84,72.01,1175408
"2014-09-11",71.59,71.84,71.14,71.37,1146819
"2014-09-18",70.42,70.86,70.22,70.66,1038020
"2014-09-25",69.32,69.4,68.75,69.04,1633279
"2014-10-02",67.45,67.68,66.32,67.13,1465481
"2014-10-09",67.08,67.17,65.57,65.93,1870704
"2014-10-16",65.15,66.89,65.04,66.16,1953266
"2014-10-23",67.13,69.42,67.09,69.39,3280004
"2014-10-30",69.92,70.95,69.73,70.76,1162364
"2014-11-06",72.54,72.91,72.21,72.81,1179202
"2014-11-13",73.59,73.88,73.3,73.64,1092675
"2014-11-20",74.8,74.94,74.51,74.66,1160446
"2014-12-04",77.74,78.24,77.4,78.15,1379963
"2014-12-11",77.84,78.49,77.34,77.51,1045981
"2014-12-18",77.24,77.39,76.18,77.04,2170901
"2015-01-08",74.94,75.68,74.88,75.5,1173767
"2015-01-15",73.89,74.46,73.05,73.15,1812829
"2015-01-22",75.03,75.71,74.35,75.44,1299481
"2015-01-29",73.32,74.41,72.58,74.19,1081411
"2015-02-05",74.14,75.46,73.86,75.24,1572401
"2015-02-12",76.02,76.91,75.76,76.47,1506575
"2015-02-19",77.49,77.92,77.31,77.9,888791
"2015-02-26",79.15,80.53,78.94,80.2,2486178
"2015-03-05",79.05,79.22,77.93,78.3,844253
"2015-03-12",76.6,77.86,76.42,77.7,878848
"2015-03-19",78.04,78.3,77.62,78.23,645163
"2015-03-26",77,77.26,76.56,76.85,1226696
"2015-04-02",77.81,78.89,77.54,78.72,996106
"2015-04-09",78.78,78.98,77.91,78.12,2002340
"2015-04-16",77.4,77.88,77.04,77.39,1507660
"2015-04-23",77.81,78.28,77.33,77.8,1024932
"2015-04-30",76.2,76.43,75.37,75.76,1509530
"2015-05-07",76.27,76.63,75.78,76.29,1250420
"2015-05-14",77.27,77.84,76.87,77.79,1092222
"2015-05-21",77.64,77.93,77.38,77.59,864194
"2015-05-28",75.56,75.6,75.09,75.37,1103164
"2015-06-04",74.62,74.78,73.94,73.98,906688
"2015-06-11",73.25,73.43,72.98,73.12,624312
"2015-06-18",72.69,73.44,72.63,72.75,1641874
"2015-06-25",71.23,71.31,70.38,70.62,1303937
"2015-07-02",70.06,70.36,69.1,69.36,1702657
"2015-07-09",70.83,71.39,70.78,70.99,2288892
"2015-07-16",73.33,73.64,72.98,73.45,1624284
"2015-07-23",74.13,74.5,72.88,73.04,1795344
"2015-07-30",72.96,73.15,72.16,72.88,964819
"2015-08-06",73.87,73.89,71.19,72.27,2155330
"2015-08-13",73.18,73.46,72.67,73.11,948286
"2015-08-20",71.89,71.91,70.32,70.4,1840263
"2015-08-27",68.09,68.52,66.57,67.79,1867355
"2015-09-03",66.71,67.52,66.53,66.84,1228431
"2015-09-10",66.94,67.93,66.6,67.4,922006
"2015-09-17",69.69,69.97,68.8,69.06,1810702
"2015-09-24",66.42,66.7,65.84,66.38,1016856
"2015-10-01",65.6,66.14,64.44,65.91,3470377
"2015-10-08",69.43,71.17,69.43,70.95,1192682
"2015-10-15",70.99,72.21,70.81,71.71,2379807
"2015-10-22",73.02,74.73,73.02,74.35,2564887
"2015-10-29",74.85,75.45,74.39,75.33,1002207
"2015-11-05",73.69,73.88,73,73.25,2176626
"2015-11-12",72.6,73.15,72.44,72.63,1182641
"2015-11-19",72.85,73.49,72.48,73.15,1266831
"2015-12-03",74.17,74.58,73.48,74.1,2056115
"2015-12-10",75.19,76.17,75.07,75.44,1540274
"2015-12-17",74.7,74.74,73.53,73.67,2057037
"2015-12-24",76.2,76.63,75.8,76.08,900006
"2015-12-31",74.9,76.47,74.44,75.66,2015255
"2016-01-07",70.42,71.71,69.96,70.51,1721749
"2016-01-14",69.56,71.09,69.01,70.75,1359377
"2016-01-21",68.26,69.23,67.09,68.65,1198735
"2016-01-28",71.84,72,70.62,71.89,1921327
"2016-02-04",72.51,73.78,72.07,72.65,1955924
"2016-02-11",72.5,73.38,71.25,71.89,2914993
"2016-02-18",75.39,76.52,75.25,76.01,2036312
"2016-02-25",77.08,77.85,76.3,77.71,1997041
"2016-03-03",78.53,78.74,77.24,78.39,4042025
"2016-03-10",78.02,78.54,77.15,77.58,1569319
"2016-03-17",79.84,80.76,79.75,80.46,1587412
"2016-03-24",80.97,81.4,80.63,81.34,1186625
"2016-03-31",83.41,84.23,83,83.23,1670937
"2016-04-07",83.41,83.66,82.73,82.91,1341353
"2016-04-14",83.78,83.93,83.27,83.74,2371309
"2016-04-21",83.6,84.36,83.44,84.02,1950770
"2016-04-28",83.63,83.96,83.02,83.18,1199095
"2016-05-05",83.3,83.57,82.83,83.26,1441716
"2016-05-12",84.36,84.44,83.72,84.26,1875966
"2016-05-19",82.9,83,81.92,82.41,1868475
"2016-05-26",81.97,82.56,81.81,82.19,2193565
"2016-06-02",82.97,83.11,82.52,83.04,1942494
"2016-06-09",84.27,84.65,83.99,84.4,1679943
"2016-06-16",81.39,81.91,80.4,81.71,1374774
"2016-06-23",84.83,84.96,84.32,84.96,1328667
"2016-06-30",80.4,81.49,79.74,81.49,1600623
"2016-07-07",81.5,82.51,81.17,82.31,1879804
"2016-07-14",83.09,83.9,82.12,83.12,2778548
"2016-07-21",83.35,83.35,81.38,81.83,1913478
"2016-07-28",82.31,83,82.31,82.71,1030333
"2016-08-04",81.24,81.83,80.92,81.53,1059586
"2016-08-11",82.25,83.22,82.06,83.15,1104144
"2016-08-18",84.39,84.62,84.05,84.19,1008608
"2016-08-25",84.36,84.63,84.08,84.38,861367
"2016-09-01",86.25,86.48,85.31,86.25,859835
"2016-09-08",86.81,86.89,86.01,86.06,1054592
"2016-09-15",83.49,84.96,83.2,84.61,997926
