"","MAA.Open","MAA.High","MAA.Low","MAA.Close","MAA.Volume"
"2011-09-15",69.22,69.6,68.56,68.94,464352
"2011-09-22",60.47,61.96,60.03,60.89,501716
"2011-09-29",61.37,61.77,60.56,61.52,564410
"2011-10-06",57.95,60.14,57.85,60.04,465837
"2011-10-13",58.34,58.95,57.24,58.4,507709
"2011-10-20",58.71,59.12,57.49,58.45,484304
"2011-10-27",62.54,63.28,61.32,62.69,578323
"2011-11-03",62,62.33,60.52,62.05,426590
"2011-11-10",60.09,60.23,59.38,60.01,593867
"2011-11-17",59.44,59.56,58,58.3,268059
"2011-12-01",57.27,57.41,56.53,57.1,312514
"2011-12-08",57.94,58.27,56.46,56.59,221276
"2011-12-15",58.67,59.84,58.32,59.78,379714
"2011-12-22",62.48,63.44,62.48,62.69,191445
"2011-12-29",62.47,63.14,62.36,62.87,176894
"2012-01-05",61.97,63.19,61.93,63.06,341480
"2012-01-12",60.86,60.86,58.74,58.8,429179
"2012-01-19",59.17,60.37,59.17,60.15,415513
"2012-01-26",63,63.76,62.62,63.71,266081
"2012-02-02",64.53,64.75,63.87,64.14,404239
"2012-02-09",64.45,64.82,63,64.46,1693281
"2012-02-16",62.5,63.15,62.25,62.93,307881
"2012-02-23",62.04,62.96,61.77,62.95,231185
"2012-03-01",62.56,62.96,62.47,62.77,314056
"2012-03-08",63.37,63.41,62.83,63.1,310556
"2012-03-15",65.02,65.15,64.25,64.59,210080
"2012-03-22",64.51,64.51,63.87,64.08,348139
"2012-03-29",65.07,65.97,64.76,65.78,190432
"2012-04-05",67.43,67.96,67.27,67.9,443807
"2012-04-12",65.62,66,65.2,65.91,299537
"2012-04-19",66.46,66.73,66.07,66.37,171321
"2012-04-26",68.55,68.58,67.59,68.01,201531
"2012-05-03",69.34,69.5,68.88,69.07,284393
"2012-05-10",70.02,70.1,69.04,69.68,290658
"2012-05-17",68.16,68.16,66.3,66.31,240760
"2012-05-24",67.6,67.95,66.44,67.36,170217
"2012-05-31",66.71,68.09,66.23,67.39,694269
"2012-06-07",68.35,68.35,66.36,66.36,312127
"2012-06-14",66.49,67.8,66.49,67.61,262025
"2012-06-21",67,67.16,65.47,65.74,344501
"2012-06-28",65.75,67.14,65.18,67,306687
"2012-07-05",69.43,69.65,68.6,69.02,175230
"2012-07-12",67.4,69.35,67.33,69.03,258466
"2012-07-19",70.19,70.19,68.54,69.13,89525
"2012-07-26",70.15,70.21,68.7,69,167098
"2012-08-02",69.02,69.16,68.44,69.02,217154
"2012-08-09",66.9,67.26,66.62,66.76,148493
"2012-08-16",66.66,67.35,66.13,67.11,472138
"2012-08-23",67.82,67.95,67.42,67.59,483819
"2012-08-30",68.57,68.69,68.21,68.32,111559
"2012-09-06",68.3,68.3,67.8,67.89,218262
"2012-09-13",67.35,68.13,67.32,67.82,162459
"2012-09-20",66.78,66.78,65.91,66.15,193736
"2012-09-27",65.29,66,64.81,65.4,642158
"2012-10-04",64.74,64.94,63.87,64.16,183305
"2012-10-11",63.91,64.31,63.37,63.37,224997
"2012-10-18",64.34,65.28,64.26,65.07,230852
"2012-10-25",64.47,64.78,63.36,64.06,155498
"2012-11-01",65.11,65.22,64.36,64.8,268267
"2012-11-08",63.67,64.04,63.12,63.12,127498
"2012-11-15",60.65,61.17,60.38,60.82,260860
"2012-11-29",61.83,62.42,61.71,62.19,337963
"2012-12-06",62.62,63.25,62.62,62.91,322020
"2012-12-13",63.36,63.36,62.95,63.05,353247
"2012-12-20",63.84,64.63,63.67,64.59,173275
"2012-12-27",64.39,64.89,64.16,64.64,151972
"2013-01-03",65.14,65.86,65.14,65.44,274999
"2013-01-10",65.85,65.85,65.39,65.73,189043
"2013-01-17",66.15,66.28,65.8,65.94,145734
"2013-01-24",66.9,66.95,66.23,66.5,153653
"2013-01-31",66.11,66.11,65.05,65.37,218175
"2013-02-07",67.27,67.27,65.43,65.43,362705
"2013-02-14",67.23,67.86,67.23,67.56,406930
"2013-02-21",69.19,69.29,68.66,68.96,472885
"2013-02-28",69.5,69.77,69.3,69.44,542266
"2013-03-07",69.07,69.42,68.28,68.39,363211
"2013-03-14",68.35,69.56,68.18,69.53,330708
"2013-03-21",69.62,70.16,69.01,69.02,383027
"2013-03-28",69.11,69.5,68.8,69.06,280130
"2013-04-04",69.68,70.48,69.42,70.32,341711
"2013-04-11",69.88,70.64,69.76,69.9,468234
"2013-04-18",68.45,68.64,68.18,68.33,208200
"2013-04-25",68.71,68.81,67.93,68.45,165568
"2013-05-02",68.63,68.85,68.15,68.8,476400
"2013-05-09",71.91,71.91,71.3,71.65,203598
"2013-05-16",73.03,73.68,73.03,73.59,233626
"2013-05-23",72.5,72.82,71.74,71.96,319863
"2013-05-30",69.67,70.04,68.55,68.67,156793
"2013-06-06",66.69,67.21,66.08,67.02,449477
"2013-06-13",64.21,65.42,64.06,65.26,596648
"2013-06-20",63.09,63.13,61.15,61.39,626666
"2013-06-27",66.39,67.41,66.1,67.41,529047
"2013-07-11",67.53,67.85,67.12,67.77,725248
"2013-07-18",68.4,69.31,68.16,69.25,324819
"2013-07-25",67.82,68.3,67.6,68,552222
"2013-08-01",67.6,67.97,65.77,66.25,600686
"2013-08-08",64.62,64.73,63.82,64.59,276687
"2013-08-15",61.97,62.56,61.76,62.35,339826
"2013-08-22",62.47,62.55,61.72,62.48,203741
"2013-08-29",61.64,62.02,61.48,61.79,323023
"2013-09-05",61.18,61.42,60.19,60.4,484562
"2013-09-12",62.76,63.23,62.19,62.5,343093
"2013-09-19",63.45,65.11,63.01,64.45,344065
"2013-09-26",61.58,63.21,61.58,62.8,938806
"2013-10-03",63.56,63.63,61.03,61.59,1891912
"2013-10-10",61.08,62.53,61.04,62.5,532463
"2013-10-17",63.38,65.2,63.15,65.06,645201
"2013-10-24",66.56,66.56,65.33,65.78,561071
"2013-10-31",66.66,67.14,66.03,66.4,655778
"2013-11-07",63.5,64.16,62.53,62.63,822574
"2013-11-14",61.89,62.72,61.81,62.28,419604
"2013-11-21",61.61,61.8,61.05,61.58,453751
"2013-12-05",61.33,62.19,60.86,62.15,533731
"2013-12-12",60.46,60.66,59.81,60.25,733771
"2013-12-19",60.31,60.86,59.23,59.7,754251
"2013-12-26",60.73,61.21,60.49,60.52,328363
"2014-01-02",60.74,61.43,60.47,61.06,345293
"2014-01-09",61.77,61.9,61.08,61.61,338617
"2014-01-16",61.9,62.25,61.9,62.07,399387
"2014-01-23",62.8,63.17,62.39,63.04,449165
"2014-01-30",62.56,64.04,62.27,63.84,869705
"2014-02-06",65.97,65.97,63.65,65.44,1017331
"2014-02-13",67.01,67.78,67.01,67.5,557927
"2014-02-20",68.36,68.81,68.01,68.07,613103
"2014-02-27",68.39,68.52,67.35,67.4,415301
"2014-03-06",68.09,68.17,67.41,67.67,446481
"2014-03-13",67.31,67.31,66.22,67.26,535813
"2014-03-20",66.19,67.07,65.62,67.04,358058
"2014-03-27",66.63,67.64,66.25,67.45,480604
"2014-04-03",68.48,68.73,68.19,68.45,399616
"2014-04-10",69.32,69.6,68.38,68.53,583610
"2014-04-17",68.35,68.51,67.87,68.15,435349
"2014-04-24",68.66,69.07,68.4,68.99,300747
"2014-05-01",69.76,69.76,68.69,69.55,692522
"2014-05-08",71.94,72.28,71.06,71.64,645488
"2014-05-15",71.26,71.71,70.93,71.67,311233
"2014-05-22",71.21,71.37,70.76,71.02,322476
"2014-05-29",71.7,71.86,71.52,71.79,274168
"2014-06-05",73,73.48,72.67,73.41,513332
"2014-06-12",71.02,71.12,70.28,70.83,527135
"2014-06-19",71.35,71.79,70.95,71.78,500633
"2014-06-26",72.41,72.43,72.07,72.3,382910
"2014-07-03",72.83,73.1,72.18,72.55,206608
"2014-07-10",72.36,73.28,72.36,73.05,591395
"2014-07-17",73.31,73.84,73.15,73.56,378210
"2014-07-24",73.98,74.64,73.87,74.38,433138
"2014-07-31",73.47,73.88,69.81,69.92,1889941
"2014-08-07",70.8,71.02,70.28,70.6,261450
"2014-08-14",71.32,71.51,70.68,70.9,297025
"2014-08-21",72.35,72.67,72.16,72.25,166475
"2014-08-28",71.89,72.17,71.65,71.87,181280
"2014-09-04",72.36,72.91,71.92,71.99,404031
"2014-09-11",70.91,71.2,70.45,70.91,336941
"2014-09-18",68.01,68.25,67.07,67.14,371247
"2014-09-25",65.56,65.83,65.12,65.55,521557
"2014-10-02",66.21,66.63,65.81,66.29,493147
"2014-10-09",67.31,67.93,66.97,67.12,458398
"2014-10-16",67.35,67.78,66.59,67.58,695515
"2014-10-23",69.78,70.32,69.35,70.07,399148
"2014-10-30",70.03,70.39,69.16,70.21,626567
"2014-11-06",71.48,71.76,70.78,70.85,400744
"2014-11-13",71.07,71.71,70.66,71.56,471028
"2014-11-20",71.65,71.8,71.18,71.8,253330
"2014-12-04",72.47,72.7,72,72.63,464876
"2014-12-11",73.85,74.15,73.43,73.82,409575
"2014-12-18",74.51,74.77,73.95,74.51,274772
"2015-01-08",78.14,78.46,77.36,78.34,544027
"2015-01-15",80.7,81.16,80.49,80.64,464299
"2015-01-22",81.25,82.14,81.02,82.05,383642
"2015-01-29",81.58,81.87,80.45,80.72,862360
"2015-02-05",79.01,79.26,76.42,77.53,1317671
"2015-02-12",73.79,74.58,73.26,74.41,667269
"2015-02-19",74.84,75.01,73.65,73.7,673206
"2015-02-26",73.42,73.42,71.87,71.97,511442
"2015-03-05",73.34,74.16,73.34,73.52,556518
"2015-03-12",72.74,74.11,72.23,73.94,875852
"2015-03-19",77.42,78.35,77.18,77.46,605478
"2015-03-26",76.87,77.64,76.34,76.72,274101
"2015-04-02",76.87,78.32,76.87,77.97,393560
"2015-04-09",78.65,78.65,75.84,76.07,318253
"2015-04-16",74.17,75.31,73.94,75.13,275044
"2015-04-23",76.38,77.29,76.31,77.06,312437
"2015-04-30",77.11,77.11,74.15,74.61,501472
"2015-05-07",75.33,76.7,75.24,76.32,451791
"2015-05-14",75.05,75.88,74.65,75.85,386482
"2015-05-21",77.09,77.48,76.44,76.79,430906
"2015-05-28",77.15,77.47,76.81,77.33,503170
"2015-06-04",74.55,75,74.19,74.75,407345
"2015-06-11",74.03,74.62,73.79,74.09,369224
"2015-06-18",74.11,75.67,73.9,75.15,511732
"2015-06-25",73.88,74,73.23,73.27,329519
"2015-07-02",75.37,76.33,74.76,75.38,457830
"2015-07-09",76.45,77.16,75.78,76.49,721294
"2015-07-16",76.55,77.16,76.44,77.09,398979
"2015-07-23",77.82,77.86,76.32,76.82,468110
"2015-07-30",78.27,79.82,77.34,79.25,1249496
"2015-08-06",79.78,80.77,79.07,80.55,647167
"2015-08-13",81.26,81.86,80.7,81.64,930116
"2015-08-20",83.04,83.62,82.58,82.84,717087
"2015-08-27",79.01,80.81,78.18,80.37,805857
"2015-09-03",78.82,79.06,77.8,77.86,395956
"2015-09-10",75,76.84,75,76.04,553393
"2015-09-17",79.83,82.44,79.57,81.01,707570
"2015-09-24",81.84,82,80.55,80.76,487432
"2015-10-01",82.09,82.9,81.81,82.77,529059
"2015-10-08",83.57,84.1,83.08,83.98,317143
"2015-10-15",82.17,83.89,82.17,83.89,376009
"2015-10-22",85.78,86.28,85.2,85.85,699471
"2015-10-29",85.05,87.86,84.76,87.55,694807
"2015-11-05",85.75,86.73,85.31,86.02,404822
