"","TRV.Open","TRV.High","TRV.Low","TRV.Close","TRV.Volume"
"2011-09-15",49.19,49.84,48.78,49.84,4261187
"2011-09-22",46.77,48.13,46.72,47.38,8178562
"2011-09-29",49.25,49.99,48.75,49.69,4147019
"2011-10-06",49.33,50.23,48.68,50.19,4374658
"2011-10-13",50.83,50.94,49.97,50.45,2943840
"2011-10-20",54.15,54.76,53.39,54.53,6868806
"2011-10-27",58.79,59.63,58.02,58.79,5039766
"2011-11-03",58.12,58.66,57.61,58.58,4292191
"2011-11-10",57.29,57.6,56.89,57.4,3390848
"2011-11-17",56.3,56.79,55.41,55.73,3952088
"2011-12-01",56.24,56.38,54.85,55.04,5264901
"2011-12-08",55.58,56.05,55.44,55.53,6619736
"2011-12-15",56.67,57.17,56.37,56.81,4527727
"2011-12-22",59.24,59.67,58.83,59.19,3069084
"2011-12-29",59.15,59.82,59.05,59.68,1579099
"2012-01-05",58.36,59.36,58.08,59.33,4748521
"2012-01-12",60.05,60.37,59.6,59.8,2391512
"2012-01-19",59.98,60.45,59.89,60.3,2574523
"2012-01-26",59.2,59.7,58.66,58.7,4054162
"2012-02-02",59.09,59.42,58.94,59.39,2601583
"2012-02-09",59.9,60.28,59.45,59.89,2040925
"2012-02-16",59.41,59.71,59.04,59.44,2795986
"2012-02-23",58.88,59.5,58.6,58.96,2795024
"2012-03-01",57.99,58.85,57.87,58.42,2952252
"2012-03-08",56.95,57.27,56.49,57.1,2327464
"2012-03-15",58.84,59.36,58.69,59.08,2585634
"2012-03-22",58.36,58.4,57.95,57.97,2940404
"2012-03-29",58.47,58.75,58.38,58.65,2155740
"2012-04-05",59.1,59.42,58.76,58.88,2930858
"2012-04-12",58.28,59.17,57.95,59.1,2343048
"2012-04-19",61.15,62.44,61.01,61.7,6154939
"2012-04-26",64.02,64.82,63.53,64.77,3799326
"2012-05-03",64.75,65.27,64.59,64.75,2966455
"2012-05-10",64.22,64.82,64.2,64.64,2510261
"2012-05-17",63.74,63.92,62.66,62.7,4241639
"2012-05-24",63.11,63.27,62.5,63.19,1849460
"2012-05-31",61.91,62.98,61.89,62.49,3731815
"2012-06-07",61.82,62.56,61.66,61.91,3017265
"2012-06-14",61.66,63.3,61.65,63.12,2971555
"2012-06-21",63.96,64.11,62.5,62.58,2173616
"2012-06-28",62.5,62.91,61.85,62.85,2309889
"2012-07-05",63.9,64.34,63.71,63.96,2014284
