"","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume"
"2016-08-31",42.06,42.13,40.77,41.05,8770628
"2016-09-01",40.9,41.1,40.13,40.6,7536590
"2016-09-02",41.15,41.31,40.82,40.92,5606749
"2016-09-06",41.04,41.23,40.61,41,6654461
"2016-09-07",41.22,41.5,41.02,41.48,6368782
"2016-09-08",41.92,43.34,41.67,43.28,10714863
"2016-09-09",42.83,43.43,42.22,42.25,12586105
"2016-09-12",41.97,43.13,41.56,42.67,10222625
"2016-09-13",41.92,42.02,40.67,41.01,11732343
"2016-09-14",40.86,41.45,39.88,39.99,10031801
"2016-09-15",40.01,40.49,39.76,40.03,7823571
