"","ZBH.Open","ZBH.High","ZBH.Low","ZBH.Close","ZBH.Volume"
"2013-10-24",81.2,88.23,80.55,85.66,2774751
"2013-10-31",88.38,88.45,87.46,87.47,1088460
"2013-11-07",89.29,89.69,88.11,88.36,1392510
"2013-11-14",89.47,90.75,89.4,90.3,1068763
"2013-11-21",89.68,89.94,88.65,89.17,1580205
"2013-12-05",90.13,91.12,90.04,90.45,2092878
"2013-12-12",89.85,90.41,89.62,90,996703
"2013-12-19",93.63,93.63,91.47,92.61,1060899
"2013-12-26",93.14,93.7,93.03,93.43,288828
"2014-01-02",92.63,92.82,91.97,92.24,868763
"2014-01-09",97.5,97.61,96.33,96.47,1351491
"2014-01-16",97.8,97.82,96.92,97.05,873086
"2014-01-23",96.37,96.89,94.84,95.38,995997
"2014-01-30",93.74,95.38,92.9,93.04,1908997
"2014-02-06",92.03,92.75,91.87,92.55,883624
"2014-02-13",94.91,96.21,94.75,96.12,898942
"2014-02-20",94.98,95.51,94.45,95.3,1821663
"2014-02-27",95.12,95.49,94.51,95.25,737459
"2014-03-06",97.2,98.87,97.19,98.25,1480940
"2014-03-13",97.07,97.59,94.38,94.45,2717183
"2014-03-20",94.67,94.91,94.09,94.77,709171
"2014-03-27",92.67,92.93,91.63,92.76,853956
"2014-04-03",97.07,98.1,96.72,97.97,1179483
"2014-04-10",96.09,96.2,92.42,92.67,1040083
"2014-04-17",91.48,92.27,90.96,90.99,1152343
"2014-04-24",107,108.33,100.92,101.97,12394537
"2014-05-01",97,98.17,96.85,97.5,1945819
"2014-05-08",100.1,101.4,98.9,99.4,1688235
"2014-05-15",101.89,102,99.8,100.15,2341514
"2014-05-22",101.52,102.43,101.43,101.77,1242325
"2014-05-29",102.92,103.98,102.84,103.86,1059050
"2014-06-05",105.69,107.29,105.69,106.98,974412
"2014-06-12",105.93,105.98,104.8,105.32,1447976
"2014-06-19",105.93,106.38,104.83,105.63,1108420
"2014-06-26",105.28,105.53,104.79,105.12,916390
"2014-07-03",105.05,105.47,104.2,105.13,470763
"2014-07-10",103.07,103.83,102,103.67,1080179
"2014-07-17",102.46,102.9,100.63,100.71,804921
"2014-07-24",99.28,100.42,98.4,99.82,2814594
"2014-07-31",101.37,102.37,100,100.07,1809925
"2014-08-07",97.02,97.18,95.02,95.31,1750701
"2014-08-14",97.68,98.14,97.4,97.83,1428444
"2014-08-21",99.98,100.68,99.88,100.62,630701
"2014-08-28",99.31,99.65,99,99.45,715412
"2014-09-04",100.73,102.53,100.23,100.65,1193102
"2014-09-11",104.08,105.38,103.86,105.23,1677410
"2014-09-18",104.23,104.3,103.58,104.25,1450479
"2014-09-25",103.24,103.3,101.25,101.25,1915619
"2014-10-02",100.94,102.59,98.87,102.2,2721567
"2014-10-09",103.13,103.42,101.52,101.73,1156746
"2014-10-16",96,97.06,95.75,95.95,1781669
"2014-10-23",103.48,106.3,102.68,104.57,1697612
"2014-10-30",107.97,109.55,107.51,109.28,787372
"2014-11-06",110.96,111.36,110.16,110.19,741834
"2014-11-13",111.23,111.23,110.15,110.61,811777
"2014-11-20",109.7,110.44,109.01,110.12,985701
"2014-12-04",113.21,114.56,113.12,113.96,732956
"2014-12-11",112.03,113.78,112.03,113.24,961708
"2014-12-18",113.34,114.94,112.64,114.94,957787
"2015-01-08",119.04,120.6,118.77,119.94,1408433
"2015-01-15",117.2,117.61,114.96,114.98,1532132
"2015-01-22",116.27,118.42,115.78,118.35,711260
"2015-01-29",112.65,114.39,111.2,112.52,3235027
"2015-02-05",116.38,117.37,116.01,117.1,944817
"2015-02-12",118.32,118.36,116.7,118.15,978110
"2015-02-19",120.12,120.66,119.84,120.2,720813
"2015-02-26",120.52,121.39,119.86,121.33,579436
"2015-03-05",119.14,119.74,118.63,119.18,1145385
"2015-03-12",116.63,117.66,116.44,117.2,1260758
"2015-03-19",118.6,118.77,118.05,118.56,1249233
"2015-03-26",115.34,116.62,114.66,115.65,793707
"2015-04-02",116.34,117.66,115.78,116.92,632772
"2015-04-09",116.3,117.32,115.59,117.2,840916
"2015-04-16",115.43,115.84,114.98,115.36,1002602
"2015-04-23",117.36,119.1,116.71,118.57,740564
"2015-04-30",111.59,112.01,108.54,109.84,3317563
"2015-05-07",110.38,111.33,110.07,111.04,1668309
"2015-05-14",112.74,113.65,112.14,113.57,1270531
"2015-05-21",114.02,114.53,113.9,114.46,584018
"2015-05-28",113.95,114.35,112.75,113.39,1830923
"2015-06-04",112.93,114.19,112.82,113.07,895727
"2015-06-11",113.89,114.36,113.61,114.11,1405687
"2015-06-18",113.04,113.77,112.96,113.3,1013330
"2015-06-25",113.53,114.21,112.92,113.27,1581017
"2015-07-02",110,110.98,107,108.19,1402447
"2015-07-09",109,109.49,106.77,106.84,1244368
"2015-07-16",107.86,108.2,107.38,107.77,1038402
"2015-07-23",108.13,108.9,107.59,107.85,916586
"2015-07-30",107,107.56,104.43,104.85,2252409
"2015-08-06",103.66,103.76,101.29,101.69,1458445
"2015-08-13",105.7,110.81,103.4,104.36,1279291
"2015-08-20",104.88,105.66,104.59,104.88,1457789
"2015-08-27",100.96,103.45,100.92,103.41,1472675
"2015-09-03",101.79,103.53,101.11,102.09,1280377
"2015-09-10",98.89,100.99,98.4,100.1,1615573
"2015-09-17",101.32,102.2,100.37,100.89,773044
"2015-09-24",96.51,97.59,95.19,95.62,1323337
"2015-10-01",93.82,94.12,92,93.96,1557331
"2015-10-08",94.65,95.55,93.65,95.44,952115
"2015-10-15",95.19,98.09,95,97.92,1543105
"2015-10-22",96.9,97.63,94.21,94.39,1928579
"2015-10-29",102.17,105.57,102.1,104.87,2597280
"2015-11-05",107.4,108.16,106.72,107.85,1060292
"2015-11-12",102.28,105.63,102.28,104.65,1375040
"2015-11-19",105,105,102.49,104.07,1051699
"2015-12-03",102.34,102.72,99.09,99.36,1903812
"2015-12-10",100.63,100.63,99.3,99.97,1151488
"2015-12-17",101.93,102.35,100.57,100.71,1344774
"2015-12-24",102.42,103.52,102.42,102.91,233450
"2015-12-31",101.98,103.13,101.66,102.59,659571
"2016-01-07",102.16,103.64,101.43,101.98,1776287
"2016-01-14",101.43,103.74,100.95,102.7,1184061
"2016-01-21",98.52,98.88,97.21,98.18,940542
"2016-01-28",103.01,103.94,97.1,97.55,2306966
"2016-02-04",97.67,98.58,96.94,97.55,1561565
"2016-02-11",91.83,92.42,90.82,91.68,1505277
"2016-02-18",95.37,95.98,94.69,95.09,849329
"2016-02-25",95.03,96.89,94.63,96.89,1453446
"2016-03-03",97.02,99.06,97.02,98.89,1202226
"2016-03-10",101.55,101.55,100.42,100.86,1849990
"2016-03-17",104.01,104.94,102.9,103.59,758198
"2016-03-24",103.58,104.31,103.07,103.74,852416
"2016-03-31",106.88,107.22,106.25,106.63,1322119
"2016-04-07",107.81,108.2,107.17,108.15,1693003
"2016-04-14",114.3,115.76,114.06,115.43,1536371
"2016-04-21",114.51,115.94,113.73,114.4,1230499
"2016-04-28",116.01,117.77,114.51,115,2481280
"2016-05-05",114.9,115.97,114.27,115.94,904524
"2016-05-12",117.23,117.95,116.12,117.44,1283553
"2016-05-19",118.23,118.94,116.93,118.19,1002958
"2016-05-26",121.79,122.63,121.03,122.49,1298386
"2016-06-02",122.15,122.91,121.67,122.91,862247
"2016-06-09",119.3,120.13,118.81,119.4,1115027
"2016-06-16",116.08,116.78,114.95,116.71,2138462
"2016-06-23",119.38,120.92,119.16,120.92,1941892
"2016-06-30",119.67,120.38,118.68,120.38,1498957
"2016-07-07",121.6,122.8,121.58,122.02,1483580
"2016-07-14",126.08,126.65,125.57,126.29,1014397
"2016-07-21",125.95,127.16,125,125.29,1109423
"2016-07-28",126.5,129.58,126.02,127.47,2639224
"2016-08-04",130.62,131.08,129.48,130.91,969225
"2016-08-11",129.01,129.98,129.01,129.5,2208679
"2016-08-18",127.95,128.35,127.39,128.02,1214679
"2016-08-25",127.5,128.84,127.14,128.16,1269996
"2016-09-01",129.5,129.97,128.06,128.35,965288
"2016-09-08",129.79,130.08,129.18,130,829335
"2016-09-15",123.39,125.72,122.94,124.89,1096090
