"","ZBH.Open","ZBH.High","ZBH.Low","ZBH.Close","ZBH.Volume"
"2011-09-15",56.63,57.06,55.55,56.72,2481298
"2011-09-22",52.54,53.71,52.23,53.46,4846417
"2011-09-29",55.77,55.77,54.73,55.66,3144930
"2011-10-06",52.04,53.05,51.65,53.05,1694474
"2011-10-13",53.53,53.59,52.25,52.99,1828416
"2011-10-20",53.02,53.4,52.1,53.13,1618946
"2011-10-27",53.97,55.06,51.37,54.17,4954907
"2011-11-03",52.37,52.79,51.86,52.69,2010814
"2011-11-10",52.09,52.34,51.58,51.67,2232128
"2011-11-17",51.12,51.12,49.86,50,2016776
"2011-12-01",50.47,51.65,50.29,50.86,1364493
"2011-12-08",48.69,48.86,47.82,48.08,2046322
"2011-12-15",48,48.48,47.6,47.74,1475588
"2011-12-22",52.48,53.1,52.34,53.04,2344583
"2011-12-29",53.12,53.5,52.86,53.44,1100951
"2012-01-05",52.97,53.97,52.7,53.84,2198951
"2012-01-12",55.42,55.42,54.62,55.06,1557311
"2012-01-19",55.29,56.47,55,56.14,1818893
"2012-01-26",60.91,61.89,59.05,59.61,4641340
"2012-02-02",60.9,61.57,60.8,61.36,1818442
"2012-02-09",62.44,62.44,60.45,61.03,3199897
"2012-02-16",61.53,61.66,61,61.54,1636094
"2012-02-23",61.13,61.55,60.82,61.4,1465109
"2012-03-01",60.87,60.93,60.14,60.37,1451102
"2012-03-08",60.67,61.22,60.27,60.95,997830
"2012-03-15",62.97,63.9,62.72,63.87,958377
"2012-03-22",63.24,63.48,62.79,63.16,867051
"2012-03-29",63.31,63.52,62.59,63.29,1670936
"2012-04-05",64.32,64.8,64.07,64.72,1084272
"2012-04-12",63.15,64.56,63.02,64.22,2588449
"2012-04-19",64.35,64.44,62.83,63.06,2874119
"2012-04-26",61.15,62.54,60.28,62.07,2857157
"2012-05-03",63.79,64.78,63.46,64.02,2258424
"2012-05-10",62.41,63.03,61.95,62.13,838178
"2012-05-17",60.64,60.83,59.5,59.5,1122692
"2012-05-24",60.32,61.98,60.32,61.9,2185268
"2012-05-31",61.1,61.19,60.43,60.65,1487303
"2012-06-07",60.39,60.69,60.06,60.17,896986
"2012-06-14",60.01,60.94,60.01,60.63,965928
"2012-06-21",63.18,63.46,61.67,61.74,1150080
"2012-06-28",62.2,62.55,60.89,62.37,1455202
"2012-07-05",64.5,64.59,63.78,63.79,666310
"2012-07-12",62.85,63.14,62.49,62.81,1146188
"2012-07-19",64.65,64.65,63.6,64.32,1507039
"2012-07-26",59.58,60,57.46,58.72,3152131
"2012-08-02",58.68,58.75,57.6,57.95,1529646
"2012-08-09",60.91,61.29,60.76,60.9,682584
"2012-08-16",61.91,62.02,61.49,61.86,683606
"2012-08-23",61.61,61.61,60.93,61.03,955838
"2012-08-30",61.61,62.11,61.37,61.91,886293
"2012-09-06",62.8,64.14,62.8,64.05,936151
"2012-09-13",65.47,66.8,65.04,66.63,1377751
"2012-09-20",66.92,67.16,66.41,66.76,773245
"2012-09-27",66.68,67.35,66.5,67.16,664729
"2012-10-04",67.49,67.58,66.94,67.27,1513806
"2012-10-11",62.99,63.63,62.89,62.9,1316570
"2012-10-18",63.02,64.01,63.02,63.92,1782138
"2012-10-25",62.92,64.58,62.28,63.98,2034179
"2012-11-01",64.12,65.64,64.06,65.55,1448022
"2012-11-08",64.79,65.04,64.35,64.67,1353140
"2012-11-15",64.29,64.42,63.56,64.25,1285875
"2012-11-29",66.51,66.67,65.71,66.36,1646924
"2012-12-06",65.52,65.94,65.41,65.71,870692
"2012-12-13",67.43,67.65,67.26,67.35,1311839
"2012-12-20",68.46,68.86,67.91,68.8,1145822
"2012-12-27",66.58,66.83,65.75,66.73,668156
"2013-01-03",67.73,68.88,67.57,68.67,1574966
"2013-01-10",70.91,71.17,70.46,70.71,1082000
"2013-01-17",72.29,73.38,72.09,73,1503748
"2013-01-24",74,75,73.85,74.43,1528474
"2013-01-31",73.93,74.74,72.22,74.6,2036435
"2013-02-07",75.24,75.31,74.22,75.06,1344003
"2013-02-14",75.86,76.4,75.75,76.34,860104
"2013-02-21",75.15,75.27,73.54,73.87,1029191
"2013-02-28",74.45,75.33,74.4,74.96,1222061
"2013-03-07",75.34,75.69,74.61,74.89,722582
"2013-03-14",75.71,75.71,73.66,74.85,2229313
"2013-03-21",72.91,73.35,72.24,72.38,902004
"2013-03-28",74.05,75.46,73.42,75.22,1672377
"2013-04-04",74.71,75.43,74.41,75.25,1150754
"2013-04-11",75.97,77.53,75.81,76.3,1472190
"2013-04-18",73.43,73.6,72.65,72.97,1274886
"2013-04-25",74.9,76.13,74.82,75.49,1190227
"2013-05-02",75.61,76.33,75.12,75.68,710694
"2013-05-09",77.91,78.74,77.58,78.28,670634
"2013-05-16",80.29,81.36,80.25,80.62,1001156
"2013-05-23",79.35,80,79.26,79.95,804841
"2013-05-30",79.25,80.37,79,79.94,599211
"2013-06-06",77.27,78.3,76.8,78.3,688217
"2013-06-13",76.95,78.6,76.02,78.44,714249
"2013-06-20",77.08,77.3,75.22,75.44,1093612
"2013-06-27",75.56,75.67,74.84,74.96,1151300
"2013-07-11",78.11,78.37,77.59,78.17,682262
"2013-07-18",81.62,82.28,81.54,82.21,988544
"2013-07-25",83.98,84.43,82.67,82.9,1480534
"2013-08-01",83.9,84.76,83.4,84.47,1039715
"2013-08-08",83.35,83.52,82.64,83.29,732713
"2013-08-15",80.5,80.55,79.5,79.72,772454
"2013-08-22",79.68,80.92,79.46,80.75,518034
"2013-08-29",78.13,79.47,78,78.86,744078
"2013-09-05",79.45,79.99,79.18,79.6,527128
"2013-09-12",80.48,81.54,80.47,81.24,1104271
"2013-09-19",83.84,83.84,83.33,83.51,673635
"2013-09-26",81.64,82.47,81.5,82.24,992917
"2013-10-03",82.7,83.27,82.12,82.66,1435267
"2013-10-10",85.3,85.96,85.12,85.93,1215760
"2013-10-17",87.25,87.95,87.19,87.88,841438
