"","UAA.Open","UAA.High","UAA.Low","UAA.Close","UAA.Volume"
"2011-09-15",75.4,77.3,73.71,76.82,1907561
"2011-09-22",70.55,71.5,69.05,70.52,1882108
"2011-09-29",74.65,74.79,66.46,70.5,1374202
"2011-10-06",69.44,72.54,69,72.26,893295
"2011-10-13",73.82,75.35,72.8,73.5,978737
"2011-10-20",71.42,72.25,70,71.67,535396
"2011-10-27",85,86.15,83.13,86,2026170
"2011-11-03",83.46,86,82.34,85.76,1216416
"2011-11-10",81.79,81.97,79.41,81.04,660336
"2011-11-17",80.77,81.59,76.99,78.6,1195741
"2011-12-01",79.99,82.39,79,81.86,896364
"2011-12-08",81.48,82.64,79.44,79.9,622277
"2011-12-15",75.46,75.98,72.23,74.13,1371071
"2011-12-22",71.55,71.88,70,70.59,881824
"2011-12-29",72.45,72.92,71.1,71.84,666993
"2012-01-05",72.31,73.26,70.26,73.25,1344727
"2012-01-12",76.24,77.87,75.63,77.66,1558334
"2012-01-19",73.65,74.32,71.9,72.94,2036765
"2012-01-26",75.99,77.26,72.56,73.4,5247667
"2012-02-02",78.53,79,77.12,77.58,1251089
"2012-02-09",81.69,82.85,80.87,82.82,988218
"2012-02-16",83.63,85.76,83.63,85.63,1193535
"2012-02-23",83,83.71,82.21,82.4,470042
"2012-03-01",89.5,92.29,89.25,92.12,1384247
"2012-03-08",92.06,93.36,91.64,92.85,876909
"2012-03-15",97.56,97.99,95.72,96.03,1010072
"2012-03-22",96.71,98.59,96.59,97.74,631643
"2012-03-29",94.42,94.42,91.65,94.04,1268850
"2012-04-05",94.44,96.33,94.44,95.53,630915
"2012-04-12",94.11,95.21,93.69,95.08,344402
"2012-04-19",96.89,97.23,95.77,96.5,1064835
"2012-04-26",97.07,97.9,96.01,97.59,834225
"2012-05-03",100.67,101.9,99.07,99.37,754395
"2012-05-10",94.55,95.25,92.89,93.87,923764
"2012-05-17",94.57,94.86,90.02,90.03,1174306
"2012-05-24",94.85,98.06,94.53,97.29,1131799
"2012-05-31",100.43,100.96,98.54,100.73,631584
"2012-06-07",100,101.15,97.85,99.82,981691
"2012-06-14",100.81,102.97,100.11,101.68,1041946
"2012-06-21",102.13,102.26,98.04,98.47,2417716
"2012-06-28",92.73,93.08,89,90.51,1896175
"2012-07-05",92.44,95.29,91.65,93.88,1003465
"2012-07-12",45.02,46.6,44.07,46.32,2248793
"2012-07-19",49.9,50.92,49.59,50.53,1926846
"2012-07-26",54.88,55.95,54.74,55.31,2366745
"2012-08-02",53.39,54.79,53.02,54.11,1424642
"2012-08-09",56.84,57.8,56.72,57.35,1008015
"2012-08-16",56.13,57.11,55.75,56.5,1260531
"2012-08-23",56.81,57.37,56.16,57.19,931992
"2012-08-30",57.36,58.24,56.92,57.68,870282
"2012-09-06",58.05,59.4,57.65,59.33,1515838
"2012-09-13",59.43,60.22,58.26,59.3,1454594
"2012-09-20",57.92,58,56.9,57.05,1289342
"2012-09-27",54.98,56.64,54.63,56,1269481
"2012-10-04",55.33,56.95,55.03,56.38,1490694
"2012-10-11",55.01,55.47,54.4,54.59,1024669
"2012-10-18",58.51,60.2,58.47,59.27,1141890
"2012-10-25",54.06,55.5,52.01,52.93,6952440
"2012-11-01",52.08,53.16,51.45,53.12,1354449
"2012-11-08",52.79,52.79,50.31,50.51,1434824
"2012-11-15",49.8,50.31,48.98,50.16,1677179
"2012-11-29",54.92,55.2,53.15,53.83,1736702
