"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume"
"2012-06-14",37.68,37.97,37.07,37.6,2861757
"2012-06-21",41.44,41.58,39.17,39.26,4267003
"2012-06-28",38.29,38.87,37.92,38.62,3221256
"2012-07-05",41.82,42.6,41.48,42.31,2727554
"2012-07-12",39.16,39.97,38.44,39.62,2727414
"2012-07-19",42.39,42.69,41.86,41.96,2425500
"2012-07-26",41.38,41.67,40.1,40.9,4470103
"2012-08-02",43.73,44.71,43.35,44.41,3331277
"2012-08-09",46.97,47.44,46.66,47.35,2558720
"2012-08-16",47.97,48.71,47.78,48.52,2076705
"2012-08-23",48.05,48.33,47.25,47.73,2337947
"2012-08-30",48.93,49.04,48.47,48.67,12325433
"2012-09-06",47.44,49.42,47.2,48.46,5915932
"2012-09-13",49.59,52.35,49.58,51.92,7526329
"2012-09-20",51.88,52.62,50.57,52.52,4663712
"2012-09-27",51.23,52.21,50.89,51.88,2210129
"2012-10-04",52.94,53.37,51.93,52,3639220
"2012-10-11",51.37,51.89,51.31,51.35,2672233
"2012-10-18",55.35,56,54.7,55.23,3071302
"2012-10-25",54.33,54.57,52.92,53.4,3619246
"2012-11-01",53.54,55.25,53.51,55.05,5695314
"2012-11-08",52.81,53.14,51.83,51.92,2220947
"2012-11-15",46.18,46.61,44.87,45.41,6339415
"2012-11-29",48.2,49.02,48.15,48.74,4103955
"2012-12-06",51.85,52.15,51.52,51.9,5978148
"2012-12-13",54.02,54.25,52.8,52.98,2586370
"2012-12-20",54.83,55.57,54.41,55.56,3457733
"2012-12-27",56.57,56.64,55.19,56.39,2458551
"2013-01-03",58.42,58.88,57.35,57.64,3561434
"2013-01-10",60.19,60.74,59.55,60.61,3617368
"2013-01-17",61.16,62.22,61.02,62.13,3670504
"2013-01-24",62.26,62.82,62.21,62.52,2663969
"2013-01-31",62.56,64.2,62.2,63.42,4500600
"2013-02-07",61.2,61.75,60.37,61.42,2845074
"2013-02-14",61.57,61.9,61.06,61.17,9634675
"2013-02-21",58.63,59.31,56.91,57.68,7842839
"2013-02-28",58.38,59.46,58.17,58.62,3650753
"2013-03-07",62.72,62.73,62.08,62.13,2086517
"2013-03-14",63.94,65.35,63.86,64.77,4700782
"2013-03-21",65.01,65.69,64.23,64.41,3722807
"2013-03-28",63.56,64.15,63.18,63.29,2877458
"2013-04-04",58.8,59.32,58.61,58.78,3656299
"2013-04-11",60.75,62.13,60.55,61.38,3175756
"2013-04-18",56.24,56.35,55.02,55.81,4929264
"2013-04-25",61.9,63.27,60.77,60.92,4978239
"2013-05-02",57.96,59.47,57.33,58.9,5122461
