"","HOG.Open","HOG.High","HOG.Low","HOG.Close","HOG.Volume"
"2013-03-07",54.3,54.45,53.87,54.43,1501861
"2013-03-14",54.99,55.02,54.23,54.92,863139
"2013-03-21",53.68,53.68,52.59,52.73,1061120
"2013-03-28",52.82,53.48,52.57,53.3,1050138
"2013-04-04",50.57,51.06,50.41,50.84,1777355
"2013-04-11",52.13,52.88,51.99,52.21,1764875
"2013-04-18",51.08,51.52,50.62,51.05,1547500
"2013-04-25",53.25,55.68,53.25,54.31,4062539
"2013-05-02",54.21,54.51,53.8,54.16,1327159
"2013-05-09",57.48,57.59,56.75,57.17,964260
"2013-05-16",58.55,58.83,57.91,57.97,905713
"2013-05-23",56.81,57.52,56.36,57.03,1148381
"2013-05-30",55.15,55.98,55.1,55.41,1224707
"2013-06-06",53.85,54.44,53.34,54.35,975454
"2013-06-13",52.5,53.56,52.19,53.47,906049
"2013-06-20",52.9,52.99,51.7,52.04,1615036
"2013-06-27",52.67,54.06,52.67,53.58,2120616
"2013-07-11",54.59,55.19,54.57,55.1,1260449
"2013-07-18",55.68,56.44,55.56,56.25,829681
"2013-07-25",57.47,59.52,55.57,55.74,3183769
"2013-08-01",57.33,58.71,57.32,58.44,1724741
"2013-08-08",58.68,59.47,58.49,59.19,1310359
"2013-08-15",58.11,58.32,57.34,57.5,1277828
"2013-08-22",58.22,59.16,58.22,58.98,690055
"2013-08-29",59.11,60.24,59,60,1228488
"2013-09-05",62.15,62.56,61.91,62.28,967538
"2013-09-12",63.42,63.5,62.91,63.02,695834
"2013-09-19",65.15,65.15,64.15,64.5,808339
"2013-09-26",64.17,64.68,64.02,64.63,672295
"2013-10-03",65.06,65.81,64.15,64.47,1130552
"2013-10-10",64.93,65.11,64.44,64.69,1173207
"2013-10-17",65.75,65.91,64.95,65.48,1888780
"2013-10-24",64.29,65.11,63.97,64.9,1238134
"2013-10-31",64.19,64.82,63.91,64.04,975479
"2013-11-07",64.36,64.6,63.4,63.54,1146331
"2013-11-14",65.43,66.09,65.11,65.92,1762675
"2013-11-21",66.98,67.5,66.85,67.29,1241638
"2013-12-05",66.7,67.84,66.26,67.61,1171756
"2013-12-12",68.05,68.37,67.46,68.23,919523
"2013-12-19",67.65,68.56,67.43,68.2,930604
"2013-12-26",69.46,69.75,69.12,69.26,463141
"2014-01-02",69.19,69.25,68.42,68.56,1022542
"2014-01-09",69.85,70.04,68.81,69.19,842934
"2014-01-16",68.6,68.74,67.99,68.1,849450
"2014-01-23",66.6,66.6,65.7,65.89,1657771
"2014-01-30",66.31,66.69,62.21,63.19,2821980
"2014-02-06",62.7,64.8,62.7,64.52,2247685
"2014-02-13",64.81,64.96,64.33,64.76,1115373
"2014-02-20",63.19,64.37,62.74,64.31,1544479
"2014-02-27",64.33,65.41,64.33,65.4,1047309
"2014-03-06",67.11,68.12,67.08,67.78,1418796
"2014-03-13",68.24,68.48,67.03,67.21,850279
"2014-03-20",67.94,68.02,67.22,67.97,542350
"2014-03-27",66.85,66.87,65.7,66.08,1477781
"2014-04-03",68.8,68.9,68.38,68.63,855394
"2014-04-10",68.08,68.76,66.63,66.63,1721120
"2014-04-17",66.27,67.07,66.25,66.64,819911
"2014-04-24",72,72,70.28,71.63,2305431
"2014-05-01",74,74.13,72.82,72.99,1489552
"2014-05-08",72.01,72.79,71.28,71.64,1449408
"2014-05-15",72.02,72.23,69.99,71.02,1923032
"2014-05-22",71.54,72.25,71.35,71.64,1037612
"2014-05-29",71.31,71.35,70.84,71.23,732646
"2014-06-05",71.4,71.4,70.52,71.06,1132335
"2014-06-12",71.88,72,69.45,69.79,2446052
"2014-06-19",70.37,71.18,70.04,70.14,1894641
"2014-06-26",69.47,69.6,68.66,69.21,1580815
"2014-07-03",68.05,68.79,68.02,68.46,1359340
"2014-07-10",68.23,68.28,67.27,67.76,1423934
"2014-07-17",66.42,66.75,65.78,65.85,1673549
"2014-07-24",64.8,64.94,64.32,64.64,2218270
"2014-07-31",62.27,63.02,61.76,61.82,2256413
"2014-08-07",61.97,62.21,60.51,60.63,1353929
"2014-08-14",62.26,62.52,62.15,62.4,776323
"2014-08-21",64.5,64.66,63.86,64.02,754701
"2014-08-28",63.38,63.62,62.95,63.46,538101
"2014-09-04",63.74,64.3,63.49,64.01,1467232
"2014-09-11",64.38,65.88,64.3,65.21,3090196
"2014-09-18",62.54,63.17,62.34,62.64,2135641
"2014-09-25",61.2,61.73,60.89,60.98,2335086
"2014-10-02",57.5,58.31,57.48,58.11,1889110
"2014-10-09",58.92,59.03,57.37,57.39,1304144
"2014-10-16",54.5,57.24,54.42,57.08,3085332
"2014-10-23",62.8,63.7,62.53,63.01,2539695
"2014-10-30",63.7,65.63,63.61,64.94,1882918
"2014-11-06",64.48,66.07,64.37,65.71,1651431
"2014-11-13",67.18,67.72,67.07,67.65,1158885
"2014-11-20",68.78,69.92,68.66,69.36,927713
"2014-12-04",68.82,69.69,68.44,69.69,1521337
"2014-12-11",67.88,68.76,67.22,67.39,1393031
"2014-12-18",63.7,64.45,63.08,64.43,1780071
"2015-01-08",65.44,66.22,65.44,66.13,1180331
"2015-01-15",63.76,64.07,62.6,62.64,2575439
"2015-01-22",64.4,65.83,64.18,65.62,1674474
"2015-01-29",63.06,65.28,62.67,64.6,3473617
"2015-02-05",63.01,63.56,62.97,63.14,1223890
"2015-02-12",62.92,63.11,62.38,63.08,1720625
"2015-02-19",63.26,63.65,62.98,63.37,766767
"2015-02-26",63.42,64,63.35,63.84,1838967
"2015-03-05",62.94,63.34,62.71,63,1051050
"2015-03-12",62.48,62.75,60.26,60.85,4481008
"2015-03-19",60.72,61.43,60.72,61.18,1425905
"2015-03-26",59.8,60.25,59.78,59.98,1199224
"2015-04-02",60.2,61.2,60,61.05,1444867
"2015-04-09",62.04,62.66,61.98,62.59,1788295
"2015-04-16",61.64,61.93,61.14,61.71,2277510
"2015-04-23",56.48,57.2,56.14,56.95,2999767
"2015-04-30",56.75,56.88,56.17,56.21,2481268
"2015-05-07",56.43,57,56.3,56.86,1081574
"2015-05-14",55.48,55.51,53.04,54.61,7396694
"2015-05-21",56.5,57.1,56.39,57,1966713
"2015-05-28",54.82,54.93,53.76,54.02,2670285
"2015-06-04",54.13,54.7,54,54.17,1314019
"2015-06-11",54.03,54.72,53.94,54.72,2481602
"2015-06-18",57.57,59.61,57.57,59.01,7034826
"2015-06-25",57.88,57.89,57.28,57.42,1099049
"2015-07-02",56.59,56.61,55.65,56.03,1362194
"2015-07-09",55.26,55.38,54.56,54.7,1257861
"2015-07-16",56.32,56.44,55.32,55.68,2242125
"2015-07-23",58.81,59.29,58.03,58.25,2205285
"2015-07-30",58.25,58.87,58.25,58.59,1513154
"2015-08-06",58.1,58.72,57.96,58.45,1912597
"2015-08-13",58.36,59.35,58.21,58.9,1351588
"2015-08-20",59.13,59.59,58.53,58.54,3177799
"2015-08-27",55.67,56.61,55.41,56.58,1934055
"2015-09-03",56.12,56.61,55.64,55.79,2100364
"2015-09-10",55.26,55.26,54,54.8,3387520
"2015-09-17",55.97,56.56,55.56,55.7,1869914
"2015-09-24",52.31,53.68,52.23,53.44,2307188
"2015-10-01",54.85,54.95,53.13,54.09,2624432
"2015-10-08",54.23,55.35,54.2,55.08,2527556
"2015-10-15",54.75,55.08,53.53,54.97,4080413
"2015-10-22",47.28,48.19,47,48.11,6741806
"2015-10-29",47.42,49.99,47.39,49.96,9322667
"2015-11-05",49.01,49.63,48.89,49.51,1959598
"2015-11-12",48.9,49.12,48.19,48.33,2160127
"2015-11-19",49.63,50.08,48.9,49.81,2362623
"2015-12-03",47.82,47.84,46.75,47,4252707
"2015-12-10",46.25,46.42,45.94,46.32,1778046
"2015-12-17",46.66,46.7,45.1,45.42,3575990
"2015-12-24",46.55,46.55,46.11,46.15,592186
"2015-12-31",45.52,46.09,45.34,45.39,1757823
"2016-01-07",42.74,43.89,42.51,43.13,3936036
"2016-01-14",41.75,42.21,40.9,41.97,2480067
"2016-01-21",40.04,41.37,39.59,40.67,3149116
"2016-01-28",40.67,41.17,36.36,38.92,10958447
"2016-02-04",39.91,41.61,39.88,41.25,5004845
"2016-02-11",38.36,38.6,37.91,38.12,3761683
"2016-02-18",41.6,41.85,41.19,41.61,2008354
"2016-02-25",42.16,43.32,41.77,43.32,1545364
"2016-03-03",44.97,46.57,44.69,46.51,2105156
"2016-03-10",47.75,47.94,47.02,47.63,1593704
"2016-03-17",48.71,48.96,47.96,48.73,3260076
"2016-03-24",48.04,48.04,47.18,47.86,1938805
"2016-03-31",49.54,51.54,49.4,51.33,5112438
"2016-04-07",45.25,46.28,44.42,44.5,5659325
"2016-04-14",46.83,47.82,46.64,47.5,4088829
"2016-04-21",46.96,48.06,46.34,48.03,3526221
"2016-04-28",49.16,49.24,47.89,47.99,2008092
"2016-05-05",46.78,47.2,45.72,46.22,3718782
"2016-05-12",45.99,46.2,45.4,45.62,3233051
"2016-05-19",44.17,44.31,43.27,43.81,2310599
"2016-05-26",45.25,45.64,44.93,45.42,1474340
"2016-06-02",46.21,46.55,45.94,46.15,1235613
"2016-06-09",45.96,45.98,45.15,45.15,1590134
"2016-06-16",43.99,44.69,43.42,44.59,1399341
"2016-06-23",46.82,47.03,46.45,46.86,1349963
"2016-06-30",44.4,45.32,43.96,45.3,2150012
"2016-07-07",47.51,48.4,47.39,47.82,2134312
"2016-07-14",48.8,49.01,47.83,48.54,1982290
"2016-07-21",49.45,50.77,49.33,50.17,3645551
"2016-07-28",48.49,51.43,47.63,51.01,5061355
"2016-08-04",51.63,53.54,51.61,53.13,2097575
"2016-08-11",53.57,54.13,53.42,53.78,1095550
"2016-08-18",54.54,55,50.1,53.54,11641000
"2016-08-25",53.39,53.96,53.09,53.24,1053355
"2016-09-01",52.88,53.27,52.33,52.89,1110510
"2016-09-08",52.7,52.95,51.65,52.38,1845040
"2016-09-15",50.04,51.82,50.04,51.44,1962718
