"","HOG.Open","HOG.High","HOG.Low","HOG.Close","HOG.Volume"
"2011-09-15",36.92,37.68,36.61,37.63,2005413
"2011-09-22",33.87,34.81,33.05,33.76,2531976
"2011-09-29",36.59,36.6,34.93,36.12,2301348
"2011-10-06",34.67,35.35,34.46,35.2,2198359
"2011-10-13",36.37,36.7,35.92,36.43,2074172
"2011-10-20",34.23,35.38,33.7,35.26,2336185
"2011-10-27",39.56,40.43,39.43,39.97,3003635
"2011-11-03",39.41,39.43,38.43,39.32,1984881
"2011-11-10",38.31,38.53,37.42,37.64,1571003
"2011-11-17",38.66,38.79,36.15,36.36,4642494
"2011-12-01",36.78,37.37,36.57,37.14,1731921
"2011-12-08",38.02,38.41,37.52,37.66,1740126
"2011-12-15",37.01,37.62,36.66,37.25,2178681
"2011-12-22",38.08,38.54,38.04,38.41,1305245
"2011-12-29",38.46,38.83,38.33,38.75,650427
"2012-01-05",39.28,39.98,38.93,39.89,1477694
"2012-01-12",40,40.78,39.45,40.75,1648441
"2012-01-19",41.9,42.34,41.44,42.05,1236388
"2012-01-26",44.84,45.63,44.26,44.55,3003169
"2012-02-02",44.84,44.99,44.44,44.66,1827370
"2012-02-09",46.35,46.66,45.92,46.56,1499698
"2012-02-16",45.36,45.96,45.27,45.44,1771258
"2012-02-23",46.77,47.28,46.16,47.22,1559958
"2012-03-01",46.6,47.59,46.6,47.26,1022552
"2012-03-08",45.87,46.53,45.77,45.97,1177564
"2012-03-15",49.8,49.89,49,49.33,1613537
"2012-03-22",49.05,49.46,48.51,48.91,984579
"2012-03-29",48.59,48.77,48.16,48.48,1995203
"2012-04-05",48.38,48.85,48.23,48.39,1347357
"2012-04-12",47.69,48.59,47.6,48.52,1501827
"2012-04-19",49.75,50.04,49.16,49.57,2340308
"2012-04-26",53.3,53.95,52.68,52.88,3912604
"2012-05-03",53.23,53.87,52.98,53.01,3043314
"2012-05-10",50.94,51.29,50.27,50.67,1762867
"2012-05-17",46.56,46.63,45.49,45.74,3111492
"2012-05-24",47.5,47.65,46.88,47.39,2200508
"2012-05-31",47.44,48.61,47.05,48.18,2378837
"2012-06-07",48.9,49.73,47.83,48,2000935
"2012-06-14",48.38,49.65,47.8,49.43,1950463
"2012-06-21",50.51,50.89,48.55,48.69,2169880
"2012-06-28",44.7,44.87,43.79,44.69,2847481
"2012-07-05",46.1,47.32,46.01,46.87,1509862
"2012-07-12",44.43,44.45,43.19,43.53,3085098
"2012-07-19",44.22,45.18,44.09,44.78,1800284
"2012-07-26",42.77,43.46,42.35,43.2,1810980
"2012-08-02",41.1,42.38,40.68,41.2,3457140
"2012-08-09",41.58,41.91,41.5,41.68,1703189
"2012-08-16",41.42,42.5,41.32,42.41,2717072
"2012-08-23",42.89,43.08,42.16,42.43,1567851
"2012-08-30",42.76,42.98,42.29,42.42,1757903
"2012-09-06",42.01,43.75,41.93,43.54,2108915
"2012-09-13",45.65,45.95,44.71,45.73,2273513
"2012-09-20",45.57,45.7,44.17,44.26,2290200
"2012-09-27",42.27,42.62,41.73,42.48,1798823
"2012-10-04",41.11,41.82,40.66,41.62,2308368
"2012-10-11",42.32,42.84,41.62,41.79,2352671
"2012-10-18",44.67,44.78,43.89,44.53,2392678
"2012-10-25",46.65,47.16,46.27,46.52,1875705
"2012-11-01",46.74,48,46.51,47.61,2089860
"2012-11-08",46.45,46.69,44.93,44.97,2601308
"2012-11-15",45.68,47.04,45.61,46.59,2678141
"2012-11-29",47.84,48.2,47.23,47.37,956320
"2012-12-06",46.18,46.29,45.69,46.18,2609919
"2012-12-13",49.17,49.25,47.96,48,1596848
"2012-12-20",48.85,48.99,48.53,48.93,1094215
"2012-12-27",47.98,48.26,46.88,47.88,992711
"2013-01-03",49.91,50.02,48.66,48.96,2011684
"2013-01-10",51,51,49.97,50.36,1971837
"2013-01-17",50.98,52.08,50.75,52.02,1480591
"2013-01-24",51.92,53,51.72,52.86,1131635
"2013-01-31",52.84,52.88,52.26,52.42,2451467
"2013-02-07",52.76,52.96,51.58,52.54,1439261
"2013-02-14",53.19,53.78,52.91,53.45,1269805
"2013-02-21",51.49,51.5,50.8,51.05,1301986
"2013-02-28",52.38,53.22,52.25,52.63,1622489
