"","ALL.Open","ALL.High","ALL.Low","ALL.Close","ALL.Volume"
"2011-09-15",25.22,25.28,24.64,25.11,6537891
"2011-09-22",22.78,22.83,22.27,22.68,7764603
"2011-09-29",23.98,24.65,23.98,24.56,5994464
"2011-10-06",24.03,24.57,23.75,24.55,3341682
"2011-10-13",24.86,24.96,24.28,24.64,3795462
"2011-10-20",25.4,26.49,25.34,26.44,7199524
"2011-10-27",27.37,27.98,27.25,27.71,7498276
"2011-11-03",26.37,26.44,25.74,25.98,8442337
"2011-11-10",26.14,26.39,26.02,26.2,4610195
"2011-11-17",25.95,26.24,25.46,25.61,4829368
"2011-12-01",26.7,26.7,26.3,26.56,3385828
"2011-12-08",26.96,27.06,26.52,26.58,4367226
"2011-12-15",26.49,26.61,26.14,26.34,4564921
"2011-12-22",27.19,27.46,27.09,27.41,3663169
"2011-12-29",27.34,27.6,27.28,27.57,2324588
"2012-01-05",27.31,27.76,26.98,27.74,3580529
"2012-01-12",29.15,29.33,28.86,29.07,3208842
"2012-01-19",29.55,29.7,29.38,29.49,3436484
"2012-01-26",29.31,29.39,28.89,29.15,5636417
"2012-02-02",30.54,30.75,30.13,30.29,11453286
"2012-02-09",31.05,31.19,30.54,30.91,4890888
"2012-02-16",30.9,31.2,30.9,31.13,3050879
"2012-02-23",31.46,31.75,31.42,31.59,3411233
"2012-03-01",31.22,31.6,31.15,31.28,5228372
"2012-03-08",31.14,31.28,30.76,31.24,2667214
"2012-03-15",32.48,32.61,32.25,32.59,3682102
"2012-03-22",32.4,32.54,32.2,32.34,2780499
"2012-03-29",32.93,33,32.54,32.9,4038922
"2012-04-05",32.47,32.88,32.44,32.75,3538093
"2012-04-12",32.23,32.96,31.93,32.87,3949611
"2012-04-19",33.04,33.27,32.64,32.81,3724463
"2012-04-26",33.16,34.04,33.15,33.92,5663592
"2012-05-03",34.38,34.83,34.08,34.23,12981081
"2012-05-10",34.62,34.81,34.47,34.6,5019834
"2012-05-17",33.5,33.73,32.85,32.96,7512332
"2012-05-24",33.13,33.47,32.85,33.43,4731653
"2012-05-31",33.72,34.19,33.41,33.94,5940191
"2012-06-07",34.5,34.7,34.05,34.07,5352169
"2012-06-14",34.17,34.55,33.95,34.44,4640983
"2012-06-21",34.82,34.88,33.98,34,3119626
"2012-06-28",34.12,34.18,33.65,34.14,3395066
"2012-07-05",35.09,35.17,34.78,34.9,2458383
"2012-07-12",33.77,33.79,33.35,33.65,4135540
"2012-07-19",34.24,34.89,34.11,34.71,5768282
"2012-07-26",34.08,34.47,34,34.15,4745281
"2012-08-02",36.26,36.56,36.01,36.53,6685465
"2012-08-09",38.22,38.38,37.94,38.05,3305744
"2012-08-16",37.98,38.1,37.6,37.74,3777167
"2012-08-23",38.12,38.28,37.62,37.71,3559242
"2012-08-30",37.15,37.3,37.02,37.18,1921704
"2012-09-06",38.03,38.55,37.9,38.46,4218733
"2012-09-13",38.76,39.47,38.59,39.43,3497853
"2012-09-20",39.36,39.9,39.22,39.87,4727001
"2012-09-27",39.59,39.88,39.43,39.77,3594270
"2012-10-04",40.61,40.96,40.53,40.82,2550803
"2012-10-11",40.73,41.24,40.67,40.82,3063976
"2012-10-18",41.93,42.81,41.93,42.62,4364625
"2012-10-25",41.6,41.63,40.3,40.51,5993944
"2012-11-01",40.74,40.76,38.74,39.05,8403280
"2012-11-08",38.6,39.09,38.52,38.68,4813991
"2012-11-15",38.36,38.57,38.04,38.28,3195392
"2012-11-29",40.76,40.97,40.56,40.64,2900426
"2012-12-06",41.25,41.3,40.74,41.19,3166782
"2012-12-13",41.16,41.43,40.73,40.85,1818635
"2012-12-20",40.8,41.14,40.64,41.12,3087417
"2012-12-27",40.32,40.45,39.7,40.13,2058767
"2013-01-03",41.2,41.64,40.95,41.58,2794519
"2013-01-10",42.49,42.66,42.39,42.58,3104144
"2013-01-17",42.86,43.34,42.72,43.09,3540330
"2013-01-24",43.87,44,43.52,43.57,3808969
"2013-01-31",44.19,44.35,43.8,43.9,3262824
"2013-02-07",45.67,46.1,44.51,45.06,7146990
"2013-02-14",45.68,46.08,45.46,45.88,3968755
"2013-02-21",46.38,46.53,46.15,46.47,4037755
"2013-02-28",45.98,46.34,45.77,46.02,3876898
"2013-03-07",47.35,47.44,47.2,47.29,1707681
"2013-03-14",47.99,48.28,47.83,48.2,2623909
"2013-03-21",47.81,48.13,47.66,47.8,2145484
"2013-03-28",48.75,49.13,48.73,49.07,2467712
