"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume"
"2014-09-15",94.31,94.83,93.77,94.65,2711610
"2014-09-16",94.47,95.02,93.89,94.86,2237666
"2014-09-17",95.16,95.98,94.9,95.54,3133676
"2014-09-18",96,96.5,95.67,96.39,2636162
"2014-09-19",96.72,96.93,96.24,96.5,5388905
"2014-09-22",95.82,96.33,94.56,94.7,2231137
"2014-09-23",94.35,94.43,93.32,93.39,3339526
"2014-09-24",93.31,94.02,93.24,93.83,2349191
"2014-09-25",93.53,93.64,92.33,92.4,2264190
"2014-09-26",92.43,93.35,92.25,93.3,2392839
"2014-09-29",92.43,93.83,92.36,93.53,3054903
"2014-09-30",93.43,93.72,92.67,93.12,2562722
"2014-10-01",92.75,92.85,91.3,91.66,4462118
"2014-10-02",91.59,91.87,90.3,91.12,2724589
"2014-10-03",91.9,92.11,91.15,91.71,2543216
"2014-10-06",92.08,92.74,91.66,91.95,2392750
"2014-10-07",91.17,91.36,89.74,89.79,2590587
"2014-10-08",89.88,91.52,89.28,91.45,3456009
"2014-10-09",91.38,91.58,89.5,89.77,2691324
"2014-10-10",89.55,89.79,87.89,87.9,4657062
"2014-10-13",88.02,88.5,85.56,85.66,4127275
"2014-10-14",86,86.96,85.71,86.19,5621849
"2014-10-15",85.17,85.72,82.89,85.11,7911282
"2014-10-16",83.73,86.8,83.48,86.39,6011774
"2014-10-17",89.23,90.78,88.89,90.06,7843117
"2014-10-20",89.35,90.02,88.97,90,4513365
"2014-10-21",90.6,92.95,90.6,92.92,4539653
"2014-10-22",93.56,93.78,91.13,91.16,5255167
"2014-10-23",92.8,94.5,92.6,93.58,4083490
"2014-10-24",93.54,94.85,93.21,94.7,2664341
"2014-10-27",94.19,94.4,93.25,93.7,4131468
"2014-10-28",94.4,95.39,94.15,95.17,3184899
"2014-10-29",95.24,95.74,94.37,95.05,2604618
"2014-10-30",94.4,96.02,94.15,95.59,2292374
"2014-10-31",96.93,96.98,95.88,96.12,3995814
"2014-11-03",96.25,96.25,95.43,95.66,3090967
"2014-11-04",95.7,95.86,94.88,95.29,2691258
"2014-11-05",96.32,96.89,95.7,96.71,2776859
"2014-11-06",96.89,96.97,96.13,96.71,3018155
"2014-11-07",96.7,96.98,96.13,96.77,2364976
"2014-11-10",96.87,97.38,96.39,97.27,1828065
"2014-11-11",97.2,97.6,96.74,96.98,1234987
"2014-11-12",96.36,97.18,96.33,97.01,1810814
"2014-11-13",97.04,97.8,96.74,97.06,2418383
"2014-11-14",97.14,97.31,96.58,96.79,1348055
"2014-11-17",96.18,96.64,96.18,96.53,1741548
"2014-11-18",96.25,97.24,96.09,96.83,2227922
"2014-11-19",96.57,96.7,96,96.57,1349763
"2014-11-20",96.14,96.88,95.85,96.73,1737475
"2014-11-21",97.74,98.41,97.61,98.23,3331276
"2014-11-24",98.54,98.86,97.96,98.27,1954914
"2014-11-25",98.26,99.21,98.15,98.88,2789005
"2014-11-26",99.14,99.22,98.87,99.08,2183045
"2014-11-28",99.25,99.35,98.94,99.07,1549101
"2014-12-01",98.6,98.91,97.32,97.4,3042486
"2014-12-02",97.47,97.86,97.23,97.86,1685592
"2014-12-03",98.14,100.06,98.14,99.97,2694797
"2014-12-04",99.85,99.85,98.76,99.26,1945182
"2014-12-05",99.62,100.16,99.38,99.69,1472400
"2014-12-08",99.37,99.78,98.57,98.75,1569076
"2014-12-09",97.49,99.41,97.45,99.32,1715351
"2014-12-10",99.19,99.25,97.4,97.5,2388082
"2014-12-11",97.7,98.5,97.57,97.89,2213474
"2014-12-12",97.1,97.49,95.84,95.88,2363658
"2014-12-15",97.03,97.33,95.37,95.81,3322584
"2014-12-16",95.91,98.06,95.81,96.38,4038927
"2014-12-17",96.4,97.83,95.59,97.66,4921612
"2014-12-18",98.96,100.63,98.67,100.63,3657079
"2014-12-19",100.66,101.75,100.44,101.16,4415719
"2014-12-22",100.97,101.98,100.82,101.21,2559926
