"","BAX.Open","BAX.High","BAX.Low","BAX.Close","BAX.Volume"
"2011-09-15",55.48,56.08,54.86,56.06,3461495
"2011-09-22",53.18,53.34,51.99,52.91,4602161
"2011-09-29",56.59,57.22,55.4,56.21,3482448
"2011-10-06",54.56,55.24,54.02,55.23,2687395
"2011-10-13",55.1,55.74,54.2,55.4,3934876
"2011-10-20",54.24,54.52,52.8,53.86,6540059
"2011-10-27",56.15,56.32,54.98,55.26,5238643
"2011-11-03",55.15,55.2,54.36,55,4116993
"2011-11-10",53.35,53.95,53.32,53.67,2930670
"2011-11-17",53.49,53.84,51.13,51.36,7426619
"2011-12-01",51.52,52.42,51.48,52.13,4054241
"2011-12-08",50.5,50.66,49.39,49.48,4333556
"2011-12-15",48.48,49.06,48.28,48.36,3700937
"2011-12-22",49.5,49.9,49.37,49.76,2405292
"2011-12-29",49.47,49.86,49.28,49.79,1861568
"2012-01-05",49.88,50.05,49.63,49.66,3097983
"2012-01-12",50.99,51.98,50.97,51.79,3691572
"2012-01-19",51.78,53.32,51.75,52.62,5266074
"2012-01-26",54.89,56.68,54.45,55.65,6079039
"2012-02-02",56.42,56.69,56.25,56.54,3892957
"2012-02-09",57.03,57.04,56.33,56.8,2417678
"2012-02-16",56.92,57.07,56.7,56.78,3031448
"2012-02-23",56.49,56.75,56.4,56.59,1838365
"2012-03-01",58.02,58.38,57.68,58.3,3140072
"2012-03-08",57.93,59.06,57.85,59,4306407
"2012-03-15",59.55,59.87,59.4,59.78,2119903
"2012-03-22",59.14,59.36,59.02,59.24,2189177
"2012-03-29",59.25,59.65,59.06,59.52,1951907
"2012-04-05",59.6,59.62,59.08,59.57,2067129
"2012-04-12",58.23,58.81,57.98,58.71,1896716
"2012-04-19",55.05,55.32,53.79,54.18,4193344
"2012-04-26",54.98,55.15,54.61,54.69,2723697
"2012-05-03",55.66,56.09,55.31,55.4,2673633
"2012-05-10",54.53,54.97,54.31,54.42,1802602
"2012-05-17",52.83,53.02,52.2,52.21,2860933
"2012-05-24",52.07,52.3,51.87,52.25,1544302
"2012-05-31",51.37,51.45,50.56,50.62,3981136
"2012-06-07",50.86,51.02,50.38,50.48,3492457
"2012-06-14",49.8,50.2,48.98,49.03,5230979
"2012-06-21",51.89,52.61,51.39,51.48,6506369
"2012-06-28",51.9,52.06,51.1,51.58,2054177
"2012-07-05",54.15,54.32,53.79,54.01,2016343
"2012-07-12",53.62,54.01,53.51,53.86,5134517
"2012-07-19",57,57.24,56.31,56.44,3616255
