"","WAT.Open","WAT.High","WAT.Low","WAT.Close","WAT.Volume"
"2011-09-15",80.28,81.87,79.61,81.81,1459836
"2011-09-22",74.62,75,73.64,74.27,1960466
"2011-09-29",78.51,78.59,75.65,77.75,773550
"2011-10-06",76.99,79.15,76.49,79.1,1000412
"2011-10-13",77.09,77.09,74.97,75.96,739142
"2011-10-20",76.02,77.84,75.23,77.72,842781
"2011-10-27",79.26,81.51,77.99,80.95,1138244
"2011-11-03",78.58,79.99,77.84,79.67,568233
"2011-11-10",78.43,78.84,77.48,77.93,415730
"2011-11-17",78.36,78.41,75.52,76.17,978274
"2011-12-01",79.67,81.06,79.42,79.95,583780
"2011-12-08",78.65,78.96,75.33,75.56,1197435
"2011-12-15",72.64,73.19,71.78,71.93,843885
"2011-12-22",73.72,75.02,73.47,74.52,316780
"2011-12-29",73.52,74.37,73.28,74.14,369363
"2012-01-05",74.32,74.35,73.19,73.71,750007
"2012-01-12",75.61,76.87,75.2,76.71,818144
"2012-01-19",76.35,79.71,75.92,79.38,1389087
"2012-01-26",87.95,88,86.4,86.95,1216617
"2012-02-02",88.28,89.05,88.17,88.78,557495
"2012-02-09",88.75,88.75,86.94,88.34,455862
"2012-02-16",87.91,89.54,87.12,89.1,998625
"2012-02-23",88.17,88.43,87.17,88.11,451108
"2012-03-01",89.58,90.58,89.3,90.3,1534732
"2012-03-08",88.47,90,87.72,89.86,824401
"2012-03-15",92.08,93.18,91.9,93.13,389363
"2012-03-22",91.24,91.99,90.23,91.21,547511
"2012-03-29",92.43,92.52,91.34,91.81,470790
"2012-04-05",91.32,92.03,91.32,91.93,376107
"2012-04-12",88.15,89.72,88.05,89.28,428373
"2012-04-19",88.38,89.19,87.4,88.04,776910
"2012-04-26",83.15,84.6,82.95,84.3,1094954
"2012-05-03",84,84,82.95,83.52,679699
"2012-05-10",84.94,85.28,83.93,84.29,468071
"2012-05-17",83.5,84.53,82.43,82.52,1193887
"2012-05-24",82.34,83.13,81.64,82.25,736159
"2012-05-31",80.84,80.89,79.44,79.78,1398914
"2012-06-07",79.64,80.16,78.24,78.35,1004480
"2012-06-14",79.7,80.51,79.22,80.32,702243
"2012-06-21",82.56,83.11,79.98,80.04,767382
"2012-06-28",77.64,78.09,75.84,76.89,702124
"2012-07-05",79.13,80.34,78.94,79.82,1040478
"2012-07-12",74.64,75.86,74.64,75.41,852722
"2012-07-19",78.71,78.77,77.56,78.51,606428
"2012-07-26",77.17,79.98,76.38,77.09,741128
"2012-08-02",76.65,76.91,74.72,75.4,553940
"2012-08-09",79.2,79.94,78.24,78.56,556137
"2012-08-16",77.88,77.88,75.9,76.17,1052773
"2012-08-23",76.66,77.56,76.23,77.1,687353
"2012-08-30",78.49,79.36,78.2,79.09,719557
"2012-09-06",80.45,81.76,80.15,81.67,587490
"2012-09-13",83.78,85.37,83.21,85.15,822595
"2012-09-20",84.75,85.15,83.79,85.09,545408
"2012-09-27",83.83,84.34,83.47,84.12,383495
"2012-10-04",84.66,85.18,84.28,84.45,528125
"2012-10-11",80.89,81.95,80.81,80.89,295873
"2012-10-18",81.59,81.77,79.46,81.1,573970
"2012-10-25",80.35,81.2,80.13,80.67,433335
"2012-11-01",82,84.28,81.97,84.19,499745
"2012-11-08",83.91,84.34,83.21,83.21,357138
"2012-11-15",80.49,81.32,80.04,81.13,692806
"2012-11-29",83.97,84.69,83.66,84.55,375180
"2012-12-06",84.1,85.05,83.59,85.02,573439
"2012-12-13",87.33,87.75,86.97,87.43,303318
"2012-12-20",88.39,89.51,88.16,89.33,555397
"2012-12-27",87.57,87.97,86.44,87.53,421584
"2013-01-03",86.78,86.81,85.5,86.22,876737
"2013-01-10",91.46,91.73,90.5,91.26,393555
"2013-01-17",90.05,90.98,89.51,90.57,511954
"2013-01-24",90.93,91.94,90.44,90.95,370887
"2013-01-31",91.58,92.29,91.11,91.57,437012
"2013-02-07",92.05,92.06,90.95,91.4,372949
"2013-02-14",92.92,93.53,92.28,93.47,431272
"2013-02-21",92.24,92.9,91.46,91.79,443778
"2013-02-28",93,93.63,92.21,92.72,455777
"2013-03-07",94.73,94.98,94.17,94.26,202045
"2013-03-14",94.37,94.67,93.98,94.66,269235
"2013-03-21",94.34,94.34,93.02,93.11,302618
"2013-03-28",93.31,94,92.83,93.91,616983
"2013-04-04",94.37,94.9,93.85,94.57,275288
"2013-04-11",95.29,96.25,95.29,95.46,232209
"2013-04-18",89.53,89.57,87.9,88.24,806181
"2013-04-25",92.77,93.48,92.64,92.88,370283
"2013-05-02",92.8,93.52,92.59,92.63,452065
"2013-05-09",95.59,97.12,95.59,96.42,653422
"2013-05-16",98.09,98.35,96.93,97.07,361475
"2013-05-23",95.89,97.28,95.52,97.17,528814
"2013-05-30",97.8,98.56,97.17,97.72,681756
