"","HPQ.Open","HPQ.High","HPQ.Low","HPQ.Close","HPQ.Volume"
"2011-09-15",23.22,23.34,22.73,23.27,15821193
"2011-09-22",23.05,23.71,22.26,22.8,64315651
"2011-09-29",23.81,24.46,23.34,23.78,26828558
"2011-10-06",24.14,25.06,23.87,25.05,28482210
"2011-10-13",25.92,25.95,25.14,25.63,15492820
"2011-10-20",24.89,25.02,24.25,24.74,18703720
"2011-10-27",26.48,27.44,26.43,27.09,26263096
"2011-11-03",26.2,26.98,25.84,26.84,16111309
"2011-11-10",26.54,26.92,26.31,26.76,15048985
"2011-11-17",27.84,27.87,26.82,27.29,18327197
"2011-12-01",27.44,28.44,27.44,28.22,22169050
"2011-12-08",28.17,28.67,27.56,27.66,21688006
"2011-12-15",26.64,26.7,26.12,26.16,17911286
"2011-12-22",25.53,25.99,25.44,25.86,12945676
"2011-12-29",25.13,25.67,25.13,25.62,9160694
"2012-01-05",26.32,26.59,26.25,26.5,13847358
"2012-01-12",26.73,26.99,26.65,26.95,10433800
"2012-01-19",27.02,27.25,26.88,27.15,11182870
"2012-01-26",28.21,28.47,27.85,27.99,11408234
"2012-02-02",28.72,28.85,28.38,28.5,12708698
"2012-02-09",29.38,29.49,29.03,29.11,16034276
"2012-02-16",28.94,29.98,28.93,29.88,20625644
"2012-02-23",27.6,27.87,26.85,27.05,71378856
"2012-03-01",25.35,25.65,25.19,25.25,25214079
"2012-03-08",24.44,24.74,24.34,24.64,13984563
"2012-03-15",24.12,24.59,24.08,24.4,20441953
"2012-03-22",23.16,23.28,22.91,23.03,34291853
"2012-03-29",23.41,23.61,23.37,23.51,17345263
"2012-04-05",23.15,23.37,23.08,23.11,14733179
"2012-04-12",23.99,25.14,23.96,25.1,43412474
"2012-04-19",24.86,25.15,24.48,24.71,18077856
"2012-04-26",24.75,24.97,24.69,24.87,9861599
"2012-05-03",25.25,25.33,24.45,24.48,14760996
"2012-05-10",23.29,23.61,23.1,23.51,16117447
"2012-05-17",22.03,22.27,21.82,22.06,16733311
"2012-05-24",22.62,22.66,21.32,21.77,58995690
"2012-05-31",22.81,22.88,22.34,22.68,21902523
"2012-06-07",22.5,22.75,22.01,22.06,14333402
"2012-06-14",21.48,21.74,21.39,21.59,10875090
"2012-06-21",21.08,21.15,20.22,20.3,19642828
"2012-06-28",19.33,19.4,19.12,19.36,15942276
"2012-07-05",20.27,20.42,20.13,20.28,10525961
"2012-07-12",19.3,19.49,19.04,19.35,23525861
"2012-07-19",19.27,19.37,19.02,19.1,15260112
"2012-07-26",18.05,18.2,17.8,18.01,16666970
"2012-08-02",17.61,18.18,17.41,17.55,31165501
"2012-08-09",19.4,19.56,19.06,19.41,20192572
"2012-08-16",19.43,19.6,19.22,19.52,17835340
"2012-08-23",18.04,18.22,17.56,17.64,72809429
