"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume"
"2011-09-15",51.98,53.4,51.1,53.02,7980552
"2011-09-22",51.59,52.09,49.49,50.36,8981711
"2011-09-29",54.68,55.01,53.37,54.44,4609549
"2011-10-06",54.62,55.35,53.68,55.3,5652196
"2011-10-13",56.86,57.49,56.18,57.18,3106907
"2011-10-20",57.1,57.53,56.48,57.09,2826311
"2011-10-27",59.54,61.38,58.65,60.41,5496955
"2011-11-03",59.32,59.62,58.49,59.22,3418926
"2011-11-10",57.55,57.64,56.25,57,2547408
"2011-11-17",56.7,57.13,55.36,55.7,3889586
"2011-12-01",57.71,58.8,57.32,57.97,2569930
"2011-12-08",58.1,58.27,56.54,56.67,3232940
"2011-12-15",56.32,57.04,55.99,56.13,5399523
"2011-12-22",52.31,52.68,51.85,52.58,4007296
"2011-12-29",53.09,53.91,52.73,53.84,3293362
"2012-01-05",52.95,52.97,51.81,51.92,5640804
"2012-01-12",53.19,54.06,53,53.94,5096478
"2012-01-19",55.25,55.47,54.57,54.8,5753057
"2012-01-26",57.23,57.41,56.54,56.92,3312309
"2012-02-02",58.55,58.59,57.76,57.77,2716493
"2012-02-09",57.18,57.59,57.11,57.41,3519580
"2012-02-16",58.1,58.52,57.67,58.45,2106941
"2012-02-23",58.57,59.55,58.46,59.41,3683263
"2012-03-01",59.81,59.91,59.45,59.68,2571353
"2012-03-08",60.12,60.5,59.82,60.27,1806424
"2012-03-15",62.55,63.67,62.25,63.63,3290048
"2012-03-22",63.17,63.61,62.7,63.52,4806171
"2012-03-29",63.91,64.61,63.91,64.5,2436129
"2012-04-05",64.09,65.11,63.98,64.79,2726557
"2012-04-12",63.57,64.22,63.48,64.13,2924948
"2012-04-19",63.59,63.71,62.61,63.05,3079608
"2012-04-26",63.96,64.66,63.91,64.34,2152086
"2012-05-03",65.09,65.18,64.06,64.21,2596498
"2012-05-10",59.75,59.78,58.4,58.7,5100007
"2012-05-17",59.1,59.24,58.39,58.39,2823605
"2012-05-24",58.99,59.37,57.68,57.99,5800718
"2012-05-31",57.9,57.94,56.21,57.1,5136312
"2012-06-07",59.25,59.25,58.68,58.86,4154566
"2012-06-14",57.13,58.12,57,57.84,3059024
"2012-06-21",59.58,59.83,56.55,56.66,5552810
"2012-06-28",55.38,56.75,55.34,56.63,5015343
"2012-07-05",60.53,60.89,60.09,60.27,3064831
"2012-07-12",56.67,57.51,56.23,57.27,3772934
"2012-07-19",59.23,59.78,58.76,59.35,2955354
"2012-07-26",58.57,59.54,58.57,59.21,3172324
"2012-08-02",59.65,60,58.69,59.03,3527006
"2012-08-09",61.56,61.79,61.19,61.55,2363137
"2012-08-16",61.08,61.37,60.56,61.15,1816897
"2012-08-23",61.4,61.49,60.64,60.83,2059817
"2012-08-30",60.8,61.37,60.5,61.15,2082668
"2012-09-06",61.72,63.88,61.68,63.87,3104376
"2012-09-13",65.04,66,64.53,65.8,2505120
"2012-09-20",65.23,65.39,64.87,65.19,2786407
"2012-09-27",64.85,65.71,64.38,65.38,4771301
"2012-10-04",70.43,71.56,70.08,71.39,3621413
"2012-10-11",69.74,70.08,69.23,69.42,2239076
"2012-10-18",69.46,69.7,68.53,68.9,4121141
"2012-10-25",66.87,67.35,66.58,66.66,3498209
"2012-11-01",67.42,68.99,67.34,68.83,3203696
"2012-11-08",66.57,66.95,65.95,65.95,2592616
"2012-11-15",65.03,65.62,64.3,64.59,3814155
"2012-11-29",68.5,68.51,67.86,68.35,1508453
"2012-12-06",69.72,69.83,69.31,69.8,3294638
"2012-12-13",70.31,70.5,69.33,69.56,1603057
"2012-12-20",67.19,69.19,66,69.02,10555738
"2012-12-27",65.93,66.53,65.2,66.22,4119810
"2013-01-03",68.76,69.36,68.59,68.81,3340774
"2013-01-10",69.85,69.85,68.72,69.17,2774020
"2013-01-17",70.2,70.23,69.78,69.89,1743844
"2013-01-24",71.29,71.98,70.68,71.34,2608501
"2013-01-31",72.06,72.8,71.89,71.89,2456837
"2013-02-07",72.21,73,71.58,72.95,2973642
"2013-02-14",73.21,73.5,72.66,73.13,2096346
"2013-02-21",74.69,74.75,73.45,73.85,2647515
"2013-02-28",74.52,75.14,74.27,74.36,2366121
"2013-03-07",77.29,77.84,76.87,77.57,2565710
"2013-03-14",78.08,78.37,77.86,78.26,1959257
"2013-03-21",75.83,76,74.06,74.3,3844648
"2013-03-28",73.79,76.14,72.42,75.97,4040609
"2013-04-04",76.86,76.92,76.31,76.61,1796319
"2013-04-11",76.97,77.94,76.81,77.78,2533852
"2013-04-18",76.99,77.15,75.48,75.57,3529989
"2013-04-25",78,79.66,77.88,79.33,3478829
"2013-05-02",80.15,80.77,79.34,79.49,3432576
"2013-05-09",79.74,80.77,79.69,80.09,2155461
"2013-05-16",80.56,81.52,79.29,80.61,2528731
"2013-05-23",81.76,82.75,81.1,82.52,2759999
"2013-05-30",83.02,83.4,82.78,82.84,2195554
"2013-06-06",79.74,80.05,78.77,79.55,2721559
"2013-06-13",79.89,81.38,79.44,81.08,2150462
"2013-06-20",81.11,81.51,79.37,79.52,2886852
"2013-06-27",80.22,80.92,79.84,80.22,4107074
"2013-07-11",75,75.58,74.89,75.2,4099120
"2013-07-18",75.05,75.98,75.01,75.44,2646943
