Date,Open,High,Low,Close,Adj Close,Volume
2014-09-15,124.529999,131.970001,122.419998,130.119995,130.119995,5583500
2014-09-22,130.139999,136.929993,128.339996,135.740005,135.740005,5271400
2014-09-29,134.330002,135.690002,125.849998,129.410004,129.410004,5950500
2014-10-06,130.119995,132.960007,125.169998,125.980003,125.980003,4768300
2014-10-13,126.000000,127.720001,118.470001,124.660004,124.660004,4869800
2014-10-20,124.279999,132.809998,123.040001,132.350006,132.350006,3158000
2014-10-27,131.860001,133.669998,121.160004,130.970001,130.970001,5069400
2014-11-03,129.809998,130.720001,122.889999,124.209999,124.209999,5254400
2014-11-10,124.879997,126.540001,122.019997,125.430000,125.430000,2575000
2014-11-17,125.269997,131.860001,123.519997,129.470001,129.470001,2790600
2014-11-24,129.940002,134.729996,128.710007,132.570007,132.570007,1507600
2014-12-01,132.750000,135.190002,127.639999,128.500000,128.500000,2253900
2014-12-08,128.399994,137.839996,127.000000,129.369995,129.369995,3129400
2014-12-15,130.759995,134.490005,124.019997,133.559998,133.559998,3629300
2014-12-22,133.320007,135.419998,124.660004,131.949997,131.949997,1847200
2014-12-29,132.399994,134.369995,125.000000,127.730003,127.730003,1542400
2015-01-05,126.839996,130.350006,124.209999,129.000000,129.000000,3063500
2015-01-12,129.779999,141.309998,129.039993,141.089996,141.089996,3621900
2015-01-19,141.779999,149.020004,140.929993,145.300003,145.300003,2457500
2015-01-26,144.699997,148.800003,140.149994,141.130005,141.130005,2379800
2015-02-02,141.979996,144.500000,137.669998,141.910004,141.910004,1824900
2015-02-09,141.580002,151.250000,140.570007,151.110001,151.110001,2080300
2015-02-16,150.490005,157.059998,149.220001,156.009995,156.009995,1781500
2015-02-23,157.009995,164.380005,148.039993,155.050003,155.050003,4308100
2015-03-02,154.750000,163.119995,153.979996,160.649994,160.649994,3017700
2015-03-09,161.259995,165.619995,156.850006,163.300003,163.300003,2922600
2015-03-16,164.389999,181.610001,163.910004,178.490005,178.490005,4388200
2015-03-23,178.000000,181.570007,163.570007,172.960007,172.960007,3951000
2015-03-30,174.899994,179.289993,169.100006,174.729996,174.729996,3116000
2015-04-06,174.360001,188.350006,173.250000,184.440002,184.440002,3047700
2015-04-13,184.500000,190.289993,182.039993,185.190002,185.190002,3154300
2015-04-20,185.929993,189.119995,182.800003,186.690002,186.690002,2752600
2015-04-27,186.789993,188.190002,157.199997,170.919998,170.919998,6297700
2015-05-04,170.070007,179.520004,164.779999,178.910004,178.910004,3733100
2015-05-11,178.479996,180.960007,171.869995,172.750000,172.750000,2828300
2015-05-18,174.729996,186.020004,173.070007,183.690002,183.690002,2508800
