"","L.Open","L.High","L.Low","L.Close","L.Volume"
"2012-11-08",41.26,41.43,40.61,40.62,1238969
"2012-11-15",39.98,40.17,39.62,39.83,1222091
"2012-11-29",40.98,41.24,40.7,40.97,985290
"2012-12-06",41.13,41.39,41.04,41.28,921996
"2012-12-13",41.4,41.44,40.8,40.99,825891
"2012-12-20",41.21,41.39,40.94,41.24,1317321
"2012-12-27",40.59,40.73,40.21,40.49,788619
"2013-01-03",41.58,41.99,41.39,41.71,1021199
"2013-01-10",42.31,42.76,42.16,42.76,901991
"2013-01-17",42.57,42.94,42.41,42.73,771657
"2013-01-24",43.44,43.49,43.04,43.24,673721
"2013-01-31",43.3,43.57,43.14,43.37,935635
"2013-02-07",44,44.02,43.58,43.74,1212732
"2013-02-14",43.9,44.17,43.78,44.08,840983
"2013-02-21",43.32,43.54,43.04,43.41,1110881
"2013-02-28",43.08,43.46,43,43.11,1278802
"2013-03-07",43.21,43.29,43.17,43.22,801193
"2013-03-14",44.04,44.68,44.04,44.64,1076992
"2013-03-21",43.84,44.04,43.73,43.85,802450
"2013-03-28",43.69,44.12,43.66,44.07,1813869
"2013-04-04",43.99,44.4,43.86,44.23,950540
"2013-04-11",44.08,44.08,43.96,44,2527419
"2013-04-18",43.12,43.67,42.9,43,1120213
"2013-04-25",44.72,45.2,44.5,45.01,1188789
"2013-05-02",44.85,45.1,44.74,44.93,1077916
"2013-05-09",45.7,45.82,45.24,45.39,595727
"2013-05-16",46.13,46.37,45.95,46.04,596786
"2013-05-23",46.08,46.21,45.74,46.06,806928
"2013-05-30",46.16,46.38,45.96,46.19,724003
"2013-06-06",44.66,45.11,44.46,45.11,789426
"2013-06-13",44.35,44.99,44.25,44.99,900902
"2013-06-20",44.34,44.42,43.47,43.58,1123258
"2013-06-27",44.32,44.58,44.2,44.51,516905
"2013-07-11",45.57,45.57,45.16,45.45,910881
"2013-07-18",46.11,46.36,46.03,46.34,970627
"2013-07-25",46,46.21,45.86,46.12,520848
"2013-08-01",45.88,46.68,45.83,46.57,830661
"2013-08-08",45.88,46.11,45.63,46.03,724197
"2013-08-15",47.16,47.51,46.94,46.97,804951
"2013-08-22",45.63,46.06,45.62,45.93,407174
"2013-08-29",45,45.12,44.45,44.6,836994
"2013-09-05",44.94,45.02,44.35,44.81,826312
"2013-09-12",46.07,46.12,45.83,46.02,552644
"2013-09-19",47.57,47.79,47.48,47.6,695336
"2013-09-26",47.2,47.49,47.1,47.34,469891
"2013-10-03",46.79,46.97,46.13,46.21,1311036
"2013-10-10",47.1,48.13,47.02,48.13,1281336
"2013-10-17",48.29,48.83,48.24,48.76,1254033
"2013-10-24",48.56,48.73,48.25,48.59,468560
"2013-10-31",48.92,48.92,48.31,48.31,851338
"2013-11-07",48.56,48.64,47.66,47.74,740504
"2013-11-14",48.25,48.32,47.96,48.06,1119429
"2013-11-21",47.72,48.17,47.59,48.14,1539134
"2013-12-05",46.69,46.8,46.43,46.51,695733
"2013-12-12",46.47,46.76,46.37,46.61,826417
"2013-12-19",47.2,47.34,47.07,47.27,656335
"2013-12-26",48.01,48.15,47.84,48.03,361563
"2014-01-02",48.12,48.15,47.15,47.38,868993
"2014-01-09",46.83,46.93,46.38,46.81,923915
"2014-01-16",47.08,47.11,46.87,47.03,770772
"2014-01-23",46.73,46.94,45.84,46,926401
"2014-01-30",45.04,45.37,44.9,45.34,824691
"2014-02-06",44.56,44.83,44.44,44.74,741838
"2014-02-13",43.61,44.01,43.29,43.99,1248102
"2014-02-20",43.4,43.79,43.24,43.67,814508
"2014-02-27",43.36,43.61,43.02,43.56,1117024
"2014-03-06",44.18,44.51,44.05,44.4,839317
"2014-03-13",44.75,44.77,44.2,44.38,989170
"2014-03-20",43.58,44.18,43.58,43.91,760638
"2014-03-27",43.18,43.29,42.9,43.03,1064340
"2014-04-03",44.76,44.91,44.49,44.88,691085
"2014-04-10",44.54,44.81,43.92,43.92,692171
"2014-04-17",44,44.08,43.81,43.95,1022106
"2014-04-24",43.95,44.48,43.94,44.44,1458584
"2014-05-01",44.03,44.23,43.89,44.09,1169087
"2014-05-08",43.82,44.02,43.52,43.66,1178281
"2014-05-15",42.7,42.73,42.29,42.56,1228585
"2014-05-22",42.83,43.05,42.7,42.94,736069
"2014-05-29",43.25,43.44,43.13,43.27,1197123
"2014-06-05",43.91,44.05,43.63,43.99,890125
"2014-06-12",43.44,43.68,43.42,43.59,976601
"2014-06-19",43.71,43.83,43.53,43.78,1331161
"2014-06-26",43.74,43.83,43.5,43.65,1008221
"2014-07-03",44.07,44.23,43.95,44.03,777181
"2014-07-10",43.88,43.88,43.63,43.72,793070
"2014-07-17",44.2,44.33,43.68,43.76,1041253
"2014-07-24",44.13,44.13,43.79,43.85,911802
"2014-07-31",42.7,42.83,42.11,42.13,1335655
"2014-08-07",42.26,42.44,41.64,41.73,1028265
"2014-08-14",42.11,42.4,42.11,42.31,934055
"2014-08-21",42.78,43.24,42.69,43.18,850815
"2014-08-28",43.37,43.69,43.33,43.55,922045
"2014-09-04",43.54,43.68,43.34,43.36,1437536
"2014-09-11",42.6,42.82,42.57,42.6,1161750
"2014-09-18",42.5,43.14,42.45,43.02,1302872
"2014-09-25",42.23,42.29,41.79,41.79,838118
"2014-10-02",41.21,41.55,40.95,41.45,905013
"2014-10-09",41.67,41.82,40.87,40.9,2385774
"2014-10-16",39.49,40.77,39.49,40.6,1560523
"2014-10-23",42.19,42.48,42.11,42.19,1507361
"2014-10-30",42.93,43.3,42.85,43.1,714782
"2014-11-06",43.72,43.72,43.29,43.43,1018441
"2014-11-13",43.25,43.34,42.61,42.96,935210
"2014-11-20",42.46,42.8,42.44,42.74,811023
"2014-12-04",41.17,41.35,40.89,41,1271307
"2014-12-11",40.39,40.84,40.27,40.42,2126234
"2014-12-18",40.15,41.03,39.92,41.03,2372202
"2015-01-08",40.3,40.7,40.21,40.66,1011613
"2015-01-15",39.3,39.51,38.8,38.81,1527521
"2015-01-22",39.36,39.85,39.07,39.85,2484395
"2015-01-29",38.47,38.76,38,38.68,1212209
"2015-02-05",40.39,40.84,40.38,40.73,913958
"2015-02-12",41.57,41.97,41.51,41.92,814367
"2015-02-19",41.92,42.48,41.78,42.38,723998
"2015-02-26",41.55,41.67,40.96,41.21,1296961
"2015-03-05",40.79,40.86,40.5,40.69,565486
"2015-03-12",39.95,40.53,39.92,40.48,769829
"2015-03-19",40.98,41.07,40.6,40.85,1287887
"2015-03-26",40.2,40.51,40.12,40.4,1210734
"2015-04-02",40.34,41.31,40.34,41.15,1088543
"2015-04-09",41.4,41.49,41.09,41.44,791898
"2015-04-16",42.28,42.41,41.95,42.24,1039776
"2015-04-23",41.29,41.82,41.26,41.65,595258
"2015-04-30",41.83,41.98,41.47,41.64,725125
"2015-05-07",41.11,41.46,40.81,41.22,750389
"2015-05-14",40.78,40.92,40.53,40.9,1084313
"2015-05-21",41.12,41.26,41.01,41.05,886477
"2015-05-28",40.06,40.38,39.83,40.33,906274
"2015-06-04",40.55,40.68,40.07,40.14,1005043
"2015-06-11",40.63,40.71,40.35,40.47,813520
"2015-06-18",39.7,39.83,39.48,39.65,1654289
"2015-06-25",39.55,39.55,38.73,38.76,1113534
"2015-07-02",38.86,39.03,38.61,38.69,888333
"2015-07-09",38.76,38.79,38.37,38.4,1336650
"2015-07-16",39.12,39.2,38.79,38.97,856571
"2015-07-23",38.17,38.34,37.75,37.79,1069656
"2015-07-30",38.24,38.52,38.14,38.31,1546871
"2015-08-06",37.69,38.04,37.54,37.97,1470416
"2015-08-13",38.71,38.92,38.56,38.81,1295208
"2015-08-20",38.13,38.29,37.78,37.79,1297589
"2015-08-27",36.16,36.54,35.7,36.52,2796600
"2015-09-03",36.12,36.81,36.12,36.48,1560207
"2015-09-10",36.05,36.54,35.89,36.24,1488690
"2015-09-17",36.58,36.86,36.21,36.27,1289091
"2015-09-24",35.35,35.91,35.29,35.72,1521960
"2015-10-01",36.16,36.28,35.08,35.37,2974923
"2015-10-08",36.45,36.78,36.45,36.78,3211154
"2015-10-15",35.77,36.11,35.5,36.01,1392033
"2015-10-22",36.41,36.71,36.41,36.59,1626219
"2015-10-29",36.7,36.95,36.52,36.8,1041203
"2015-11-05",37.04,37.32,36.9,37.24,10926516
"2015-11-12",37.29,37.49,37.02,37.03,901769
"2015-11-19",37.95,37.99,37.7,37.86,806624
"2015-12-03",38.34,38.34,37.39,37.5,1826592
"2015-12-10",37.17,38.03,37.17,37.8,2192624
"2015-12-17",37.78,37.85,36.95,36.96,1086878
"2015-12-24",38.5,38.61,38.18,38.47,410346
"2015-12-31",38.37,38.73,38.19,38.4,1284517
"2016-01-07",36.32,36.82,36.13,36.16,1448184
"2016-01-14",35.31,36.01,35.17,35.78,1496086
"2016-01-21",34.22,34.81,34.2,34.38,1707549
"2016-01-28",35.9,36.15,35.49,35.97,970993
"2016-02-04",36.3,36.65,36.04,36.55,1697869
"2016-02-11",35.38,35.83,35.19,35.54,1447489
"2016-02-18",37.41,37.51,37.15,37.23,707492
"2016-02-25",36.19,36.44,35.99,36.44,1491354
"2016-03-03",37.39,37.7,37.27,37.68,1064039
"2016-03-10",36.52,36.67,36.05,36.59,1738393
"2016-03-17",37.75,38.86,37.64,38.76,1334552
"2016-03-24",38.36,38.53,38.19,38.36,744370
"2016-03-31",38.49,38.6,38.07,38.26,953371
"2016-04-07",37.42,37.54,37.25,37.52,1357919
"2016-04-14",39.45,39.66,39.3,39.51,720854
"2016-04-21",39.84,40,39.08,39.14,703366
"2016-04-28",39.86,40.16,39.68,39.75,662629
"2016-05-05",39.86,39.99,39.56,39.71,592047
"2016-05-12",39.81,39.95,39.44,39.65,774012
"2016-05-19",40.01,40.3,39.74,39.89,1423094
"2016-05-26",40.27,40.58,40.18,40.47,787529
"2016-06-02",40.41,40.59,40.18,40.55,713528
"2016-06-09",40.31,40.42,40.04,40.1,657616
"2016-06-16",39.14,39.72,39.03,39.69,1039354
"2016-06-23",40.74,40.96,40.66,40.96,542205
"2016-06-30",39.96,41.09,39.91,41.09,1202685
"2016-07-07",40.18,40.72,39.95,40.13,923187
"2016-07-14",41.82,41.82,41.4,41.49,1117987
"2016-07-21",41.08,41.2,40.98,41.08,376825
"2016-07-28",41.05,41.33,41.05,41.19,402013
"2016-08-04",40.51,40.68,40.35,40.39,613511
"2016-08-11",40.99,41.38,40.77,41.26,579769
"2016-08-18",41.36,41.57,41.28,41.57,545205
"2016-08-25",41.44,41.77,41.3,41.73,617293
"2016-09-01",41.93,41.94,41.09,41.31,761942
"2016-09-08",41.46,41.95,41.44,41.77,860358
"2016-09-15",40.71,40.98,40.58,40.93,941524
