"","L.Open","L.High","L.Low","L.Close","L.Volume"
"2011-09-15",37.1,37.44,36.76,37.44,1399378
"2011-09-22",34.24,34.71,33.86,34.26,3456326
"2011-09-29",35.36,35.58,34.49,35.23,2150512
"2011-10-06",34.81,35.41,34.47,35.41,2053555
"2011-10-13",35.72,36.15,35.29,35.97,1661823
"2011-10-20",36.51,37.56,36.38,37.52,2956929
"2011-10-27",40.65,41.66,40.37,41.42,2378463
"2011-11-03",39.14,39.47,38.53,39.36,2146639
"2011-11-10",38.86,38.97,38.3,38.69,1575629
"2011-11-17",38.37,38.71,37.55,37.73,2125370
"2011-12-01",38.25,38.53,38.11,38.33,1204728
"2011-12-08",38.82,38.92,37.75,37.83,2175939
"2011-12-15",37.76,37.88,37.14,37.19,1668900
"2011-12-22",37.81,37.94,37.61,37.92,1351106
"2011-12-29",37.66,37.96,37.52,37.92,705730
"2012-01-05",37.86,38.21,37.32,38.05,1089909
"2012-01-12",38.37,38.55,38.18,38.52,1000605
"2012-01-19",38.47,38.59,38.29,38.53,933081
"2012-01-26",38.29,38.38,37.74,37.95,1389132
"2012-02-02",37.96,38.14,37.78,38,1006889
"2012-02-09",38.55,38.7,38.08,38.2,806410
"2012-02-16",37.64,38.1,37.59,38.07,1181718
"2012-02-23",38.73,39.22,38.67,39.17,1093982
"2012-03-01",39.16,39.43,39.07,39.23,770384
"2012-03-08",38.53,38.54,38.05,38.32,996909
"2012-03-15",39.09,39.6,38.76,39.56,986848
"2012-03-22",39.13,39.14,38.77,38.8,1140889
"2012-03-29",39.35,39.57,39.26,39.47,973752
"2012-04-05",39.49,39.85,39.41,39.57,1158112
"2012-04-12",38.71,39.45,38.71,39.43,792885
"2012-04-19",39.72,39.98,39.46,39.55,1176891
"2012-04-26",40.63,41.1,40.5,41.05,1230464
"2012-05-03",41.17,41.48,41.05,41.14,995498
"2012-05-10",41.04,41.24,40.87,41,975499
"2012-05-17",39.12,39.28,38.68,38.73,1057839
"2012-05-24",39.34,39.39,38.96,39.37,715600
"2012-05-31",38.76,39.35,38.51,38.89,1119655
"2012-06-07",40,40.12,39.45,39.56,886458
"2012-06-14",39.35,39.78,39.26,39.71,980932
"2012-06-21",40.98,41.13,39.79,39.84,1268209
"2012-06-28",39.55,40.16,39.44,40.14,994068
"2012-07-05",41.17,41.3,40.56,40.59,1099804
"2012-07-12",40.04,40.24,39.83,40.09,685365
"2012-07-19",41.27,41.48,40.89,40.99,1590405
"2012-07-26",40.96,41.11,40.74,40.99,1287605
"2012-08-02",39.25,39.53,39.04,39.46,1234727
"2012-08-09",40.3,40.65,40.3,40.47,740847
"2012-08-16",40.48,40.58,40.34,40.52,770604
"2012-08-23",40.36,40.43,39.73,39.77,1068805
"2012-08-30",40.19,40.37,39.98,40.25,503507
"2012-09-06",41.06,41.37,40.89,40.93,1292367
"2012-09-13",41.34,42.38,41.18,42.32,1202883
"2012-09-20",41.55,41.59,41.18,41.44,871916
"2012-09-27",41.09,41.32,40.95,41.28,698038
"2012-10-04",41.52,41.96,41.37,41.96,683383
"2012-10-11",41.85,42.03,41.6,41.61,462988
"2012-10-18",42.7,43.36,42.52,43.17,937322
"2012-10-25",42.39,42.56,41.97,42.4,1288969
"2012-11-01",42.27,42.92,42.05,42.92,875492
