"","MON.Open","MON.High","MON.Low","MON.Close","MON.Volume"
"2015-10-08",87.76,90.17,87.76,89.25,4310901
"2015-10-15",90.67,90.98,89.15,90.69,3239325
"2015-10-22",92.48,92.93,91.08,91.28,4743396
"2015-10-29",92.42,94,92.05,93.73,3035025
"2015-11-05",94.9,95.21,93.85,93.96,3224150
"2015-11-12",92.54,93.41,92.4,92.88,2745290
"2015-11-19",96.17,97.11,95.64,95.83,2571558
"2015-12-03",97.18,97.65,95.7,96.55,4702774
"2015-12-10",96.61,97.32,95.83,96.09,2785733
"2015-12-17",97.02,97.02,95.16,95.74,3185511
"2015-12-24",99.62,99.9,98.86,99.27,867713
"2015-12-31",98.5,99.34,98.06,98.52,2516766
"2016-01-07",93.39,94.9,93.08,93.58,5861265
"2016-01-14",91.36,92.78,90.46,92.15,3694304
"2016-01-21",90.27,91.87,88.79,91.13,3919720
"2016-01-28",88.35,88.76,87.3,87.8,2106645
"2016-02-04",90.38,95.39,89.99,95.32,8555989
"2016-02-11",85.8,87,84.71,85.69,3507884
"2016-02-18",89.98,90.93,89.42,89.92,2295890
"2016-02-25",89.04,90.14,88.12,89.84,1552415
"2016-03-03",85.21,85.7,84.25,84.94,5485742
"2016-03-10",89.15,89.15,87.76,88.99,3146627
"2016-03-17",90.83,93.55,90.7,92.92,3918501
"2016-03-24",89.4,90.14,88.65,90.1,2901965
"2016-03-31",90.64,90.74,87.22,87.74,4553492
"2016-04-07",86.29,87.08,85.51,86.1,2670130
"2016-04-14",89.74,89.74,88.72,88.95,2404174
"2016-04-21",93.01,94.66,92.94,94.11,4191218
"2016-04-28",92.87,94.95,92.8,94.27,2065423
"2016-05-05",92.07,92.41,89.53,89.66,2538126
"2016-05-12",100.3,100.85,96.08,97.92,17831710
"2016-05-19",102.39,103.46,100.4,100.55,12120988
"2016-05-26",111.9,112.02,109.47,109.62,5008263
"2016-06-02",111.53,111.53,109.65,110.36,5844951
"2016-06-09",107.61,110.13,107.45,109.99,4456909
"2016-06-16",107.28,109.08,106.85,108.9,2094691
"2016-06-23",108.17,109.2,107.74,109.15,2623120
"2016-06-30",102.79,104.23,102.39,103.41,4247122
"2016-07-07",100.15,101.14,99.9,100.64,2377524
"2016-07-14",101.18,107.72,100.61,104.22,13555649
"2016-07-21",106.97,107.29,105.83,106.1,1254443
"2016-07-28",106.23,106.94,106.01,106.12,1374756
"2016-08-04",104.36,106.94,103,106.42,4951389
"2016-08-11",106.61,106.61,104.96,105.92,1731642
"2016-08-18",104.6,104.88,103.75,103.99,1695608
"2016-08-25",107.14,107.5,106.67,106.99,2074676
"2016-09-01",106.49,107.23,106.12,106.91,2376404
"2016-09-08",106.9,108.34,106.17,108.05,5174332
"2016-09-15",106.7,106.78,103.94,104.22,10629645
