"","CAH.Open","CAH.High","CAH.Low","CAH.Close","CAH.Volume"
"2011-09-15",41.88,41.99,40.27,41.38,4003029
"2011-09-22",41.59,42.14,41.32,41.74,3895100
"2011-09-29",43.84,44.44,42.41,43.04,3075077
"2011-10-06",40.09,40.24,38.56,39.98,5434351
"2011-10-13",41.23,41.57,40.82,41.52,2061170
"2011-10-20",42.46,42.89,41.94,42.42,2926160
"2011-10-27",42.53,45.16,42.18,44.83,3431838
"2011-11-03",44.37,44.67,43.96,44.25,1875128
"2011-11-10",43.2,43.58,42.73,43.2,1786923
"2011-11-17",42.81,43.16,42.03,42.24,2096513
"2011-12-01",42.47,42.94,42.29,42.37,1675302
"2011-12-08",41.6,41.78,41.19,41.29,3105951
"2011-12-15",41.04,41.23,40.78,41.03,1486798
"2011-12-22",40.79,40.96,40.52,40.89,1427387
"2011-12-29",40.04,40.68,40.01,40.64,1222704
"2012-01-05",40.93,41.16,40.62,40.9,2438562
"2012-01-12",41.6,41.86,41.38,41.86,2240407
"2012-01-19",42.28,42.8,41.98,42.71,1945306
"2012-01-26",42.13,42.19,41.3,42.12,2221081
"2012-02-02",44.02,44.02,42.09,42.22,4564630
"2012-02-09",42.62,42.62,42.08,42.13,2215933
"2012-02-16",41.5,41.82,41.46,41.8,1643124
"2012-02-23",41.12,41.58,41.03,41.54,1700480
"2012-03-01",41.55,41.84,41.37,41.59,1819983
"2012-03-08",41.13,41.8,41.12,41.75,2404713
"2012-03-15",41.61,41.74,41.35,41.7,1231710
"2012-03-22",41.1,41.58,41.03,41.53,1897016
"2012-03-29",42.66,43.13,42.65,43.1,1678595
"2012-04-05",41.77,42.48,41.51,41.77,3719636
"2012-04-12",42.19,42.38,41.23,41.3,4570355
"2012-04-19",41.17,41.49,40.85,41.17,2842285
"2012-04-26",41.4,42.12,41.08,41.91,1988962
"2012-05-03",42.71,43.33,42.65,43.33,3828629
"2012-05-10",42.4,42.61,42.14,42.24,2717238
"2012-05-17",42.12,42.23,41.51,41.51,1417338
"2012-05-24",41.08,41.56,41.05,41.47,1502377
"2012-05-31",41.08,41.68,41.04,41.38,2307027
"2012-06-07",41.88,41.98,41.62,41.72,1785526
"2012-06-14",41.67,41.94,41.6,41.82,1421714
"2012-06-21",42.37,42.43,41.53,41.54,1918072
"2012-06-28",40.2,41.14,40.19,40.96,3162492
"2012-07-05",42.74,42.91,42.49,42.57,1543633
"2012-07-12",42.15,42.39,41.75,42.01,2477956
"2012-07-19",43.2,43.81,43.09,43.5,3698656
"2012-07-26",42.57,42.8,41.62,42.07,2564407
"2012-08-02",42.05,42.16,40.76,40.89,4869020
"2012-08-09",39.74,40.55,39.55,40.2,4174732
"2012-08-16",39.72,39.93,39.34,39.87,2451728
"2012-08-23",39.55,39.73,39.33,39.55,3257850
"2012-08-30",39.87,39.94,39.52,39.57,1970573
"2012-09-06",39.16,39.41,38.96,39.19,3538798
"2012-09-13",37.58,38.05,37.3,37.79,6772357
"2012-09-20",37.44,38.58,36.91,38.55,5813649
"2012-09-27",39.08,39.84,38.74,39.63,5902839
"2012-10-04",39.98,40.66,39.74,40.65,3553096
"2012-10-11",40.93,41.1,40.79,40.91,2211242
"2012-10-18",41.64,41.91,41.48,41.74,1957582
"2012-10-25",41.09,41.2,40.44,40.89,3475031
"2012-11-01",41.02,41.45,40.98,41.3,4331762
"2012-11-08",40.77,40.79,40.05,40.06,2406530
"2012-11-15",39.35,39.58,39.09,39.36,1997575
"2012-11-29",39.96,40.43,39.89,40.3,2356774
"2012-12-06",40.42,40.56,40.23,40.44,1777142
"2012-12-13",41.86,42.01,41.73,41.91,1716786
"2012-12-20",42.01,42.31,41.87,42.31,1901556
"2012-12-27",41.65,41.71,40.88,41.35,1825257
"2013-01-03",41.62,41.81,41.42,41.79,1760711
"2013-01-10",42.74,43.03,42.67,42.99,1648074
"2013-01-17",43.84,44.54,43.78,44.16,3146904
"2013-01-24",45.11,45.11,44.63,44.73,4091112
"2013-01-31",44.66,44.69,43.6,43.81,5328039
"2013-02-07",44.28,44.83,44.27,44.79,4027610
"2013-02-14",46.72,46.75,45.6,46,4641591
"2013-02-21",46.11,46.28,45.3,45.48,2767902
"2013-02-28",46.21,46.5,46.17,46.21,1786591
"2013-03-07",46.24,46.48,45.85,45.89,2677774
"2013-03-14",46.87,47.1,46.74,47.09,2555724
"2013-03-21",41.99,42.42,41.82,41.97,8533719
