"","CAH.Open","CAH.High","CAH.Low","CAH.Close","CAH.Volume"
"2013-03-28",41.75,41.8,41.55,41.62,6389254
"2013-04-04",42.51,42.71,42.3,42.53,4477815
"2013-04-11",43.08,43.71,42.99,43.5,2701213
"2013-04-18",42.58,42.82,42.4,42.7,2052898
"2013-04-25",45.56,45.92,44.12,44.22,7004866
"2013-05-02",44.5,46.24,44.5,46.16,5095970
"2013-05-09",46.42,46.46,45.94,46.03,2176486
"2013-05-16",46.87,47.25,46.83,47,5242304
"2013-05-23",47.31,47.52,46.94,47.17,2660444
"2013-05-30",47.1,47.82,47.03,47.67,1707141
"2013-06-06",46.26,46.34,45.59,46.13,2294383
"2013-06-13",47.13,47.95,46.85,47.9,2224822
"2013-06-20",48.02,48.08,46.91,47.07,3395250
"2013-06-27",47.77,48.15,47.66,47.72,1900671
"2013-07-11",49.01,49.58,48.72,49.54,2235821
"2013-07-18",49.64,50.17,49.64,50.16,2154659
"2013-07-25",49.67,49.85,49.33,49.67,1630995
"2013-08-01",50.73,51.33,50.31,51.09,2519195
"2013-08-08",51.31,51.56,51.04,51.52,1513787
"2013-08-15",51.89,51.93,51.17,51.49,2302820
"2013-08-22",50.26,50.78,50.02,50.6,1311155
"2013-08-29",50,50.55,49.9,50.28,1242774
"2013-09-05",50.17,50.78,50.12,50.17,1970870
"2013-09-12",52.25,53,52.19,52.85,2928949
"2013-09-19",53.23,53.92,53.15,53.45,2336052
"2013-09-26",52.63,52.82,52,52.32,1534373
"2013-10-03",52.92,53.61,52.72,53.5,3854465
"2013-10-10",53.39,54.97,53.33,54.7,2612312
"2013-10-17",55.23,56.62,55.23,56.59,1695624
"2013-10-24",55.83,56.08,54.9,55.02,5545246
"2013-10-31",57,59.1,56,58.66,6708509
"2013-11-07",61.32,61.66,60.62,60.82,3988769
"2013-11-14",63.9,64.57,63.4,64.51,2939495
"2013-11-21",64.9,65.38,64.63,65.35,2452985
"2013-12-05",63.08,63.54,62.55,62.93,4879107
"2013-12-12",66.05,66.69,66,66.17,2969371
"2013-12-19",66.58,66.84,66.27,66.77,2129857
"2013-12-26",67.13,67.65,67.12,67.48,914726
"2014-01-02",66.45,66.65,65.91,66.13,1608509
"2014-01-09",67.36,68.86,67.03,68.18,3823491
"2014-01-16",67.91,68.17,67.74,67.94,1586158
"2014-01-23",67.55,67.84,66.71,66.96,2632088
"2014-01-30",68.75,69.39,67.53,68.96,3887230
"2014-02-06",65.56,66.57,65.25,66.27,2235525
"2014-02-13",69.16,70.36,68.68,69.92,2132459
"2014-02-20",70.98,71.81,70.58,71.51,1720595
"2014-02-27",71.48,72.04,71.02,71.83,2095642
"2014-03-06",73.56,73.67,72.5,72.56,1755745
"2014-03-13",72.9,73.25,72.36,72.48,1985067
"2014-03-20",72.07,72.12,71.5,71.75,2118567
"2014-03-27",70.34,70.53,68.95,69.14,2184300
"2014-04-03",70.3,71.46,70.14,71.31,2468848
"2014-04-10",69.54,69.74,67.18,67.19,2834114
"2014-04-17",67.93,68.61,67.6,68.13,1419846
"2014-04-24",69.48,69.82,68.54,68.61,1752547
"2014-05-01",66.77,66.8,64.33,65.12,5540530
"2014-05-08",63.97,65.14,63.51,63.9,2637083
"2014-05-15",64.97,65.18,64.65,64.93,1513697
"2014-05-22",67.36,68.32,67.32,67.78,1477992
"2014-05-29",69.49,71.27,69.38,71.11,2602143
"2014-06-05",71,71.54,70.65,70.72,1776382
"2014-06-12",69.67,69.76,67.7,67.92,4136987
"2014-06-19",68.97,69.26,68.56,68.7,1205500
"2014-06-26",69.54,69.62,69.06,69.23,1208650
"2014-07-03",69.78,70.52,69.65,70.41,1241019
"2014-07-10",69.62,70.72,69.53,70.51,1258762
"2014-07-17",70.56,71.34,70.35,70.58,1841258
"2014-07-24",72.14,73.75,71.93,72.43,3435874
"2014-07-31",72.25,72.7,71.49,71.65,2629365
"2014-08-07",70.88,70.88,69.68,70,2154298
"2014-08-14",72.11,72.38,71.84,72.13,945447
"2014-08-21",72.5,73.45,72.44,73.1,1617337
"2014-08-28",72.54,73.51,72.45,73.27,1218041
"2014-09-04",74.43,75,73.97,74.3,1938603
"2014-09-11",75.03,75.67,75.02,75.26,1353175
"2014-09-18",75.16,75.6,74.91,75.42,1632920
"2014-09-25",77.29,77.69,76.09,76.16,1747135
"2014-10-02",74.78,75.61,74.32,75.05,2713391
"2014-10-09",76.51,76.67,75.38,75.4,1457213
"2014-10-16",71.83,73.24,71.76,72.13,3166933
"2014-10-23",76.87,77.13,76.33,76.45,1685904
"2014-10-30",77.93,78.6,77.34,78.19,3194548
"2014-11-06",79.27,79.81,78.86,79.6,1544914
"2014-11-13",80.37,81.01,80.28,80.66,2233797
"2014-11-20",79.3,79.49,78.58,78.87,2319573
"2014-12-04",82.01,82.26,81.37,82.23,1184962
"2014-12-11",80.84,81.79,80.3,80.47,1427149
"2014-12-18",81.22,82.41,80.85,82.41,1642341
"2015-01-08",82.75,84.59,82.72,84.56,2741747
"2015-01-15",82.08,82.46,80.78,80.85,1224672
"2015-01-22",82.43,83.95,81.45,83.92,2321791
"2015-01-29",83.73,85.35,82.76,84.82,2927270
"2015-02-05",84.23,84.92,83.89,84.43,2228569
"2015-02-12",86.64,86.68,85.24,86.04,1533799
"2015-02-19",86.26,86.54,85.87,86.17,834214
"2015-02-26",88.16,88.82,87.73,88.17,1145138
"2015-03-05",89.21,89.63,88.6,88.95,1504219
"2015-03-12",87.74,88.71,87.74,88.48,1197755
"2015-03-19",90.4,90.4,89.27,89.92,1627407
"2015-03-26",88.75,90.07,88.11,89.14,1611582
"2015-04-02",89.25,89.83,88.43,89.6,1257296
"2015-04-09",89.9,90.61,89.48,89.89,1490847
"2015-04-16",90.15,90.16,89.43,89.66,1151123
"2015-04-23",91.09,91.89,90.68,91.5,1488625
"2015-04-30",88.9,88.9,83.85,84.34,5378085
"2015-05-07",84.8,85.63,84.72,84.99,2153963
"2015-05-14",87.07,88.06,86.81,88,1653232
"2015-05-21",87.96,88.78,87.87,88.66,1871786
"2015-05-28",88.68,89.63,88.08,88.11,2032678
"2015-06-04",87.23,88.09,87.12,87.61,1458101
"2015-06-11",89.23,90.11,88.75,89.67,2654307
"2015-06-18",90.04,90.66,89.84,89.85,2603618
"2015-06-25",87.44,87.44,85.85,86.67,3811942
"2015-07-02",85.25,85.46,84.14,84.5,1556760
"2015-07-09",84.65,84.9,83.82,84.16,2459723
"2015-07-16",87.22,87.24,86.49,87.02,1488338
"2015-07-23",86.91,87.09,84.04,84.27,3063626
"2015-07-30",84.52,86.47,80.05,83.34,7632424
"2015-08-06",86.41,86.59,84.62,84.78,2038459
"2015-08-13",85.1,85.24,84.17,84.2,1572038
"2015-08-20",84.48,85.04,82.19,82.26,2544151
"2015-08-27",84.15,85.27,82.29,83.69,4188935
"2015-09-03",82.05,82.56,80.85,81.15,1614798
"2015-09-10",81.17,83.33,80.83,83.01,2612252
"2015-09-17",85.51,85.78,84.51,84.77,2086831
"2015-09-24",81.53,81.67,80.27,81.43,2117083
"2015-10-01",77.03,77.23,75.82,77.12,2208581
"2015-10-08",77.53,78.22,76.94,77.7,2466119
"2015-10-15",78.79,79.26,78.17,79.14,2928282
"2015-10-22",78.35,78.9,76.71,77.75,3138499
"2015-10-29",82.8,83.32,81.8,83.01,2315649
"2015-11-05",86.75,88.32,86.42,88.2,2396643
"2015-11-12",86.96,86.96,85.41,85.49,1607019
"2015-11-19",88.59,88.62,87.07,87.36,1630665
"2015-12-03",87.46,87.61,85.64,86.3,2408860
"2015-12-10",87.66,88.05,86.87,87.14,1858991
"2015-12-17",88.99,89.55,87.94,87.96,1647605
"2015-12-24",89.48,90,89.27,89.71,453883
"2015-12-31",89.42,90.55,89.25,89.27,1059913
"2016-01-07",85.96,86.76,84.69,85,2502556
"2016-01-14",78.3,82.04,78.16,81.78,3642010
"2016-01-21",80.32,81.53,79.39,80.08,2161251
"2016-01-28",82.32,82.32,78.56,79,3530125
"2016-02-04",76.89,78.74,75.85,76.6,2540231
"2016-02-11",76.7,78.23,76.23,77.12,2775541
"2016-02-18",81.13,81.81,80.72,81,1800970
"2016-02-25",82.23,82.81,81.62,82.67,1315641
"2016-03-03",82.8,83.7,82.27,83.61,1353712
"2016-03-10",83.65,84,81.47,82.32,1831747
"2016-03-17",81.16,81.3,79.21,79.74,2304882
"2016-03-24",80.92,82.13,80.59,81.48,1729107
"2016-03-31",81.78,82.43,81.46,81.95,1662902
"2016-04-07",83.66,84.71,83.34,83.76,1856299
"2016-04-14",83.87,84.38,83.44,83.91,1181038
"2016-04-21",87.11,87.85,86.5,86.82,1991494
"2016-04-28",82.82,83.91,78.13,78.51,7081441
"2016-05-05",76.5,79.07,75.5,78.55,5766252
"2016-05-12",77.31,77.46,76.62,77,2849061
"2016-05-19",77.19,78.2,76.71,77.33,1692403
"2016-05-26",76.65,77.46,76.4,77.29,2027379
"2016-06-02",78.7,79.89,78.61,79.89,2361088
"2016-06-09",79.56,79.96,79.1,79.29,3082766
"2016-06-16",76.4,76.6,75.43,76.54,3228320
"2016-06-23",77.98,78.14,77.44,78.12,1279272
"2016-06-30",77.36,78.17,76.97,78.01,2992890
"2016-07-07",79.08,80.18,78.68,79.44,3949624
"2016-07-14",82.76,83.42,82.54,82.97,1742828
"2016-07-21",83.24,83.55,82.27,82.61,1793876
"2016-07-28",83.12,83.23,82.18,82.56,3311728
"2016-08-04",84.52,84.8,83.51,83.58,1793462
"2016-08-11",83.69,83.73,82.65,83.61,1175952
"2016-08-18",82.61,82.93,82.34,82.42,1541061
"2016-08-25",80.77,80.88,79.27,79.36,2097037
"2016-09-01",79.9,80.08,79.16,79.7,1638044
"2016-09-08",81,81.1,80.52,80.71,1157929
"2016-09-15",75.1,76.85,74.41,76.6,4230994
