"","SJM.Open","SJM.High","SJM.Low","SJM.Close","SJM.Volume"
"2011-09-15",74.23,74.74,72.94,73.63,660571
"2011-09-22",72.28,73.02,70.9,72.91,997732
"2011-09-29",74.6,75,73.03,73.9,713534
"2011-10-06",70.81,72.41,70.81,72.4,588266
"2011-10-13",73.9,75.4,73.9,75.19,401616
"2011-10-20",74.8,75.56,74.56,75.47,517821
"2011-10-27",77.66,78.29,76.54,76.68,971612
"2011-11-03",78.81,79.59,78.2,79.11,726102
"2011-11-10",76.29,77.48,76.29,76.93,737675
"2011-11-17",72.47,73.9,71.24,71.85,2122831
"2011-12-01",75.72,76.44,74.9,75.08,761164
"2011-12-08",76.39,76.79,76,76.15,582855
"2011-12-15",76.82,77.2,76.4,76.52,426312
"2011-12-22",78.77,78.8,78.36,78.5,339386
"2011-12-29",78.62,78.79,78.23,78.63,395487
"2012-01-05",77.12,77.84,77.05,77.68,701604
"2012-01-12",78.93,79.23,78.33,79.08,460154
"2012-01-19",81.01,81.21,80.75,81.04,412014
"2012-01-26",81.07,81.07,78.79,79.02,993552
"2012-02-02",79.68,80.11,79.49,79.74,338613
"2012-02-09",78.79,79.28,78.6,79.21,501639
"2012-02-16",72.23,72.62,70.5,71.6,4812661
"2012-02-23",72.74,73.85,72.65,73.74,788214
"2012-03-01",75.4,76.06,74.96,75.85,1174399
"2012-03-08",75.5,75.7,74.88,75.57,731973
"2012-03-15",76.41,77.77,76.16,77.76,1082069
"2012-03-22",78.88,79.52,78.54,79.5,756878
"2012-03-29",80.78,81.09,80.28,81.09,605431
"2012-04-05",81.14,81.32,80.84,81.12,567646
"2012-04-12",79.8,79.8,79.13,79.37,785181
"2012-04-19",79.52,79.73,79.03,79.25,353258
"2012-04-26",78.63,79.42,78.39,79.4,487527
"2012-05-03",78.78,78.85,77.35,77.38,863400
"2012-05-10",76.11,77.03,76.01,77,704255
"2012-05-17",77.89,78.02,77.28,77.29,824411
"2012-05-24",77.03,77.52,76.76,77.44,362771
"2012-05-31",77.14,77.56,76.51,76.56,912832
"2012-06-07",76,77.32,74.32,76.09,1098660
"2012-06-14",75.96,76.25,75.44,75.7,752044
"2012-06-21",76.75,76.94,75.83,75.84,614435
"2012-06-28",73.39,74.33,73.2,74.25,852090
"2012-07-05",75.89,76.34,75.37,75.95,569006
"2012-07-12",74.54,75.22,74.12,75.17,379026
"2012-07-19",75.91,77.16,75.91,76.95,668063
"2012-07-26",76.07,76.43,75.34,75.92,356289
"2012-08-02",75.54,75.54,74.6,74.92,594810
"2012-08-09",76.86,76.9,76.32,76.83,428076
"2012-08-16",79.01,79.49,78.61,78.97,707156
"2012-08-23",84.07,84.12,83.48,83.9,524525
"2012-08-30",84.63,84.96,84.37,84.43,850883
"2012-09-06",86.36,86.75,86.18,86.62,555807
"2012-09-13",86.1,87.54,86.01,87.04,486506
"2012-09-20",86.68,87.24,86.5,87.06,478929
"2012-09-27",85.89,86.2,85.33,85.95,500192
"2012-10-04",87.54,87.81,87.04,87.47,376612
"2012-10-11",83.93,84.29,83.5,83.56,592459
"2012-10-18",85.1,85.48,84.55,85.37,402872
"2012-10-25",86.68,86.68,83.48,85.76,386741
"2012-11-01",85.68,85.84,85.04,85.41,467451
"2012-11-08",84.35,84.95,83.82,83.82,495075
"2012-11-15",85.46,85.76,84.15,85.38,606883
"2012-11-29",87.41,87.95,86.84,87.62,369076
"2012-12-06",88.3,88.4,87.54,87.96,509965
"2012-12-13",87.81,88.08,86.81,87.34,440243
"2012-12-20",86.07,87.09,85.87,86.93,446657
"2012-12-27",85.29,85.62,84.85,85.53,396123
"2013-01-03",89.65,89.65,88.89,89.18,488896
"2013-01-10",89.9,90,89.57,89.84,742094
"2013-01-17",88.82,89.81,88.72,89.59,275428
"2013-01-24",89.81,90.31,89.71,90.14,644312
"2013-01-31",88.87,89.01,88.63,88.63,744895
"2013-02-07",88.95,89.66,88.38,88.9,597582
"2013-02-14",90.81,92.66,90.57,92.16,1623649
"2013-02-21",91.49,92.02,91.41,91.9,823993
"2013-02-28",95.23,95.86,95.04,95.3,682138
"2013-03-07",96.79,97.26,96.43,97.09,603787
"2013-03-14",97.7,97.84,97.45,97.84,345752
"2013-03-21",96.53,96.61,95.99,96,409539
"2013-03-28",97.3,99.29,97.22,99.16,651433
"2013-04-04",97.89,98.99,97.81,98.98,412540
"2013-04-11",99.26,100,99.07,99.8,490604
"2013-04-18",101.94,102.28,101.33,101.53,421058
"2013-04-25",103,103.12,102.04,102.23,503808
"2013-05-02",102.06,103.54,101.58,102.89,481707
"2013-05-09",103.72,103.88,102.07,102.23,353668
"2013-05-16",103.73,104.08,103.21,103.32,345244
"2013-05-23",101.41,102.77,101.2,102.47,465960
"2013-05-30",103.06,103.29,102.39,102.65,330767
"2013-06-06",103.88,103.88,96.75,98.38,1910977
"2013-06-13",100.96,102.44,100.59,102.17,616708
"2013-06-20",101.78,102.28,99.88,99.98,801691
"2013-06-27",102.22,102.98,101.87,102.85,541971
"2013-07-11",105.6,106,105.02,105.93,652381
"2013-07-18",106.66,107.55,106.56,107.39,364304
"2013-07-25",109.14,110.85,108.65,110.72,640738
"2013-08-01",113.39,114.07,113.09,113.67,508067
"2013-08-08",114.32,114.32,112.94,113.06,506339
"2013-08-15",111.91,112.04,110.43,110.43,437137
"2013-08-22",107.7,108.21,106.65,107.49,535361
"2013-08-29",105,106.28,104.5,105.8,414457
"2013-09-05",106.22,107.53,105.91,106.78,642981
"2013-09-12",107.28,108.54,106.96,107.27,622262
"2013-09-19",108.57,108.73,107.11,107.68,413066
"2013-09-26",105.87,106.49,105.13,105.69,379481
"2013-10-03",104.64,105.36,103.9,104.97,400224
"2013-10-10",105.35,106.57,105.3,106.51,455168
"2013-10-17",107.46,108.52,107.03,108.44,425567
"2013-10-24",108.82,109.63,108.32,109.6,335170
"2013-10-31",111.27,111.61,110.63,111.21,460405
"2013-11-07",111.82,112.05,107.25,107.61,726982
"2013-11-14",108.17,109.4,108.01,108.93,320324
"2013-11-21",100.04,103.96,100.02,103.02,1393143
"2013-12-05",103.93,104.12,102.16,102.29,1257636
"2013-12-12",103.65,103.82,101.29,101.38,726020
"2013-12-19",101.5,102.2,100.66,101.95,567825
"2013-12-26",102.5,103.1,102.2,102.99,382273
"2014-01-02",103.64,103.65,101.83,102.03,878923
"2014-01-09",98.15,98.3,97.67,97.98,1168315
"2014-01-16",98.69,98.99,98.11,98.55,623853
"2014-01-23",98.03,98.42,97.6,98.08,717096
"2014-01-30",97.66,98.17,97.3,97.86,566602
"2014-02-06",93.39,93.8,93.17,93.59,598844
"2014-02-13",93.37,95.24,93.21,95.14,1261187
"2014-02-20",96.31,98.58,95.9,98.28,2207066
"2014-02-27",98.51,99.78,98.47,99.64,1071450
"2014-03-06",98.37,98.66,97.56,97.63,794801
"2014-03-13",98.43,98.43,96.74,96.99,599544
"2014-03-20",95.69,96.78,95.38,96.7,624689
"2014-03-27",96.12,96.48,95.6,96.07,503225
"2014-04-03",97.48,98.02,97.17,97.9,468951
"2014-04-10",97.23,97.66,95.49,95.5,582074
"2014-04-17",96.58,96.86,96.15,96.7,428863
"2014-04-24",96.54,97.07,95.87,96.99,612571
"2014-05-01",96.8,97.23,95.89,97.17,455799
"2014-05-08",98.62,100.13,98.58,99.19,709021
"2014-05-15",98.31,98.58,97.3,97.51,484268
"2014-05-22",98.8,98.97,97.99,98.75,389274
"2014-05-29",101.07,103.09,101.07,103,1084802
"2014-06-05",102.95,105.42,102.85,104.31,931819
"2014-06-12",104.65,105.17,104.26,104.93,527145
"2014-06-19",106.72,106.98,105.62,106.6,640475
"2014-06-26",105.89,106.06,105.27,105.48,656296
"2014-07-03",106.7,107.7,106.68,107.53,442771
"2014-07-10",106.27,106.58,105.66,106.21,361336
"2014-07-17",105.55,105.92,104.59,104.72,346889
"2014-07-24",104.96,105.32,104.54,105.16,437548
"2014-07-31",102.11,102.11,99.54,99.64,834560
"2014-08-07",101.29,101.58,100.04,100.62,360103
"2014-08-14",102.87,103.45,102.35,103.3,486385
"2014-08-21",102.25,102.71,101.39,101.65,705935
"2014-08-28",102.24,102.44,101.92,102.36,309985
"2014-09-04",102.29,102.74,101.74,102.02,277041
"2014-09-11",100.86,101.17,100.54,101.13,557338
"2014-09-18",100.1,100.42,99.28,100.22,391277
"2014-09-25",99.44,99.79,98.21,98.22,518252
"2014-10-02",98.01,98.08,96.75,97.75,654212
"2014-10-09",98.64,99.37,97.6,97.87,577232
"2014-10-16",96.42,98.55,96.42,97.88,1062491
"2014-10-23",102.1,102.68,101.61,101.75,287974
"2014-10-30",101.77,103.43,101.6,103.03,367986
"2014-11-06",105.34,105.91,104.8,105.8,599765
"2014-11-13",100.16,100.34,98.7,99.87,1279724
"2014-11-20",101,102.14,100.96,101.11,592621
"2014-12-04",102.01,102.01,100.84,101.15,339352
"2014-12-11",100.5,101.01,100,100.64,612368
"2014-12-18",101.51,102.63,100.86,102.61,732770
"2015-01-08",101.43,101.86,100.62,101.69,487516
"2015-01-15",101.45,102.1,101.05,101.3,705426
"2015-01-22",106.42,107.04,105.68,106.87,508342
"2015-01-29",104.76,105.16,103.5,105.1,576377
"2015-02-05",112.02,113.41,111.68,113.33,1535859
"2015-02-12",110.94,112.47,110.52,112.39,892581
"2015-02-19",113.96,114.43,112.85,113.88,661802
"2015-02-26",113.98,115.4,112.91,115.21,1039669
"2015-03-05",114.76,114.76,113.7,114.23,580295
"2015-03-12",111.34,112.79,110.99,112.44,637080
"2015-03-19",112.08,112.36,111.36,112,489380
"2015-03-26",114.7,115.32,113.83,114.48,671710
"2015-04-02",115.32,116.55,114.89,116.01,1213012
"2015-04-09",115.69,116.26,115.04,116.14,472491
"2015-04-16",117.92,118.33,117.46,117.98,387927
"2015-04-23",117.4,117.69,116.73,116.97,362719
"2015-04-30",116,117,115.22,115.92,871138
"2015-05-07",116.13,116.34,115.47,115.77,530250
"2015-05-14",117.17,118.4,117.02,118.36,335434
"2015-05-21",119.69,119.88,119.18,119.28,507480
"2015-05-28",120.27,120.3,119.14,119.5,357350
"2015-06-04",115.68,116.56,113.07,113.75,3078865
"2015-06-11",111.63,112.34,111.36,111.75,579211
"2015-06-18",112.96,114.09,112.24,113.32,624811
"2015-06-25",111.68,111.94,110.85,110.93,681211
"2015-07-02",109.52,109.84,108.49,108.75,857814
"2015-07-09",109.69,109.93,108.27,108.3,534000
"2015-07-16",108.46,109,108.25,108.61,395587
"2015-07-23",107.34,107.86,106.66,106.93,421237
"2015-07-30",109.3,110.9,108.74,110.76,848640
"2015-08-06",113.36,113.67,111.12,111.76,1393548
"2015-08-13",109.55,109.55,108.6,108.63,363610
"2015-08-20",111.4,112.94,111.01,111.76,925806
"2015-08-27",113.69,117.26,113.4,116.29,2178695
"2015-09-03",116.18,117.31,115.92,116.88,853313
"2015-09-10",114.62,115.61,113.61,114.57,686258
"2015-09-17",117.22,118.09,116.13,116.78,1000755
"2015-09-24",113.1,113.84,112.53,113.43,1449408
"2015-10-01",114.11,114.66,112.4,113.61,1147201
"2015-10-08",115.78,117.4,115.16,116.96,730118
"2015-10-15",120.05,120.44,118.63,119.62,1048227
"2015-10-22",116.48,118.53,116.48,118.27,950951
"2015-10-29",116.16,116.96,115.33,116.69,548758
"2015-11-05",117.79,118.03,116.73,117.97,510941
"2015-11-12",114.75,115.47,113.25,113.33,602242
"2015-11-19",118.07,123.98,116.42,121.28,3608929
"2015-12-03",121.04,121.2,118.99,120.3,899022
"2015-12-10",122.67,123.5,121.73,122.01,636428
"2015-12-17",124.07,124.95,122.61,123.64,1010641
"2015-12-24",124.45,125.01,124.33,124.78,206133
"2015-12-31",123.71,124.08,122.18,123.34,413870
"2016-01-07",121.23,121.66,119.93,120.31,1020673
"2016-01-14",119.22,120.9,118.8,120.3,700068
"2016-01-21",119.38,119.87,117.92,119.26,994258
"2016-01-28",125.1,127.62,124.91,126.29,1044133
"2016-02-04",128.61,129.35,125.1,125.93,1038748
"2016-02-11",126.25,127.24,125.06,126.15,1013049
"2016-02-18",127.5,128.34,125.78,127.53,1531216
"2016-02-25",128.5,129.83,128.24,129.57,859480
"2016-03-03",127.5,128.52,126.6,128.31,507804
"2016-03-10",127.59,128.77,127.25,128.49,845694
"2016-03-17",129.03,130.49,128.88,129.91,844987
"2016-03-24",128.48,129.12,127.95,128.71,563653
"2016-03-31",130.06,130.36,129.65,129.84,1046747
"2016-04-07",126.72,128.11,126.72,127.72,927073
