"","EBAY.Open","EBAY.High","EBAY.Low","EBAY.Close","EBAY.Volume"
"2011-09-15",30.99,32.24,30.88,32.04,16922148
"2011-09-22",31.06,31.9,30.78,31.67,19542691
"2011-09-29",32.28,32.39,29.91,30.67,16876459
"2011-10-06",30.58,31.46,30.06,31.44,14561143
"2011-10-13",32.57,32.87,31.97,32.74,12044060
"2011-10-20",31.83,32.44,30.65,32.15,25776816
"2011-10-27",32.01,32.56,31.79,32.29,12950315
"2011-11-03",32.03,33.1,31.94,33.05,11878766
"2011-11-10",31.49,31.55,30.48,30.75,18806317
"2011-11-17",30.42,30.52,29.09,29.65,12551346
"2011-12-01",29.53,30.04,29.41,29.68,8317142
"2011-12-08",30.62,31.45,30.59,31.03,16855880
"2011-12-15",30.51,30.59,29.08,29.6,11962326
"2011-12-22",30.3,30.76,30.17,30.61,6367045
"2011-12-29",30.37,30.45,29.91,30.36,5506512
"2012-01-05",30.2,30.75,29.98,30.71,13245156
"2012-01-12",31.75,32,31.34,31.58,8692666
"2012-01-19",31.29,31.94,31.01,31.51,24826653
"2012-01-26",32.07,32.29,31.45,31.71,6635570
"2012-02-02",32.2,32.79,32.06,32.7,11089666
"2012-02-09",33.11,33.29,32.61,33.26,7949785
"2012-02-16",33.34,34.59,33.33,34.51,14200110
"2012-02-23",34.75,36.15,34.7,36.02,18720529
"2012-03-01",35.87,36.5,35.82,36.37,8568426
"2012-03-08",35.85,36,35.54,35.78,6963249
"2012-03-15",37.16,37.42,36.73,36.83,12731788
"2012-03-22",37.15,37.76,37,37.62,7149298
"2012-03-29",37.09,37.13,36.71,36.99,12615958
"2012-04-05",35.54,35.88,35.35,35.62,8242690
"2012-04-12",35.9,36.72,35.87,36.46,6937224
"2012-04-19",39.13,41.84,39.03,40.62,60621249
"2012-04-26",40.2,41.25,40.01,41.05,18730400
"2012-05-03",41.03,41.13,40,40.38,10064257
"2012-05-10",40.9,41.4,40.77,41.21,17724596
"2012-05-17",39.76,40.21,39.03,39.03,10605600
"2012-05-24",40.44,40.66,39.24,39.67,17101808
"2012-05-31",39.55,39.69,38.81,39.19,18618727
"2012-06-07",41.43,41.72,40.8,40.9,9526608
"2012-06-14",40.3,40.39,39.6,40.13,10084186
"2012-06-21",43.03,43.19,41.66,41.83,13123160
"2012-06-28",41.1,41.24,40.18,40.78,14825797
"2012-07-05",41.29,41.41,40.71,40.93,7683641
"2012-07-12",38.8,39.48,38.52,39.31,9853361
"2012-07-19",44,44.44,43.25,43.95,35278537
"2012-07-26",43.9,44.28,43.29,43.79,10528300
"2012-08-02",43.41,44.67,43.26,43.77,8643998
"2012-08-09",45.06,45.21,44.13,44.27,8630031
"2012-08-16",45.06,45.96,45.02,45.79,11385282
"2012-08-23",47.26,47.34,46.41,46.8,11784647
"2012-08-30",47.21,47.3,46.48,46.55,7059584
"2012-09-06",47.61,49.27,47.55,48.91,14993926
"2012-09-13",47.86,49.08,47.68,48.88,9377020
"2012-09-20",50.29,50.34,49.7,50.08,7054520
"2012-09-27",47.71,49.3,47.71,49.12,9744438
"2012-10-04",49.7,50.24,49.31,49.49,10808186
"2012-10-11",47.26,47.65,46.9,47.49,10973952
"2012-10-18",48.43,50.94,48.37,50.83,34945364
"2012-10-25",49.21,49.37,48.3,48.34,7411299
"2012-11-01",48.44,49.48,48.13,49.22,7875035
"2012-11-08",48.45,49.38,47.77,47.87,10133475
"2012-11-15",46.31,46.65,45.66,46.52,8009687
"2012-11-29",51.76,52.8,51.5,52.2,13728585
"2012-12-06",51.99,52.72,51.78,51.99,7083742
"2012-12-13",51.8,51.97,50.75,51.02,12421243
"2012-12-20",51.48,52.18,50.91,52.14,9699725
"2012-12-27",50.43,50.65,49.67,50.29,7905629
"2013-01-03",53.49,53.65,52.15,52.45,10831870
"2013-01-10",53.34,53.5,52.43,53,7331292
"2013-01-17",54.13,54.88,53.75,54.17,24461540
"2013-01-24",53.58,55.34,53.57,55.19,12751146
"2013-01-31",55.36,56.26,55.31,55.97,7947041
"2013-02-07",56.17,56.39,55.35,56.13,7646663
"2013-02-14",56.79,57.12,56.63,56.83,7054843
"2013-02-21",55.34,55.58,53.9,54.62,10736336
"2013-02-28",54.5,55.18,54.26,54.71,9575949
"2013-03-07",53.69,53.87,52.75,52.98,9455645
"2013-03-14",51.79,52.9,51.6,51.8,17144757
"2013-03-21",52.2,53.05,51.94,52.92,14056441
"2013-03-28",52.04,54.5,51.45,54.22,24227465
"2013-04-04",55.34,55.86,55.1,55.79,5906845
"2013-04-11",57.42,58.04,57.21,57.78,7291266
"2013-04-18",53.85,54.24,52.73,52.82,25357841
"2013-04-25",53.31,53.36,52.07,52.36,11481105
"2013-05-02",52.42,53.7,52.03,53.55,9885069
"2013-05-09",54.99,55.99,54.79,55.17,9298074
"2013-05-16",56.8,56.9,55.72,55.8,8521430
"2013-05-23",53.69,54.56,53.32,54.48,9504721
"2013-05-30",55.01,55.69,54.96,55.1,8751999
"2013-06-06",51.15,51.66,50.83,51.52,9848529
"2013-06-13",50.71,51.62,50.64,51.48,10662413
"2013-06-20",51.79,51.83,50.48,50.74,10444200
"2013-06-27",51.77,52.29,51.69,52.14,9038976
"2013-07-11",55.36,56.15,55.34,55.88,9692297
"2013-07-18",53.58,53.85,53.16,53.52,43088889
"2013-07-25",52,52.23,51.33,51.5,10152383
"2013-08-01",52.14,52.43,51.79,52.41,8103955
"2013-08-08",53.53,53.73,52.84,53.57,5637204
"2013-08-15",53.39,53.46,51.68,53.18,15268889
"2013-08-22",51.2,51.62,51.01,51.08,7479349
"2013-08-29",50.22,51.48,50.2,50.99,7109271
"2013-09-05",51.48,52.23,51.29,51.95,6752834
"2013-09-12",54.46,54.61,53.5,54.04,7936698
"2013-09-19",54.98,55.1,54.14,54.45,6311357
"2013-09-26",54.63,56.9,54.47,56.64,13906426
"2013-10-03",55.5,55.77,54.49,54.91,6699129
