"","EBAY.Open","EBAY.High","EBAY.Low","EBAY.Close","EBAY.Volume"
"2013-10-10",52.88,53.55,52.58,53.42,8850739
"2013-10-17",50.33,51.87,50.23,51.38,34376189
"2013-10-24",52.07,52.51,51.85,52.34,9700225
"2013-10-31",52.73,52.93,52.25,52.71,9047478
"2013-11-07",53.5,53.85,52.31,52.57,9687193
"2013-11-14",53.1,53.48,52.68,52.88,10519427
"2013-11-21",50.77,50.8,49.93,50.21,17609612
"2013-12-05",51.08,51.65,50.83,51.41,9928610
"2013-12-12",51.24,51.96,51.19,51.37,8126790
"2013-12-19",53.04,53.43,52.43,53.4,10221373
"2013-12-26",54.8,54.81,53.71,54.06,10292182
"2014-01-02",54.97,55,53.9,53.94,9980763
"2014-01-09",52.75,52.81,51.83,52.07,10529090
"2014-01-16",53.78,54.16,53.6,53.74,11268123
"2014-01-23",55.72,55.9,54,54.94,61919052
"2014-01-30",52.61,53.35,52.44,53.18,16660675
"2014-02-06",53.66,54.53,53.52,54.37,15146022
"2014-02-13",54.48,54.95,54.11,54.92,11788620
"2014-02-20",54.75,55.31,54.73,54.96,7990070
"2014-02-27",57.3,59.27,57.12,58.34,21847398
"2014-03-06",58.99,59.65,58.86,59.3,12032120
"2014-03-13",58.3,58.58,56.46,56.7,12313412
"2014-03-20",57.2,57.36,56.64,57.12,7504512
"2014-03-27",55.46,55.76,54.23,55.18,9425320
"2014-04-03",55.03,55.23,54.29,54.58,11321817
"2014-04-10",55.02,55.25,53.91,54.08,29285305
"2014-04-17",54.48,55.17,54.47,54.97,7516818
"2014-04-24",55.48,55.6,54.45,54.84,7691049
"2014-05-01",52.02,52.75,51.67,51.69,12795025
"2014-05-08",50.63,51.21,50.02,50.26,13043231
"2014-05-15",51.2,51.47,50.65,51.36,12554410
"2014-05-22",51.99,52.06,51.18,51.5,12674177
"2014-05-29",50.64,50.79,49.96,50.14,16761851
"2014-06-05",50.66,50.66,50.08,50.58,12025798
"2014-06-12",48.87,49.12,48.5,48.56,13596892
"2014-06-19",49.7,49.8,49.5,49.6,11929954
"2014-06-26",49.5,49.67,49.03,49.47,8076489
"2014-07-03",50.96,51.08,50.62,50.94,4612037
"2014-07-10",50.22,50.54,49.74,50.34,8327371
"2014-07-17",51.1,51.84,50.83,51.03,21706675
"2014-07-24",52.52,53.5,52.52,53.23,16257635
"2014-07-31",52.94,53.06,52.66,52.83,11515215
"2014-08-07",53.68,54.25,53.42,53.56,10049720
"2014-08-14",52.88,53.16,52.8,52.93,9930909
"2014-08-21",53.52,57.05,53.5,55.89,50436310
"2014-08-28",55.86,55.86,55.03,55.43,9602883
"2014-09-04",54.79,55.44,53.99,54.44,13083539
"2014-09-11",50.78,51.28,50.51,50.68,16969859
"2014-09-18",52,52.73,51.77,52.7,12390813
"2014-09-25",52.74,52.93,52.02,52.15,7517883
"2014-10-02",55.23,55.62,54.37,54.86,12521672
"2014-10-09",54.17,54.22,52.8,52.86,8950968
"2014-10-16",48.49,48.69,46.34,47.88,38143067
"2014-10-23",50.61,51.07,50.36,50.79,10796739
"2014-10-30",51.05,52,50.92,51.55,6923229
"2014-11-06",53.62,53.65,52.99,53.26,5893444
"2014-11-13",54.06,54.62,53.93,54.37,7812935
"2014-11-20",54.51,54.72,54.32,54.54,5554176
"2014-12-04",54.63,54.75,54.45,54.67,5702524
"2014-12-11",55.41,57.63,55.31,56.78,23744264
"2014-12-18",57.01,57.53,56.88,57.53,9036555
"2015-01-08",55.31,56.42,55.3,56.41,10238405
"2015-01-15",54.17,54.31,52.95,53.02,11705090
"2015-01-22",55.18,57.23,54.99,57.14,29893308
"2015-01-29",53.75,54.06,53.34,53.96,6348775
"2015-02-05",53.85,54.51,53.71,54.29,6174963
"2015-02-12",55.64,55.65,54.69,54.74,8954466
"2015-02-19",56.97,57.7,56.43,57.65,7792235
"2015-02-26",58.23,58.86,58.21,58.54,5710837
"2015-03-05",58.28,59.29,58.28,59.08,6883186
"2015-03-12",60.06,60.15,59.09,59.41,7425117
"2015-03-19",56.81,58.34,56.69,57.88,13573341
"2015-03-26",57.56,58.17,57.26,57.52,6548290
"2015-04-02",57.05,57.24,56.76,56.91,3544472
"2015-04-09",57.11,57.45,56.5,57.01,4869947
"2015-04-16",56.99,57.39,56.66,57.04,4415096
"2015-04-23",59.41,59.85,58.5,58.89,15701968
"2015-04-30",58.57,59,57.93,58.26,6285909
"2015-05-07",57.49,58.22,57.3,57.96,6625880
"2015-05-14",59.23,60.12,58.95,60.1,6108793
"2015-05-21",59,59.94,59,59.74,5144056
"2015-05-28",59.23,60.93,58.95,60.56,8989419
"2015-06-04",61.77,62.55,61.73,62.49,7723297
"2015-06-11",60.7,60.99,60.14,60.45,7099050
"2015-06-18",60.65,61.12,60.63,60.69,6987746
"2015-06-25",61.68,62,61.48,61.6,6005391
"2015-07-02",61.05,62.23,60.43,61.85,16497061
"2015-07-09",61.91,62.32,61.56,61.77,9137997
"2015-07-16",65.3,66.71,65,65.59,31025297
"2015-07-23",28.25,28.6,28.12,28.43,40433467
"2015-07-30",28.63,28.7,28.09,28.37,11812890
"2015-08-06",28.58,28.63,28.1,28.16,9167568
"2015-08-13",27.98,28.15,27.73,27.99,7423038
"2015-08-20",27.21,27.3,26.49,26.52,15747215
"2015-08-27",26.51,27.19,26.44,27.1,18043423
"2015-09-03",27.36,27.6,26.93,27.04,12254919
"2015-09-10",25.77,26.24,25.77,26.15,12900047
"2015-09-17",26.7,26.76,26.2,26.27,14886479
"2015-09-24",25.28,25.68,25.08,25.61,9703520
"2015-10-01",24.5,25.01,24.44,24.91,16245545
"2015-10-08",24.94,25.08,23.62,24.15,48524263
"2015-10-15",24.15,24.54,23.96,24.51,16093451
"2015-10-22",26.5,27.66,26.26,27.58,44537142
"2015-10-29",28.21,28.32,28.02,28.18,8654547
"2015-11-05",28.92,29.58,28.92,29.3,12493061
"2015-11-12",28.67,28.92,28.53,28.56,11605040
"2015-11-19",28.56,28.9,28.56,28.77,6751277
"2015-12-03",29,29,28.12,28.59,13641397
"2015-12-10",28.28,28.9,28.23,28.57,8830798
"2015-12-17",28.65,28.75,28.03,28.05,7321669
"2015-12-24",27.91,27.94,27.6,27.66,2517278
"2015-12-31",27.63,27.69,27.44,27.48,4923805
"2016-01-07",25.8,26.47,25.6,25.69,13350043
"2016-01-14",25.42,26.14,24.95,25.86,16507350
"2016-01-21",25.87,26.24,25.32,26.09,15397514
"2016-01-28",23.23,24.13,22.4,23.13,55858066
"2016-02-04",23.49,23.61,23.09,23.49,15835216
"2016-02-11",21.93,22.45,21.64,22.08,17592550
"2016-02-18",23.12,23.67,23.08,23.53,11030846
"2016-02-25",24.03,24.2,23.89,24.18,7534007
"2016-03-03",23.69,23.99,23.58,23.94,7778093
"2016-03-10",24.04,24.1,22.98,23.69,17706699
"2016-03-17",23.78,23.93,23.34,23.76,11338173
"2016-03-24",24.13,24.36,24,24.33,13460995
"2016-03-31",24.13,24.15,23.8,23.86,14855818
"2016-04-07",25.28,25.28,23.96,24.1,19458338
"2016-04-14",25.29,25.32,24.96,25.21,7870512
"2016-04-21",24.63,24.87,24.6,24.69,8399219
"2016-04-28",25.09,25.34,24.55,24.62,13420399
"2016-05-05",24.02,24.05,23.76,23.81,7905155
"2016-05-12",23.91,23.92,23.5,23.58,8837245
"2016-05-19",23.59,23.67,23.25,23.42,5185409
"2016-05-26",23.98,24.13,23.86,24.12,4814035
"2016-06-02",24.15,24.27,23.88,24.25,10350083
"2016-06-09",24.19,24.38,24.07,24.33,7914835
"2016-06-16",23.94,23.96,23.47,23.85,9399390
"2016-06-23",24.69,24.95,24.6,24.85,9485432
"2016-06-30",23.36,23.47,23.25,23.41,9464745
"2016-07-07",23.92,24,23.75,23.93,10007152
"2016-07-14",25.45,26.26,25.4,26.08,23705871
"2016-07-21",28.87,30.31,28.79,29.93,44959141
"2016-07-28",31.28,31.49,31.07,31.17,8835533
"2016-08-04",30.94,31.31,30.85,31.06,7592693
"2016-08-11",31.19,31.5,31.02,31.2,5910449
"2016-08-18",30.51,30.67,30.42,30.52,6023962
"2016-08-25",31.08,31.45,31.06,31.34,7459759
"2016-09-01",32.15,32.24,31.88,32.13,6808376
"2016-09-08",32.5,32.81,32.38,32.7,7148529
"2016-09-15",31.74,31.98,31.33,31.98,7498577
