"","AMP.Open","AMP.High","AMP.Low","AMP.Close","AMP.Volume"
"2011-09-15",44.63,45.08,43.86,44.97,2451560
"2011-09-22",40.22,40.63,38.97,39.84,5639455
"2011-09-29",41.18,42,39.89,41.11,3575399
"2011-10-06",38.83,40.78,37.84,40.71,3039490
"2011-10-13",42.36,42.57,40.51,41.56,2424787
"2011-10-20",40.77,41.86,40.4,41.7,2784818
"2011-10-27",49,49.91,47.51,49.36,6178474
"2011-11-03",45.71,47.26,44.63,46.82,2898737
"2011-11-10",46.33,46.58,45.17,45.6,2512055
"2011-11-17",45.22,45.26,43.9,44.17,3038286
"2011-12-01",45.57,45.82,44.97,45.48,1204959
"2011-12-08",47.68,47.7,45.43,45.58,2683973
"2011-12-15",45.68,45.91,45.08,45.17,2799782
"2011-12-22",49.47,50.4,49.19,50.05,2299107
"2011-12-29",49.74,50.85,49.72,50.54,1278325
"2012-01-05",50.36,51.33,49.66,51.24,1716695
"2012-01-12",52.08,52.39,51.39,51.91,1900895
"2012-01-19",52.53,53.81,52.32,53.65,2081129
"2012-01-26",54.61,55.13,54.14,54.68,2967257
"2012-02-02",51.17,51.65,49.14,50.38,9200347
"2012-02-09",54.97,55.38,53.97,54.1,2719789
"2012-02-16",54.93,56.12,54.62,55.71,1498394
"2012-02-23",55.75,56.57,55.6,56.5,1743333
"2012-03-01",56.05,56.67,55.89,56.17,1384887
"2012-03-08",55.08,55.43,54.83,55.32,1404624
"2012-03-15",56.8,58.11,56.41,58.02,1810016
"2012-03-22",56.73,56.93,56.32,56.49,1768007
"2012-03-29",56.95,57,55.91,56.43,2465687
"2012-04-05",55.58,55.95,55,55.53,1767475
"2012-04-12",54.08,54.89,54.03,54.73,1767957
"2012-04-19",53.88,54.24,53.05,53.56,1921754
"2012-04-26",53.47,54.49,53.26,54.25,1760475
"2012-05-03",53.44,53.55,52.54,52.8,1806256
"2012-05-10",50.99,51.52,50.62,50.78,968316
"2012-05-17",47.81,48.04,47.19,47.2,1933402
"2012-05-24",47.63,47.93,47.14,47.9,1741032
"2012-05-31",47.83,48.37,47.16,47.92,2129549
"2012-06-07",49.37,49.69,48.18,48.26,2031475
"2012-06-14",47.45,48.05,47.31,47.92,1617748
