"","KSS.Open","KSS.High","KSS.Low","KSS.Close","KSS.Volume"
"2011-09-15",45.56,47.24,45.45,46.97,6882251
"2011-09-22",43.72,45.43,43.68,44.63,5353815
"2011-09-29",48.78,49.49,48.06,49.08,6749688
"2011-10-06",50.61,50.97,49.49,50.08,6472193
"2011-10-13",49.93,50.63,49.48,49.69,4620542
"2011-10-20",51.18,53.73,51.18,52.93,6860457
"2011-10-27",53.71,54.86,52.79,54.7,4619365
"2011-11-03",54.56,56.39,53.05,55.8,6363926
"2011-11-10",55.51,56.53,54.94,55.36,6355677
"2011-11-17",55.6,56.19,54.5,54.97,3785086
"2011-12-01",50.6,51.79,49.65,50.37,13270384
"2011-12-08",50.54,51.16,50.43,50.56,3360881
"2011-12-15",49.98,50.31,48.93,49.03,3837831
"2011-12-22",49.55,49.9,49.25,49.3,2412670
"2011-12-29",50.1,50.5,49.8,49.84,1555895
"2012-01-05",45.26,47.11,45.2,46.52,9137387
"2012-01-12",46.05,46.54,45.8,46.41,3439308
"2012-01-19",48.06,48.83,47.95,48.47,4036062
"2012-01-26",47.95,48.06,46.29,46.45,5622936
"2012-02-02",47.02,47.02,45.85,46.77,5717408
"2012-02-09",50.07,50.5,49.81,50.46,3803381
"2012-02-16",50.8,52.13,50.75,51.97,4016362
"2012-02-23",50.58,50.65,48.91,49.11,9481958
"2012-03-01",49.19,49.85,48.65,48.87,5071340
"2012-03-08",48.43,49.23,48.35,49.05,2097936
"2012-03-15",51.4,51.45,50.55,51.12,1852689
"2012-03-22",48.56,48.99,47.84,48.05,4051646
"2012-03-29",48.58,49.82,48.58,49.78,4119343
"2012-04-05",51.35,51.39,49.95,50.32,9449323
"2012-04-12",49.3,50.28,49.07,49.92,3208893
"2012-04-19",50.91,51.46,50.28,50.53,3359261
"2012-04-26",49.81,50.72,49.65,50.27,2650662
"2012-05-03",50.49,51.7,50.35,51.25,5965623
"2012-05-10",49.58,50.04,48.36,48.66,12675874
"2012-05-17",47.13,47.77,46.38,46.42,5773914
"2012-05-24",49.09,50.12,49,50.04,3364972
"2012-05-31",46.77,47.38,45.8,45.82,11303603
"2012-06-07",44.51,44.57,43.66,43.97,4859412
"2012-06-14",43.51,44.25,43.4,43.83,3257488
"2012-06-21",44.82,44.92,43.48,43.78,3596046
"2012-06-28",43.31,44.63,43.16,44.55,3624302
"2012-07-05",44.97,47.75,44.83,47.03,7802856
"2012-07-12",47.44,47.53,46.75,47.12,3725857
"2012-07-19",49.26,49.95,49,49.36,2506018
"2012-07-26",48.61,48.64,47.14,47.6,3440089
"2012-08-02",49.83,51.85,49.77,50.14,3861109
"2012-08-09",52.83,53.24,51,51.42,7603869
"2012-08-16",50.91,51.59,50.8,51.36,1831799
"2012-08-23",51.52,51.79,51.22,51.45,2164941
"2012-08-30",52.95,53.74,52.73,52.77,4709204
"2012-09-06",51.57,52.92,51.5,52.81,3258897
"2012-09-13",53.78,53.93,53.08,53.7,2461646
"2012-09-20",53.2,53.47,52.5,53.07,2679865
"2012-09-27",51.4,51.58,50.68,51,2289892
"2012-10-04",50.27,52.16,50.25,50.93,8685752
"2012-10-11",50.62,51.64,50.23,51.16,5275599
"2012-10-18",52.81,53.7,52.79,53.62,2829234
"2012-10-25",51.69,51.72,50.93,51.59,1907088
"2012-11-01",54.73,55.25,54.2,54.99,6017756
"2012-11-08",52.4,53.38,51.51,51.55,6280118
"2012-11-15",51.26,51.59,50.69,51.19,2172736
"2012-11-29",46,47.18,44.95,45.02,20643354
"2012-12-06",44.18,44.32,43.68,44.03,3673118
"2012-12-13",43.9,44.2,43.55,43.87,3272559
"2012-12-20",43.41,43.8,43.06,43.79,4225107
"2012-12-27",42.65,42.86,42.04,42.54,3359519
"2013-01-03",41.58,42.8,41.35,42.35,8161873
"2013-01-10",42.07,42.52,41.93,42.5,3414150
"2013-01-17",43.01,43.78,42.97,43.45,3192058
"2013-01-24",43.51,45.09,43.51,44.9,4249534
"2013-01-31",46.1,46.35,45.72,46.29,3340899
"2013-02-07",47.25,47.29,45.1,45.81,5722234
"2013-02-14",46.5,47.16,46.49,46.98,2299006
"2013-02-21",46.41,46.78,46.11,46.51,2214263
"2013-02-28",45,46.64,44.57,46.1,7821045
"2013-03-07",46.43,46.64,46.12,46.19,1398062
"2013-03-14",48.9,49.2,48.69,49.08,2500129
"2013-03-21",46.44,46.82,46.28,46.43,2168170
"2013-03-28",46.47,46.47,45.76,46.13,2305878
"2013-04-04",46.99,48.28,46.99,48.11,2735562
"2013-04-11",47.85,49.13,47.81,48.92,1987422
"2013-04-18",47.11,47.58,46.43,46.96,2781201
"2013-04-25",47.67,48.21,47.51,48.01,1187463
"2013-05-02",46.83,47.55,46.55,47,2035558
"2013-05-09",46.93,48.76,46.93,48.21,4345272
"2013-05-16",52.82,52.94,51.45,52.03,11672930
"2013-05-23",51.77,52.27,51.73,52.14,2817042
"2013-05-30",51.43,51.71,51.08,51.12,1300371
"2013-06-06",50.76,51.45,50.61,51.34,1675983
"2013-06-13",51.13,51.96,51.04,51.91,1041872
"2013-06-20",51.39,51.6,50.47,50.56,2495999
"2013-06-27",51.44,51.72,50.67,50.68,2221532
"2013-07-11",53.96,54.02,53.35,53.91,1459451
"2013-07-18",53.02,53.11,52.33,52.56,1894015
"2013-07-25",53.33,53.65,52.82,53.28,2372880
"2013-08-01",53.4,54.38,53.31,54.16,2378829
"2013-08-08",51.14,51.51,50.55,51.02,2226887
"2013-08-15",52,54.52,52,53.51,9018124
"2013-08-22",51.51,51.94,51.27,51.56,1454247
"2013-08-29",50.19,51.3,50.09,50.88,2439953
"2013-09-05",51.55,53.32,51.5,52.76,2616073
"2013-09-12",51.7,51.95,51.35,51.46,1620230
"2013-09-19",52.69,52.99,52.39,52.83,1375485
"2013-09-26",51.61,52.31,51.54,52.13,2525172
"2013-10-03",52.48,52.74,52.01,52.34,2269935
"2013-10-10",51.72,51.85,51.1,51.84,1535943
"2013-10-17",53.23,54.1,53.14,53.96,2403055
"2013-10-24",54.91,55,54.65,54.92,1995250
"2013-10-31",57.02,57.04,56.23,56.8,1739173
"2013-11-07",57.75,58.07,56.43,56.54,3467109
"2013-11-14",53.61,54.55,53.03,53.55,14672796
"2013-11-21",54.44,55.14,54.2,54.8,2916036
"2013-12-05",55.42,55.8,54.72,55.04,4491573
"2013-12-12",55.4,55.45,54.94,54.97,1650200
"2013-12-19",54.77,54.9,54.26,54.62,1549497
"2013-12-26",56.12,56.19,55.65,55.69,1048181
"2014-01-02",56.76,57.53,56.74,56.99,3130048
"2014-01-09",55.22,55.73,54.89,55.56,2298112
"2014-01-16",53.48,53.57,52.55,52.83,6046672
"2014-01-23",51.19,51.48,51.01,51.1,2112450
"2014-01-30",50.18,51.25,50.15,50.85,1953256
"2014-02-06",51.97,53.1,50.48,51.55,7688274
"2014-02-13",51.1,51.32,50.52,51.13,2306675
"2014-02-20",51.38,51.95,51.21,51.87,1915525
"2014-02-27",54.89,57.33,53.35,55.74,6704016
"2014-03-06",55.25,55.33,54.63,54.73,2507488
"2014-03-13",55.33,55.8,54.1,54.49,2480252
"2014-03-20",54.59,55.22,54.42,54.91,1955340
"2014-03-27",55.28,57.25,55.28,56.5,3897304
"2014-04-03",57.98,58.07,57.34,57.85,1931436
"2014-04-10",56.25,56.75,54.54,54.56,3839910
"2014-04-17",55.1,55.11,53.75,54.26,2444564
"2014-04-24",54.84,55.09,54.5,54.73,1110509
"2014-05-01",54.89,55.48,54.69,55.24,1638995
"2014-05-08",53.71,54.83,53.56,53.86,2672899
"2014-05-15",52.3,54.02,52.17,52.21,6679892
"2014-05-22",52.9,53.39,52.64,52.88,1779653
"2014-05-29",54.03,54.55,53.94,54.48,1716701
"2014-06-05",54.33,54.36,52.96,53.69,2470377
"2014-06-12",52.45,52.6,51.88,52.25,2663264
"2014-06-19",53.08,53.28,52.84,53.2,1714560
"2014-06-26",52.72,53.14,52.58,53.02,1916242
"2014-07-03",52.65,53.21,52.65,52.95,1624724
"2014-07-10",52.82,52.97,52.06,52.07,2522035
"2014-07-17",51.39,52.22,51.25,51.63,2209902
"2014-07-24",51.8,52.51,51.77,52.1,1999165
"2014-07-31",53.12,54.13,53.02,53.54,3436227
"2014-08-07",55.01,55.25,54.38,54.45,3486173
"2014-08-14",57.18,57.73,56.55,56.91,7347672
"2014-08-21",58.86,59.59,58.65,59.29,2910979
"2014-08-28",59.18,59.51,58.75,59.4,1240670
"2014-09-04",59.08,60.75,58.95,60.33,4164273
"2014-09-11",58.77,60,58.76,59.85,2354080
"2014-09-18",62.25,63.54,62.16,62.5,6693756
"2014-09-25",62.33,62.39,61.36,61.36,2481405
"2014-10-02",60.51,61.1,59.91,60.83,2316038
"2014-10-09",58.07,58.09,56.94,57.14,4883489
"2014-10-16",55.43,57.31,55.39,56.28,3368978
"2014-10-23",58.75,59.62,58.66,59.2,2137618
"2014-10-30",54.23,55.17,54.21,54.8,2165650
"2014-11-06",55.13,56.96,55.1,56.81,3660339
"2014-11-13",56.31,57.1,55.32,56.07,4895614
"2014-11-20",57.33,58.6,57.22,58.34,1659056
"2014-12-04",57.98,58.08,56.44,56.81,2950035
"2014-12-11",57.22,58.42,56.74,56.9,2696131
"2014-12-18",58.31,59.58,57.9,59.45,3267044
"2015-01-08",61.72,62.05,61.44,61.52,2575952
"2015-01-15",60.12,60.36,58.5,58.55,1985906
"2015-01-22",59.02,60.25,58.73,60.19,2315222
"2015-01-29",61.03,61.41,59.96,60.75,2151809
"2015-02-05",66.87,67.89,66.24,67.74,4893366
"2015-02-12",70.16,70.2,68.76,68.83,3538083
"2015-02-19",68.74,69.03,68.23,68.37,2176425
"2015-02-26",70.73,73.2,69.4,71.69,5530591
"2015-03-05",74.59,74.72,73.6,73.6,2723088
"2015-03-12",73.86,74.66,73.86,74.41,1482766
"2015-03-19",74.94,75.84,74.58,75.61,1876176
"2015-03-26",74.52,75.23,73.89,74.99,2205236
"2015-04-02",78.14,79.53,78.14,79.07,2245098
"2015-04-09",78.33,78.7,77.45,77.67,2530845
"2015-04-16",76.17,76.81,75.51,76.31,1864737
"2015-04-23",75.77,77.39,75.46,76.78,2335340
"2015-04-30",71.02,72.17,70.9,71.65,3889192
"2015-05-07",73.09,73.71,72.31,73.36,2284833
"2015-05-14",67.09,68.08,64.25,64.62,25648439
"2015-05-21",65.61,66.6,65.51,65.91,3428111
"2015-05-28",65.61,66.33,65.26,65.38,3063111
"2015-06-04",64.51,65.54,64.35,64.84,1938692
"2015-06-11",62.9,63.1,62.32,62.41,1581823
"2015-06-18",62.72,63.35,62.72,63.2,1302366
"2015-06-25",64.16,64.5,63.34,63.36,1420894
"2015-07-02",63.11,63.95,62.96,63.13,1894820
"2015-07-09",65.2,65.2,62.14,62.68,4427532
"2015-07-16",64.17,64.26,63.65,63.73,2263772
"2015-07-23",62.74,62.78,61.77,61.87,2169601
"2015-07-30",61.15,61.71,61.05,61.52,1768116
"2015-08-06",60.74,60.99,59.55,60.35,4067039
"2015-08-13",56.93,57.66,54.52,56.11,16453579
"2015-08-20",54.21,54.41,53.55,53.69,5531202
"2015-08-27",51.18,51.9,50.44,51.34,3151860
"2015-09-03",51.1,52.73,51.06,51.54,4512780
"2015-09-10",50.49,51.26,50.36,50.84,1690177
"2015-09-17",51.79,52.22,50.56,50.67,3198690
"2015-09-24",48.17,48.32,47.62,47.84,2603235
"2015-10-01",47.18,47.52,44.76,45.06,4679178
"2015-10-08",46.18,47,46.04,46.65,2864996
"2015-10-15",45.17,45.42,44.65,45.18,3192312
"2015-10-22",45.75,45.99,44.97,45.42,2478157
"2015-10-29",45.66,45.73,44.05,44.58,2824149
"2015-11-05",46.32,46.76,45.85,46.66,2922579
"2015-11-12",45.43,47.24,45,45.79,19177325
"2015-11-19",45.39,45.77,44.99,45.18,2768237
"2015-12-03",46.62,47.42,45.91,47.39,5760248
"2015-12-10",47.45,48.67,47.31,48.18,4575960
"2015-12-17",46.1,46.19,44.06,44.45,4146976
"2015-12-24",47.29,47.71,47.1,47.13,1050448
"2015-12-31",48.16,48.77,47.62,47.63,1874206
"2016-01-07",49.4,52.06,49.25,50.86,7691598
"2016-01-14",50.08,50.55,48.71,49.2,4463550
"2016-01-21",45.74,47.48,45.61,46.99,2801229
"2016-01-28",48.98,49.09,47.19,47.99,2985414
"2016-02-04",43.5,45.2,40.95,41.52,22549613
"2016-02-11",39.72,40.5,39.23,39.69,2277585
"2016-02-18",43.84,45.03,43.21,44.82,3051886
"2016-02-25",47.01,47.21,44.2,46.67,5732442
"2016-03-03",46.4,46.98,46.04,46.74,3029427
"2016-03-10",49.53,49.75,48.73,49.46,2431919
"2016-03-17",47.86,48.46,47.59,48.25,2577471
"2016-03-24",46.26,46.31,45.57,45.93,2909427
"2016-03-31",45.85,46.7,45.3,46.61,2314736
"2016-04-07",44.58,44.86,43.68,43.99,2837488
"2016-04-14",43.25,43.4,42.5,42.9,2038548
"2016-04-21",46.2,46.5,45.24,45.43,2015288
"2016-04-28",45.52,46.18,45.42,45.51,1196702
"2016-05-05",42.44,42.44,41.17,41.66,3351374
"2016-05-12",35.74,36.46,33.87,35.15,20440848
"2016-05-19",34.97,35.28,34.34,34.94,4562215
"2016-05-26",36.02,36.43,35.57,35.57,2358915
"2016-06-02",36.17,37.46,36.12,37.38,4092813
"2016-06-09",38.12,38.16,37.07,37.44,2708008
"2016-06-16",35.19,35.44,34.7,35.05,3361035
"2016-06-23",37.48,37.88,37.15,37.52,2190531
"2016-06-30",37.8,38.07,37.13,37.92,2367211
"2016-07-07",37.73,38.9,37.67,38.25,3874651
"2016-07-14",38.88,39.12,38.26,38.61,2179164
"2016-07-21",39.44,39.95,39.35,39.51,2012369
"2016-07-28",40.48,41.11,39.06,41.03,3009945
"2016-08-04",38.62,39.21,38.18,38.85,2536077
"2016-08-11",42.87,45,42.31,44.19,22997912
"2016-08-18",45.19,45.82,45.19,45.74,3784473
"2016-08-25",44.7,45.31,44.34,44.68,2268732
"2016-09-01",44.67,44.67,43.58,43.92,2844935
"2016-09-08",43.8,43.9,42.88,43.01,3750864
"2016-09-15",42.26,43,41.39,42.71,4189028
