"","KORS.Open","KORS.High","KORS.Low","KORS.Close","KORS.Volume"
"2011-12-15",25,25.23,23.51,24.2,42261341
"2011-12-22",26.45,27.48,26.45,27.27,1145376
"2011-12-29",27.5,27.5,27.22,27.22,260313
"2012-01-05",26.07,27.06,25.5,26.45,785014
"2012-01-12",26.47,26.47,25.75,26.1,599668
"2012-01-19",28.69,28.8,28.5,28.68,699088
"2012-01-26",30.58,30.65,29.28,29.78,688585
"2012-02-02",31.57,32,31.38,31.67,1047175
"2012-02-09",33.71,34.24,33.13,33.97,1025385
"2012-02-16",42.75,43.81,41.51,42.25,1622370
"2012-02-23",40.76,42.8,40.67,40.76,1174984
"2012-03-01",43.69,46.5,43.6,45.73,2651447
"2012-03-08",46.87,47.64,46.29,47.08,1137019
"2012-03-15",48.03,48.17,46.7,47.65,1219676
"2012-03-22",48.2,50.48,47.97,48.72,3702393
"2012-03-29",44.5,45.98,44.46,45.69,2602261
"2012-04-05",47.27,48,46.96,47.53,3722565
"2012-04-12",42.9,44.07,42.79,43.98,1526852
"2012-04-19",43.38,44.65,41.61,41.9,2162536
"2012-04-26",42.62,44.78,42.6,44.36,1981343
"2012-05-03",48.91,48.91,45.64,45.96,2367093
"2012-05-10",41.97,42.14,38.85,40.18,4624938
"2012-05-17",40.27,40.79,37.6,37.79,4408055
"2012-05-24",41.78,41.93,40.2,40.94,1318411
"2012-05-31",40.53,40.6,39.02,39.38,1602817
"2012-06-07",38.56,38.96,35.73,36.04,3644639
"2012-06-14",38.72,39.54,37.05,37.69,4781104
"2012-06-21",41.96,43.7,41,41.35,3793664
"2012-06-28",42.47,42.81,39.74,40.69,5076189
"2012-07-05",42.51,44.73,42.27,44.44,3975315
"2012-07-12",40,40.03,38.62,39.05,2727448
"2012-07-19",41.12,42.32,41.02,41.67,2488872
"2012-07-26",40.4,42,40.4,41.44,2863005
"2012-08-02",40.09,40.78,38.94,39.59,1478588
"2012-08-09",42.87,43.29,42.21,43,1044725
"2012-08-16",49.52,49.85,47.53,49.53,6792255
"2012-08-23",51.83,52.35,51.3,51.67,2034241
"2012-08-30",53.43,54.87,52.22,52.55,4045962
"2012-09-06",53.24,55.77,52.94,55.5,3310101
"2012-09-13",53.52,55.23,52.6,54.14,4054811
"2012-09-20",52.03,53.18,51.02,52.49,2879625
"2012-09-27",53.03,53.43,51.5,53.26,3096449
"2012-10-04",53.43,53.8,53.01,53.43,1982455
"2012-10-11",53.03,53.83,52.61,53.09,3511952
"2012-10-18",56.56,57.92,55.35,56.47,4312076
"2012-10-25",55.51,55.96,53.81,54.06,1583497
"2012-11-01",55.33,57.11,54.84,56.97,2806467
"2012-11-08",54.59,54.62,50.25,50.7,8049269
"2012-11-15",47.97,48.89,46.66,48.49,4787802
"2012-11-29",53.07,53.8,52.32,53.04,2853115
"2012-12-06",50.66,52.4,50.1,51.44,2727798
"2012-12-13",49.67,50.7,49.11,49.31,2014431
"2012-12-20",53.57,55.15,52.7,55.11,4735905
"2012-12-27",50.16,50.75,47.26,49.41,6372610
"2013-01-03",51.51,52.45,51.27,52.05,3302857
"2013-01-10",52.61,52.78,51.19,52.01,4127098
"2013-01-17",54.1,54.18,53.05,53.06,3318261
"2013-01-24",55.65,57.4,55.48,56.73,4001640
"2013-01-31",56.55,56.94,55.73,56.13,3215679
"2013-02-07",56.02,56.7,54.44,56.66,3984233
