"","OXY.Open","OXY.High","OXY.Low","OXY.Close","OXY.Volume"
"2011-09-15",83.95,84.59,82.96,84.41,3805276
"2011-09-22",73.3,73.91,70.46,71.9,11031569
"2011-09-29",77.24,77.35,73.84,75.35,5291729
"2011-10-06",76.15,79.54,75.83,78.56,6680048
"2011-10-13",80.21,81.97,79.05,81.5,4382558
"2011-10-20",83.98,85.38,82.8,84.59,4923614
"2011-10-27",90.49,97.21,90.49,95.66,10762086
"2011-11-03",94.46,95.37,92.95,95.21,4132370
"2011-11-10",98.36,99.35,96.16,98.1,3465148
"2011-11-17",97.39,97.74,93.4,94.43,4918705
"2011-12-01",98.21,99.2,96.34,96.83,5179673
"2011-12-08",94.95,96.16,92.31,92.67,4483723
"2011-12-15",89.13,90.24,86.94,87.52,4539911
"2011-12-22",93.26,94.42,92.61,94.21,3475235
"2011-12-29",93.26,93.88,92.58,93.72,2480652
"2012-01-05",96.78,97.2,95.32,96.15,3513299
"2012-01-12",96.68,99.76,96.6,97.82,6241369
"2012-01-19",101.26,101.26,99.3,99.86,4135166
"2012-01-26",103.41,103.66,99.86,100.19,4931189
"2012-02-02",99.39,99.82,97.37,98.48,4199753
"2012-02-09",103.91,105.56,103.64,104.23,3000224
"2012-02-16",104.16,104.58,103.08,104.33,3095196
"2012-02-23",103.52,104.76,102.94,104.67,3108427
"2012-03-01",104.8,105.42,103.48,104.87,3667481
"2012-03-08",101.12,101.52,100.51,100.86,2610336
"2012-03-15",98.89,99.74,97.86,98.9,2873926
"2012-03-22",96.51,96.64,95,95.75,3980913
"2012-03-29",94,94.54,91.85,94.43,6787553
"2012-04-05",93.91,95.15,93.28,93.29,3831738
"2012-04-12",89.46,91.19,89.26,91.12,4059651
"2012-04-19",88.16,89.38,87.73,88.22,3359110
"2012-04-26",89.73,92.07,88.81,91.9,5617303
"2012-05-03",92.68,92.71,89.56,89.82,4641911
"2012-05-10",85.57,86.08,84.78,85.02,3803958
"2012-05-17",78.86,80.2,78.43,78.67,5937595
"2012-05-24",81.82,81.82,80.34,81.38,3966132
"2012-05-31",80.13,80.41,78.13,79.27,6741111
"2012-06-07",85.71,88.18,84.6,84.94,7414933
"2012-06-14",83.57,84.37,82.7,83.48,4685206
"2012-06-21",84.47,84.73,79.1,79.27,10466500
"2012-06-28",79.62,81.08,79,80.94,4763606
"2012-07-05",87.39,87.88,86.25,86.47,3237279
"2012-07-12",83.58,84.5,82.9,83.94,4748149
"2012-07-19",87.35,87.86,86.39,87.17,3791352
"2012-07-26",85.49,87.51,84.21,87.32,5218207
"2012-08-02",86.61,86.67,84.22,85.65,4444018
"2012-08-09",90.7,91.5,90.26,90.51,2644883
"2012-08-16",89.4,89.53,88.75,89.26,3309135
"2012-08-23",88.32,88.48,87.23,87.26,3948619
"2012-08-30",85.81,85.91,84.23,84.28,3805207
"2012-09-06",83.05,85.12,82.82,84.3,4544531
"2012-09-13",87.11,90.58,87.02,90.46,4913718
"2012-09-20",86.76,87.85,86.15,87.6,6595649
"2012-09-27",85.71,86.35,84.52,86.26,3732185
"2012-10-04",84.3,85.52,83.84,85.39,4683325
"2012-10-11",83.14,83.79,82.62,82.62,3430352
"2012-10-18",84.47,86.08,84.31,85.52,4253798
"2012-10-25",83.36,83.9,79.79,82.52,11045596
"2012-11-01",79.3,80.25,78.75,79.06,6514026
"2012-11-08",77.82,78.18,76.37,76.41,4898131
"2012-11-15",74.34,74.95,73.48,73.92,5385960
"2012-11-29",76.58,77,75.93,76.26,4397485
"2012-12-06",74.14,74.56,73.42,74.52,4318012
"2012-12-13",76.48,76.52,75.03,75.43,4727157
"2012-12-20",78.45,79.12,78.18,79.02,4217632
"2012-12-27",77.21,77.21,76.04,76.94,2846499
"2013-01-03",78.02,79.32,77.85,78.47,3237806
"2013-01-10",82.98,83.17,82.23,83.01,5150169
