"","HPE.Open","HPE.High","HPE.Low","HPE.Close","HPE.Volume"
"2015-10-22",16.71,17.05,16.24,16.95,110000
"2015-10-29",16.01,16.27,15.55,15.95,290446
"2015-11-05",13.64,13.89,13.12,13.28,22189252
"2015-11-12",13.81,13.82,13.59,13.7,20316902
"2015-11-19",13.53,13.89,13.52,13.78,13171491
"2015-12-03",15,15.34,14.58,14.62,18905240
"2015-12-10",14.79,14.81,14.53,14.72,11350209
"2015-12-17",14.61,14.72,14.22,14.31,7625458
"2015-12-24",14.81,15.17,14.79,15.02,2178459
"2015-12-31",15.23,15.31,15.1,15.2,6768073
"2016-01-07",14.5,14.56,13.65,13.71,19844662
"2016-01-14",12.75,13.17,12.65,13,13352279
"2016-01-21",12,12.54,11.82,12.41,16728144
"2016-01-28",13.45,13.7,13.07,13.19,9874368
"2016-02-04",13.31,13.89,13.31,13.85,6464810
"2016-02-11",12.57,12.67,12.02,12.4,9772197
"2016-02-18",13.05,13.7,13.02,13.53,11734114
"2016-02-25",13.45,13.71,13.24,13.68,12079898
"2016-03-03",13.91,13.95,13.28,13.6,9874087
"2016-03-10",15.55,16.21,15.52,15.9,14197343
"2016-03-17",17.13,17.33,16.96,17.16,10658157
"2016-03-24",17.41,17.64,17.11,17.57,8868974
"2016-03-31",17.84,17.96,17.51,17.73,10387142
"2016-04-07",17.79,18.04,17.62,17.74,9390824
"2016-04-14",17.36,17.4,17.06,17.26,6615897
"2016-04-21",17.34,17.74,17.32,17.46,5969286
"2016-04-28",17.17,17.38,16.92,17.03,4786943
"2016-05-05",15.95,15.97,15.64,15.72,3495631
"2016-05-12",16.09,16.14,15.85,15.9,5417986
"2016-05-19",15.51,15.79,15.38,15.78,6659747
"2016-05-26",17,17.69,16.84,17.39,21732445
"2016-06-02",18.14,18.53,18.1,18.5,13663287
"2016-06-09",19.39,19.65,19.33,19.55,9375374
"2016-06-16",18.68,18.83,18.58,18.66,12329670
"2016-06-23",19.37,19.69,19.34,19.65,10184380
"2016-06-30",17.92,18.5,17.88,18.27,12492682
"2016-07-07",18.34,18.71,18.34,18.47,6276990
"2016-07-14",19.62,20.17,19.62,19.99,14920176
"2016-07-21",20.03,20.16,19.7,19.75,9097923
"2016-07-28",20.3,20.43,20.15,20.31,4357541
"2016-08-04",21.48,21.92,21.46,21.76,8926479
"2016-08-11",21.59,21.86,21.52,21.78,7576648
"2016-08-18",21.54,21.89,21.54,21.86,6718078
"2016-08-25",21.63,21.94,21.45,21.84,7169387
"2016-09-01",21.43,22.32,21.08,22.16,18914046
"2016-09-08",22,22.2,21.32,21.38,29248074
"2016-09-15",21.32,22.14,21.29,22.13,12907651
