"","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume"
"2011-09-15",28.67,29,28.43,28.82,5031261
"2011-09-22",26.72,27.15,26.1,26.8,6428749
"2011-09-29",28.46,29.11,28.17,28.7,7118567
"2011-10-06",28.4,29,27.65,28.78,7491858
"2011-10-13",29.86,30.28,29.46,30.15,3788852
"2011-10-20",29.82,30.33,29.46,30.14,3603921
"2011-10-27",32.66,33.57,32.48,33.3,4968634
"2011-11-03",31.92,32.29,30.76,32.2,4840642
"2011-11-10",30.67,30.97,29.97,30.27,5586630
"2011-11-17",30.5,30.94,30.25,30.5,3298348
"2011-12-01",30.6,30.92,30.48,30.58,2415627
"2011-12-08",30.29,30.46,29.36,29.43,4997967
"2011-12-15",28.73,28.73,28.24,28.3,3612452
"2011-12-22",29.01,29.58,29.01,29.44,2057632
"2011-12-29",29.21,29.4,29.02,29.27,1929860
"2012-01-05",30.2,31.6,30.03,31.47,7517738
"2012-01-12",33.17,33.95,32.96,33.85,4931945
"2012-01-19",34.03,34.95,34.01,34.66,5047443
"2012-01-26",35.29,35.5,34.58,34.63,3640522
"2012-02-02",34.57,35.33,34.37,35.17,4928184
"2012-02-09",36.31,36.33,35.78,36.05,2295751
"2012-02-16",34.38,35.8,34.21,34.82,6667228
"2012-02-23",34.37,34.53,34.02,34.3,3975163
"2012-03-01",35.47,35.87,35.4,35.75,2832544
"2012-03-08",36.41,37.16,36.39,36.74,5444696
"2012-03-15",38.39,38.61,38.08,38.38,2269162
"2012-03-22",37.69,37.97,37.41,37.71,2058372
"2012-03-29",37.78,37.97,37.28,37.64,2531860
"2012-04-05",37.43,37.91,37.4,37.78,3660247
"2012-04-12",37.44,37.66,37.22,37.57,2678134
"2012-04-19",38.79,39.89,38.79,39.45,6224381
"2012-04-26",39.21,39.86,39.06,39.77,3790423
"2012-05-03",39.96,40.45,39.81,40.09,4310306
"2012-05-10",39.62,39.85,38.94,39.24,2587941
"2012-05-17",38.65,38.71,36.96,37.02,4081122
"2012-05-24",38.27,38.5,37.95,38.39,2502085
"2012-05-31",38.25,38.98,37.39,38.71,4218287
"2012-06-07",38.15,38.58,37.43,37.54,3173261
"2012-06-14",37,37.88,36.88,37.65,1821736
"2012-06-21",39.82,39.93,38.61,38.64,2986867
"2012-06-28",37.89,38.23,37.1,37.54,2630358
"2012-07-05",39.13,39.87,38.72,39.58,2475831
"2012-07-12",37.14,37.35,35.51,35.58,9569745
"2012-07-19",36.85,37.68,36.68,37.29,2937995
"2012-07-26",35.96,36.15,35.38,36.06,3666341
"2012-08-02",36.03,36.54,35.67,36.32,2363543
"2012-08-09",37.27,37.66,37.2,37.29,2284833
"2012-08-16",36.77,37.97,36.73,37.81,1836950
"2012-08-23",37.2,37.31,37.04,37.12,1974593
"2012-08-30",37.35,37.7,37.15,37.54,1913684
"2012-09-06",37.75,38.9,37.66,38.75,2759104
"2012-09-13",39.56,41.01,39.36,40.98,4433915
"2012-09-20",40.38,40.8,39.75,40.75,4018726
"2012-09-27",39.23,39.72,38.95,39.58,2298510
"2012-10-04",39.88,40.3,38.66,38.94,6841532
"2012-10-11",37.73,38.29,37.66,38.17,3491586
"2012-10-18",38.79,39.11,38.58,38.89,1954542
"2012-10-25",36.75,37.05,36.09,36.47,4003580
"2012-11-01",36.64,37.15,36.52,36.96,2507338
"2012-11-08",35.98,36.03,35.28,35.28,3327256
"2012-11-15",34.38,34.6,33.93,34.11,3198864
"2012-11-29",35.49,36.7,35.35,36.63,5356583
"2012-12-06",35.32,35.78,35.19,35.46,1544216
"2012-12-13",35.9,36,35.57,35.62,1601202
"2012-12-20",37.19,37.86,37.12,37.68,3433275
"2012-12-27",36.73,36.97,36.29,36.88,1731361
"2013-01-03",38.86,39.34,38.73,39.1,2810703
"2013-01-10",39.19,39.29,38.84,39.02,1521462
"2013-01-17",38.95,39.53,38.9,39.28,2481499
"2013-01-24",39.2,39.38,38.83,38.97,2456791
"2013-01-31",40.23,40.23,39.8,39.98,2596974
"2013-02-07",40.55,40.66,39.99,40.47,2087718
"2013-02-14",40.92,41.21,40.78,41.16,1381230
"2013-02-21",39.61,39.62,39.05,39.16,3558470
"2013-02-28",39.34,39.8,39.24,39.45,2703659
"2013-03-07",39.49,39.54,39.23,39.36,1950671
"2013-03-14",40.26,40.56,40.13,40.42,1593690
"2013-03-21",39.76,39.97,39.5,39.62,1431820
"2013-03-28",41.69,42.27,41.57,42.23,2392711
"2013-04-04",40.98,41.32,40.88,41.3,1549338
"2013-04-11",42.19,42.37,42.08,42.21,1702575
"2013-04-18",41.24,41.39,40.55,40.81,1994340
"2013-04-25",41.72,41.92,41.59,41.64,2066785
"2013-05-02",42.57,42.96,41.45,42.84,3229722
"2013-05-09",43.51,43.64,43.13,43.23,1710510
"2013-05-16",43.86,43.94,43.12,43.19,1089670
"2013-05-23",42.35,43.16,42.32,42.58,1889235
"2013-05-30",42.48,42.91,42.38,42.52,1521272
"2013-06-06",40.33,41.02,40.09,41.01,1937174
"2013-06-13",40.54,41.18,40.26,41.09,1753119
"2013-06-20",39.98,40,38.98,39.05,2797537
"2013-06-27",39.73,40.41,39.63,40.25,2152623
"2013-07-11",42.52,42.69,42.12,42.18,1954716
"2013-07-18",41.55,42.26,41.36,42.01,1540376
"2013-07-25",40.37,41.05,40.3,40.86,2768369
"2013-08-01",40.94,41.98,40.9,41.58,6797592
"2013-08-08",41.19,41.66,40.9,41.49,1383240
"2013-08-15",40.98,41.51,40.76,40.89,2947438
"2013-08-22",39.96,41.61,39.8,41.32,2515637
"2013-08-29",40,40.71,39.95,40.25,1638219
"2013-09-05",40.9,41.22,40.61,40.77,1910589
"2013-09-12",42.99,43.11,42.32,42.59,1930126
"2013-09-19",43.81,43.99,43.53,43.58,1811576
"2013-09-26",42.78,43.11,42.4,42.91,2099037
"2013-10-03",42.31,42.42,41.75,42.28,2337875
"2013-10-10",41.76,42.12,41.39,41.98,2666488
