"","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume"
"2013-10-17",42.89,43.34,42.62,43.31,1637464
"2013-10-24",44.05,44.68,43.92,44.61,2425809
"2013-10-31",44.65,45.91,44.09,45.08,4457640
"2013-11-07",46.42,46.42,45.38,45.43,2366192
"2013-11-14",46.6,46.98,46.46,46.94,2266242
"2013-11-21",46.49,47.13,46.27,46.91,1939848
"2013-12-05",45.92,46.07,45.57,45.62,1914300
"2013-12-12",45.92,46.34,45.83,46.02,1867716
"2013-12-19",47.6,47.87,47.31,47.72,1550169
"2013-12-26",49.71,49.84,48.59,48.91,1137818
"2014-01-02",49.03,49.26,48.57,48.96,2127020
"2014-01-09",49.13,49.21,48.81,48.99,1263920
"2014-01-16",49.89,50.6,49.52,50.56,4603162
"2014-01-23",50.61,51.16,50.32,50.58,2393977
"2014-01-30",49.18,49.49,49.02,49.3,1424910
"2014-02-06",47.6,48.96,47.6,48.76,2017586
"2014-02-13",49.36,50.2,49.02,50.11,2135949
"2014-02-20",50.57,51.84,50.52,51.79,3579253
"2014-02-27",53.22,53.88,53.22,53.86,2088775
"2014-03-06",53.9,54.8,53.9,54.6,2334672
"2014-03-13",54.23,54.29,53.4,53.71,1908834
"2014-03-20",53.97,54.45,53.69,54,1509699
"2014-03-27",55.58,55.58,54.57,54.76,4149186
"2014-04-03",57.11,57.15,56.36,56.59,2287646
"2014-04-10",57.25,57.25,55.21,55.32,3540905
"2014-04-17",56.56,56.58,56.12,56.25,1311655
"2014-04-24",57.5,57.85,57.29,57.63,2398411
"2014-05-01",57.87,58.57,57.84,58.55,3077810
"2014-05-08",58.17,58.66,57.61,57.89,1925564
"2014-05-15",58.53,58.53,57.35,57.93,1504444
"2014-05-22",58.68,59.24,58.62,58.76,2293016
"2014-05-29",59.63,60.72,59.4,60.68,2784278
"2014-06-05",61.95,62.36,61.57,62.31,1644613
"2014-06-12",61.83,61.92,61.22,61.45,1702921
"2014-06-19",62.31,63.37,62.31,63.37,1411464
"2014-06-26",63.69,64.09,63.29,63.99,2031743
"2014-07-03",65.26,65.73,65.23,65.56,963399
"2014-07-10",64.55,65.81,64.55,65.57,2627555
"2014-07-17",64.49,64.85,63.37,63.38,3033315
"2014-07-24",66.4,67.08,66.13,66.83,3008283
"2014-07-31",65.32,65.34,64.46,64.71,3291639
"2014-08-07",64.86,65.49,64.12,64.24,2545705
"2014-08-14",66.75,67.35,66.55,67.26,1685564
"2014-08-21",68.57,68.74,68.33,68.44,1204564
"2014-08-28",68.78,69.12,68.17,68.99,1382310
"2014-09-04",70.44,70.98,70.33,70.52,2832398
"2014-09-11",70.82,71.53,70.51,71.4,2869095
"2014-09-18",72.19,72.47,71.76,72.45,1677327
"2014-09-25",71.37,71.66,70.46,70.52,1508110
"2014-10-02",67.98,68.16,65.48,66.8,4099811
"2014-10-09",65.59,66.19,64.53,64.58,3565637
"2014-10-16",60.72,63.55,60.66,62.79,2919156
"2014-10-23",69,70,68.34,68.43,3434765
"2014-10-30",73.51,76.31,73.5,76,3342879
"2014-11-06",75.07,75.34,74.44,75.25,2331726
"2014-11-13",77.38,78.25,77.33,78.09,1443264
"2014-11-20",76.37,76.41,75.34,75.89,2324712
"2014-12-04",78,79,77.45,77.94,1499062
"2014-12-11",78.58,78.78,77.25,77.62,1427903
"2014-12-18",77.64,77.88,76.91,77.35,2353380
"2015-01-08",76.8,79.03,76.38,78.91,2396083
"2015-01-15",76.69,77.73,76.01,76.1,1787308
"2015-01-22",76.68,78.73,76.36,78.48,2106205
"2015-01-29",76.8,77.46,76.02,77.11,2246978
"2015-02-05",75.91,76.3,75.29,75.7,2541300
"2015-02-12",77.57,79.23,77.13,79.02,2179281
"2015-02-19",83.78,84.77,81.85,83.1,3927430
"2015-02-26",82.16,83.27,82.16,83.22,1430105
"2015-03-05",83.29,83.72,82.79,82.9,1190104
"2015-03-12",81.63,83,81.63,82.8,1599086
"2015-03-19",83.33,84.42,83.07,84.31,1486559
"2015-03-26",79.23,81.07,78.58,80.58,3163925
"2015-04-02",80.31,80.93,79.95,80.15,1143127
"2015-04-09",80.01,80.58,79.41,80.22,1095926
"2015-04-16",78.55,79.29,78.4,78.51,1711162
"2015-04-23",80.46,81.93,80.23,81.35,1236693
"2015-04-30",82.3,82.71,79.18,80.05,5499457
"2015-05-07",78.78,79.46,78.33,78.48,2587234
"2015-05-14",79.37,80.69,79.22,80.58,1847384
"2015-05-21",80.36,80.82,80.03,80.47,1330448
"2015-05-28",79.12,79.21,78.34,79.03,1308389
"2015-06-04",78.85,79.41,78.32,78.48,1515010
"2015-06-11",77.41,77.52,76.63,77.27,2253878
"2015-06-18",77.37,78.5,77.36,78.15,1506863
"2015-06-25",76.44,76.86,76.1,76.16,1335671
"2015-07-02",75.06,75.28,74.5,74.8,1227494
"2015-07-09",75.22,75.66,74.17,74.18,1599201
"2015-07-16",77.67,78.76,77.67,78.25,1756531
"2015-07-23",76.92,76.92,74.04,74.62,3260923
"2015-07-30",76,76.13,72.15,72.64,6515290
"2015-08-06",70.97,71.08,70.07,70.93,3782408
"2015-08-13",71.81,72.75,71.61,72.3,1533131
"2015-08-20",71.25,71.25,69.92,70,2783508
"2015-08-27",70.45,71.13,69.7,71.11,2248147
"2015-09-03",71.09,72.16,70.67,71.07,1609859
"2015-09-10",71.1,72.46,70.87,72.27,1603519
"2015-09-17",72.87,73.34,72.01,72.16,2191298
"2015-09-24",68.98,68.98,67.78,68.2,2964511
"2015-10-01",68.39,70.16,68.25,70.11,3393917
"2015-10-08",73.9,76.9,73.81,76.56,3493699
"2015-10-15",74.75,75,73.18,74.84,1858000
"2015-10-22",74.52,77.34,74.33,76.87,3513416
"2015-10-29",74.41,77.16,73.83,76.98,3884676
"2015-11-05",77.06,77.45,76.1,76.72,1214129
"2015-11-12",75.5,75.5,74.45,74.52,1272937
"2015-11-19",72.4,72.68,71.58,72.57,3243330
"2015-12-03",71.75,71.88,68.55,68.78,3219139
"2015-12-10",68.73,68.91,67.87,68.23,1956764
"2015-12-17",67.36,67.83,66.01,66.03,2410477
"2015-12-24",68.86,69.3,68.55,68.77,789895
"2015-12-31",67.99,68.21,67.04,67.04,1940968
"2016-01-07",62.27,63.13,61.68,61.82,6444904
"2016-01-14",60.21,62.12,58.92,60.74,7422364
"2016-01-21",59.75,62.56,59.15,61.65,6132939
"2016-01-28",61.27,61.64,58.8,59.21,4650618
"2016-02-04",59.28,60.9,58.89,60.71,4327740
"2016-02-11",60.5,62.18,60.1,61.59,4790290
"2016-02-18",64.1,65.68,64,64.94,7950707
"2016-02-25",67.56,68.33,66.78,68.3,4231870
"2016-03-03",68.57,69,68.06,68.68,2341004
"2016-03-10",68.74,69.14,66.72,67.96,2281313
"2016-03-17",70.98,71.82,70.54,71.8,4545453
"2016-03-24",69.02,69.72,68.37,68.64,5621469
"2016-03-31",71.59,71.82,71.02,71.18,3197594
"2016-04-07",65.89,66.03,65.1,65.53,4207706
"2016-04-14",67.65,68.15,67.26,67.84,4323009
"2016-04-21",67.73,69.25,67.73,68.23,4476914
"2016-04-28",67.63,70.75,67.56,69.24,7220932
"2016-05-05",69.45,69.84,69.04,69.27,3037311
"2016-05-12",69.34,69.49,67.44,67.97,2574462
"2016-05-19",65.14,65.25,64.11,64.97,3530976
"2016-05-26",66.18,66.19,65.37,65.56,1979593
"2016-06-02",66.79,68.81,66.63,68.52,3879539
"2016-06-09",67.14,67.42,66.67,67.22,2551760
"2016-06-16",65.48,65.74,64.33,65.59,2741022
"2016-06-23",68.39,68.99,68.04,68.95,2472694
"2016-06-30",65.68,66.75,64.88,66.46,4329573
"2016-07-07",67.98,68.71,67.4,68.36,2918486
"2016-07-14",70.9,71,70.34,70.45,2274519
"2016-07-21",69.62,70.47,69.46,70.38,2579299
"2016-07-28",69.52,71.64,69,71.53,3653441
"2016-08-04",71.29,72.24,70.61,72.21,1974531
"2016-08-11",71.98,72.35,71.64,72.1,1350119
"2016-08-18",72.95,73.26,72.31,72.96,1063140
"2016-08-25",72.45,73.11,72.3,73.03,3013834
"2016-09-01",71.4,71.95,70.88,71.13,3145830
"2016-09-08",70.51,70.51,69.88,70.03,1880610
"2016-09-15",68.51,69.5,68.13,69.29,3281501
