"","CHK.Open","CHK.High","CHK.Low","CHK.Close","CHK.Volume"
"2011-09-15",31.88,32.07,31.25,31.72,7461429
"2011-09-22",28.45,28.45,26.67,27.08,18495855
"2011-09-29",27.62,27.94,26.06,26.78,15287232
"2011-10-06",25.22,26.35,25.01,25.91,12250445
"2011-10-13",26.59,26.99,26,26.85,6760291
"2011-10-20",27.61,27.65,26.62,27.3,10338108
"2011-10-27",28.8,29.87,28.77,29.36,15289689
"2011-11-03",28.62,29.23,27.78,29.03,13187380
"2011-11-10",26.18,26.37,25.3,25.54,20808015
"2011-11-17",25.43,25.63,24.51,24.72,17575911
"2011-12-01",25.23,25.67,25,25.3,8684748
"2011-12-08",25.31,25.45,24.15,24.23,12631483
"2011-12-15",22.94,23.23,22.59,22.78,11493362
"2011-12-22",23.06,23.6,22.95,23.52,9032401
"2011-12-29",22.66,22.96,22.51,22.73,9398995
"2012-01-05",23.9,24.12,23.48,23.62,16640286
"2012-01-12",22.5,22.69,21.87,22.17,17725302
"2012-01-19",21.53,21.54,20.54,20.68,22462283
"2012-01-26",23.03,23.21,21.75,21.9,29860425
"2012-02-02",21.11,22.16,21.05,22.12,23807188
"2012-02-09",22.3,22.64,22.03,22.34,18262251
"2012-02-16",23.07,23.79,22.73,23.77,16645962
"2012-02-23",24.1,24.99,23.95,24.98,19561598
"2012-03-01",24.89,25.15,24.76,24.93,16076666
"2012-03-08",24.28,24.74,24,24.58,12026761
"2012-03-15",24.36,24.67,24.07,24.44,8919210
"2012-03-22",24.83,24.84,24.05,24.43,15716476
"2012-03-29",23.06,23.27,22.52,23.21,14211794
"2012-04-05",22.14,22.47,22,22.15,9900156
"2012-04-12",20.11,20.83,20.06,20.66,16205081
"2012-04-19",17.96,18.32,17.81,18,27139875
"2012-04-26",18,18.57,17.47,17.56,49699236
"2012-05-03",17.24,17.48,16.7,17.19,49786199
"2012-05-10",17.65,17.83,16.95,17.18,32736504
"2012-05-17",13.95,14.02,13.32,13.55,48607183
"2012-05-24",15.2,16,14.65,15.58,39435600
"2012-05-31",16.27,17.13,15.81,16.9,35185703
"2012-06-07",18.28,18.53,17.71,17.85,26919913
"2012-06-14",16.97,17.36,16.84,17.33,22839321
"2012-06-21",19.1,19.1,18.08,18.12,26603995
"2012-06-28",17.79,18.33,17.54,17.78,27944667
"2012-07-05",19.36,20.14,19.23,19.64,27568171
"2012-07-12",18.84,18.9,18.3,18.66,19624203
"2012-07-19",19.25,19.3,18.17,18.28,26359307
"2012-07-26",17.5,18.27,17.36,18.15,24232974
"2012-08-02",18.36,18.65,17.63,17.93,16128984
"2012-08-09",19.84,20.44,19.68,20.31,20277297
"2012-08-16",19.1,19.17,18.93,19.03,11451353
"2012-08-23",19.87,19.91,19.25,19.3,10453266
"2012-08-30",19.38,19.41,19.03,19.04,11308919
"2012-09-06",19.66,20.02,19.06,19.7,20458926
"2012-09-13",19.77,20.07,19.38,19.9,17262968
"2012-09-20",19.44,19.56,19.19,19.5,14220235
"2012-09-27",18.97,19.18,18.85,19.1,8524371
"2012-10-04",19.12,19.52,19.05,19.47,12623527
"2012-10-11",19.59,20.27,19.49,20.14,16760285
"2012-10-18",20.92,21.6,20.91,21.58,17802711
"2012-10-25",20.32,20.4,19.99,20.22,6840162
"2012-11-01",20.28,20.51,20,20.07,13003405
"2012-11-08",17.74,17.85,17.2,17.2,12180840
"2012-11-15",16.93,17.07,16.29,16.39,22173136
"2012-11-29",17.62,17.77,17.4,17.53,12194442
"2012-12-06",16.96,17.18,16.94,17.1,13894985
"2012-12-13",16.94,16.97,16.62,16.68,12705262
"2012-12-20",17.27,17.58,17.25,17.58,8781070
"2012-12-27",17.11,17.17,16.75,16.86,9881580
"2013-01-03",16.6,17.03,16.41,16.77,12930770
"2013-01-10",17.1,17.13,16.37,16.73,34447351
"2013-01-17",17.37,17.77,17.32,17.55,12024740
"2013-01-24",18.72,18.93,18.48,18.77,13592225
"2013-01-31",20.12,20.31,19.8,20.18,18780315
"2013-02-07",20.54,20.54,20.18,20.23,16211823
"2013-02-14",20.48,20.51,20.29,20.4,11827217
"2013-02-21",20.79,20.88,20,20.19,20752690
"2013-02-28",20.02,20.42,20,20.16,9693663
"2013-03-07",19.81,20.86,19.55,20.85,18202638
"2013-03-14",21.42,22.66,21.42,22.52,20110397
"2013-03-21",20.79,21.15,20.65,20.66,11143974
"2013-03-28",20.44,20.53,20.2,20.41,16510233
"2013-04-04",19.16,19.43,18.91,19.32,8601151
"2013-04-11",20.36,20.36,19.96,20.14,6345093
"2013-04-18",18.51,19.13,18.21,18.96,10324355
"2013-04-25",19.43,19.64,19.2,19.28,7099418
"2013-05-02",19.21,19.39,18.85,19.15,9082226
"2013-05-09",19.18,19.76,19.15,19.58,10795231
"2013-05-16",20.24,20.33,19.78,19.89,16394186
"2013-05-23",20.85,21.78,20.56,21.66,21235327
"2013-05-30",22.57,22.72,22.33,22.53,15441365
"2013-06-06",21.52,21.68,21.19,21.67,12218188
"2013-06-13",21.01,21.12,20.81,21,18245889
"2013-06-20",20.53,20.53,19.85,20.08,13308911
"2013-06-27",20.46,20.9,20.46,20.58,15577125
"2013-07-11",21.61,21.65,21.07,21.29,6913046
"2013-07-18",21.86,22.48,21.86,22.33,8128434
"2013-07-25",22.2,22.64,22.12,22.59,7571863
"2013-08-01",24.06,25.2,24.02,24.95,35158584
"2013-08-08",25.02,25.19,24.65,25.01,9381899
"2013-08-15",24.69,25.08,24.53,24.99,8979975
"2013-08-22",25.33,25.67,25.14,25.51,6894117
"2013-08-29",26.34,26.34,25.76,25.95,9647796
"2013-09-05",26.18,26.24,26.02,26.17,9130434
"2013-09-12",26.93,27.06,26.57,26.92,12912113
"2013-09-19",27.28,27.46,26.84,26.9,7565124
"2013-09-26",26.6,26.64,26.07,26.41,6553208
"2013-10-03",26.09,26.27,25.86,26.18,5752082
"2013-10-10",26.25,26.5,26.15,26.41,6414835
"2013-10-17",27.43,27.78,27.25,27.63,9127476
"2013-10-24",27.65,28.68,27.32,28.37,12542430
"2013-10-31",28.19,28.27,27.67,27.96,6328015
"2013-11-07",26.27,26.38,25.19,25.4,19685548
"2013-11-14",25.92,26.14,25.7,25.95,7861119
"2013-11-21",25.7,26.55,25.68,26.33,9787421
"2013-12-05",27.07,27.17,26.87,27.05,9053607
"2013-12-12",26.52,26.87,26.48,26.73,5480447
"2013-12-19",26.57,27.32,26.55,27.21,9256545
"2013-12-26",27.58,27.72,27.2,27.72,5960237
"2014-01-02",27.07,27.22,26.45,26.62,7040026
"2014-01-09",25.9,26.13,25.46,25.61,9880470
"2014-01-16",25.54,26.05,25.54,25.94,8606301
"2014-01-23",27.11,27.3,26.7,26.9,10134011
"2014-01-30",27.18,27.38,26.88,26.98,6121526
"2014-02-06",25.58,25.58,24.05,24.41,36134779
"2014-02-13",24.65,25.11,24.47,24.95,8514958
"2014-02-20",26.37,26.78,26.3,26.65,7626383
"2014-02-27",25.58,25.99,25.36,25.9,9888801
"2014-03-06",25.49,25.63,25.33,25.52,6955773
"2014-03-13",25.11,25.46,24.96,25.21,15356773
"2014-03-20",24.55,24.71,24.24,24.69,7461962
"2014-03-27",24.85,25.84,24.8,25.81,13606299
"2014-04-03",26.42,26.96,26.42,26.62,9765026
"2014-04-10",26.24,26.84,25.95,26.45,10416626
"2014-04-17",27.5,28.37,27.34,28.17,9680027
"2014-04-24",29.1,29.48,28.88,29.22,10237384
"2014-05-01",28.81,28.98,28.39,28.42,5735351
"2014-05-08",29.46,29.9,29.05,29.14,11774763
"2014-05-15",29.22,29.25,28.22,28.99,11866346
"2014-05-22",28.18,28.3,27.88,27.95,8743259
"2014-05-29",28.38,28.9,28.17,28.89,8779458
"2014-06-05",29.33,29.91,29.05,29.87,12664329
"2014-06-12",30.11,30.8,30.06,30.49,10503499
"2014-06-19",30.67,30.84,30.47,30.72,6026213
"2014-06-26",31.05,31.06,30.45,30.52,7249149
"2014-07-03",29.28,29.53,29.11,29.5,3204281
"2014-07-10",29.08,29.24,28.7,29.02,7078745
"2014-07-17",27.69,27.96,26.78,26.82,8663153
"2014-07-24",27.09,27.58,26.87,27.3,8843717
"2014-07-31",26.86,26.91,26.37,26.37,8820961
"2014-08-07",26.53,26.66,25.75,25.93,8447121
"2014-08-14",25.87,25.98,25.41,25.65,6054654
"2014-08-21",26.28,26.51,25.92,26.46,5245928
"2014-08-28",26.43,27.14,26.29,26.98,7550133
"2014-09-04",26.58,26.81,25.94,26.03,6389630
"2014-09-11",25.25,25.37,24.78,25.35,7490318
"2014-09-18",25.39,25.42,24.62,24.77,5588620
"2014-09-25",23.93,24,23.21,23.34,9525547
"2014-10-02",22.27,22.36,21.43,22.23,13222766
"2014-10-09",20.42,20.48,19.13,19.18,23463977
"2014-10-16",19.55,21,19.19,20.79,38748897
"2014-10-23",21.88,22.28,21.74,21.79,13924848
