"","DLR.Open","DLR.High","DLR.Low","DLR.Close","DLR.Volume"
"2011-09-15",57.01,57.2,56.5,56.85,1281679
"2011-09-22",52.8,53.62,51.75,52.7,1533223
"2011-09-29",54.92,55.23,54.07,55.2,1042437
"2011-10-06",54.82,56.84,54.56,56.72,1169063
"2011-10-13",56.59,56.6,55.34,56.09,1224092
"2011-10-20",58.81,59.55,58.33,59.42,1030115
"2011-10-27",65.01,65.01,60.99,62.04,2089518
"2011-11-03",63.42,63.42,61.37,62.65,1196301
"2011-11-10",63.14,63.4,62.16,62.79,743689
"2011-11-17",64.19,65.09,63.79,64.25,2360413
"2011-12-01",63.65,63.72,62.58,62.8,1116525
"2011-12-08",65.05,65.16,63.98,64.35,1092882
"2011-12-15",64.07,64.88,63.79,64.22,971710
"2011-12-22",66.53,66.62,66.01,66.13,1159920
"2011-12-29",67.07,67.83,66.94,67.14,574198
"2012-01-05",65.48,66.13,65,66.09,1265542
"2012-01-12",66.54,67.13,66.31,66.81,1232819
"2012-01-19",67,67.79,66.77,67.54,916453
"2012-01-26",69.26,69.87,69.05,69.59,840167
"2012-02-02",72.15,72.39,70.93,71.37,884918
"2012-02-09",70.33,70.38,69.1,69.12,1690482
"2012-02-16",69.5,70.42,69.5,69.7,1181743
"2012-02-23",69.26,71.21,69.04,70.9,1561283
"2012-03-01",72.64,73.29,72.21,73.27,1524779
"2012-03-08",72.51,72.88,71.87,71.95,861952
"2012-03-15",71.5,72.17,71.04,71.48,1410440
"2012-03-22",72.17,72.17,70.95,71.67,702902
"2012-03-29",72.83,73.03,72.34,72.93,502680
"2012-04-05",73.28,73.56,72.91,73.45,436633
"2012-04-12",72.1,72.79,71.58,72.57,637467
"2012-04-19",74.83,74.94,74.35,74.61,508079
"2012-04-26",74.24,74.56,72.4,73.75,899294
"2012-05-03",75.64,75.95,74.81,74.81,901249
"2012-05-10",74.01,74.27,72.99,73.06,1150226
"2012-05-17",72.02,72.2,69.22,69.36,1597193
"2012-05-24",70.62,71.39,70.45,71.23,544468
"2012-05-31",70.35,71.14,69.31,70.77,1282324
"2012-06-07",72.23,72.4,70.71,70.86,867475
"2012-06-14",71.88,73.32,71.6,73.12,1083503
"2012-06-21",75,75,73.99,74,933491
"2012-06-28",72.77,73.61,72.08,73.61,1729516
"2012-07-05",76.23,76.98,76,76.71,1329799
"2012-07-12",76.45,78.02,76.08,77.59,1015167
"2012-07-19",75.5,75.74,72.48,73.23,4786553
"2012-07-26",75.57,76.76,75.57,76.38,1796153
"2012-08-02",76.69,76.88,76.19,76.65,961131
"2012-08-09",75.9,76.82,75.72,76.2,482747
"2012-08-16",76.04,76.56,75.56,76.44,567481
"2012-08-23",75.5,75.68,74.46,74.55,717822
"2012-08-30",74.62,74.88,74.22,74.81,549018
"2012-09-06",74.54,74.89,74.11,74.53,1039686
