"","LNC.Open","LNC.High","LNC.Low","LNC.Close","LNC.Volume"
"2011-09-15",18.66,19.84,18.54,19.78,9381679
"2011-09-22",15.69,15.94,15,15.48,12793062
"2011-09-29",16.08,16.68,15.83,16.46,6803536
"2011-10-06",15.23,16.04,14.98,15.85,8022026
"2011-10-13",17.11,17.14,16.1,16.7,8053001
"2011-10-20",17.83,18.49,17.45,18.37,6187715
"2011-10-27",20.59,21.65,20.48,21.34,11153725
"2011-11-03",20.17,20.61,18.98,19.52,11144500
"2011-11-10",19.19,19.86,18.92,19.54,7068248
"2011-11-17",20.01,20.3,19.15,19.31,10192909
"2011-12-01",20.05,20.41,19.72,20.21,5257739
"2011-12-08",20.49,20.49,19.57,19.64,5998013
"2011-12-15",18.9,19.12,18.66,18.7,4893695
"2011-12-22",18.79,19.21,18.7,19.13,3943520
"2011-12-29",19.16,19.65,19.09,19.47,1774285
"2012-01-05",19.79,20.42,19.38,20.2,3741816
"2012-01-12",21.82,21.98,21.43,21.57,4664710
"2012-01-19",22.42,22.56,21.94,22.28,4711625
"2012-01-26",22.06,22.16,20.19,20.69,15033692
"2012-02-02",22.24,22.68,22.02,22.67,4071663
"2012-02-09",24.53,24.6,24.06,24.38,5203471
"2012-02-16",24.33,25.59,24.3,25.56,6151423
"2012-02-23",25.06,25.34,25,25.18,3288365
"2012-03-01",24.9,25.84,24.89,25.68,5544146
"2012-03-08",24.51,24.57,24,24.21,3646892
"2012-03-15",26.19,27.45,26.12,27.29,10080903
"2012-03-22",26.33,26.36,25.86,26.04,4497091
"2012-03-29",26.22,26.34,25.36,25.75,4661834
"2012-04-05",25.5,25.95,25.38,25.55,3578761
"2012-04-12",23.91,24.75,23.75,24.7,2408169
"2012-04-19",24.25,24.35,23.7,23.9,3977151
"2012-04-26",24.48,24.75,24.28,24.64,2504341
"2012-05-03",24.59,24.89,23.6,23.74,4467607
"2012-05-10",23.31,23.72,23.25,23.49,3792834
"2012-05-17",21.43,21.62,20.85,20.86,4587520
"2012-05-24",21.39,21.39,20.88,21.31,2811804
"2012-05-31",20.82,21,20.34,20.67,5016596
"2012-06-07",21.49,21.51,20.69,20.78,4167365
"2012-06-14",20.79,21.35,20.64,21.21,3562698
"2012-06-21",21.51,21.6,20.59,20.64,2857063
"2012-06-28",20.73,20.95,20.42,20.93,3369179
"2012-07-05",21.54,21.65,21.04,21.26,2425415
"2012-07-12",20.38,20.44,20.13,20.3,2893933
"2012-07-19",20.92,21.06,20.66,20.9,3877233
"2012-07-26",19.77,20.02,19.52,19.61,2976363
