"","LNC.Open","LNC.High","LNC.Low","LNC.Close","LNC.Volume"
"2012-08-02",20.5,21.62,19.84,21.34,8551701
"2012-08-09",22.71,23.46,22.59,23.23,3568028
"2012-08-16",23.6,24.19,23.55,24,4222353
"2012-08-23",23.66,23.83,23.48,23.53,2560770
"2012-08-30",23.16,23.36,23.03,23.26,2003528
"2012-09-06",23.37,24.3,23.32,24.16,4098528
"2012-09-13",24.64,25.47,24.2,25.36,5307647
"2012-09-20",24.94,25.17,24.45,25,4364472
"2012-09-27",24.02,24.3,23.78,24.13,3104317
"2012-10-04",24.33,24.66,24.18,24.64,4279906
"2012-10-11",24.37,24.62,24.06,24.27,4139519
"2012-10-18",25.68,25.95,25.46,25.74,4652490
"2012-10-25",25,25.24,24.83,25.09,2223884
"2012-11-01",24.81,25.53,24.81,25.43,4261840
"2012-11-08",23.85,24.24,23.23,23.28,5223028
"2012-11-15",23.17,23.74,23.15,23.31,4042595
"2012-11-29",24.64,24.81,24.55,24.63,1887912
"2012-12-06",25.39,25.55,25.26,25.52,2597015
"2012-12-13",25.75,25.93,25.29,25.35,2444083
"2012-12-20",26,26.52,25.79,26.45,3252761
"2012-12-27",25.76,25.88,25.28,25.44,2950019
"2013-01-03",27.36,27.93,27.33,27.9,4418076
"2013-01-10",27.62,27.87,27.46,27.84,2252300
"2013-01-17",27.47,28.2,27.45,27.98,3203866
"2013-01-24",28.24,28.48,28.08,28.26,1889968
"2013-01-31",28.95,29.17,28.72,28.98,2659379
"2013-02-07",29.57,29.85,28.38,29.18,4297407
"2013-02-14",29.92,30.53,29.59,30.45,2868353
"2013-02-21",29.48,29.53,29,29.22,2313855
"2013-02-28",29.31,29.95,29.22,29.54,3513025
"2013-03-07",31.4,31.76,31.23,31.63,2950677
"2013-03-14",33.47,33.66,33.29,33.47,2640584
"2013-03-21",32.56,32.72,32.24,32.37,2291320
"2013-03-28",32.5,32.68,32.22,32.61,2144537
"2013-04-04",32.01,32.02,31.16,31.53,4798093
"2013-04-11",33.16,33.46,33,33.31,2578539
"2013-04-18",31.45,31.55,30.76,30.86,3693675
"2013-04-25",33.4,34.33,33.32,33.66,2585710
"2013-05-02",31.72,32.4,31.01,31.98,8658871
"2013-05-09",34.65,34.9,34.2,34.3,3548829
"2013-05-16",34.99,35.34,34.65,34.71,3887887
"2013-05-23",34.32,35.07,34.18,34.8,2681563
"2013-05-30",35.53,36.59,35.4,36.36,2059653
"2013-06-06",33.88,34.67,33.57,34.65,3316773
"2013-06-13",34.7,35.56,34.49,35.42,2815352
"2013-06-20",35.07,35.82,34.82,35.48,4465948
"2013-06-27",36.2,36.58,36.06,36.44,1540204
"2013-07-11",40.66,40.66,39.5,39.65,4133845
"2013-07-18",40.42,41.52,40.31,41.47,3525912
"2013-07-25",41.27,41.36,40.89,41.36,2152371
"2013-08-01",44.56,44.57,42.8,44.44,3560280
"2013-08-08",43.79,44.13,42.91,43.39,2151060
"2013-08-15",42.53,42.74,42.27,42.63,2750781
"2013-08-22",43.55,44.84,43.42,44.45,2315150
"2013-08-29",42.18,43.02,42.15,42.48,2535242
"2013-09-05",43.83,44.32,43.74,43.85,1263300
"2013-09-12",45.11,45.13,44.22,44.28,2184697
"2013-09-19",44.04,44.11,41.4,42.21,8037807
"2013-09-26",42.54,42.81,42.29,42.6,1574340
"2013-10-03",42.24,42.34,41.34,41.96,1566825
"2013-10-10",42.25,43.33,42.25,43.32,2091674
"2013-10-17",44.34,45.12,44.15,44.61,2661890
"2013-10-24",44.49,44.54,43.69,44.44,1486547
"2013-10-31",45.09,45.94,44.62,45.41,2166017
"2013-11-07",47.27,47.8,46.1,46.14,2534514
"2013-11-14",49.2,50.01,49.2,49.99,1882188
"2013-11-21",49.86,50.63,49.46,50.35,2363248
"2013-12-05",50.83,51.16,50.38,50.65,1798117
"2013-12-12",50.39,50.89,50.24,50.58,1825463
"2013-12-19",51.18,51.41,50.92,51.31,1406377
"2013-12-26",52.07,52.23,51.66,51.95,1859944
"2014-01-02",51.33,51.34,50.28,50.53,1767432
"2014-01-09",51.98,52.4,51.89,52.36,1566078
"2014-01-16",52.24,52.29,51.51,51.74,1922163
"2014-01-23",51,51.08,49.61,49.94,1980785
"2014-01-30",47.47,48.11,47.29,48,2083872
"2014-02-06",47.43,48.13,46.7,48.09,3074717
"2014-02-13",48.82,49.58,48.41,49.57,1896473
"2014-02-20",49.58,49.9,49.03,49.81,1284106
"2014-02-27",49.7,50.07,49.21,49.65,2927770
"2014-03-06",51.37,52.12,51.27,51.93,1961681
"2014-03-13",52.02,52.17,50.8,50.89,1694523
"2014-03-20",51.23,52.56,51.23,52.15,1781302
"2014-03-27",50.93,51.19,49.57,49.75,2528615
"2014-04-03",51.63,51.7,51.09,51.55,1515608
"2014-04-10",49,49,47,47.12,2506865
"2014-04-17",47.56,48.44,47.42,48.07,1973819
"2014-04-24",49.07,49.22,48.08,48.57,1287193
"2014-05-01",49,49.5,48.09,48.5,2116412
"2014-05-08",48.98,50.32,48.83,49.85,2639270
"2014-05-15",49.63,49.63,46.55,47.41,6966641
"2014-05-22",49.11,49.11,47.88,48.47,1629092
"2014-05-29",48.03,48.2,47.05,48.04,3984573
"2014-06-05",51.06,51.57,50.3,50.5,2105124
"2014-06-12",50.47,50.84,49.9,50.17,1428934
"2014-06-19",52.19,52.19,51.19,51.97,1824136
"2014-06-26",51.33,51.6,50.53,51.57,1277890
"2014-07-03",53.03,53.77,52.83,53.28,1183216
"2014-07-10",50.84,51.96,50.69,51.81,1411785
"2014-07-17",52.26,52.83,51.55,51.67,1257514
"2014-07-24",52.98,53.15,52.6,53.08,1165367
"2014-07-31",52.67,53.86,52.08,52.39,2031339
"2014-08-07",51.45,51.88,50.51,50.67,1586628
"2014-08-14",51.63,52.22,51.63,52.11,1097913
"2014-08-21",53.29,53.86,52.66,53.83,1582595
"2014-08-28",54.5,54.77,53.97,54.66,1528972
"2014-09-04",55.34,55.54,54.52,54.55,1491712
"2014-09-11",53.79,54.23,53.78,54.01,1469698
"2014-09-18",54.86,55.99,54.73,55.69,2246543
"2014-09-25",54.77,54.8,53.64,53.64,1970954
"2014-10-02",51.68,51.78,50.65,51.47,2875600
"2014-10-09",51.56,51.56,49.42,49.67,3155552
"2014-10-16",45.54,47.25,45.25,46.87,2705707
"2014-10-23",49.78,50.24,49.63,49.74,1591252
"2014-10-30",53.8,53.9,52.58,52.9,3036077
"2014-11-06",55.55,55.98,54.92,55.93,2510478
"2014-11-13",56.1,56.54,55.89,56.35,1662205
"2014-11-20",55.79,56.89,55.65,56.69,1256004
"2014-12-04",56.2,56.44,55.74,56.1,1373674
"2014-12-11",56.53,57.56,56.49,56.94,1932743
"2014-12-18",56.4,57.57,56.3,57.56,1862328
"2015-01-08",55.46,56.04,55,55.67,2432345
"2015-01-15",51.86,52.22,50.22,50.26,3847165
"2015-01-22",51.44,53.11,51.31,52.99,2169513
"2015-01-29",50.95,51.63,50.31,51.48,3002685
"2015-02-05",52.37,53.83,51.38,53.78,4565010
"2015-02-12",57.95,58.4,57.62,58.06,2377062
"2015-02-19",57.62,58.4,57.41,58.16,2359932
"2015-02-26",58.3,58.77,57.87,58.11,1994522
"2015-03-05",58.05,58.5,57.87,58.33,2258812
"2015-03-12",57.05,58.08,57.05,58.06,1518423
"2015-03-19",58.17,58.39,56.57,57.36,2058121
"2015-03-26",56.38,57.3,56.22,57.01,1714374
"2015-04-02",56.88,57.57,56.62,57.46,1719630
"2015-04-09",56.67,57.56,56.66,57.32,1334047
"2015-04-16",58.21,58.5,57.87,58.05,1265958
"2015-04-23",57.98,58.49,57.54,58.18,1191217
"2015-04-30",56.05,57.58,55.75,56.49,5688192
"2015-05-07",58.48,59.36,58.15,58.79,2471464
"2015-05-14",58.83,58.97,58.49,58.74,1611284
"2015-05-21",59.13,59.49,58.9,58.99,1733664
"2015-05-28",57.71,57.74,57.09,57.7,947442
"2015-06-04",58.02,58.49,57.8,58.07,1634302
"2015-06-11",61.14,62.08,60.97,61.59,2504610
"2015-06-18",60.54,60.86,60.08,60.53,2154935
"2015-06-25",61.18,61.21,60.36,60.36,683788
"2015-07-02",59.61,59.86,58.82,59.14,948469
"2015-07-09",57.41,57.67,56.64,57,1988415
"2015-07-16",59.08,59.51,58.89,59.1,1540076
"2015-07-23",58.77,58.97,57.83,58,1606038
"2015-07-30",56.98,57.45,56.6,57.27,2266912
"2015-08-06",56.52,56.77,56.02,56.2,1574065
"2015-08-13",56.16,56.68,55.45,56.18,2330073
"2015-08-20",54.72,54.72,53.15,53.16,2205344
"2015-08-27",50.14,51.49,49.86,51.46,3097402
"2015-09-03",49.25,50.1,49.22,49.41,1573110
"2015-09-10",49.42,50.25,49.01,49.74,2160869
"2015-09-17",50.71,50.92,49.1,49.33,2236204
"2015-09-24",46.77,47.3,46.41,47.17,2577756
"2015-10-01",47.41,47.9,46.94,47.53,1608116
"2015-10-08",48.87,49.8,48.7,49.67,2056859
"2015-10-15",48.97,49.68,48.61,49.67,1481777
"2015-10-22",50.81,51.63,50.76,51.39,2042066
"2015-10-29",53.56,55.24,53.46,53.85,2839763
"2015-11-05",54.77,55.26,54.48,55.11,1691895
"2015-11-12",55.26,55.36,54.3,54.32,1979341
"2015-11-19",55.66,55.99,55.4,55.59,1042300
"2015-12-03",55.37,55.6,54.29,54.49,2635148
"2015-12-10",52.2,53.32,52.09,52.73,2178016
"2015-12-17",52.02,52.03,50.24,50.24,1673675
"2015-12-24",50.72,50.91,50.53,50.65,547442
"2015-12-31",50.38,50.91,50.21,50.26,837063
"2016-01-07",45.54,45.95,45.13,45.36,3420786
"2016-01-14",41.97,42.14,40.9,41.51,3287044
"2016-01-21",38.19,39.38,37.66,38.57,2437557
"2016-01-28",39.42,39.63,38.31,38.57,2164465
"2016-02-04",37.06,37.63,35.22,35.91,4303786
"2016-02-11",33.01,33.04,30.39,30.78,5270208
"2016-02-18",35.84,36.09,35.56,35.92,3835675
"2016-02-25",35.33,36.4,35.27,36.4,2007048
"2016-03-03",39.17,40,39.01,39.8,1879701
"2016-03-10",38.47,39.06,37.58,38.13,2274726
"2016-03-17",40.02,41.16,39.74,40.85,1908938
"2016-03-24",39.17,39.62,38.58,39.27,2997304
"2016-03-31",39.89,40.13,38.94,39.2,2739254
"2016-04-07",38.22,38.67,37.12,37.37,2968908
"2016-04-14",40.89,41.45,40.49,40.99,2436351
"2016-04-21",43.3,43.81,43.27,43.54,2851837
"2016-04-28",43.95,44.42,43.6,43.73,1716921
"2016-05-05",40.65,41.79,40.16,40.87,5402289
"2016-05-12",43.52,43.89,42.44,43.04,3064298
"2016-05-19",44.77,45.28,43.92,44.38,2498580
"2016-05-26",45.82,45.91,45.11,45.27,2073090
"2016-06-02",45.48,46.05,45.28,46.05,1964400
"2016-06-09",45.18,45.22,44.2,44.33,2158894
"2016-06-16",41.47,41.99,40.97,41.95,2389233
"2016-06-23",43.59,44.37,43.51,44.37,1602550
"2016-06-30",38.09,38.77,37.55,38.77,3689678
"2016-07-07",37.55,38.68,36.96,37.49,5070252
"2016-07-14",42.17,42.96,41.76,42.87,3834980
"2016-07-21",43.55,43.81,43.18,43.32,1799770
"2016-07-28",43.34,43.79,42.84,43.71,1282635
"2016-08-04",44.21,44.35,42.75,43,3031259
"2016-08-11",45.27,45.86,45.1,45.66,1690626
"2016-08-18",46.09,46.18,45.39,45.63,2259136
"2016-08-25",45.78,46.46,45.78,46.43,1384054
"2016-09-01",48.2,48.47,46.98,47.44,1662265
"2016-09-08",47.09,47.26,46.69,47.14,1468522
"2016-09-15",46.8,47.8,46.69,47.59,1663036
