"","NDAQ.Open","NDAQ.High","NDAQ.Low","NDAQ.Close","NDAQ.Volume"
"2011-09-15",24.11,25.22,23.94,25.14,4164247
"2011-09-22",23.33,24.22,23,24,4815239
"2011-09-29",24.61,24.69,23.17,24.06,3014262
"2011-10-06",23.71,24.5,23.33,24.44,1827025
"2011-10-13",25.14,25.56,24.88,25.37,2738105
"2011-10-20",24.76,25.29,24.61,25.1,2253056
"2011-10-27",25.17,26,24.76,25.76,3820843
"2011-11-03",25,25.63,24.44,25.31,2760805
"2011-11-10",25.73,25.83,25.23,25.68,2013147
"2011-11-17",25.75,25.85,25.32,25.44,2156350
"2011-12-01",26.07,26.25,25.86,26.1,1777206
"2011-12-08",25.47,25.47,24.84,24.86,2547004
"2011-12-15",24.49,24.53,24.14,24.25,1260421
"2011-12-22",24.42,24.71,24.3,24.53,991831
"2011-12-29",24.38,24.7,24.29,24.63,490408
"2012-01-05",24.36,24.72,24.14,24.66,1072136
"2012-01-12",25.01,25.24,24.83,24.96,1535770
"2012-01-19",24.94,25.32,24.87,25.14,1057902
"2012-01-26",26.06,26.27,25.67,25.83,1933235
"2012-02-02",24.54,25.14,24.5,24.66,3602678
"2012-02-09",26.26,26.33,25.77,25.88,1857843
"2012-02-16",26.13,26.93,26.06,26.75,2255911
"2012-02-23",26.26,26.4,25.97,26.26,1558534
"2012-03-01",26.39,26.72,26.19,26.31,2235423
"2012-03-08",25.84,25.99,25.69,25.95,1040260
"2012-03-15",26.56,26.84,26.34,26.75,1201573
"2012-03-22",26.62,26.96,26.54,26.88,1739728
"2012-03-29",26.23,26.27,25.68,25.82,2420236
"2012-04-05",25.07,25.69,25.07,25.52,3576736
"2012-04-12",24.71,24.98,24.57,24.95,1132999
"2012-04-19",24.73,24.9,24.57,24.7,1628036
"2012-04-26",24.96,25.19,24.75,25.07,2565351
"2012-05-03",24.12,24.17,23.24,23.67,3842743
"2012-05-10",24.2,24.23,23.62,23.73,3026050
"2012-05-17",23.09,23.38,23,23,2715016
"2012-05-24",21.89,21.93,21.56,21.8,3065874
"2012-05-31",21.88,22.03,21.58,21.88,2246827
"2012-06-07",22.19,22.39,22,22.11,2921694
"2012-06-14",21.38,21.54,21.19,21.27,2571408
"2012-06-21",22.34,22.36,21.51,21.55,1632935
"2012-06-28",21.47,21.87,21.36,21.86,1120551
"2012-07-05",22.66,22.84,22.5,22.55,1096676
"2012-07-12",21.89,22.11,21.62,22.04,1008847
"2012-07-19",22.92,23.03,22.62,22.81,1012869
"2012-07-26",23.27,23.31,23.03,23.21,1626786
"2012-08-02",22.67,22.86,22.35,22.63,1896597
"2012-08-09",23.22,23.37,23.08,23.29,757881
