"","NDAQ.Open","NDAQ.High","NDAQ.Low","NDAQ.Close","NDAQ.Volume"
"2012-08-16",23.22,23.48,23.15,23.42,1385621
"2012-08-23",23.12,23.17,22.83,22.87,1277335
"2012-08-30",22.81,22.87,22.62,22.79,1010833
"2012-09-06",23.43,23.76,23.32,23.73,1103067
"2012-09-13",23.77,24.26,23.66,24.21,1159878
"2012-09-20",23.9,23.93,23.59,23.7,1333355
"2012-09-27",23.12,23.58,22.92,23.42,1393421
"2012-10-04",23.38,23.81,23.25,23.7,909435
"2012-10-11",23.79,23.79,23.46,23.5,898705
"2012-10-18",24.42,24.58,24.36,24.57,1052264
"2012-10-25",23.6,24.17,23.55,23.86,1649434
"2012-11-01",23.89,24.3,23.75,24.16,1531749
"2012-11-08",23.75,24.15,23.55,23.56,1071064
"2012-11-15",22.79,23.1,22.63,23.07,1615647
"2012-11-29",24,24.35,23.92,24.26,969624
"2012-12-06",23.67,23.82,23.44,23.69,2021004
"2012-12-13",24.18,24.46,24.18,24.33,2352466
"2012-12-20",26.75,26.8,25.68,26.11,5394033
"2012-12-27",25.21,25.21,24.83,25.05,814802
"2013-01-03",25.75,26.63,25.27,26.38,3502881
"2013-01-10",26.5,26.63,26.37,26.63,930597
"2013-01-17",26.96,27.2,26.79,27.07,960542
"2013-01-24",27.39,27.59,27.39,27.51,770662
"2013-01-31",27.78,28.49,27.4,28.32,2172196
"2013-02-07",28.97,29.29,28.83,29.26,942629
"2013-02-14",31.51,31.51,30.41,30.6,5653021
"2013-02-21",31.03,31.24,30.75,30.98,1077725
"2013-02-28",31.8,31.9,31.62,31.66,1164548
"2013-03-07",32.3,32.38,31.97,32,1431928
"2013-03-14",32.2,32.78,32.18,32.6,846360
"2013-03-21",31.86,32.39,31.84,32.04,1202390
"2013-03-28",32.29,32.4,32.11,32.3,1112388
"2013-04-04",28.39,28.87,28.33,28.57,2353458
"2013-04-11",28.98,29.42,28.91,29.17,1754469
"2013-04-18",28.5,28.53,27.78,27.94,1490313
"2013-04-25",28.37,28.91,28.2,28.73,2036283
"2013-05-02",29.28,29.98,29.21,29.97,1436430
"2013-05-09",30.5,30.56,30.14,30.23,1098600
"2013-05-16",31,31.15,30.69,30.76,1050668
"2013-05-23",30.71,30.97,30.39,30.92,2221813
"2013-05-30",31.53,32.44,31.34,32.15,1384753
"2013-06-06",31.14,31.86,31.07,31.85,1111471
"2013-06-13",31.2,32.74,31.19,32.58,2188506
"2013-06-20",32.51,33,32.25,32.75,1954081
"2013-06-27",32.67,32.88,32.43,32.86,1185463
"2013-07-11",33.6,34.19,33.58,34.12,1425102
"2013-07-18",33.77,34.21,33.65,34.14,493935
"2013-07-25",32.76,33.25,32.63,33.23,1631492
"2013-08-01",32.7,33.21,32.58,33.2,1367724
"2013-08-08",32.37,32.49,32.12,32.31,762313
"2013-08-15",31.67,31.76,30.94,31.14,1577878
"2013-08-22",31.6,31.89,29.83,30.46,2392931
"2013-08-29",29.74,30.2,29.69,30.06,1190413
"2013-09-05",29.96,30.42,29.96,30.26,1170474
"2013-09-12",31.13,31.33,30.76,31.29,1730033
"2013-09-19",31.75,32.08,31.65,32.02,1378129
"2013-09-26",32.05,32.62,32.04,32.57,920903
"2013-10-03",32.22,32.5,32,32.31,1320042
"2013-10-10",32.26,33.06,32.25,33.02,859673
"2013-10-17",33.49,34.16,33.49,34.08,805738
"2013-10-24",35.53,36.25,35.53,35.65,1423193
"2013-10-31",35.54,35.71,35.35,35.43,1165938
"2013-11-07",35.66,35.84,35.06,35.12,643932
"2013-11-14",36.34,37.23,36.09,37.2,1595977
"2013-11-21",38.74,39,38.56,38.92,1476808
"2013-12-05",39.58,39.88,38.82,38.86,1653072
"2013-12-12",38.74,39.02,38.52,38.79,1453021
"2013-12-19",39.45,39.58,39.23,39.46,860942
"2013-12-26",40.12,40.23,39.82,39.98,514542
"2014-01-02",39.89,39.96,39.15,39.2,1051348
"2014-01-09",40.48,40.74,40.15,40.24,833217
"2014-01-16",39.38,39.98,39.38,39.98,1860571
"2014-01-23",39.31,39.49,38.44,38.7,1220335
"2014-01-30",37.4,38.63,37.4,38.41,1441902
"2014-02-06",38.37,38.6,37.73,37.85,1366683
"2014-02-13",38.46,38.85,38.3,38.69,391528
"2014-02-20",39.42,39.64,39.18,39.48,957709
"2014-02-27",38.29,38.55,38.07,38.42,1481068
"2014-03-06",39.97,40.95,39.92,40.7,1245380
"2014-03-13",39.47,39.69,38.79,38.82,1172307
"2014-03-20",37.43,37.68,37.29,37.49,2241518
"2014-03-27",37.63,37.91,36.36,37.14,2484171
"2014-04-03",37.1,37.33,36.09,36.44,2462986
"2014-04-10",34.9,35.72,34.27,34.89,4076136
"2014-04-17",34.81,35.45,34.51,35.01,1672989
"2014-04-24",34.86,37.02,34.86,36.27,2240533
"2014-05-01",36.95,37.33,36.64,36.93,887987
"2014-05-08",36.84,37.27,36.5,36.56,1160860
"2014-05-15",36.51,36.62,35.99,36.22,1588018
"2014-05-22",36.23,36.52,36.1,36.36,727573
"2014-05-29",37.5,37.77,37.22,37.71,1025957
"2014-06-05",37.92,38.18,36.89,37.7,3333704
"2014-06-12",36.54,37.28,36.24,36.8,1378597
"2014-06-19",37.87,37.93,37.36,37.53,982074
"2014-06-26",37.42,38.19,37.31,38.02,1476469
"2014-07-03",39.68,40,39.48,39.94,945705
"2014-07-10",38.72,38.85,38.31,38.6,1159151
"2014-07-17",40.16,40.73,40.14,40.61,914942
"2014-07-24",41.34,42.58,41.34,42.22,2115097
"2014-07-31",42.58,42.73,42.06,42.19,1221572
"2014-08-07",41.88,42.18,41.02,41.48,1215757
"2014-08-14",42.11,42.29,42,42.23,682948
"2014-08-21",42.65,42.91,42.49,42.75,577353
"2014-08-28",43.47,43.92,43.28,43.8,804720
"2014-09-04",43.51,43.64,42.89,43.12,594823
"2014-09-11",43.05,43.4,42.81,43.32,722591
"2014-09-18",44.02,44.33,43.54,43.72,1449813
"2014-09-25",42.78,42.91,41.93,42,1098038
"2014-10-02",42.36,42.5,41.64,42.09,1123809
"2014-10-09",42.03,42.15,41.49,41.52,975497
"2014-10-16",39.46,40.22,39.1,39.73,939096
"2014-10-23",41.33,41.64,41.01,41.3,1142876
"2014-10-30",42.39,42.98,42.3,42.77,903062
"2014-11-06",43.85,44.05,43.71,43.9,959691
"2014-11-13",44.13,44.21,43.56,43.79,596729
"2014-11-20",43.69,44.18,43.58,44.16,695084
"2014-12-04",45.64,46,45.37,45.94,665667
"2014-12-11",45.91,47.08,45.81,46.97,1583567
"2014-12-18",47.02,47.86,46.63,47.86,775201
"2015-01-08",48.49,49.33,48.44,49.01,1205573
"2015-01-15",45.67,46.2,45.2,45.76,1224063
"2015-01-22",45.69,46.64,45.38,46.54,1202862
"2015-01-29",45.27,45.87,44.82,45.17,1502594
"2015-02-05",47.78,48.9,47.69,48.3,841806
"2015-02-12",49.29,50,49.22,49.75,819228
"2015-02-19",49.62,50.39,49.62,50.3,886853
"2015-02-26",50.76,51,50.31,50.64,949064
"2015-03-05",51.04,51.04,50.4,50.78,635775
"2015-03-12",49.45,50.03,49.45,49.98,792541
"2015-03-19",49.35,50.61,49.26,50.41,1280970
"2015-03-26",49.01,49.69,48.91,49.55,999491
"2015-04-02",50.41,50.57,49.95,50.11,760651
"2015-04-09",49.86,50.16,49.59,50.14,420212
"2015-04-16",49.43,49.88,49.17,49.8,778298
"2015-04-23",48.72,50.08,48.64,49.76,1417047
"2015-04-30",48.89,49.25,48.46,48.63,647262
"2015-05-07",48.93,49.92,48.91,49.89,751245
"2015-05-14",51.08,51.48,50.83,51.45,541906
"2015-05-21",51.72,52.41,51.65,52.27,822205
"2015-05-28",51.73,52.45,51.67,52.34,497750
"2015-06-04",51.76,51.94,51.03,51.33,672383
"2015-06-11",50.96,51.28,50.86,51.09,583621
"2015-06-18",51.37,51.59,51.14,51.28,804524
"2015-06-25",49.88,50.34,49.8,49.96,762296
"2015-07-02",49.08,49.2,48.69,49.13,1121645
"2015-07-09",48.64,49.85,48.5,49.22,1444673
"2015-07-16",51.56,51.87,51.4,51.87,681832
"2015-07-23",50.89,52.22,50.86,51.53,731859
"2015-07-30",50.89,51.19,50.73,50.99,1112787
"2015-08-06",52.72,53.5,52.35,52.78,1508677
"2015-08-13",53.08,53.98,52.94,53.63,813651
"2015-08-20",53.46,53.72,53.06,53.06,1246040
"2015-08-27",50.24,51.31,50.24,51.3,1787476
"2015-09-03",50.99,51.75,50.87,51.15,762401
"2015-09-10",50.89,51.55,50.54,51.33,716867
"2015-09-17",51.84,52.18,50.84,50.95,1279667
"2015-09-24",51.61,52.22,51.42,51.94,1499067
"2015-10-01",53.46,53.57,51.98,52.62,1262497
"2015-10-08",53.16,53.88,52.75,53.78,756481
"2015-10-15",53.82,54.94,53.7,54.91,885663
"2015-10-22",55.33,59.37,55.33,59.1,1644593
"2015-10-29",59.02,59.35,58.76,59.22,980970
"2015-11-05",58.15,58.93,58.07,58.62,772227
"2015-11-12",57.97,58.32,57.7,57.71,923213
"2015-11-19",58.28,59.48,58.28,59.36,1225699
"2015-12-03",58.71,58.71,56.29,56.98,1367247
"2015-12-10",56.26,56.56,55.74,55.96,1140674
"2015-12-17",56.81,57.39,55.84,56.08,866283
"2015-12-24",58.05,58.17,57.74,57.99,368041
"2015-12-31",58.77,59.06,58.17,58.17,807922
"2016-01-07",56.37,57.88,56.32,57.1,2842226
"2016-01-14",56.09,57.99,55.79,57.49,1546331
"2016-01-21",56.35,57.29,55.74,55.78,1150117
"2016-01-28",57.98,59.85,56.25,58.89,1903699
"2016-02-04",61.73,62.21,58.69,59.85,2506692
"2016-02-11",59.33,60.47,58.93,59.97,1038059
"2016-02-18",63.19,63.53,62.69,62.88,1001678
"2016-02-25",63.88,64.53,63.36,64.51,1190251
"2016-03-03",64.56,65.24,63.86,65.2,880682
"2016-03-10",64.8,65.08,63.11,64.97,2353457
"2016-03-17",66.64,67.01,65.77,65.85,1886421
"2016-03-24",65.35,65.65,63.8,64.02,1550832
"2016-03-31",65.39,66.55,65.17,66.38,1775520
"2016-04-07",64.68,65.63,63.78,64.26,936429
"2016-04-14",63.37,64.33,63.37,63.67,677627
"2016-04-21",63.98,64.34,63.54,63.81,625230
"2016-04-28",63.59,64.39,62.67,62.86,865786
"2016-05-05",62.69,63.4,62.69,63.2,846720
"2016-05-12",63.76,64.35,63.69,64.18,720416
"2016-05-19",62.84,63.45,62.67,63.04,594104
"2016-05-26",65.38,65.45,64.66,65.02,587056
"2016-06-02",65.28,65.5,64.85,65.15,424330
"2016-06-09",65.16,65.74,64.88,65.66,783838
"2016-06-16",64.28,64.91,64.22,64.89,660080
"2016-06-23",63.31,64.42,63.26,64.41,710828
"2016-06-30",64.42,64.86,64.01,64.67,1398808
"2016-07-07",64.85,65.2,64.54,64.92,712286
"2016-07-14",67.64,67.85,66.94,67.37,836840
"2016-07-21",67.54,67.61,67.03,67.37,396410
"2016-07-28",70.82,71.47,70.42,70.87,878875
"2016-08-04",71.51,71.88,71.15,71.43,1028597
"2016-08-11",70.67,70.99,69.63,70.03,1152412
"2016-08-18",70.31,70.77,70.22,70.32,550261
"2016-08-25",70.24,70.82,70,70.62,747473
"2016-09-01",71.23,71.74,71.08,71.64,575611
"2016-09-08",70.75,70.98,70.2,70.21,567380
"2016-09-15",68.68,69.64,68.68,69.52,606409
