"","QCOM.Open","QCOM.High","QCOM.Low","QCOM.Close","QCOM.Volume"
"2011-09-15",53.74,53.92,52.45,53.63,16107209
"2011-09-22",49.99,51.26,48.96,50.03,24362355
"2011-09-29",51.9,52.22,48.81,50.13,17634603
"2011-10-06",50.58,50.96,50,50.87,14775087
"2011-10-13",51.94,53.41,51.9,53.31,12545766
"2011-10-20",52.81,53.26,51.72,52.01,17089481
"2011-10-27",53.09,54,52.5,53.52,17157750
"2011-11-03",56.28,56.96,54.76,56.11,44719521
"2011-11-10",56.14,56.22,54.66,55.21,11671046
"2011-11-17",56.64,57.17,55.41,56.38,19433672
"2011-12-01",54.7,55.09,54.36,54.73,9840076
"2011-12-08",54.05,54.99,53.88,54.07,15567011
"2011-12-15",53.75,53.77,52.19,52.55,11704115
"2011-12-22",53.49,54.52,53.46,54.38,8843308
"2011-12-29",54.46,54.94,54.43,54.85,5869244
"2012-01-05",55.87,56.2,55.29,56.06,11518476
"2012-01-12",55.61,56.51,55.48,56.33,11387755
"2012-01-19",57.71,58.24,57.47,58,13298989
"2012-01-26",59.13,59.35,57.54,57.81,20424528
"2012-02-02",61.03,61.95,60.6,60.73,34833815
"2012-02-09",61.59,61.99,61.39,61.94,13902883
"2012-02-16",61.79,62.4,61.56,62.27,12330652
"2012-02-23",62.55,63.66,62.32,63.51,12639489
"2012-03-01",62.21,62.89,62.15,62.61,9946341
"2012-03-08",62.99,63.64,62.87,63.32,10566475
"2012-03-15",65.28,65.49,64.88,65.21,10020482
"2012-03-22",66.23,66.41,65.95,66.29,7652149
"2012-03-29",67.88,67.99,67.3,67.93,8426897
"2012-04-05",67.31,67.6,67.07,67.19,15548921
"2012-04-12",66.52,68.57,66.32,68.33,15715390
"2012-04-19",63.47,64.85,62.26,62.56,41692153
"2012-04-26",63.32,63.99,63.1,63.91,11421610
"2012-05-03",64.48,64.72,63.46,63.55,8056166
"2012-05-10",62.59,62.8,62.22,62.48,8306173
"2012-05-17",59.26,59.36,56.55,57.16,24029411
"2012-05-24",58.41,58.68,56.65,57.15,13447295
"2012-05-31",57.29,57.71,56.3,57.31,13412140
"2012-06-07",59.14,59.5,57.83,58,9158170
