"","XRAY.Open","XRAY.High","XRAY.Low","XRAY.Close","XRAY.Volume"
"2011-09-15",34.36,34.4,33.6,34.26,1712747
"2011-09-22",31.5,31.65,30.55,30.86,1729263
"2011-09-29",31.85,32.25,30.81,31.45,1038468
"2011-10-06",30.71,31.75,30.36,31.75,2112221
"2011-10-13",33.12,33.19,32.38,32.77,1217797
"2011-10-20",33.16,33.87,32.93,33.51,1950876
"2011-10-27",40,40.37,37,38.82,4058986
"2011-11-03",35.93,36.49,35.75,36.31,1286175
"2011-11-10",35.61,35.91,35.32,35.48,1060376
"2011-11-17",35.13,35.25,34.04,34.38,1602269
"2011-12-01",35.95,36.57,35.85,36.13,1303245
"2011-12-08",35.82,35.84,35.22,35.31,1158837
"2011-12-15",35.24,35.3,34.65,34.79,1189285
"2011-12-22",35.44,35.94,35.4,35.55,1185289
"2011-12-29",34.95,35.34,34.82,35.3,514385
"2012-01-05",35.28,35.52,35.04,35.4,981571
"2012-01-12",35.97,36.44,35.59,36.39,700952
"2012-01-19",37.08,38.5,36.78,37.99,1557987
"2012-01-26",38.96,38.99,38.1,38.19,1112900
"2012-02-02",38.16,38.31,37.93,37.95,570576
"2012-02-09",37.94,37.95,37.29,37.68,914399
"2012-02-16",36.79,39.59,36.75,39.43,2085976
"2012-02-23",38.3,38.44,38.07,38.15,887935
"2012-03-01",38.77,39.19,38.68,38.98,1055153
"2012-03-08",38.2,38.65,38.14,38.42,604520
"2012-03-15",39.77,39.8,39.41,39.75,665713
"2012-03-22",39.06,39.16,38.7,39.1,715550
"2012-03-29",39.88,40.09,39.66,40.01,1080236
"2012-04-05",39.41,39.76,39.41,39.72,319839
"2012-04-12",38.95,39.78,38.81,39.74,604511
"2012-04-19",40.01,40.2,39.5,39.73,684872
"2012-04-26",40.69,40.94,40.47,40.89,570787
"2012-05-03",40.26,40.36,40,40.1,1030759
"2012-05-10",39.24,39.46,39.06,39.32,755910
"2012-05-17",38.72,38.79,37.87,37.89,1036935
"2012-05-24",38.11,38.54,37.74,38.11,606539
"2012-05-31",37.32,37.42,36.84,37,2392260
"2012-06-07",37.5,37.5,36.77,36.84,1197765
"2012-06-14",37.25,37.82,37.19,37.47,845139
"2012-06-21",38.48,38.49,37.27,37.29,1132301
"2012-06-28",36.67,36.89,36.3,36.74,612124
"2012-07-05",37.75,37.85,37.41,37.56,1113233
"2012-07-12",36.37,36.37,35.65,36.1,1002266
"2012-07-19",36.69,37.42,36.56,37.3,754100
"2012-07-26",36.33,36.45,35.89,35.98,1562636
"2012-08-02",35.62,35.64,35.04,35.56,2118858
"2012-08-09",38.29,38.74,38.29,38.57,808932
"2012-08-16",38.94,39.27,38.66,39.07,553869
"2012-08-23",37.38,37.38,36.6,36.85,979534
"2012-08-30",35.89,36.4,35.82,36.16,640687
"2012-09-06",36.4,37.03,36.37,36.86,1001306
"2012-09-13",37.49,37.83,37.1,37.58,940402
"2012-09-20",36.93,37.09,36.69,36.75,742332
"2012-09-27",37.65,38.24,37.56,38.16,914681
"2012-10-04",38.02,38.32,37.67,38.31,830584
"2012-10-11",36.9,37.33,36.85,37.22,886082
"2012-10-18",37.08,37.76,36.71,37.75,2092185
"2012-10-25",37.47,37.89,36.76,37.33,1713355
"2012-11-01",37.09,38.38,36.59,38.35,1022951
"2012-11-08",38.23,38.9,37.93,38,733847
"2012-11-15",38.09,38.39,37.94,38.32,602350
"2012-11-29",39.5,39.84,39.37,39.65,433791
"2012-12-06",39.05,39.36,38.85,39.18,671316
"2012-12-13",39.89,40.17,39.41,39.62,393107
"2012-12-20",40.19,40.45,39.94,40.4,737826
"2012-12-27",39.7,39.7,38.97,39.38,526739
"2013-01-03",40.5,40.7,39.8,40.41,525445
"2013-01-10",40.52,40.52,40.15,40.33,525223
"2013-01-17",39.89,40.9,39.85,40.68,1107884
"2013-01-24",41,41.64,40.84,41.54,856621
"2013-01-31",42.08,42.18,41.59,41.76,920605
"2013-02-07",42.71,42.85,42.15,42.52,445641
"2013-02-14",42.89,43,42.68,42.91,759836
"2013-02-21",42.87,42.89,41.28,41.31,1277143
"2013-02-28",41.32,41.66,41.24,41.42,532328
"2013-03-07",42.47,42.59,42.15,42.54,560880
"2013-03-14",42.65,42.65,42.32,42.62,606937
"2013-03-21",42.11,42.38,41.57,41.57,888608
"2013-03-28",41.89,42.5,41.63,42.44,668062
"2013-04-04",40.99,41.41,40.81,41.23,577274
"2013-04-11",41.97,42.4,41.79,42.22,586629
"2013-04-18",41.37,41.43,40.71,40.86,560140
"2013-04-25",41.99,42.2,41.79,41.91,426992
"2013-05-02",42.11,42.22,41.69,42.11,591984
"2013-05-09",40.55,42.65,40.5,42.45,2811780
"2013-05-16",42.5,42.51,41.98,42.18,1452526
"2013-05-23",41.45,41.87,41.31,41.51,901186
"2013-05-30",41.71,42.15,41.71,42,602223
"2013-06-06",41.4,41.54,40.75,41.13,852480
"2013-06-13",41.56,41.65,40.61,41.38,658811
"2013-06-20",40.61,40.68,40.19,40.44,1012031
"2013-06-27",40.6,41.3,40.6,41.23,690579
"2013-07-11",42.28,42.46,41.74,42.18,690167
"2013-07-18",42.11,42.49,41.96,42.4,563276
"2013-07-25",42.15,42.63,41.94,42.08,738263
"2013-08-01",42.4,43.1,41.99,42.9,1562833
"2013-08-08",42.52,42.79,42.36,42.76,558299
"2013-08-15",42.51,42.63,42,42.15,1112754
"2013-08-22",41.62,42.3,41.58,42.29,684091
