"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume"
"2011-09-15",32.3,32.65,32.08,32.56,6820674
"2011-09-22",30.42,30.78,29.92,30.44,7615754
"2011-09-29",33.1,33.44,31.94,32.52,5807036
"2011-10-06",31.78,32.98,31.4,32.98,5047340
"2011-10-13",35.51,35.66,35.04,35.51,4900016
"2011-10-20",34.5,34.98,33.88,34.68,6236104
"2011-10-27",37.14,38.72,36.82,38.28,8244426
"2011-11-03",35.56,35.72,34.54,35.62,9534182
"2011-11-10",34,34.34,33.27,33.67,6788500
"2011-11-17",34.09,34.36,33.38,33.57,5497934
"2011-12-01",33.54,33.92,33.27,33.8,4531898
"2011-12-08",34.53,34.58,33.56,33.67,5451796
"2011-12-15",32.96,33.34,32.7,32.77,4594030
"2011-12-22",31.86,32.39,31.86,32.1,4089970
"2011-12-29",31.72,31.85,31.48,31.83,2759420
"2012-01-05",32.8,33.77,32.48,33.64,6832270
"2012-01-12",33.77,34.65,33.62,34.56,9153274
"2012-01-19",34.9,35.44,34.8,34.91,4061148
"2012-01-26",36,36.24,35.43,35.62,2777376
"2012-02-02",36.59,36.83,36.22,36.31,2903870
"2012-02-09",35.5,35.85,35.15,35.34,5233716
"2012-02-16",35.3,36.03,35.3,35.98,3502170
"2012-02-23",35.5,35.54,35.1,35.3,4333706
"2012-03-01",35.72,35.82,35.5,35.68,3172826
"2012-03-08",35.75,36.52,35.72,36.43,3785126
"2012-03-15",37.55,38.18,37.52,38.13,3985538
"2012-03-22",38.2,38.27,37.88,38.18,4008242
"2012-03-29",37.99,38.18,37.7,38.15,3174040
"2012-04-05",38.03,38.66,37.89,38.64,3091426
"2012-04-12",37.88,38.42,37.8,38.38,3329724
"2012-04-19",36.26,36.56,35.78,35.95,5159720
"2012-04-26",36.03,36.92,35.88,36.7,3941612
"2012-05-03",36.4,36.4,35.48,35.54,4885974
"2012-05-10",30.46,30.59,30,30.52,10646104
"2012-05-17",30.18,30.28,29.68,29.72,7490524
"2012-05-24",30.78,30.89,29.66,30.06,8175978
"2012-05-31",29.46,29.46,28.5,29.12,6999488
"2012-06-07",30.46,30.46,29.58,29.66,4743724
